Exit stations,Entry stations->,,TOTAL,,,Jul 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	696 ," 	1,649 "," 	1,629 ", 	893 ," 	6,062 "," 	1,193 "," 	1,791 "," 	1,381 "," 	1,886 ", 	522 ," 	1,388 ", 	969 , 	647 , 	339 , 	395 , 	229 , 	170 , 	214 , 	376 , 	196 , 	325 , 	169 , 	142 , 	336 , 	501 ," 	5,012 "," 	3,647 "," 	6,416 "," 	3,492 "," 	2,380 "," 	2,728 ", 	642 , 	599 , 	523 , 	308 , 	107 , 	152 , 	66 , 	183 , 	174 , 	354 ," 	1,272 ", 	363 , 	52 , 	228 , 	290 , 	195 , 	277 , 	151 , 	234 ," 	53,943 ",,,,,,,,,,,,,
CL," 	1,117 "," 	1,481 ", 	695 , 	740 ," 	1,708 ", 	856 ," 	1,809 "," 	1,753 "," 	2,179 "," 	2,313 "," 	3,287 ", 	480 ," 	2,224 "," 	2,132 "," 	1,943 ", 	972 ," 	1,013 "," 	1,089 ", 	657 , 	483 , 	501 , 	330 , 	268 , 	491 , 	969 ," 	4,703 "," 	3,417 "," 	5,757 "," 	3,502 "," 	1,603 "," 	1,525 ", 	587 , 	565 , 	621 , 	111 , 	851 ," 	2,769 ", 	203 , 	409 , 	189 , 	261 , 	499 , 	365 , 	916 , 	491 , 	849 , 	744 ," 	1,105 ", 	177 , 	567 ," 	64,276 ",,,,,,,,,,,,,
SL, 	631 , 	770 , 	274 , 	391 ," 	2,112 ", 	606 ," 	1,500 "," 	1,959 "," 	2,820 "," 	3,741 "," 	3,608 "," 	2,373 ", 	423 ," 	1,900 "," 	2,506 "," 	1,422 "," 	1,288 "," 	1,410 ", 	368 , 	290 , 	310 , 	72 , 	94 , 	343 , 	712 ," 	7,697 "," 	6,737 "," 	7,400 "," 	5,249 "," 	1,947 "," 	1,427 ", 	502 , 	712 , 	820 , 	128 , 	630 ," 	1,943 ", 	62 , 	207 , 	178 , 	151 , 	600 , 	100 , 	933 , 	207 , 	876 , 	701 , 	720 , 	115 , 	384 ," 	72,349 ",,,,,,,,,,,,,
BF, 	314 , 	490 , 	199 , 	235 ," 	1,400 ", 	377 , 	904 ," 	1,523 "," 	2,343 "," 	2,819 "," 	3,450 "," 	2,077 "," 	1,957 ", 	530 ," 	1,438 "," 	1,144 "," 	1,035 "," 	1,321 ", 	308 , 	120 , 	224 , 	105 , 	50 , 	188 , 	567 ," 	6,419 "," 	5,475 "," 	7,758 "," 	4,400 "," 	1,513 ", 	929 , 	429 , 	549 , 	560 , 	136 , 	659 ," 	1,779 ", 	39 , 	136 , 	154 , 	160 , 	291 , 	153 ," 	1,022 ", 	181 ," 	1,134 ", 	768 , 	560 , 	57 , 	170 ," 	60,549 ",,,,,,,,,,,,,
HY, 	392 , 	559 , 	169 , 	261 ," 	1,435 ", 	388 ," 	1,029 "," 	1,649 "," 	1,858 "," 	1,623 "," 	2,769 "," 	1,813 "," 	2,798 "," 	1,542 ", 	429 ," 	1,284 "," 	2,194 "," 	2,685 ", 	245 , 	146 , 	214 , 	104 , 	43 , 	186 , 	511 ," 	4,038 "," 	2,923 "," 	3,169 "," 	2,326 ", 	805 , 	551 , 	239 , 	266 , 	390 , 	119 , 	277 , 	908 , 	44 , 	197 , 	104 , 	154 , 	223 , 	116 , 	512 , 	187 ," 	1,542 "," 	1,087 ", 	986 , 	66 , 	187 ," 	47,742 ",,,,,,,,,,,,,
SH, 	221 , 	225 , 	163 , 	157 , 	880 , 	225 , 	530 , 	868 ," 	1,137 "," 	1,054 "," 	1,365 ", 	989 ," 	1,314 "," 	1,057 "," 	1,138 ", 	304 , 	915 ," 	1,357 ", 	85 , 	111 , 	170 , 	17 , 	24 , 	64 , 	241 ," 	3,292 "," 	2,731 "," 	2,352 "," 	1,952 ", 	581 , 	624 , 	129 , 	211 , 	197 , 	31 , 	208 , 	522 , 	20 , 	91 , 	83 , 	55 , 	144 , 	50 , 	289 , 	153 ," 	1,385 ", 	579 , 	719 , 	35 , 	107 ," 	31,151 ",,,,,,,,,,,,,
UC, 	216 , 	439 , 	211 , 	160 ," 	1,934 ", 	243 , 	784 ," 	1,076 "," 	1,679 ", 	987 ," 	1,175 "," 	1,049 "," 	1,308 "," 	1,234 "," 	2,315 ", 	973 , 	435 ," 	1,394 ", 	152 , 	135 , 	130 , 	18 , 	25 , 	102 , 	232 ," 	5,573 "," 	3,442 "," 	3,052 "," 	2,401 ", 	889 , 	468 , 	194 , 	257 , 	350 , 	100 , 	167 , 	859 , 	35 , 	82 , 	53 , 	37 , 	367 , 	51 , 	495 , 	252 ," 	1,702 "," 	1,599 "," 	1,204 ", 	33 , 	107 ," 	42,175 ",,,,,,,,,,,,,
FM, 	264 , 	402 , 	179 , 	214 ," 	1,889 ", 	297 , 	661 ," 	1,256 "," 	1,564 "," 	1,195 "," 	1,308 "," 	1,055 "," 	1,429 "," 	1,317 "," 	2,778 "," 	1,542 "," 	1,469 ", 	586 , 	211 , 	108 , 	126 , 	33 , 	68 , 	122 , 	278 ," 	7,061 "," 	4,159 "," 	2,959 "," 	2,295 ", 	706 , 	415 , 	213 , 	220 , 	290 , 	83 , 	333 , 	768 , 	8 , 	122 , 	19 , 	35 , 	582 , 	61 , 	313 , 	278 ," 	1,714 "," 	1,830 "," 	1,766 ", 	46 , 	154 ," 	46,781 ",,,,,,,,,,,,,
CN, 	405 , 	394 , 	224 , 	203 , 	999 , 	193 ," 	1,646 "," 	1,599 "," 	1,893 ", 	303 , 	409 , 	605 , 	399 , 	302 , 	282 , 	80 , 	153 , 	202 , 	732 ," 	1,235 "," 	3,641 "," 	1,875 ", 	588 ," 	1,017 ", 	286 ," 	7,007 "," 	5,426 "," 	5,234 "," 	4,309 "," 	1,470 ", 	975 , 	501 , 	428 , 	571 , 	178 , 	39 , 	134 , 	598 ," 	2,595 ", 	238 , 	337 ," 	2,034 ", 	304 , 	120 , 	483 , 	88 , 	142 , 	207 ," 	1,526 "," 	1,918 "," 	56,527 ",,,,,,,,,,,,,
PH, 	195 , 	249 , 	179 , 	195 , 	904 , 	216 ," 	1,178 "," 	1,740 "," 	1,993 ", 	140 , 	266 , 	429 , 	226 , 	120 , 	144 , 	139 , 	111 , 	122 ," 	1,258 ", 	413 ," 	1,337 ", 	601 , 	302 ," 	1,228 ", 	222 ," 	10,273 "," 	7,566 "," 	4,644 "," 	3,843 "," 	1,268 ", 	752 , 	474 , 	298 , 	413 , 	74 , 	44 , 	68 , 	286 , 	855 , 	200 , 	187 ," 	2,505 ", 	144 , 	53 , 	525 , 	99 , 	205 , 	148 , 	472 , 	824 ," 	50,127 ",,,,,,,,,,,,,
WC, 	332 , 	457 , 	290 , 	301 ," 	1,123 ", 	222 ," 	1,695 "," 	2,063 "," 	2,439 ", 	331 , 	441 , 	467 , 	295 , 	241 , 	156 , 	180 , 	112 , 	145 ," 	3,898 "," 	1,479 ", 	433 , 	825 , 	599 ," 	2,075 ", 	274 ," 	11,312 "," 	7,523 "," 	4,887 "," 	3,942 "," 	1,422 ", 	742 , 	451 , 	326 , 	441 , 	163 , 	84 , 	108 , 	518 ," 	1,889 ", 	242 , 	275 ," 	2,956 ", 	203 , 	35 , 	553 , 	45 , 	112 , 	126 , 	756 ," 	1,549 "," 	61,533 ",,,,,,,,,,,,,
LF, 	166 , 	155 , 	165 , 	111 , 	590 , 	127 , 	689 ," 	1,034 "," 	1,030 ", 	60 , 	250 , 	253 , 	60 , 	82 , 	74 , 	26 , 	26 , 	33 ," 	2,358 ", 	670 , 	865 , 	268 , 	299 , 	986 , 	69 ," 	8,300 "," 	5,702 "," 	2,254 "," 	1,954 ", 	656 , 	426 , 	240 , 	158 , 	149 , 	41 , 	11 , 	10 , 	111 , 	389 , 	73 , 	113 ," 	1,814 ", 	117 , 	9 , 	280 , 	18 , 	49 , 	45 , 	181 , 	298 ," 	33,844 ",,,,,,,,,,,,,
OR, 	127 , 	145 , 	107 , 	73 , 	528 , 	71 , 	469 , 	775 , 	892 , 	83 , 	222 , 	273 , 	108 , 	60 , 	40 , 	24 , 	23 , 	68 , 	554 , 	272 , 	686 , 	327 , 	262 , 	808 , 	108 ," 	7,142 "," 	4,514 "," 	1,888 "," 	1,867 ", 	696 , 	393 , 	233 , 	79 , 	180 , 	17 , 	18 , 	14 , 	38 , 	171 , 	63 , 	104 ," 	1,347 ", 	48 , 	12 , 	158 , 	18 , 	70 , 	53 , 	144 , 	140 ," 	26,512 ",,,,,,,,,,,,,
