Exit stations,Entry stations->,,SATURDAY,,,Jul 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	32 , 	34 , 	47 , 	25 , 	148 , 	29 , 	50 , 	27 , 	42 , 	9 , 	34 , 	24 , 	11 , 	9 , 	10 , 	5 , 	5 , 	3 , 	6 , 	5 , 	5 , 	5 , 	4 , 	7 , 	12 , 	93 , 	51 , 	163 , 	61 , 	50 , 	75 , 	14 , 	18 , 	16 , 	6 , 	3 , 	3 , 	1 , 	5 , 	4 , 	8 , 	30 , 	10 , 	1 , 	4 , 	8 , 	5 , 	10 , 	6 , 	5 ," 	1,236 ",,,,,,,,,,
EN, 	46 , 	18 , 	30 , 	25 , 	156 , 	38 , 	50 , 	55 , 	66 , 	13 , 	49 , 	37 , 	18 , 	16 , 	14 , 	8 , 	10 , 	8 , 	7 , 	5 , 	9 , 	3 , 	2 , 	14 , 	10 , 	165 , 	117 , 	276 , 	99 , 	63 , 	65 , 	16 , 	21 , 	26 , 	7 , 	2 , 	8 , 	1 , 	6 , 	7 , 	8 , 	45 , 	11 , 	3 , 	12 , 	12 , 	16 , 	15 , 	3 , 	5 ," 	1,718 ",,,,,,,,,,
EP, 	47 , 	28 , 	11 , 	22 , 	133 , 	29 , 	36 , 	41 , 	45 , 	15 , 	17 , 	25 , 	7 , 	6 , 	7 , 	5 , 	5 , 	6 , 	6 , 	3 , 	8 , 	5 , 	2 , 	7 , 	4 , 	101 , 	68 , 	121 , 	61 , 	37 , 	30 , 	11 , 	6 , 	6 , 	3 , 	2 , 	5 , 	1 , 	1 , 	3 , 	2 , 	36 , 	6 , 	1 , 	11 , 	2 , 	7 , 	4 , 	0 , 	2 ," 	1,049 ",,,,,,,,,,
NB, 	29 , 	27 , 	23 , 	18 , 	42 , 	17 , 	27 , 	36 , 	31 , 	9 , 	20 , 	20 , 	10 , 	5 , 	7 , 	3 , 	4 , 	8 , 	5 , 	4 , 	6 , 	2 , 	2 , 	4 , 	3 , 	138 , 	84 , 	106 , 	76 , 	50 , 	41 , 	14 , 	7 , 	9 , 	4 , 	1 , 	4 , 	1 , 	3 , 	1 , 	2 , 	44 , 	10 , 	1 , 	11 , 	4 , 	6 , 	9 , 	1 , 	1 , 	990 ,,,,,,,,,,
BK, 	165 , 	170 , 	139 , 	56 , 	56 , 	75 , 	78 , 	100 , 	117 , 	35 , 	66 , 	38 , 	31 , 	27 , 	26 , 	12 , 	24 , 	28 , 	14 , 	12 , 	25 , 	11 , 	12 , 	8 , 	23 , 	357 , 	195 , 	337 , 	179 , 	110 , 	74 , 	47 , 	21 , 	24 , 	6 , 	5 , 	26 , 	2 , 	9 , 	7 , 	8 , 	88 , 	43 , 	8 , 	25 , 	15 , 	45 , 	61 , 	2 , 	7 ," 	3,051 ",,,,,,,,,,
AS, 	35 , 	37 , 	28 , 	20 , 	69 , 	19 , 	26 , 	40 , 	44 , 	10 , 	32 , 	26 , 	13 , 	11 , 	9 , 	3 , 	6 , 	6 , 	5 , 	3 , 	4 , 	3 , 	1 , 	4 , 	10 , 	118 , 	69 , 	107 , 	80 , 	55 , 	39 , 	12 , 	8 , 	7 , 	4 , 	2 , 	5 , 	0 , 	2 , 	3 , 	5 , 	34 , 	10 , 	1 , 	8 , 	3 , 	9 , 	9 , 	0 , 	3 ," 	1,054 ",,,,,,,,,,
MA, 	64 , 	56 , 	43 , 	33 , 	82 , 	34 , 	24 , 	50 , 	50 , 	11 , 	58 , 	43 , 	22 , 	18 , 	20 , 	8 , 	13 , 	11 , 	32 , 	22 , 	28 , 	16 , 	12 , 	28 , 	22 , 	227 , 	147 , 	234 , 	167 , 	162 , 	101 , 	32 , 	21 , 	17 , 	8 , 	1 , 	7 , 	6 , 	13 , 	4 , 	8 , 	58 , 	14 , 	3 , 	10 , 	12 , 	28 , 	18 , 	7 , 	21 ," 	2,124 ",,,,,,,,,,
19, 	32 , 	63 , 	38 , 	43 , 	95 , 	39 , 	58 , 	30 , 	10 , 	7 , 	30 , 	39 , 	30 , 	20 , 	23 , 	11 , 	11 , 	20 , 	25 , 	29 , 	34 , 	16 , 	15 , 	52 , 	29 , 	222 , 	165 , 	252 , 	178 , 	149 , 	92 , 	33 , 	20 , 	26 , 	7 , 	5 , 	10 , 	5 , 	9 , 	6 , 	6 , 	42 , 	16 , 	4 , 	10 , 	12 , 	10 , 	16 , 	4 , 	13 ," 	2,114 ",,,,,,,,,,
12, 	39 , 	59 , 	40 , 	32 , 	106 , 	40 , 	53 , 	12 , 	30 , 	7 , 	29 , 	41 , 	37 , 	33 , 	23 , 	13 , 	12 , 	15 , 	24 , 	19 , 	36 , 	17 , 	16 , 	37 , 	33 , 	245 , 	153 , 	310 , 	175 , 	136 , 	89 , 	31 , 	30 , 	27 , 	8 , 	2 , 	12 , 	6 , 	16 , 	7 , 	14 , 	65 , 	21 , 	1 , 	12 , 	8 , 	17 , 	18 , 	3 , 	15 ," 	2,224 ",,,,,,,,,,
LM, 	8 , 	14 , 	13 , 	8 , 	35 , 	12 , 	12 , 	9 , 	8 , 	14 , 	49 , 	78 , 	74 , 	80 , 	37 , 	17 , 	17 , 	22 , 	4 , 	3 , 	4 , 	2 , 	1 , 	2 , 	14 , 	159 , 	107 , 	203 , 	119 , 	87 , 	63 , 	23 , 	14 , 	12 , 	3 , 	34 , 	49 , 	-   , 	2 , 	1 , 	1 , 	10 , 	2 , 	18 , 	13 , 	15 , 	23 , 	29 , 	2 , 	1 ," 	1,523 ",,,,,,,,,,
FV, 	37 , 	40 , 	14 , 	16 , 	56 , 	34 , 	50 , 	32 , 	29 , 	35 , 	27 , 	82 , 	68 , 	91 , 	73 , 	31 , 	23 , 	26 , 	8 , 	5 , 	11 , 	6 , 	5 , 	12 , 	47 , 	160 , 	107 , 	244 , 	148 , 	85 , 	85 , 	22 , 	20 , 	25 , 	3 , 	29 , 	47 , 	1 , 	7 , 	5 , 	4 , 	21 , 	7 , 	22 , 	5 , 	31 , 	20 , 	28 , 	2 , 	10 ," 	1,996 ",,,,,,,,,,
