Exit stations,Entry stations->,,SATURDAY,,,Sep 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
CL, 	84 , 	173 , 	74 , 	81 , 	229 , 	109 , 	186 , 	129 , 	214 , 	144 , 	274 , 	18 , 	186 , 	251 , 	172 , 	104 , 	126 , 	266 , 	88 , 	92 , 	98 , 	52 , 	47 , 	76 , 	104 , 	341 , 	214 , 	497 , 	248 , 	110 , 	107 , 	45 , 	60 , 	63 , 	8 , 	126 , 	467 , 	40 , 	122 , 	8 , 	19 , 	41 , 	32 , 	176 ," 	6,096 ",,,CM line," 	16,796 "," 	2,972 "," 	6,372 "," 	2,759 "," 	1,499 "," 	2,265 "," 	2,541 "," 	35,204 "
SL, 	30 , 	39 , 	20 , 	19 , 	158 , 	32 , 	48 , 	70 , 	99 , 	154 , 	176 , 	187 , 	14 , 	116 , 	107 , 	48 , 	37 , 	60 , 	20 , 	14 , 	13 , 	6 , 	6 , 	23 , 	28 , 	230 , 	170 , 	452 , 	189 , 	65 , 	54 , 	21 , 	34 , 	32 , 	7 , 	42 , 	37 , 	3 , 	28 , 	8 , 	9 , 	31 , 	14 , 	39 ," 	2,984 ",,,RM line," 	8,938 "," 	3,198 "," 	2,730 "," 	5,989 "," 	1,343 "," 	3,369 ", 	751 ," 	26,317 "
BF, 	26 , 	44 , 	16 , 	15 , 	139 , 	35 , 	77 , 	81 , 	128 , 	154 , 	248 , 	248 , 	108 , 	10 , 	139 , 	68 , 	77 , 	129 , 	16 , 	5 , 	11 , 	7 , 	5 , 	13 , 	36 , 	212 , 	184 , 	461 , 	147 , 	70 , 	59 , 	19 , 	39 , 	31 , 	9 , 	61 , 	99 , 	3 , 	26 , 	11 , 	14 , 	16 , 	12 , 	96 ," 	3,400 ",,,WP line," 	8,060 "," 	1,463 "," 	1,575 "," 	1,426 "," 	4,027 "," 	1,431 ", 	889 ," 	18,869 "
HY, 	28 , 	46 , 	13 , 	17 , 	115 , 	30 , 	44 , 	67 , 	84 , 	62 , 	141 , 	179 , 	101 , 	147 , 	10 , 	85 , 	95 , 	159 , 	18 , 	7 , 	12 , 	6 , 	5 , 	13 , 	27 , 	163 , 	89 , 	260 , 	85 , 	47 , 	34 , 	14 , 	20 , 	19 , 	9 , 	26 , 	46 , 	5 , 	22 , 	5 , 	12 , 	12 , 	11 , 	42 ," 	2,426 ",,,FT/ED line," 	11,061 "," 	3,416 "," 	2,334 "," 	3,502 "," 	1,418 "," 	9,811 ", 	647 ," 	32,188 "
SH, 	19 , 	22 , 	9 , 	9 , 	57 , 	16 , 	21 , 	26 , 	39 , 	34 , 	68 , 	88 , 	51 , 	70 , 	82 , 	8 , 	48 , 	102 , 	7 , 	1 , 	5 , 	3 , 	2 , 	4 , 	7 , 	80 , 	74 , 	189 , 	76 , 	27 , 	28 , 	10 , 	11 , 	23 , 	4 , 	16 , 	27 , 	2 , 	12 , 	8 , 	10 , 	9 , 	5 , 	23 ," 	1,427 ",,,SFIA," 	5,340 ", 	551 ," 	2,414 ", 	761 , 	779 , 	559 ," 	1,050 "," 	11,453 "
UC, 	14 , 	23 , 	12 , 	11 , 	146 , 	18 , 	29 , 	38 , 	63 , 	44 , 	53 , 	132 , 	50 , 	78 , 	83 , 	43 , 	10 , 	99 , 	14 , 	6 , 	7 , 	4 , 	3 , 	8 , 	11 , 	158 , 	121 , 	297 , 	100 , 	32 , 	28 , 	10 , 	19 , 	28 , 	5 , 	22 , 	29 , 	3 , 	11 , 	4 , 	5 , 	17 , 	7 , 	20 ," 	1,910 ",,,Entries," 	62,235 "," 	22,803 "," 	35,669 "," 	26,862 "," 	18,742 "," 	32,095 "," 	12,883 "," 	211,288 "
FM, 	26 , 	46 , 	33 , 	32 , 	443 , 	41 , 	59 , 	82 , 	109 , 	70 , 	113 , 	246 , 	60 , 	142 , 	168 , 	108 , 	114 , 	23 , 	24 , 	23 , 	14 , 	10 , 	5 , 	34 , 	21 , 	349 , 	255 , 	598 , 	197 , 	86 , 	42 , 	24 , 	33 , 	44 , 	9 , 	23 , 	65 , 	5 , 	31 , 	5 , 	8 , 	47 , 	7 , 	27 ," 	3,892 ",,,,,,,,,,,
CN, 	21 , 	28 , 	8 , 	14 , 	96 , 	16 , 	45 , 	46 , 	69 , 	10 , 	34 , 	91 , 	17 , 	17 , 	17 , 	9 , 	9 , 	24 , 	12 , 	75 , 	185 , 	97 , 	29 , 	58 , 	10 , 	265 , 	162 , 	343 , 	141 , 	52 , 	54 , 	23 , 	25 , 	29 , 	11 , 	4 , 	9 , 	24 , 	232 , 	8 , 	10 , 	60 , 	19 , 	3 ," 	2,506 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	11 , 	13 , 	6 , 	13 , 	124 , 	9 , 	42 , 	47 , 	60 , 	13 , 	19 , 	90 , 	12 , 	8 , 	6 , 	4 , 	6 , 	16 , 	64 , 	13 , 	91 , 	92 , 	20 , 	78 , 	6 , 	357 , 	209 , 	357 , 	165 , 	58 , 	44 , 	18 , 	18 , 	27 , 	11 , 	3 , 	3 , 	15 , 	67 , 	9 , 	8 , 	101 , 	16 , 	2 ," 	2,347 ",,,Dtwn SF," 	2,463 ",,,,,,,
WC, 	19 , 	23 , 	16 , 	21 , 	178 , 	23 , 	58 , 	66 , 	73 , 	20 , 	33 , 	103 , 	11 , 	13 , 	12 , 	4 , 	8 , 	16 , 	241 , 	97 , 	17 , 	138 , 	34 , 	126 , 	11 , 	464 , 	276 , 	448 , 	252 , 	77 , 	55 , 	21 , 	13 , 	33 , 	11 , 	5 , 	5 , 	25 , 	133 , 	10 , 	10 , 	115 , 	22 , 	3 ," 	3,330 ",,,OAK," 	19,572 "," 	1,210 ",,,,,,
