Muni Fast Pass Adult/Clipper OD,,,,,,Sep 14,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,34,21,68,99,373,716,611,928,"2,850"
MT,26,38,50,96,479,984,894,"1,785","4,353"
PL,123,70,43,59,352,603,477,"1,315","3,041"
CC,84,90,64,21,193,384,362,818,"2,015"
16,313,385,432,209,11,103,138,382,"1,974"
24,565,706,723,381,108,22,101,370,"2,976"
GP,532,668,607,336,142,119,16,95,"2,515"
BP,809,"1,093","1,784",747,375,383,93,47,"5,331"
Entries,"2,487","3,071","3,770","1,948","2,033","3,313","2,691","5,740","25,054"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,18,5,36,22,132,173,113,298,797
MT,8,13,14,14,123,229,198,758,"1,355"
PL,40,17,37,32,304,456,369,"1,014","2,268"
CC,20,12,22,19,120,185,124,251,751
16,116,85,336,121,16,85,101,216,"1,075"
24,144,135,526,203,84,23,85,231,"1,429"
GP,104,118,439,104,91,93,17,38,"1,004"
BP,249,322,"1,287",225,200,207,39,26,"2,554"
Entries,699,704,"2,695",741,"1,069","1,450","1,044","2,832","11,233"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,19,3,20,16,80,105,78,187,507
MT,3,9,9,12,91,130,120,448,821
PL,23,9,35,23,226,307,239,679,"1,541"
CC,14,6,21,21,109,153,115,263,701
16,87,49,253,107,16,55,75,161,802
24,104,84,370,165,60,25,53,153,"1,013"
GP,72,71,337,110,68,56,16,21,750
BP,194,201,"1,032",221,156,145,27,33,"2,009"
Entries,515,433,"2,075",673,806,975,723,"1,944","8,142"
