Exit stations,Entry stations->,,SUNDAY,,,Sep 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
CL, 	99 , 	277 , 	126 , 	125 , 	149 , 	114 , 	174 , 	130 , 	231 , 	189 , 	329 , 	18 , 	403 , 	413 , 	245 , 	147 , 	202 , 	484 , 	127 , 	127 , 	141 , 	80 , 	70 , 	86 , 	111 , 	325 , 	194 , 	568 , 	282 , 	103 , 	99 , 	59 , 	66 , 	97 , 	13 , 	160 , 	750 , 	57 , 	155 , 	20 , 	29 , 	72 , 	45 , 	248 ," 	7,934 ",,,CM line," 	12,151 "," 	2,279 "," 	4,392 "," 	1,689 "," 	1,141 "," 	1,856 "," 	2,494 "," 	26,002 "
SL, 	20 , 	31 , 	13 , 	17 , 	63 , 	21 , 	38 , 	43 , 	61 , 	114 , 	114 , 	404 , 	9 , 	80 , 	77 , 	29 , 	32 , 	49 , 	11 , 	7 , 	13 , 	5 , 	3 , 	13 , 	24 , 	169 , 	119 , 	329 , 	163 , 	54 , 	41 , 	15 , 	25 , 	23 , 	9 , 	30 , 	25 , 	1 , 	23 , 	4 , 	5 , 	29 , 	10 , 	28 ," 	2,388 ",,,RM line," 	5,843 "," 	2,293 "," 	1,769 "," 	3,167 ", 	681 ," 	2,566 ", 	832 ," 	17,151 "
BF, 	19 , 	30 , 	16 , 	12 , 	58 , 	27 , 	50 , 	54 , 	73 , 	98 , 	157 , 	411 , 	73 , 	9 , 	103 , 	53 , 	56 , 	116 , 	12 , 	7 , 	7 , 	3 , 	3 , 	10 , 	23 , 	153 , 	136 , 	309 , 	143 , 	44 , 	37 , 	16 , 	26 , 	26 , 	8 , 	47 , 	87 , 	3 , 	20 , 	5 , 	9 , 	21 , 	10 , 	76 ," 	2,651 ",,,WP line," 	5,932 "," 	1,037 "," 	1,166 ", 	724 ," 	2,624 "," 	1,566 "," 	1,075 "," 	14,122 "
HY, 	21 , 	29 , 	12 , 	11 , 	47 , 	19 , 	35 , 	40 , 	50 , 	46 , 	100 , 	240 , 	66 , 	105 , 	10 , 	53 , 	64 , 	110 , 	11 , 	5 , 	13 , 	3 , 	2 , 	10 , 	19 , 	89 , 	57 , 	165 , 	79 , 	32 , 	26 , 	10 , 	13 , 	15 , 	5 , 	18 , 	29 , 	3 , 	17 , 	2 , 	4 , 	17 , 	6 , 	28 ," 	1,730 ",,,FT/ED line," 	8,349 "," 	2,797 "," 	1,900 "," 	2,450 "," 	1,480 "," 	10,568 ", 	665 ," 	28,209 "
SH, 	10 , 	11 , 	4 , 	6 , 	30 , 	14 , 	20 , 	18 , 	29 , 	31 , 	54 , 	142 , 	34 , 	53 , 	45 , 	11 , 	31 , 	70 , 	4 , 	4 , 	4 , 	3 , 	1 , 	3 , 	7 , 	72 , 	52 , 	113 , 	58 , 	27 , 	18 , 	9 , 	17 , 	12 , 	6 , 	10 , 	17 , 	3 , 	14 , 	2 , 	6 , 	8 , 	7 , 	19 ," 	1,106 ",,,SFIA," 	4,781 ", 	478 ," 	1,907 ", 	591 , 	744 , 	521 ," 	1,111 "," 	10,131 "
UC, 	9 , 	13 , 	8 , 	10 , 	51 , 	14 , 	18 , 	27 , 	39 , 	46 , 	37 , 	210 , 	35 , 	57 , 	69 , 	34 , 	9 , 	82 , 	8 , 	8 , 	3 , 	5 , 	3 , 	5 , 	6 , 	128 , 	72 , 	184 , 	83 , 	28 , 	18 , 	12 , 	12 , 	19 , 	4 , 	12 , 	22 , 	2 , 	12 , 	4 , 	3 , 	21 , 	5 , 	11 ," 	1,452 ",,,Entries," 	46,070 "," 	17,289 "," 	25,264 "," 	16,709 "," 	13,313 "," 	28,137 "," 	12,073 "," 	158,855 "
FM, 	23 , 	52 , 	26 , 	27 , 	166 , 	31 , 	40 , 	55 , 	71 , 	90 , 	87 , 	497 , 	60 , 	115 , 	106 , 	76 , 	93 , 	29 , 	23 , 	15 , 	16 , 	11 , 	10 , 	20 , 	12 , 	241 , 	141 , 	404 , 	195 , 	60 , 	31 , 	20 , 	28 , 	31 , 	8 , 	18 , 	61 , 	6 , 	30 , 	3 , 	6 , 	54 , 	7 , 	26 ," 	3,113 ",,,,,,,,,,,
CN, 	11 , 	20 , 	9 , 	6 , 	41 , 	14 , 	35 , 	34 , 	43 , 	10 , 	31 , 	132 , 	13 , 	15 , 	8 , 	8 , 	7 , 	26 , 	13 , 	46 , 	141 , 	70 , 	23 , 	34 , 	10 , 	180 , 	98 , 	224 , 	131 , 	42 , 	32 , 	16 , 	23 , 	25 , 	12 , 	4 , 	6 , 	18 , 	145 , 	8 , 	17 , 	87 , 	11 , 	8 ," 	1,881 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	9 , 	9 , 	7 , 	11 , 	40 , 	10 , 	27 , 	29 , 	33 , 	11 , 	12 , 	138 , 	8 , 	6 , 	6 , 	5 , 	7 , 	20 , 	45 , 	15 , 	68 , 	57 , 	18 , 	48 , 	5 , 	247 , 	146 , 	244 , 	149 , 	40 , 	29 , 	15 , 	13 , 	25 , 	11 , 	3 , 	4 , 	6 , 	49 , 	9 , 	9 , 	167 , 	15 , 	2 ," 	1,822 ",,,Dtwn SF," 	1,626 ",,,,,,,
WC, 	12 , 	22 , 	12 , 	20 , 	54 , 	15 , 	39 , 	41 , 	45 , 	19 , 	16 , 	156 , 	8 , 	9 , 	11 , 	2 , 	6 , 	15 , 	165 , 	78 , 	12 , 	61 , 	21 , 	70 , 	12 , 	335 , 	170 , 	307 , 	237 , 	56 , 	29 , 	21 , 	19 , 	21 , 	7 , 	3 , 	6 , 	15 , 	93 , 	9 , 	7 , 	170 , 	22 , 	3 ," 	2,445 ",,,OAK," 	14,893 ", 	903 ,,,,,,
