Fast Pass Adjusted OD,,,,,,Apr 01,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,73,57,174,171,645,"1,127",838,"1,218","4,302"
MT,48,70,103,152,808,"1,496","1,149","1,978","5,804"
PL,278,171,113,143,981,"1,320",783,"1,918","5,707"
CC,167,184,146,91,522,859,583,"1,365","3,917"
16,555,737,"1,022",505,51,278,236,597,"3,982"
24,936,"1,252","1,350",754,271,61,182,535,"5,342"
GP,805,"1,004",921,496,213,185,37,126,"3,786"
BP,"1,075","1,529","2,436","1,157",543,580,132,52,"7,504"
Entries,"3,938","5,004","6,265","3,469","4,034","5,906","3,940","7,788","40,344"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,25,8,53,30,217,280,123,205,940
MT,8,28,29,27,252,354,267,690,"1,655"
PL,55,41,89,63,823,"1,064",600,"1,195","3,931"
CC,29,29,68,66,353,527,201,476,"1,749"
16,169,228,788,363,58,216,141,294,"2,257"
24,221,300,"1,039",449,219,68,127,321,"2,743"
GP,111,172,649,174,108,111,23,61,"1,409"
BP,171,320,"1,692",395,255,314,59,37,"3,242"
Entries,790,"1,125","4,407","1,566","2,285","2,934","1,540","3,278","17,925"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,20,6,32,23,138,152,69,112,552
MT,4,23,21,26,150,199,163,442,"1,028"
PL,36,22,103,49,510,655,323,707,"2,405"
CC,25,16,48,70,261,360,125,333,"1,236"
16,120,141,534,242,57,132,71,153,"1,450"
24,161,168,683,306,130,61,67,189,"1,765"
GP,73,88,467,114,68,62,17,27,917
BP,132,178,"1,211",315,163,221,32,31,"2,283"
Entries,572,642,"3,099","1,146","1,477","1,841",867,"1,993","11,638"
