Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Apr 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
SL, 	45 , 	71 , 	23 , 	21 , 	148 , 	52 , 	100 , 	184 , 	340 , 	187 , 	289 , 	172 , 	6 , 	101 , 	191 , 	84 , 	87 , 	135 , 	39 , 	24 , 	28 , 	6 , 	8 , 	20 , 	37 , 	661 , 	720 , 	418 , 	344 , 	63 , 	65 , 	31 , 	47 , 	78 , 	28 , 	36 , 	101 , 	7 , 	31 ," 	5,028 ",,,WP line," 	20,873 "," 	3,939 "," 	2,189 "," 	1,546 "," 	6,540 "," 	1,714 "," 	36,802 ",
BF, 	33 , 	40 , 	13 , 	16 , 	134 , 	39 , 	84 , 	183 , 	358 , 	173 , 	259 , 	212 , 	99 , 	10 , 	160 , 	127 , 	165 , 	284 , 	27 , 	16 , 	17 , 	8 , 	3 , 	11 , 	39 , 	638 , 	698 , 	399 , 	292 , 	62 , 	65 , 	31 , 	27 , 	60 , 	25 , 	40 , 	244 , 	5 , 	15 ," 	5,110 ",,,FT/ED line," 	21,670 "," 	6,936 "," 	2,988 "," 	4,337 "," 	1,558 "," 	14,717 "," 	52,205 ",
HY, 	128 , 	101 , 	28 , 	24 , 	155 , 	46 , 	96 , 	181 , 	244 , 	112 , 	336 , 	257 , 	213 , 	177 , 	12 , 	161 , 	278 , 	457 , 	32 , 	26 , 	19 , 	7 , 	6 , 	16 , 	31 , 	497 , 	452 , 	326 , 	238 , 	55 , 	55 , 	30 , 	32 , 	36 , 	21 , 	24 , 	104 , 	8 , 	31 ," 	5,053 ",,,Entries," 	115,055 "," 	36,674 "," 	58,813 "," 	34,924 "," 	35,905 "," 	52,423 "," 	333,794 ",
SH, 	27 , 	27 , 	11 , 	8 , 	91 , 	21 , 	36 , 	144 , 	207 , 	91 , 	121 , 	124 , 	82 , 	120 , 	141 , 	7 , 	110 , 	225 , 	12 , 	13 , 	14 , 	3 , 	5 , 	5 , 	22 , 	358 , 	366 , 	264 , 	197 , 	40 , 	42 , 	14 , 	17 , 	32 , 	12 , 	19 , 	55 , 	4 , 	19 ," 	3,106 ",,,,,,,,,,,
UC, 	23 , 	41 , 	16 , 	17 , 	139 , 	31 , 	63 , 	160 , 	239 , 	105 , 	160 , 	141 , 	97 , 	173 , 	295 , 	125 , 	13 , 	282 , 	22 , 	22 , 	22 , 	6 , 	3 , 	12 , 	24 , 	563 , 	554 , 	311 , 	218 , 	39 , 	41 , 	21 , 	18 , 	43 , 	17 , 	20 , 	56 , 	4 , 	19 ," 	4,157 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,,
FM, 	39 , 	93 , 	40 , 	40 , 	265 , 	47 , 	110 , 	268 , 	303 , 	155 , 	164 , 	238 , 	141 , 	293 , 	445 , 	244 , 	279 , 	31 , 	32 , 	37 , 	30 , 	11 , 	12 , 	26 , 	21 , 	819 , 	862 , 	498 , 	311 , 	59 , 	47 , 	34 , 	33 , 	59 , 	24 , 	34 , 	102 , 	8 , 	48 ," 	6,300 ",,,Dtwn SF," 	6,976 ",,,,,,,
CN, 	64 , 	38 , 	30 , 	14 , 	123 , 	22 , 	152 , 	188 , 	315 , 	21 , 	73 , 	71 , 	46 , 	20 , 	40 , 	9 , 	28 , 	22 , 	51 , 	376 , 	402 , 	158 , 	55 , 	114 , 	13 ," 	1,096 ", 	822 , 	540 , 	341 , 	99 , 	70 , 	58 , 	36 , 	78 , 	51 , 	13 , 	18 , 	58 , 	344 ," 	6,069 ",,,OAK," 	30,477 "," 	1,658 ",,,,,,
PH, 	18 , 	31 , 	18 , 	19 , 	153 , 	27 , 	92 , 	279 , 	401 , 	22 , 	31 , 	79 , 	23 , 	14 , 	21 , 	16 , 	22 , 	35 , 	217 , 	13 , 	160 , 	60 , 	45 , 	121 , 	12 ," 	1,632 "," 	1,563 ", 	575 , 	485 , 	62 , 	64 , 	48 , 	32 , 	91 , 	63 , 	3 , 	6 , 	46 , 	180 ," 	6,779 ",,,CM line," 	74,082 "," 	6,455 "," 	9,247 ",,,,,
WC, 	35 , 	49 , 	24 , 	21 , 	116 , 	27 , 	96 , 	201 , 	295 , 	19 , 	40 , 	75 , 	25 , 	18 , 	21 , 	16 , 	24 , 	29 , 	660 , 	180 , 	14 , 	82 , 	53 , 	139 , 	20 ," 	1,190 "," 	1,185 ", 	505 , 	387 , 	53 , 	60 , 	47 , 	32 , 	75 , 	66 , 	6 , 	8 , 	84 , 	264 ," 	6,241 ",,,RM line," 	28,316 "," 	11,222 "," 	5,537 "," 	7,019 ",,,,
LF, 	16 , 	16 , 	8 , 	5 , 	63 , 	7 , 	31 , 	102 , 	163 , 	9 , 	31 , 	32 , 	6 , 	7 , 	7 , 	3 , 	7 , 	11 , 	156 , 	76 , 	96 , 	9 , 	19 , 	60 , 	4 , 	818 , 	756 , 	268 , 	196 , 	22 , 	26 , 	18 , 	8 , 	27 , 	24 , 	2 , 	2 , 	11 , 	38 ," 	3,162 ",,,WP line," 	41,256 "," 	7,938 "," 	4,349 "," 	2,812 "," 	6,540 ",,,
