Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Apr 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
SL, 	22 , 	36 , 	11 , 	11 , 	101 , 	27 , 	35 , 	37 , 	126 , 	96 , 	138 , 	144 , 	7 , 	100 , 	99 , 	32 , 	33 , 	53 , 	10 , 	9 , 	9 , 	3 , 	3 , 	11 , 	19 , 	154 , 	107 , 	312 , 	116 , 	30 , 	43 , 	15 , 	18 , 	18 , 	17 , 	18 , 	38 , 	3 , 	13 ," 	2,077 ",,,WP line," 	5,650 ", 	882 ," 	1,095 ", 	813 ," 	3,309 ", 	989 ," 	12,739 "
BF, 	31 , 	36 , 	12 , 	13 , 	112 , 	31 , 	47 , 	49 , 	132 , 	93 , 	235 , 	228 , 	103 , 	6 , 	128 , 	91 , 	82 , 	113 , 	17 , 	7 , 	8 , 	6 , 	1 , 	7 , 	40 , 	134 , 	118 , 	275 , 	108 , 	27 , 	40 , 	13 , 	25 , 	20 , 	13 , 	33 , 	100 , 	4 , 	11 ," 	2,550 ",,,FT/ED line," 	8,384 "," 	2,637 "," 	1,779 "," 	2,948 ", 	901 ," 	8,757 "," 	25,407 "
HY, 	26 , 	31 , 	9 , 	13 , 	92 , 	21 , 	35 , 	37 , 	100 , 	43 , 	180 , 	162 , 	102 , 	127 , 	8 , 	94 , 	118 , 	173 , 	13 , 	9 , 	8 , 	3 , 	0 , 	7 , 	14 , 	86 , 	68 , 	164 , 	76 , 	21 , 	39 , 	7 , 	16 , 	16 , 	11 , 	17 , 	49 , 	2 , 	10 ," 	2,009 ",,,Entries," 	44,570 "," 	14,098 "," 	28,471 "," 	18,731 "," 	12,718 "," 	25,366 "," 	143,954 "
SH, 	14 , 	20 , 	3 , 	4 , 	40 , 	9 , 	14 , 	24 , 	31 , 	21 , 	68 , 	90 , 	32 , 	91 , 	87 , 	5 , 	64 , 	104 , 	8 , 	2 , 	5 , 	1 , 	2 , 	3 , 	10 , 	68 , 	45 , 	171 , 	54 , 	18 , 	28 , 	7 , 	14 , 	13 , 	10 , 	11 , 	26 , 	3 , 	13 ," 	1,231 ",,,,,,,,,,
UC, 	8 , 	18 , 	9 , 	6 , 	92 , 	17 , 	9 , 	30 , 	75 , 	34 , 	61 , 	93 , 	35 , 	80 , 	117 , 	67 , 	9 , 	115 , 	10 , 	4 , 	7 , 	1 , 	1 , 	4 , 	8 , 	121 , 	85 , 	257 , 	65 , 	17 , 	28 , 	10 , 	14 , 	13 , 	7 , 	5 , 	16 , 	1 , 	8 ," 	1,556 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,
FM, 	29 , 	53 , 	25 , 	24 , 	276 , 	33 , 	40 , 	49 , 	116 , 	63 , 	93 , 	211 , 	60 , 	124 , 	176 , 	111 , 	117 , 	28 , 	25 , 	17 , 	16 , 	7 , 	3 , 	17 , 	15 , 	228 , 	186 , 	502 , 	151 , 	31 , 	30 , 	13 , 	22 , 	39 , 	15 , 	11 , 	39 , 	5 , 	28 ," 	3,030 ",,,Dtwn SF," 	2,701 ",,,,,,
CN, 	21 , 	23 , 	9 , 	11 , 	49 , 	8 , 	47 , 	30 , 	77 , 	11 , 	45 , 	64 , 	16 , 	9 , 	14 , 	6 , 	10 , 	17 , 	16 , 	126 , 	329 , 	92 , 	40 , 	42 , 	6 , 	169 , 	117 , 	256 , 	113 , 	45 , 	58 , 	27 , 	24 , 	35 , 	46 , 	5 , 	10 , 	28 , 	230 ," 	2,277 ",,,OAK," 	11,772 ", 	773 ,,,,,
PH, 	6 , 	9 , 	5 , 	7 , 	69 , 	11 , 	20 , 	21 , 	51 , 	6 , 	13 , 	62 , 	7 , 	5 , 	7 , 	2 , 	2 , 	12 , 	94 , 	8 , 	87 , 	29 , 	14 , 	44 , 	3 , 	210 , 	176 , 	316 , 	127 , 	21 , 	28 , 	15 , 	7 , 	26 , 	25 , 	3 , 	3 , 	9 , 	53 ," 	1,611 ",,,CM line," 	32,481 "," 	2,722 "," 	5,847 ",,,,
WC, 	17 , 	17 , 	9 , 	12 , 	76 , 	14 , 	36 , 	33 , 	73 , 	6 , 	25 , 	50 , 	10 , 	8 , 	10 , 	4 , 	7 , 	11 , 	464 , 	110 , 	9 , 	53 , 	24 , 	64 , 	5 , 	250 , 	167 , 	378 , 	157 , 	27 , 	33 , 	18 , 	10 , 	24 , 	36 , 	5 , 	9 , 	31 , 	92 ," 	2,382 ",,,RM line," 	12,912 "," 	4,605 "," 	3,425 "," 	4,444 ",,,
LF, 	5 , 	10 , 	4 , 	4 , 	44 , 	5 , 	15 , 	12 , 	35 , 	4 , 	19 , 	32 , 	3 , 	2 , 	3 , 	1 , 	3 , 	9 , 	100 , 	37 , 	53 , 	5 , 	12 , 	37 , 	4 , 	187 , 	97 , 	190 , 	90 , 	12 , 	15 , 	7 , 	5 , 	9 , 	11 , 	3 , 	1 , 	5 , 	16 ," 	1,107 ",,,WP line," 	11,528 "," 	1,749 "," 	2,179 "," 	1,492 "," 	3,309 ",,
