Exit stations,Entry stations->,,SATURDAY,,,Jun 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	22 , 	48 , 	58 , 	32 , 	200 , 	61 , 	59 , 	48 , 	48 , 	16 , 	52 , 	52 , 	22 , 	16 , 	18 , 	10 , 	8 , 	12 , 	14 , 	5 , 	8 , 	3 , 	4 , 	15 , 	17 , 	167 , 	108 , 	296 , 	145 , 	108 , 	112 , 	24 , 	37 , 	22 , 	6 , 	3 , 	8 , 	2 , 	11 , 	5 , 	8 , 	45 , 	15 , 	5 , 	7 , 	12 , 	-   , 	-   , 	4 , 	6 ," 	2,007 ",,,,,,,,,,
EN, 	49 , 	15 , 	50 , 	41 , 	314 , 	63 , 	88 , 	84 , 	106 , 	27 , 	66 , 	95 , 	29 , 	24 , 	23 , 	11 , 	15 , 	17 , 	16 , 	10 , 	12 , 	5 , 	6 , 	17 , 	37 , 	276 , 	201 , 	543 , 	271 , 	127 , 	113 , 	33 , 	45 , 	42 , 	24 , 	7 , 	12 , 	2 , 	12 , 	10 , 	14 , 	93 , 	21 , 	5 , 	30 , 	30 , 	-   , 	-   , 	5 , 	8 ," 	3,145 ",,,,,,,,,,
EP, 	69 , 	44 , 	11 , 	37 , 	320 , 	44 , 	58 , 	72 , 	82 , 	25 , 	38 , 	47 , 	17 , 	14 , 	10 , 	5 , 	9 , 	17 , 	7 , 	11 , 	12 , 	9 , 	6 , 	16 , 	13 , 	185 , 	129 , 	318 , 	182 , 	88 , 	52 , 	17 , 	14 , 	15 , 	5 , 	4 , 	5 , 	0 , 	6 , 	3 , 	4 , 	55 , 	11 , 	4 , 	21 , 	19 , 	-   , 	-   , 	1 , 	3 ," 	2,136 ",,,,,,,,,,
NB, 	36 , 	37 , 	41 , 	15 , 	105 , 	30 , 	48 , 	71 , 	62 , 	21 , 	40 , 	48 , 	18 , 	12 , 	12 , 	9 , 	11 , 	16 , 	6 , 	9 , 	16 , 	7 , 	6 , 	8 , 	15 , 	212 , 	154 , 	268 , 	249 , 	158 , 	91 , 	27 , 	15 , 	16 , 	4 , 	3 , 	9 , 	2 , 	5 , 	3 , 	5 , 	75 , 	12 , 	2 , 	22 , 	14 , 	-   , 	-   , 	2 , 	2 ," 	2,045 ",,,,,,,,,,
BK, 	215 , 	332 , 	337 , 	116 , 	65 , 	171 , 	176 , 	225 , 	205 , 	80 , 	132 , 	103 , 	74 , 	71 , 	54 , 	35 , 	63 , 	81 , 	35 , 	58 , 	64 , 	39 , 	30 , 	31 , 	64 , 	575 , 	350 , 	716 , 	531 , 	370 , 	222 , 	82 , 	66 , 	78 , 	16 , 	21 , 	70 , 	13 , 	21 , 	17 , 	24 , 	147 , 	90 , 	24 , 	49 , 	137 , 	-   , 	-   , 	8 , 	21 ," 	6,506 ",,,,,,,,,,
AS, 	58 , 	65 , 	42 , 	26 , 	140 , 	15 , 	55 , 	80 , 	77 , 	24 , 	60 , 	68 , 	27 , 	16 , 	14 , 	9 , 	12 , 	13 , 	8 , 	11 , 	10 , 	6 , 	5 , 	7 , 	27 , 	190 , 	144 , 	253 , 	222 , 	191 , 	102 , 	28 , 	17 , 	14 , 	3 , 	2 , 	15 , 	1 , 	6 , 	4 , 	4 , 	54 , 	13 , 	3 , 	15 , 	17 , 	-   , 	-   , 	2 , 	5 ," 	2,177 ",,,,,,,,,,
MA, 	72 , 	89 , 	56 , 	48 , 	172 , 	73 , 	23 , 	74 , 	80 , 	25 , 	78 , 	104 , 	41 , 	32 , 	28 , 	14 , 	18 , 	20 , 	33 , 	33 , 	50 , 	21 , 	16 , 	37 , 	37 , 	343 , 	250 , 	458 , 	395 , 	311 , 	166 , 	40 , 	35 , 	27 , 	7 , 	8 , 	17 , 	7 , 	36 , 	6 , 	12 , 	91 , 	20 , 	9 , 	18 , 	27 , 	-   , 	-   , 	15 , 	26 ," 	3,596 ",,,,,,,,,,
19, 	51 , 	85 , 	75 , 	66 , 	225 , 	88 , 	77 , 	28 , 	13 , 	16 , 	69 , 	121 , 	61 , 	47 , 	42 , 	22 , 	27 , 	26 , 	31 , 	49 , 	60 , 	21 , 	24 , 	60 , 	48 , 	314 , 	276 , 	456 , 	378 , 	301 , 	182 , 	54 , 	39 , 	39 , 	10 , 	12 , 	16 , 	6 , 	20 , 	7 , 	12 , 	66 , 	21 , 	6 , 	12 , 	38 , 	-   , 	-   , 	6 , 	12 ," 	3,719 ",,,,,,,,,,
12, 	54 , 	102 , 	80 , 	58 , 	183 , 	82 , 	74 , 	13 , 	28 , 	9 , 	78 , 	116 , 	67 , 	71 , 	56 , 	27 , 	37 , 	36 , 	35 , 	47 , 	51 , 	24 , 	28 , 	48 , 	59 , 	336 , 	252 , 	542 , 	323 , 	194 , 	152 , 	53 , 	50 , 	48 , 	19 , 	9 , 	19 , 	7 , 	22 , 	17 , 	15 , 	91 , 	45 , 	7 , 	16 , 	34 , 	-   , 	-   , 	7 , 	19 ," 	3,737 ",,,,,,,,,,
LM, 	15 , 	35 , 	26 , 	27 , 	82 , 	29 , 	31 , 	18 , 	10 , 	15 , 	91 , 	169 , 	142 , 	127 , 	55 , 	27 , 	41 , 	49 , 	8 , 	9 , 	11 , 	6 , 	3 , 	13 , 	37 , 	285 , 	256 , 	496 , 	337 , 	239 , 	135 , 	46 , 	45 , 	41 , 	3 , 	55 , 	99 , 	2 , 	6 , 	2 , 	6 , 	22 , 	8 , 	37 , 	19 , 	52 , 	-   , 	-   , 	1 , 	5 ," 	3,275 ",,,,,,,,,,
