Exit stations,Entry stations->,,SUNDAY,,,Jun 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
FV, 	45 , 	40 , 	26 , 	26 , 	96 , 	48 , 	57 , 	59 , 	50 , 	93 , 	20 , 	170 , 	77 , 	110 , 	70 , 	29 , 	25 , 	27 , 	14 , 	9 , 	16 , 	8 , 	6 , 	21 , 	40 , 	217 , 	146 , 	399 , 	313 , 	113 , 	76 , 	23 , 	28 , 	22 , 	5 , 	19 , 	54 , 	4 , 	12 , 	7 , 	9 , 	46 , 	6 , 	34 , 	17 , 	36 , 	-   , 	-   , 	4 , 	7 ," 	2,778 ",,,,,,,,,,,
CL, 	46 , 	114 , 	70 , 	63 , 	69 , 	53 , 	99 , 	82 , 	77 , 	112 , 	149 , 	18 , 	153 , 	158 , 	109 , 	64 , 	91 , 	93 , 	45 , 	51 , 	58 , 	35 , 	32 , 	53 , 	39 , 	157 , 	91 , 	266 , 	181 , 	59 , 	60 , 	29 , 	28 , 	39 , 	7 , 	90 , 	296 , 	21 , 	30 , 	10 , 	10 , 	27 , 	9 , 	117 , 	31 , 	142 , 	-   , 	-   , 	7 , 	32 ," 	3,672 ",,,,,,,,,,,
SL, 	14 , 	28 , 	13 , 	12 , 	43 , 	19 , 	36 , 	43 , 	59 , 	105 , 	77 , 	157 , 	12 , 	65 , 	43 , 	19 , 	23 , 	31 , 	6 , 	5 , 	7 , 	2 , 	2 , 	13 , 	30 , 	165 , 	99 , 	293 , 	205 , 	70 , 	35 , 	13 , 	17 , 	23 , 	2 , 	22 , 	32 , 	3 , 	7 , 	2 , 	5 , 	40 , 	4 , 	24 , 	13 , 	25 , 	-   , 	-   , 	2 , 	6 ," 	1,973 ",,,,,,,,,,,
BF, 	8 , 	15 , 	7 , 	8 , 	38 , 	17 , 	32 , 	34 , 	45 , 	104 , 	108 , 	158 , 	60 , 	12 , 	49 , 	26 , 	34 , 	37 , 	8 , 	3 , 	7 , 	3 , 	2 , 	7 , 	30 , 	157 , 	107 , 	287 , 	193 , 	52 , 	23 , 	14 , 	15 , 	14 , 	4 , 	20 , 	56 , 	1 , 	10 , 	3 , 	9 , 	27 , 	4 , 	38 , 	11 , 	30 , 	-   , 	-   , 	2 , 	5 ," 	1,935 ",,,,,,,,,,,
HY, 	14 , 	16 , 	9 , 	9 , 	35 , 	14 , 	26 , 	28 , 	37 , 	40 , 	77 , 	106 , 	40 , 	40 , 	17 , 	29 , 	37 , 	53 , 	8 , 	4 , 	5 , 	2 , 	2 , 	3 , 	20 , 	82 , 	54 , 	165 , 	125 , 	30 , 	17 , 	8 , 	13 , 	10 , 	3 , 	10 , 	21 , 	2 , 	7 , 	2 , 	3 , 	20 , 	3 , 	13 , 	11 , 	43 , 	-   , 	-   , 	2 , 	6 ," 	1,321 ",,,,,,,,,,,
SH, 	6 , 	8 , 	5 , 	6 , 	10 , 	8 , 	12 , 	17 , 	19 , 	18 , 	33 , 	63 , 	20 , 	30 , 	32 , 	7 , 	17 , 	29 , 	3 , 	3 , 	4 , 	1 , 	1 , 	2 , 	13 , 	62 , 	34 , 	108 , 	102 , 	21 , 	12 , 	6 , 	4 , 	6 , 	1 , 	6 , 	13 , 	0 , 	3 , 	2 , 	4 , 	12 , 	2 , 	11 , 	8 , 	25 , 	-   , 	-   , 	1 , 	3 , 	811 ,,,,,,,,,,,
UC, 	6 , 	10 , 	5 , 	7 , 	37 , 	12 , 	16 , 	11 , 	29 , 	31 , 	27 , 	83 , 	24 , 	38 , 	42 , 	20 , 	19 , 	28 , 	4 , 	6 , 	4 , 	2 , 	3 , 	2 , 	38 , 	122 , 	74 , 	176 , 	152 , 	30 , 	14 , 	8 , 	8 , 	9 , 	4 , 	5 , 	21 , 	1 , 	3 , 	2 , 	2 , 	22 , 	1 , 	11 , 	19 , 	31 , 	-   , 	-   , 	1 , 	5 ," 	1,225 ",,,,,,,,,,,
FM, 	8 , 	17 , 	8 , 	8 , 	54 , 	8 , 	18 , 	20 , 	29 , 	27 , 	30 , 	90 , 	26 , 	39 , 	48 , 	24 , 	30 , 	20 , 	6 , 	4 , 	6 , 	1 , 	1 , 	6 , 	46 , 	173 , 	87 , 	213 , 	183 , 	42 , 	22 , 	7 , 	11 , 	13 , 	3 , 	5 , 	25 , 	1 , 	4 , 	1 , 	2 , 	27 , 	3 , 	7 , 	26 , 	28 , 	-   , 	-   , 	1 , 	2 ," 	1,459 ",,,,,,,,,,,
CN, 	10 , 	12 , 	8 , 	5 , 	20 , 	8 , 	17 , 	19 , 	22 , 	9 , 	12 , 	39 , 	5 , 	10 , 	6 , 	3 , 	4 , 	5 , 	12 , 	28 , 	81 , 	30 , 	12 , 	21 , 	14 , 	130 , 	69 , 	184 , 	189 , 	39 , 	22 , 	13 , 	10 , 	13 , 	6 , 	2 , 	3 , 	15 , 	59 , 	6 , 	8 , 	83 , 	8 , 	1 , 	26 , 	9 , 	-   , 	-   , 	34 , 	32 ," 	1,376 ",,,,,,,,,,,
PH, 	5 , 	7 , 	9 , 	7 , 	35 , 	10 , 	27 , 	25 , 	32 , 	6 , 	8 , 	50 , 	5 , 	4 , 	4 , 	5 , 	4 , 	6 , 	30 , 	13 , 	46 , 	22 , 	12 , 	29 , 	14 , 	267 , 	129 , 	291 , 	231 , 	47 , 	34 , 	19 , 	11 , 	19 , 	6 , 	2 , 	3 , 	7 , 	21 , 	3 , 	9 , 	168 , 	10 , 	1 , 	46 , 	6 , 	-   , 	-   , 	8 , 	16 ," 	1,771 ",,,,,,,,,,,
WC, 	7 , 	8 , 	16 , 	12 , 	34 , 	9 , 	36 , 	32 , 	38 , 	10 , 	16 , 	59 , 	9 , 	4 , 	4 , 	3 , 	3 , 	7 , 	92 , 	57 , 	15 , 	20 , 	13 , 	56 , 	24 , 	326 , 	151 , 	309 , 	304 , 	61 , 	39 , 	19 , 	14 , 	20 , 	6 , 	1 , 	1 , 	11 , 	40 , 	5 , 	8 , 	158 , 	10 , 	1 , 	35 , 	7 , 	-   , 	-   , 	15 , 	25 ," 	2,150 ",,,,,,,,,,,
LF, 	4 , 	3 , 	3 , 	8 , 	23 , 	5 , 	18 , 	16 , 	14 , 	4 , 	6 , 	33 , 	2 , 	1 , 	2 , 	1 , 	2 , 	2 , 	34 , 	19 , 	19 , 	11 , 	5 , 	26 , 	6 , 	197 , 	99 , 	173 , 	171 , 	33 , 	21 , 	16 , 	3 , 	7 , 	2 , 	0 , 	2 , 	4 , 	10 , 	1 , 	4 , 	112 , 	4 , 	0 , 	16 , 	2 , 	-   , 	-   , 	5 , 	3 ," 	1,153 ",,,,,,,,,,,
OR, 	2 , 	4 , 	2 , 	4 , 	12 , 	3 , 	13 , 	15 , 	13 , 	3 , 	4 , 	35 , 	1 , 	3 , 	1 , 	1 , 	3 , 	2 , 	13 , 	13 , 	15 , 	5 , 	7 , 	25 , 	8 , 	163 , 	80 , 	165 , 	152 , 	30 , 	20 , 	11 , 	4 , 	8 , 	3 , 	1 , 	1 , 	2 , 	6 , 	3 , 	2 , 	81 , 	6 , 	1 , 	13 , 	5 , 	-   , 	-   , 	3 , 	4 , 	970 ,,,,,,,,,,,
RR, 	9 , 	11 , 	10 , 	8 , 	23 , 	5 , 	32 , 	37 , 	45 , 	9 , 	20 , 	56 , 	9 , 	5 , 	5 , 	1 , 	4 , 	6 , 	19 , 	39 , 	53 , 	35 , 	27 , 	16 , 	28 , 	317 , 	180 , 	370 , 	387 , 	147 , 	85 , 	34 , 	15 , 	16 , 	3 , 	4 , 	4 , 	4 , 	12 , 	2 , 	6 , 	148 , 	18 , 	1 , 	20 , 	9 , 	-   , 	-   , 	4 , 	15 ," 	2,316 ",,,,,,,,,,,
OW, 	15 , 	25 , 	11 , 	14 , 	50 , 	16 , 	38 , 	30 , 	45 , 	27 , 	34 , 	32 , 	18 , 	22 , 	18 , 	12 , 	34 , 	48 , 	13 , 	15 , 	22 , 	7 , 	5 , 	22 , 	34 , 	539 , 	340 , 	816 , 	644 , 	269 , 	174 , 	56 , 	53 , 	83 , 	15 , 	12 , 	26 , 	6 , 	9 , 	15 , 	18 , 	133 , 	25 , 	15 , 	7 , 	80 , 	-   , 	-   , 	3 , 	12 ," 	3,956 ",,,,,,,,,,,
EM, 	194 , 	330 , 	254 , 	309 , 	722 , 	294 , 	457 , 	436 , 	500 , 	267 , 	346 , 	237 , 	245 , 	221 , 	132 , 	89 , 	194 , 	270 , 	224 , 	391 , 	458 , 	291 , 	222 , 	492 , 	929 , 	207 , 	25 , 	211 , 	254 , 	325 , 	448 , 	311 , 	329 , 	380 , 	117 , 	167 , 	779 , 	96 , 	158 , 	93 , 	149 , 	309 , 	325 , 	214 , 	87 , 	243 , 	-   , 	-   , 	23 , 	112 ," 	13,866 ",,,,,,,,,,,
MT, 	96 , 	178 , 	123 , 	151 , 	296 , 	135 , 	219 , 	214 , 	245 , 	140 , 	183 , 	104 , 	126 , 	134 , 	60 , 	52 , 	99 , 	106 , 	86 , 	152 , 	171 , 	110 , 	87 , 	210 , 	412 , 	23 , 	105 , 	51 , 	92 , 	232 , 	296 , 	220 , 	474 , 	277 , 	95 , 	70 , 	212 , 	28 , 	72 , 	63 , 	81 , 	241 , 	141 , 	68 , 	46 , 	102 , 	-   , 	-   , 	14 , 	48 ," 	6,937 ",,,,,,,,,,,
PL, 	205 , 	340 , 	187 , 	182 , 	475 , 	181 , 	332 , 	297 , 	382 , 	233 , 	352 , 	238 , 	238 , 	244 , 	147 , 	111 , 	139 , 	166 , 	164 , 	229 , 	240 , 	140 , 	130 , 	286 , 	767 , 	164 , 	46 , 	352 , 	174 , 	790 , 	876 , 	544 , 	901 , 	783 , 	238 , 	116 , 	394 , 	72 , 	152 , 	178 , 	214 , 	877 , 	351 , 	99 , 	62 , 	176 , 	-   , 	-   , 	29 , 	99 ," 	14,089 ",,,,,,,,,,,
CC, 	150 , 	295 , 	174 , 	222 , 	368 , 	189 , 	339 , 	303 , 	280 , 	187 , 	310 , 	159 , 	169 , 	159 , 	110 , 	87 , 	119 , 	167 , 	187 , 	215 , 	265 , 	149 , 	140 , 	311 , 	632 , 	207 , 	119 , 	176 , 	196 , 	510 , 	599 , 	334 , 	422 , 	611 , 	176 , 	104 , 	386 , 	88 , 	142 , 	152 , 	243 , 	379 , 	583 , 	97 , 	40 , 	175 , 	-   , 	-   , 	23 , 	98 ," 	11,545 ",,,,,,,,,,,
16, 	68 , 	62 , 	51 , 	79 , 	166 , 	90 , 	166 , 	145 , 	126 , 	79 , 	95 , 	57 , 	38 , 	37 , 	29 , 	15 , 	27 , 	29 , 	32 , 	46 , 	58 , 	30 , 	26 , 	112 , 	249 , 	272 , 	223 , 	839 , 	559 , 	100 , 	98 , 	121 , 	198 , 	156 , 	57 , 	22 , 	56 , 	7 , 	23 , 	44 , 	80 , 	218 , 	108 , 	20 , 	18 , 	30 , 	-   , 	-   , 	4 , 	14 ," 	5,176 ",,,,,,,,,,,
24, 	64 , 	56 , 	30 , 	52 , 	105 , 	57 , 	125 , 	123 , 	108 , 	61 , 	83 , 	60 , 	28 , 	22 , 	16 , 	15 , 	14 , 	21 , 	23 , 	30 , 	33 , 	20 , 	17 , 	73 , 	184 , 	315 , 	239 ," 	1,009 ", 	608 , 	100 , 	87 , 	159 , 	223 , 	172 , 	73 , 	9 , 	33 , 	7 , 	24 , 	51 , 	80 , 	235 , 	87 , 	10 , 	24 , 	16 , 	-   , 	-   , 	7 , 	15 ," 	5,002 ",,,,,,,,,,,
GP, 	18 , 	24 , 	13 , 	23 , 	50 , 	22 , 	34 , 	34 , 	37 , 	17 , 	24 , 	29 , 	11 , 	9 , 	7 , 	3 , 	8 , 	10 , 	13 , 	16 , 	16 , 	16 , 	8 , 	33 , 	58 , 	208 , 	140 , 	611 , 	295 , 	143 , 	141 , 	33 , 	31 , 	32 , 	22 , 	8 , 	20 , 	5 , 	14 , 	10 , 	36 , 	120 , 	45 , 	6 , 	15 , 	8 , 	-   , 	-   , 	2 , 	6 ," 	2,484 ",,,,,,,,,,,
