Exit stations,Entry stations->,,TOTAL,,,Jun 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
FV," 	2,220 "," 	2,482 "," 	1,234 "," 	1,695 "," 	6,359 "," 	2,518 "," 	3,458 "," 	4,534 "," 	4,972 "," 	3,372 ", 	734 ," 	6,577 "," 	5,223 "," 	5,119 "," 	4,253 "," 	1,820 "," 	1,775 "," 	2,187 ", 	890 , 	547 ," 	1,025 ", 	383 , 	540 ," 	1,298 "," 	2,157 "," 	21,920 "," 	21,868 "," 	22,252 "," 	19,915 "," 	8,628 "," 	5,558 "," 	1,723 "," 	2,065 "," 	1,563 ", 	256 ," 	1,304 "," 	3,300 ", 	180 , 	654 , 	409 , 	577 ," 	1,909 ", 	681 ," 	1,736 ", 	410 ," 	1,981 ", 	-   , 	-   , 	294 , 	482 ," 	187,037 ",,,,,,,,,,,,,
CL," 	1,895 "," 	3,802 "," 	1,673 "," 	1,496 "," 	3,979 "," 	2,207 "," 	3,897 "," 	4,846 "," 	6,796 "," 	5,402 "," 	6,444 ", 	945 ," 	4,882 "," 	4,644 "," 	3,958 "," 	2,469 "," 	3,180 "," 	3,393 "," 	1,621 "," 	1,612 "," 	1,682 ", 	946 , 	793 ," 	1,352 "," 	2,290 "," 	15,347 "," 	13,881 "," 	14,088 "," 	11,166 "," 	4,389 "," 	3,656 "," 	1,727 "," 	1,713 "," 	2,238 ", 	376 ," 	2,137 "," 	6,867 ", 	501 ," 	1,144 ", 	712 , 	603 ," 	1,197 ", 	716 ," 	3,185 ", 	989 ," 	4,833 ", 	-   , 	-   , 	551 ," 	1,131 "," 	169,351 ",,,,,,,,,,,,,
SL," 	1,052 "," 	1,457 ", 	754 , 	714 ," 	4,152 "," 	1,180 "," 	2,611 "," 	5,366 "," 	7,945 "," 	6,861 "," 	5,345 "," 	5,120 ", 	510 ," 	2,979 "," 	3,200 "," 	1,573 "," 	1,949 "," 	2,348 ", 	690 , 	590 , 	535 , 	176 , 	181 , 	583 ," 	1,204 "," 	17,588 "," 	18,439 "," 	15,710 "," 	13,216 "," 	4,573 "," 	2,549 "," 	1,146 "," 	1,644 "," 	1,375 ", 	208 ," 	1,019 "," 	2,707 ", 	203 , 	409 , 	304 , 	304 ," 	1,491 ", 	321 ," 	1,492 ", 	280 ," 	1,853 ", 	-   , 	-   , 	208 , 	413 ," 	146,527 ",,,,,,,,,,,,,
BF, 	509 , 	918 , 	400 , 	509 ," 	2,842 ", 	813 ," 	2,033 "," 	4,965 "," 	6,740 "," 	5,585 "," 	4,950 "," 	4,778 "," 	2,847 ", 	568 ," 	2,255 "," 	1,528 "," 	2,005 "," 	2,742 ", 	462 , 	216 , 	319 , 	107 , 	70 , 	307 ," 	1,052 "," 	15,575 "," 	15,274 "," 	14,563 "," 	11,110 "," 	3,883 "," 	2,041 ", 	813 ," 	1,144 ", 	934 , 	307 ," 	1,009 "," 	3,249 ", 	73 , 	212 , 	240 , 	358 , 	950 , 	275 ," 	1,807 ", 	221 ," 	1,908 ", 	-   , 	-   , 	115 , 	175 ," 	125,756 ",,,,,,,,,,,,,
HY, 	673 ," 	1,289 ", 	532 , 	637 ," 	2,615 ", 	896 ," 	2,017 "," 	4,717 "," 	6,102 "," 	2,907 "," 	4,098 "," 	4,012 "," 	3,033 "," 	2,154 ", 	648 ," 	2,284 "," 	3,581 "," 	4,605 ", 	531 , 	287 , 	349 , 	159 , 	119 , 	285 , 	753 ," 	10,831 "," 	11,470 "," 	9,081 "," 	7,323 "," 	2,443 "," 	1,502 ", 	777 , 	723 , 	705 , 	147 , 	439 ," 	1,583 ", 	140 , 	418 , 	153 , 	306 , 	641 , 	170 , 	694 , 	287 ," 	2,866 ", 	-   , 	-   , 	174 , 	400 ," 	102,556 ",,,,,,,,,,,,,
SH, 	466 , 	621 , 	238 , 	254 ," 	1,750 ", 	541 ," 	1,027 "," 	3,033 "," 	3,668 "," 	1,764 "," 	1,817 "," 	2,381 "," 	1,535 "," 	1,530 "," 	1,848 ", 	430 ," 	1,486 "," 	2,165 ", 	255 , 	201 , 	292 , 	57 , 	39 , 	113 , 	428 ," 	9,327 "," 	8,696 "," 	6,403 "," 	6,074 "," 	1,940 "," 	1,108 ", 	421 , 	421 , 	510 , 	103 , 	295 , 	873 , 	29 , 	183 , 	151 , 	220 , 	539 , 	132 , 	533 , 	207 ," 	1,989 ", 	-   , 	-   , 	64 , 	156 ," 	68,313 ",,,,,,,,,,,,,
UC, 	454 , 	829 , 	365 , 	457 ," 	3,582 ", 	838 ," 	1,518 "," 	4,310 "," 	5,039 "," 	2,679 "," 	1,841 "," 	3,086 "," 	1,997 "," 	2,079 "," 	3,714 "," 	1,553 ", 	883 ," 	5,234 ", 	334 , 	303 , 	378 , 	66 , 	96 , 	203 , 	667 ," 	19,760 "," 	16,761 "," 	9,885 "," 	8,946 "," 	2,560 ", 	981 , 	342 , 	481 , 	700 , 	123 , 	296 ," 	1,583 ", 	52 , 	255 , 	103 , 	121 , 	675 , 	101 , 	737 , 	464 ," 	2,276 ", 	-   , 	-   , 	98 , 	251 ," 	110,056 ",,,,,,,,,,,,,
FM, 	619 , 	903 , 	561 , 	590 ," 	3,935 ", 	745 ," 	1,751 "," 	5,317 "," 	5,819 "," 	2,503 "," 	2,282 "," 	3,374 "," 	2,345 "," 	2,861 "," 	4,534 "," 	2,323 "," 	5,793 "," 	1,189 ", 	388 , 	396 , 	272 , 	113 , 	143 , 	295 , 	703 ," 	28,614 "," 	22,758 "," 	10,734 "," 	9,270 "," 	2,842 ", 	981 , 	443 , 	512 , 	666 , 	118 , 	480 ," 	1,333 ", 	87 , 	232 , 	129 , 	157 , 	947 , 	99 , 	568 , 	549 ," 	2,329 ", 	-   , 	-   , 	112 , 	189 ," 	133,903 ",,,,,,,,,,,,,
CN, 	514 , 	680 , 	472 , 	520 ," 	2,286 ", 	597 ," 	3,051 "," 	5,947 "," 	6,867 ", 	691 , 	914 ," 	1,437 ", 	638 , 	514 , 	543 , 	231 , 	353 , 	400 , 	703 ," 	2,241 "," 	5,262 "," 	1,856 ", 	882 ," 	1,948 ", 	566 ," 	19,193 "," 	17,665 "," 	11,887 "," 	11,110 "," 	3,785 "," 	2,034 "," 	1,125 "," 	1,122 "," 	1,168 ", 	512 , 	135 , 	258 ," 	1,109 "," 	3,468 ", 	569 , 	557 ," 	3,858 ", 	690 , 	99 , 	892 , 	453 , 	-   , 	-   ," 	2,223 "," 	2,405 "," 	126,430 ",,,,,,,,,,,,,
PH, 	414 , 	516 , 	490 , 	526 ," 	3,167 ", 	525 ," 	3,843 "," 	7,699 "," 	9,292 ", 	526 , 	445 ," 	1,491 ", 	572 , 	208 , 	355 , 	164 , 	269 , 	409 ," 	2,125 ", 	740 ," 	2,634 "," 	1,118 ", 	774 ," 	2,635 ", 	458 ," 	36,777 "," 	35,305 "," 	16,520 "," 	15,302 "," 	4,365 "," 	2,024 "," 	1,961 "," 	1,062 "," 	1,171 ", 	371 , 	103 , 	169 , 	963 ," 	1,725 ", 	534 , 	701 ," 	5,626 ", 	602 , 	80 ," 	1,326 ", 	446 , 	-   , 	-   , 	684 ," 	1,131 "," 	170,343 ",,,,,,,,,,,,,
