Exit stations,Entry stations->,,WEEKDAY,,,Jun 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	27 , 	100 , 	89 , 	66 , 	379 , 	95 , 	129 , 	161 , 	172 , 	41 , 	82 , 	62 , 	42 , 	22 , 	25 , 	18 , 	19 , 	24 , 	18 , 	15 , 	25 , 	7 , 	10 , 	24 , 	30 , 	440 , 	436 , 	507 , 	371 , 	196 , 	193 , 	50 , 	61 , 	43 , 	17 , 	6 , 	14 , 	5 , 	17 , 	13 , 	22 , 	65 , 	28 , 	6 , 	14 , 	15 , 	-   , 	-   , 	9 , 	13 ," 	4,226 ",,,,,,,,,,,,,
EN, 	110 , 	25 , 	75 , 	83 , 	704 , 	128 , 	239 , 	453 , 	556 , 	85 , 	98 , 	122 , 	61 , 	35 , 	49 , 	23 , 	36 , 	36 , 	30 , 	20 , 	30 , 	7 , 	10 , 	29 , 	36 , 	931 , 	931 , 	879 , 	800 , 	287 , 	205 , 	82 , 	101 , 	71 , 	29 , 	7 , 	27 , 	5 , 	10 , 	27 , 	37 , 	144 , 	66 , 	14 , 	39 , 	46 , 	-   , 	-   , 	9 , 	9 ," 	7,837 ",,,,,,,,,,,,,
EP, 	85 , 	76 , 	14 , 	49 , 	603 , 	82 , 	132 , 	289 , 	326 , 	52 , 	47 , 	49 , 	31 , 	16 , 	21 , 	10 , 	15 , 	23 , 	18 , 	16 , 	25 , 	8 , 	9 , 	26 , 	15 , 	592 , 	636 , 	430 , 	453 , 	142 , 	68 , 	31 , 	32 , 	28 , 	5 , 	9 , 	11 , 	4 , 	9 , 	7 , 	11 , 	78 , 	32 , 	6 , 	31 , 	24 , 	-   , 	-   , 	3 , 	4 ," 	4,680 ",,,,,,,,,,,,,
NB, 	69 , 	79 , 	44 , 	17 , 	167 , 	56 , 	85 , 	242 , 	255 , 	43 , 	65 , 	39 , 	25 , 	19 , 	28 , 	8 , 	18 , 	25 , 	25 , 	19 , 	24 , 	6 , 	10 , 	15 , 	14 , 	673 , 	683 , 	382 , 	498 , 	174 , 	99 , 	33 , 	32 , 	24 , 	7 , 	7 , 	16 , 	5 , 	7 , 	9 , 	9 , 	100 , 	34 , 	6 , 	33 , 	25 , 	-   , 	-   , 	5 , 	4 ," 	4,261 ",,,,,,,,,,,,,
BK, 	410 , 	744 , 	604 , 	178 , 	52 , 	305 , 	345 , 	549 , 	532 , 	188 , 	272 , 	166 , 	175 , 	110 , 	117 , 	84 , 	154 , 	168 , 	102 , 	140 , 	128 , 	70 , 	53 , 	45 , 	70 ," 	1,185 "," 	1,090 ", 	760 , 	739 , 	332 , 	236 , 	139 , 	106 , 	89 , 	33 , 	47 , 	138 , 	30 , 	70 , 	35 , 	40 , 	155 , 	151 , 	58 , 	53 , 	173 , 	-   , 	-   , 	34 , 	47 ," 	11,498 ",,,,,,,,,,,,,
AS, 	104 , 	123 , 	82 , 	67 , 	285 , 	19 , 	89 , 	251 , 	253 , 	56 , 	100 , 	74 , 	46 , 	33 , 	35 , 	19 , 	32 , 	25 , 	25 , 	22 , 	19 , 	9 , 	7 , 	9 , 	25 , 	768 , 	773 , 	454 , 	517 , 	241 , 	118 , 	36 , 	34 , 	23 , 	11 , 	8 , 	23 , 	7 , 	11 , 	10 , 	13 , 	61 , 	34 , 	15 , 	22 , 	34 , 	-   , 	-   , 	6 , 	9 ," 	5,035 ",,,,,,,,,,,,,
MA, 	149 , 	235 , 	118 , 	80 , 	328 , 	91 , 	44 , 	209 , 	215 , 	60 , 	146 , 	136 , 	112 , 	82 , 	85 , 	46 , 	73 , 	79 , 	140 , 	180 , 	149 , 	58 , 	38 , 	58 , 	46 ," 	1,197 "," 	1,268 ", 	816 , 	896 , 	427 , 	210 , 	90 , 	69 , 	59 , 	25 , 	24 , 	69 , 	47 , 	135 , 	24 , 	28 , 	121 , 	61 , 	21 , 	29 , 	66 , 	-   , 	-   , 	47 , 	114 ," 	8,801 ",,,,,,,,,,,,,
19, 	173 , 	471 , 	285 , 	253 , 	513 , 	249 , 	209 , 	46 , 	51 , 	33 , 	173 , 	170 , 	229 , 	211 , 	215 , 	140 , 	201 , 	243 , 	287 , 	359 , 	302 , 	163 , 	115 , 	166 , 	69 ," 	1,514 "," 	1,627 ", 	961 ," 	1,091 ", 	490 , 	318 , 	168 , 	142 , 	133 , 	74 , 	78 , 	225 , 	123 , 	180 , 	65 , 	74 , 	99 , 	141 , 	113 , 	34 , 	220 , 	-   , 	-   , 	58 , 	124 ," 	13,375 ",,,,,,,,,,,,,
12, 	197 , 	580 , 	318 , 	264 , 	463 , 	253 , 	206 , 	46 , 	50 , 	34 , 	208 , 	249 , 	350 , 	312 , 	290 , 	185 , 	246 , 	284 , 	319 , 	460 , 	312 , 	165 , 	123 , 	188 , 	86 ," 	1,381 "," 	1,343 ", 	954 ," 	1,017 ", 	366 , 	317 , 	201 , 	192 , 	208 , 	123 , 	126 , 	278 , 	131 , 	245 , 	98 , 	85 , 	150 , 	151 , 	133 , 	52 , 	200 , 	-   , 	-   , 	64 , 	178 ," 	14,180 ",,,,,,,,,,,,,
LM, 	35 , 	78 , 	44 , 	42 , 	176 , 	56 , 	59 , 	34 , 	36 , 	28 , 	146 , 	248 , 	292 , 	242 , 	136 , 	77 , 	118 , 	114 , 	37 , 	22 , 	27 , 	6 , 	8 , 	27 , 	27 , 	988 ," 	1,049 ", 	710 , 	680 , 	283 , 	154 , 	60 , 	80 , 	60 , 	6 , 	123 , 	212 , 	7 , 	22 , 	13 , 	16 , 	42 , 	16 , 	93 , 	24 , 	109 , 	-   , 	-   , 	8 , 	23 ," 	6,889 ",,,,,,,,,,,,,
