Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Apr 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RM, 	6 , 	99 , 	75 , 	76 , 	271 , 	98 , 	91 , 	51 , 	95 , 	27 , 	109 , 	91 , 	18 , 	26 , 	25 , 	15 , 	10 , 	32 , 	25 , 	8 , 	19 , 	7 , 	6 , 	15 , 	25 , 	71 , 	76 , 	244 , 	113 , 	96 , 	144 , 	16 , 	40 , 	26 , 	26 , 	4 , 	7 , 	8 , 	24 ," 	2,220 ",,,Eastbay," 	38,567 ",,SF CBD," 	85,015 ",59.8%,,
EN, 	100 , 	12 , 	77 , 	52 , 	494 , 	121 , 	117 , 	99 , 	183 , 	44 , 	85 , 	151 , 	33 , 	36 , 	32 , 	15 , 	26 , 	55 , 	24 , 	12 , 	16 , 	6 , 	6 , 	14 , 	25 , 	211 , 	181 , 	521 , 	188 , 	75 , 	120 , 	26 , 	52 , 	54 , 	53 , 	5 , 	15 , 	5 , 	26 ," 	3,364 ",,,Westbay," 	39,488 ",,non-CBD," 	57,263 ",40.2%,,
EP, 	77 , 	60 , 	6 , 	26 , 	405 , 	53 , 	49 , 	41 , 	87 , 	25 , 	39 , 	71 , 	13 , 	13 , 	13 , 	7 , 	10 , 	22 , 	4 , 	5 , 	10 , 	4 , 	5 , 	17 , 	6 , 	109 , 	112 , 	269 , 	144 , 	32 , 	31 , 	9 , 	13 , 	16 , 	12 , 	2 , 	8 , 	2 , 	7 ," 	1,829 ",,,Transbay," 	64,223 ",,,,,,
NB, 	71 , 	68 , 	35 , 	4 , 	156 , 	39 , 	37 , 	52 , 	79 , 	34 , 	53 , 	72 , 	11 , 	13 , 	16 , 	8 , 	4 , 	17 , 	5 , 	6 , 	14 , 	3 , 	6 , 	13 , 	9 , 	140 , 	143 , 	308 , 	299 , 	62 , 	58 , 	13 , 	11 , 	11 , 	9 , 	5 , 	10 , 	2 , 	7 ," 	1,901 ",,,,,,,,,,
BK, 	259 , 	513 , 	404 , 	148 , 	15 , 	308 , 	194 , 	234 , 	352 , 	143 , 	197 , 	210 , 	103 , 	82 , 	78 , 	50 , 	86 , 	222 , 	47 , 	50 , 	79 , 	39 , 	45 , 	31 , 	52 , 	362 , 	326 , 	992 , 	528 , 	153 , 	133 , 	67 , 	61 , 	82 , 	58 , 	31 , 	81 , 	9 , 	62 ," 	6,879 ",,,Extensions," 	16,977 ",,,,,,
AS, 	87 , 	113 , 	53 , 	34 , 	232 , 	6 , 	76 , 	82 , 	134 , 	54 , 	79 , 	88 , 	25 , 	29 , 	25 , 	11 , 	14 , 	29 , 	14 , 	9 , 	12 , 	4 , 	6 , 	14 , 	32 , 	141 , 	125 , 	291 , 	252 , 	90 , 	78 , 	18 , 	17 , 	16 , 	12 , 	7 , 	14 , 	3 , 	10 ," 	2,332 ",,,,,,,,,,
MA, 	74 , 	115 , 	50 , 	29 , 	194 , 	67 , 	9 , 	41 , 	110 , 	28 , 	75 , 	132 , 	37 , 	47 , 	39 , 	15 , 	13 , 	35 , 	44 , 	19 , 	37 , 	15 , 	10 , 	20 , 	45 , 	181 , 	219 , 	482 , 	357 , 	110 , 	90 , 	21 , 	34 , 	27 , 	19 , 	6 , 	16 , 	5 , 	46 ," 	2,909 ",,,,,,,,,,
19, 	50 , 	99 , 	41 , 	46 , 	211 , 	91 , 	43 , 	6 , 	29 , 	16 , 	65 , 	83 , 	56 , 	52 , 	45 , 	26 , 	35 , 	48 , 	33 , 	23 , 	32 , 	22 , 	13 , 	40 , 	22 , 	115 , 	139 , 	306 , 	209 , 	63 , 	66 , 	21 , 	26 , 	22 , 	21 , 	8 , 	24 , 	10 , 	31 ," 	2,289 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits
12, 	89 , 	161 , 	88 , 	70 , 	311 , 	123 , 	92 , 	27 , 	13 , 	30 , 	118 , 	159 , 	107 , 	98 , 	100 , 	42 , 	63 , 	108 , 	66 , 	55 , 	74 , 	31 , 	32 , 	69 , 	52 , 	244 , 	281 , 	695 , 	316 , 	87 , 	92 , 	47 , 	61 , 	72 , 	64 , 	13 , 	44 , 	13 , 	68 ," 	4,274 ",,,Dtwn SF," 	1,695 "," 	5,885 "," 	16,800 "," 	6,612 "," 	5,699 "," 	8,217 "," 	44,908 "
LM, 	31 , 	40 , 	27 , 	31 , 	134 , 	50 , 	25 , 	14 , 	25 , 	7 , 	111 , 	128 , 	105 , 	98 , 	42 , 	25 , 	54 , 	57 , 	10 , 	7 , 	19 , 	9 , 	7 , 	20 , 	19 , 	131 , 	160 , 	408 , 	213 , 	65 , 	68 , 	25 , 	41 , 	23 , 	11 , 	31 , 	55 , 	2 , 	9 ," 	2,332 ",,,OAK," 	5,613 ", 	780 ," 	1,372 "," 	2,387 ", 	928 ," 	2,644 "," 	13,725 "
