Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Apr 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
RM, 	9 , 	164 , 	125 , 	112 , 	477 , 	122 , 	169 , 	168 , 	257 , 	58 , 	135 , 	128 , 	47 , 	40 , 	51 , 	23 , 	16 , 	30 , 	39 , 	25 , 	32 , 	11 , 	13 , 	21 , 	38 , 	241 , 	262 , 	355 , 	265 , 	134 , 	182 , 	29 , 	54 , 	61 , 	33 , 	6 , 	25 , 	7 , 	34 ," 	4,002 ",,,Eastbay," 	78,781 ",,SF CBD," 	201,390 ",64.6%,,,
EN, 	163 , 	15 , 	95 , 	85 , 	940 , 	145 , 	208 , 	413 , 	616 , 	109 , 	116 , 	196 , 	61 , 	39 , 	65 , 	23 , 	44 , 	69 , 	52 , 	29 , 	40 , 	12 , 	12 , 	26 , 	36 , 	835 , 	936 , 	744 , 	623 , 	122 , 	174 , 	63 , 	85 , 	127 , 	61 , 	5 , 	35 , 	7 , 	23 ," 	7,448 ",,,Westbay," 	83,230 ",,non-CBD," 	110,483 ",35.4%,,,
EP, 	115 , 	81 , 	5 , 	39 , 	675 , 	68 , 	76 , 	186 , 	300 , 	76 , 	48 , 	109 , 	22 , 	12 , 	26 , 	9 , 	16 , 	42 , 	27 , 	19 , 	27 , 	6 , 	9 , 	20 , 	10 , 	432 , 	483 , 	313 , 	270 , 	40 , 	44 , 	23 , 	31 , 	63 , 	16 , 	3 , 	20 , 	2 , 	7 ," 	3,771 ",,,Transbay," 	149,862 ",,,,,,,
NB, 	97 , 	88 , 	39 , 	7 , 	214 , 	43 , 	70 , 	162 , 	237 , 	69 , 	62 , 	109 , 	19 , 	14 , 	32 , 	7 , 	11 , 	36 , 	16 , 	17 , 	18 , 	6 , 	15 , 	16 , 	12 , 	502 , 	553 , 	337 , 	355 , 	77 , 	61 , 	25 , 	33 , 	60 , 	14 , 	3 , 	13 , 	2 , 	6 ," 	3,458 ",,,,,,,,,,,
BK, 	440 ," 	1,036 ", 	688 , 	215 , 	18 , 	428 , 	364 , 	488 , 	657 , 	247 , 	315 , 	359 , 	161 , 	130 , 	156 , 	106 , 	152 , 	276 , 	121 , 	151 , 	125 , 	64 , 	55 , 	42 , 	77 , 	685 , 	693 , 	775 , 	724 , 	223 , 	239 , 	121 , 	117 , 	186 , 	108 , 	42 , 	130 , 	37 , 	89 ," 	11,041 ",,,Extensions," 	41,514 ",,,,,,,
AS, 	106 , 	145 , 	64 , 	46 , 	381 , 	6 , 	77 , 	174 , 	240 , 	101 , 	93 , 	165 , 	46 , 	35 , 	46 , 	19 , 	27 , 	46 , 	32 , 	24 , 	23 , 	8 , 	9 , 	15 , 	37 , 	450 , 	502 , 	348 , 	351 , 	93 , 	85 , 	30 , 	38 , 	65 , 	24 , 	9 , 	31 , 	7 , 	18 ," 	4,016 ",,,,,,,,,,,
MA, 	155 , 	207 , 	76 , 	66 , 	353 , 	76 , 	9 , 	132 , 	223 , 	67 , 	130 , 	212 , 	87 , 	80 , 	78 , 	41 , 	48 , 	82 , 	101 , 	77 , 	83 , 	29 , 	33 , 	47 , 	64 , 	639 , 	720 , 	586 , 	556 , 	168 , 	139 , 	58 , 	63 , 	81 , 	37 , 	14 , 	51 , 	26 , 	110 ," 	5,804 ",,,,,,,,,,,
19, 	155 , 	454 , 	183 , 	169 , 	436 , 	172 , 	126 , 	12 , 	85 , 	42 , 	127 , 	177 , 	173 , 	164 , 	175 , 	145 , 	172 , 	271 , 	214 , 	290 , 	206 , 	114 , 	82 , 	109 , 	36 , 	676 , 	678 , 	539 , 	536 , 	133 , 	155 , 	107 , 	107 , 	154 , 	156 , 	48 , 	153 , 	118 , 	203 ," 	8,050 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits,
12, 	241 , 	670 , 	285 , 	237 , 	581 , 	237 , 	211 , 	82 , 	24 , 	75 , 	250 , 	393 , 	346 , 	332 , 	325 , 	206 , 	226 , 	352 , 	302 , 	409 , 	290 , 	175 , 	140 , 	182 , 	78 , 	911 , 	942 , 	958 , 	796 , 	194 , 	242 , 	167 , 	167 , 	239 , 	239 , 	88 , 	261 , 	115 , 	261 ," 	12,228 ",,,Dtwn SF," 	4,523 "," 	13,921 "," 	35,856 "," 	12,074 "," 	18,199 "," 	19,933 "," 	104,507 ",
LM, 	44 , 	105 , 	81 , 	75 , 	218 , 	99 , 	63 , 	43 , 	66 , 	8 , 	158 , 	250 , 	239 , 	176 , 	133 , 	88 , 	128 , 	151 , 	27 , 	23 , 	21 , 	8 , 	13 , 	36 , 	24 , 	480 , 	512 , 	468 , 	367 , 	93 , 	85 , 	37 , 	63 , 	99 , 	20 , 	63 , 	168 , 	16 , 	25 ," 	4,772 ",,,OAK," 	13,636 "," 	1,657 "," 	3,312 "," 	5,599 "," 	3,962 "," 	7,158 "," 	35,324 ",
