Fast Pass Adjusted OD,,,,,,Apr 02,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,60,43,141,154,539,"1,006",811,"1,215","3,969"
MT,45,52,90,148,838,"1,430","1,194","2,397","6,193"
PL,216,128,97,123,803,"1,196",779,"2,038","5,379"
CC,141,147,140,66,475,817,584,"1,492","3,861"
16,442,630,839,496,26,212,196,577,"3,417"
24,830,"1,098","1,287",782,217,41,196,591,"5,041"
GP,755,933,937,505,201,183,33,117,"3,664"
BP,"1,056","1,456","2,748","1,371",573,625,129,41,"7,999"
Entries,"3,545","4,486","6,279","3,643","3,671","5,509","3,921","8,468","39,523"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,24,9,46,36,216,275,119,218,943
MT,10,23,26,30,330,406,342,"1,019","2,185"
PL,46,22,86,61,639,980,530,"1,258","3,623"
CC,33,31,65,65,378,525,216,582,"1,896"
16,146,208,643,344,28,167,114,295,"1,943"
24,202,255,936,465,166,43,110,283,"2,461"
GP,106,153,662,158,90,104,24,59,"1,355"
BP,189,304,"1,830",473,293,319,66,36,"3,510"
Entries,756,"1,005","4,295","1,631","2,140","2,819","1,520","3,750","17,916"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,23,4,29,20,124,172,65,136,571
MT,3,18,17,23,160,205,182,585,"1,194"
PL,28,13,101,49,457,663,353,811,"2,475"
CC,18,22,53,57,248,343,131,363,"1,235"
16,116,111,454,255,37,122,75,165,"1,335"
24,136,156,644,352,105,44,65,189,"1,692"
GP,67,85,455,112,64,59,18,26,884
BP,133,177,"1,261",308,177,199,30,30,"2,315"
Entries,525,585,"3,014","1,175","1,371","1,805",920,"2,305","11,700"
