Muni Fast Pass Adult/Clipper OD,,,,,,Jan 14,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,35,20,68,97,361,698,588,887,"2,754"
MT,26,31,40,83,462,918,833,"1,585","3,978"
PL,117,65,35,56,360,589,432,"1,138","2,792"
CC,85,72,56,21,190,382,344,734,"1,884"
16,308,359,420,217,10,101,128,325,"1,868"
24,547,683,701,363,106,15,98,299,"2,811"
GP,510,615,558,318,140,107,15,72,"2,335"
BP,762,939,"1,596",656,322,311,69,35,"4,690"
Entries,"2,389","2,784","3,475","1,810","1,951","3,121","2,507","5,075","23,112"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,16,7,26,20,131,163,111,257,730
MT,7,11,11,14,134,198,190,683,"1,248"
PL,37,17,40,24,327,461,346,945,"2,196"
CC,18,9,23,19,121,205,114,256,764
16,115,77,322,133,15,93,93,211,"1,057"
24,132,130,506,194,74,13,71,208,"1,327"
GP,95,109,414,106,95,70,12,35,934
BP,209,268,"1,201",225,175,177,33,31,"2,318"
Entries,627,628,"2,544",734,"1,070","1,379",968,"2,624","10,573"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,20,2,16,14,64,101,69,170,454
MT,3,17,7,9,78,112,122,445,793
PL,20,6,54,18,225,307,224,637,"1,490"
CC,11,4,15,25,96,145,85,207,587
16,70,50,237,103,17,52,68,154,749
24,97,70,377,140,53,23,49,134,941
GP,67,71,321,87,72,53,11,22,704
BP,167,190,955,184,148,124,21,23,"1,810"
Entries,454,409,"1,981",578,753,916,648,"1,791","7,529"
