Fast Pass Adjusted OD,,,,,,Jan 08,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,66,57,200,205,638,"1,038",838,"1,255","4,296"
MT,61,52,130,219,873,"1,449","1,202","2,338","6,325"
PL,297,187,88,171,790,"1,134",736,"2,011","5,415"
CC,176,185,195,60,532,732,558,"1,375","3,812"
16,570,679,"1,010",539,27,232,234,591,"3,882"
24,847,"1,089","1,378",716,251,44,155,535,"5,016"
GP,763,910,981,483,224,181,31,138,"3,711"
BP,"1,126","1,337","2,915","1,207",602,579,152,57,"7,975"
Entries,"3,907","4,495","6,897","3,600","3,937","5,390","3,904","8,300","40,432"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,25,12,67,45,231,287,124,291,"1,080"
MT,15,17,31,35,328,372,332,"1,088","2,218"
PL,81,31,71,80,662,"1,001",545,"1,392","3,863"
CC,41,26,85,41,341,419,192,478,"1,620"
16,210,182,812,371,22,174,155,346,"2,272"
24,233,216,"1,070",433,151,45,131,328,"2,606"
GP,121,140,728,180,131,110,25,81,"1,515"
BP,279,316,"2,088",403,322,313,70,34,"3,825"
Entries,"1,003",940,"4,952","1,585","2,188","2,720","1,573","4,037","18,998"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,24,5,42,30,155,150,75,182,662
MT,5,16,25,26,194,216,216,743,"1,441"
PL,42,13,73,63,492,705,414,973,"2,773"
CC,28,14,75,47,288,326,152,361,"1,290"
16,169,99,637,313,33,119,106,235,"1,711"
24,145,133,802,338,129,45,88,237,"1,914"
GP,78,79,591,136,101,82,21,44,"1,131"
BP,201,188,"1,584",311,228,220,44,36,"2,810"
Entries,691,545,"3,828","1,264","1,620","1,862","1,114","2,808","13,732"
