Fast Pass Adjusted OD,,,,,,Mar 08,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,72,55,208,217,665,"1,106",846,"1,355","4,524"
MT,58,55,120,224,900,"1,516","1,220","2,534","6,627"
PL,302,182,86,175,867,"1,233",819,"2,232","5,896"
CC,203,203,203,58,589,795,587,"1,500","4,138"
16,595,710,"1,077",592,28,249,253,702,"4,205"
24,890,"1,139","1,487",795,267,40,168,667,"5,455"
GP,774,934,"1,045",515,247,198,24,160,"3,896"
BP,"1,191","1,413","3,188","1,339",707,714,171,49,"8,772"
Entries,"4,087","4,690","7,416","3,915","4,270","5,850","4,088","9,197","43,513"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,26,13,80,44,249,281,140,317,"1,149"
MT,12,21,34,44,332,379,342,"1,198","2,362"
PL,76,30,77,87,661,985,579,"1,444","3,940"
CC,46,29,100,43,390,442,219,527,"1,796"
16,216,178,844,386,32,175,161,347,"2,339"
24,236,223,"1,082",468,177,41,134,365,"2,726"
GP,126,154,772,208,144,126,21,83,"1,634"
BP,290,338,"2,250",452,361,346,84,39,"4,160"
Entries,"1,029",987,"5,240","1,731","2,345","2,774","1,681","4,319","20,105"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,21,5,35,30,159,168,77,199,694
MT,4,16,21,23,201,223,206,750,"1,444"
PL,46,14,75,49,464,684,377,951,"2,660"
CC,33,14,64,49,299,316,167,417,"1,359"
16,158,106,609,328,37,120,99,273,"1,730"
24,187,132,792,332,126,48,84,238,"1,940"
GP,88,86,540,156,102,82,18,43,"1,116"
BP,197,196,"1,603",365,262,247,52,41,"2,963"
Entries,733,568,"3,740","1,333","1,651","1,889","1,081","2,911","13,906"
