Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Jan 05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
CL, 	57 , 	99 , 	40 , 	39 , 	139 , 	72 , 	99 , 	74 , 	139 , 	83 , 	116 , 	9 , 	83 , 	132 , 	125 , 	57 , 	73 , 	136 , 	39 , 	41 , 	33 , 	30 , 	19 , 	44 , 	61 , 	214 , 	141 , 	449 , 	270 , 	80 , 	106 , 	43 , 	48 , 	64 , 	18 , 	41 , 	193 , 	9 , 	63 , 	15 , 	19 , 	25 , 	21 ," 	3,654 ",,,CM line," 	13,542 "," 	1,247 "," 	4,593 "," 	1,452 ", 	925 ," 	1,504 "," 	1,086 "," 	23,261 "
SL, 	19 , 	24 , 	11 , 	17 , 	80 , 	25 , 	36 , 	44 , 	97 , 	93 , 	149 , 	90 , 	12 , 	96 , 	90 , 	38 , 	41 , 	48 , 	9 , 	6 , 	10 , 	4 , 	5 , 	15 , 	19 , 	111 , 	111 , 	301 , 	90 , 	36 , 	42 , 	17 , 	19 , 	21 , 	8 , 	23 , 	44 , 	1 , 	15 , 	5 , 	4 , 	14 , 	9 ," 	1,942 ",,,RM line," 	5,241 "," 	2,082 "," 	1,475 "," 	3,866 ", 	732 ," 	2,115 ", 	359 ," 	15,511 "
BF, 	24 , 	31 , 	15 , 	16 , 	87 , 	35 , 	61 , 	50 , 	113 , 	94 , 	230 , 	135 , 	98 , 	10 , 	129 , 	99 , 	101 , 	119 , 	12 , 	6 , 	13 , 	3 , 	1 , 	10 , 	31 , 	120 , 	113 , 	270 , 	91 , 	28 , 	41 , 	18 , 	22 , 	14 , 	7 , 	38 , 	119 , 	4 , 	21 , 	2 , 	3 , 	8 , 	4 ," 	2,440 ",,,WP line," 	5,199 ", 	863 , 	943 , 	757 ," 	2,722 ", 	871 , 	418 ," 	11,355 "
HY, 	23 , 	34 , 	11 , 	14 , 	64 , 	24 , 	42 , 	40 , 	79 , 	48 , 	143 , 	118 , 	91 , 	141 , 	7 , 	85 , 	97 , 	144 , 	10 , 	9 , 	8 , 	5 , 	1 , 	7 , 	21 , 	58 , 	44 , 	155 , 	68 , 	24 , 	32 , 	10 , 	11 , 	18 , 	6 , 	18 , 	35 , 	4 , 	22 , 	3 , 	4 , 	8 , 	7 ," 	1,790 ",,,FT/ED line," 	7,111 "," 	2,439 "," 	1,530 "," 	2,151 ", 	869 ," 	7,282 ", 	335 ," 	21,381 "
SH, 	13 , 	14 , 	5 , 	5 , 	42 , 	12 , 	24 , 	20 , 	40 , 	18 , 	57 , 	45 , 	43 , 	93 , 	94 , 	5 , 	46 , 	75 , 	8 , 	3 , 	6 , 	3 , 	1 , 	6 , 	11 , 	45 , 	38 , 	126 , 	34 , 	10 , 	23 , 	7 , 	12 , 	13 , 	6 , 	6 , 	21 , 	2 , 	11 , 	2 , 	2 , 	5 , 	2 ," 	1,050 ",,,SFIA," 	2,124 ", 	181 ," 	1,030 ", 	290 , 	345 , 	288 , 	473 ," 	4,257 "
UC, 	13 , 	24 , 	10 , 	15 , 	63 , 	17 , 	20 , 	19 , 	59 , 	35 , 	55 , 	68 , 	47 , 	96 , 	102 , 	51 , 	11 , 	101 , 	12 , 	4 , 	6 , 	2 , 	1 , 	5 , 	8 , 	81 , 	80 , 	202 , 	66 , 	12 , 	19 , 	10 , 	11 , 	15 , 	5 , 	9 , 	29 , 	1 , 	11 , 	4 , 	1 , 	10 , 	2 ," 	1,409 ",,,Entries," 	39,965 "," 	12,856 "," 	24,981 "," 	16,047 "," 	11,955 "," 	21,786 "," 	5,321 "," 	127,589 "
FM, 	18 , 	39 , 	18 , 	17 , 	156 , 	27 , 	34 , 	45 , 	91 , 	52 , 	77 , 	138 , 	49 , 	123 , 	152 , 	65 , 	112 , 	30 , 	14 , 	12 , 	13 , 	4 , 	5 , 	14 , 	15 , 	177 , 	141 , 	378 , 	135 , 	24 , 	27 , 	12 , 	17 , 	22 , 	5 , 	16 , 	44 , 	2 , 	17 , 	3 , 	1 , 	32 , 	3 ," 	2,374 ",,,,,,,,,,,
CN, 	16 , 	24 , 	14 , 	10 , 	47 , 	12 , 	39 , 	31 , 	65 , 	5 , 	28 , 	35 , 	9 , 	11 , 	11 , 	8 , 	13 , 	17 , 	16 , 	66 , 	245 , 	59 , 	24 , 	34 , 	8 , 	145 , 	108 , 	205 , 	99 , 	39 , 	42 , 	15 , 	23 , 	25 , 	12 , 	4 , 	11 , 	38 , 	193 , 	7 , 	6 , 	30 , 	15 ," 	1,858 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	6 , 	11 , 	13 , 	12 , 	47 , 	13 , 	27 , 	20 , 	47 , 	8 , 	17 , 	43 , 	8 , 	7 , 	8 , 	4 , 	4 , 	12 , 	68 , 	6 , 	68 , 	28 , 	13 , 	43 , 	5 , 	197 , 	138 , 	314 , 	105 , 	18 , 	26 , 	11 , 	13 , 	22 , 	7 , 	1 , 	6 , 	15 , 	45 , 	7 , 	3 , 	43 , 	14 ," 	1,519 ",,,Dtwn SF," 	1,702 ",,,,,,,
WC, 	11 , 	20 , 	13 , 	7 , 	72 , 	14 , 	26 , 	23 , 	63 , 	11 , 	22 , 	38 , 	9 , 	10 , 	11 , 	6 , 	6 , 	12 , 	328 , 	75 , 	9 , 	47 , 	20 , 	61 , 	8 , 	200 , 	158 , 	393 , 	142 , 	25 , 	26 , 	18 , 	16 , 	17 , 	11 , 	3 , 	4 , 	34 , 	89 , 	5 , 	5 , 	43 , 	18 ," 	2,125 ",,,OAK," 	10,335 ", 	755 ,,,,,,
