Fast Pass Adjusted OD,,,,,,Jan 05,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,40,39,118,109,466,814,697,"1,000","3,283"
MT,37,40,78,117,720,"1,211","1,028","2,012","5,242"
PL,160,102,58,101,604,911,607,"1,366","3,908"
CC,109,117,114,55,545,695,475,"1,176","3,286"
16,397,573,733,499,19,198,167,479,"3,065"
24,691,916,"1,071",689,206,30,131,385,"4,120"
GP,633,801,804,423,168,146,17,94,"3,085"
BP,879,"1,223","2,154","1,041",497,404,97,29,"6,323"
Entries,"2,946","3,810","5,131","3,033","3,225","4,409","3,217","6,541","32,311"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,22,11,33,27,170,234,115,205,816
MT,5,19,19,25,277,336,309,942,"1,932"
PL,43,23,61,52,459,730,421,919,"2,706"
CC,32,18,60,47,340,395,177,396,"1,464"
16,138,160,540,315,18,136,95,240,"1,641"
24,178,209,764,397,130,28,92,214,"2,011"
GP,86,128,583,146,93,83,16,46,"1,180"
BP,175,292,"1,561",368,232,210,49,23,"2,909"
Entries,679,858,"3,621","1,377","1,718","2,150","1,273","2,983","14,659"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,14,3,22,14,95,126,56,108,438
MT,3,17,17,20,152,188,182,603,"1,181"
PL,24,9,54,29,315,489,279,598,"1,797"
CC,13,11,33,38,266,254,104,289,"1,009"
16,91,96,360,250,18,84,67,151,"1,118"
24,99,125,531,269,75,26,60,133,"1,319"
GP,55,65,422,94,58,60,13,28,796
BP,113,157,"1,112",237,136,137,27,18,"1,936"
Entries,413,483,"2,551",952,"1,116","1,364",787,"1,928","9,594"
