Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Dec 04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
CL, 	92 , 	207 , 	224 , 	74 , 	131 , 	95 , 	151 , 	73 , 	150 , 	160 , 	280 , 	11 , 	381 , 	411 , 	211 , 	127 , 	200 , 	556 , 	104 , 	131 , 	122 , 	119 , 	90 , 	70 , 	69 , 	296 , 	187 , 	614 , 	289 , 	79 , 	94 , 	57 , 	39 , 	99 , 	13 , 	205 ," 	1,172 ", 	75 , 	153 , 	14 , 	12 , 	43 , 	23 ," 	7,697 ",,,CM line," 	10,746 ", 	874 ," 	3,237 ", 	912 , 	711 ," 	1,439 "," 	1,053 "," 	17,919 "
SL, 	12 , 	17 , 	11 , 	12 , 	38 , 	14 , 	28 , 	24 , 	60 , 	68 , 	104 , 	376 , 	4 , 	86 , 	57 , 	24 , 	29 , 	41 , 	9 , 	5 , 	12 , 	2 , 	3 , 	10 , 	17 , 	70 , 	63 , 	310 , 	76 , 	23 , 	33 , 	13 , 	15 , 	18 , 	7 , 	16 , 	30 , 	2 , 	9 , 	5 , 	4 , 	16 , 	3 ," 	1,771 ",,,RM line," 	3,648 "," 	1,329 ", 	974 ," 	2,357 ", 	444 ," 	1,956 ", 	310 ," 	10,706 "
BF, 	20 , 	25 , 	9 , 	16 , 	45 , 	24 , 	47 , 	37 , 	95 , 	74 , 	225 , 	405 , 	92 , 	8 , 	96 , 	74 , 	69 , 	95 , 	13 , 	6 , 	5 , 	2 , 	3 , 	9 , 	22 , 	51 , 	60 , 	257 , 	73 , 	25 , 	25 , 	10 , 	13 , 	18 , 	4 , 	36 , 	93 , 	5 , 	14 , 	2 , 	2 , 	11 , 	3 ," 	2,215 ",,,WP line," 	4,216 ", 	585 , 	714 , 	445 ," 	2,016 "," 	1,339 ", 	474 ," 	9,315 "
HY, 	15 , 	20 , 	7 , 	7 , 	30 , 	16 , 	35 , 	24 , 	47 , 	39 , 	105 , 	224 , 	64 , 	102 , 	4 , 	59 , 	64 , 	119 , 	9 , 	4 , 	7 , 	2 , 	1 , 	6 , 	11 , 	40 , 	32 , 	126 , 	39 , 	17 , 	15 , 	6 , 	10 , 	10 , 	3 , 	11 , 	31 , 	3 , 	15 , 	5 , 	4 , 	11 , 	1 ," 	1,395 ",,,FT/ED line," 	6,399 "," 	2,039 "," 	1,349 "," 	1,892 "," 	1,306 "," 	11,223 ", 	388 ," 	24,207 "
SH, 	11 , 	9 , 	4 , 	3 , 	15 , 	9 , 	17 , 	16 , 	21 , 	12 , 	42 , 	122 , 	26 , 	80 , 	70 , 	3 , 	28 , 	59 , 	3 , 	2 , 	1 , 	2 , 	-   , 	4 , 	5 , 	30 , 	23 , 	99 , 	19 , 	10 , 	19 , 	6 , 	6 , 	9 , 	4 , 	4 , 	22 , 	1 , 	7 , 	1 , 	0 , 	6 , 	2 , 	827 ,,,SFIA," 	2,113 ", 	198 , 	860 , 	304 , 	373 , 	299 , 	472 ," 	4,146 "
UC, 	10 , 	13 , 	10 , 	5 , 	28 , 	16 , 	13 , 	14 , 	34 , 	21 , 	36 , 	198 , 	26 , 	71 , 	71 , 	28 , 	8 , 	70 , 	8 , 	6 , 	6 , 	3 , 	1 , 	5 , 	5 , 	53 , 	45 , 	202 , 	38 , 	10 , 	11 , 	8 , 	9 , 	15 , 	4 , 	6 , 	23 , 	1 , 	13 , 	2 , 	1 , 	11 , 	2 ," 	1,154 ",,,Entries," 	32,280 "," 	9,508 "," 	18,673 "," 	10,830 "," 	9,730 "," 	25,001 "," 	5,624 "," 	106,022 "
FM, 	17 , 	33 , 	20 , 	14 , 	82 , 	24 , 	26 , 	39 , 	62 , 	41 , 	57 , 	555 , 	44 , 	98 , 	127 , 	55 , 	70 , 	9 , 	14 , 	10 , 	12 , 	5 , 	2 , 	7 , 	8 , 	103 , 	84 , 	394 , 	79 , 	21 , 	20 , 	12 , 	14 , 	14 , 	9 , 	13 , 	27 , 	5 , 	19 , 	4 , 	3 , 	30 , 	3 ," 	2,276 ",,,,,,,,,,,
CN, 	14 , 	16 , 	13 , 	7 , 	26 , 	11 , 	29 , 	19 , 	38 , 	8 , 	28 , 	110 , 	9 , 	11 , 	6 , 	4 , 	8 , 	19 , 	15 , 	53 , 	206 , 	51 , 	18 , 	28 , 	4 , 	89 , 	57 , 	184 , 	59 , 	25 , 	27 , 	15 , 	21 , 	25 , 	7 , 	4 , 	7 , 	16 , 	138 , 	7 , 	5 , 	40 , 	10 ," 	1,485 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	6 , 	7 , 	4 , 	5 , 	23 , 	6 , 	18 , 	13 , 	31 , 	4 , 	10 , 	149 , 	3 , 	6 , 	3 , 	2 , 	4 , 	11 , 	44 , 	4 , 	54 , 	23 , 	7 , 	22 , 	4 , 	117 , 	81 , 	294 , 	88 , 	18 , 	18 , 	9 , 	13 , 	18 , 	8 , 	1 , 	2 , 	5 , 	36 , 	2 , 	3 , 	68 , 	13 ," 	1,253 ",,,Dtwn SF," 	1,383 ",,,,,,,
WC, 	4 , 	8 , 	12 , 	8 , 	43 , 	8 , 	24 , 	19 , 	35 , 	11 , 	16 , 	130 , 	13 , 	3 , 	6 , 	3 , 	5 , 	10 , 	239 , 	46 , 	6 , 	29 , 	25 , 	48 , 	4 , 	133 , 	94 , 	383 , 	123 , 	12 , 	19 , 	15 , 	12 , 	18 , 	4 , 	1 , 	2 , 	23 , 	52 , 	5 , 	2 , 	71 , 	9 ," 	1,729 ",,,OAK," 	7,731 ", 	528 ,,,,,,
