Exit stations,Entry stations->,,SATURDAY,,,May 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	12 , 	35 , 	35 , 	20 , 	142 , 	26 , 	39 , 	27 , 	37 , 	10 , 	31 , 	28 , 	9 , 	10 , 	12 , 	7 , 	3 , 	4 , 	9 , 	9 , 	6 , 	5 , 	2 , 	5 , 	10 , 	94 , 	56 , 	156 , 	62 , 	62 , 	63 , 	14 , 	20 , 	13 , 	4 , 	3 , 	4 , 	1 , 	5 , 	7 , 	8 , 	20 , 	9 , 	2 , 	4 , 	9 , 	6 , 	5 , 	5 , 	4 ," 	1,161 ",,,,,,,,,,
EN, 	39 , 	26 , 	28 , 	25 , 	169 , 	37 , 	46 , 	45 , 	56 , 	16 , 	45 , 	47 , 	16 , 	15 , 	13 , 	7 , 	3 , 	6 , 	12 , 	6 , 	11 , 	3 , 	4 , 	8 , 	14 , 	143 , 	93 , 	234 , 	90 , 	72 , 	68 , 	14 , 	19 , 	16 , 	9 , 	4 , 	7 , 	1 , 	7 , 	7 , 	10 , 	35 , 	11 , 	2 , 	18 , 	9 , 	4 , 	12 , 	5 , 	5 ," 	1,586 ",,,,,,,,,,
EP, 	42 , 	30 , 	12 , 	24 , 	180 , 	33 , 	31 , 	43 , 	37 , 	23 , 	15 , 	31 , 	9 , 	6 , 	4 , 	5 , 	1 , 	5 , 	6 , 	2 , 	8 , 	6 , 	2 , 	12 , 	5 , 	119 , 	66 , 	117 , 	64 , 	46 , 	29 , 	7 , 	6 , 	6 , 	1 , 	2 , 	2 , 	-   , 	2 , 	2 , 	2 , 	24 , 	6 , 	3 , 	11 , 	1 , 	7 , 	7 , 	2 , 	4 ," 	1,103 ",,,,,,,,,,
NB, 	23 , 	23 , 	19 , 	14 , 	54 , 	21 , 	20 , 	36 , 	32 , 	19 , 	26 , 	29 , 	10 , 	3 , 	4 , 	5 , 	2 , 	9 , 	3 , 	2 , 	5 , 	3 , 	1 , 	6 , 	6 , 	120 , 	66 , 	109 , 	73 , 	52 , 	35 , 	14 , 	9 , 	8 , 	1 , 	2 , 	2 , 	1 , 	2 , 	2 , 	2 , 	25 , 	6 , 	1 , 	14 , 	2 , 	4 , 	10 , 	1 , 	3 , 	934 ,,,,,,,,,,
BK, 	151 , 	178 , 	173 , 	53 , 	57 , 	87 , 	93 , 	105 , 	142 , 	42 , 	71 , 	75 , 	44 , 	35 , 	34 , 	31 , 	14 , 	35 , 	21 , 	28 , 	27 , 	19 , 	13 , 	15 , 	22 , 	284 , 	156 , 	324 , 	190 , 	113 , 	77 , 	41 , 	27 , 	29 , 	6 , 	8 , 	27 , 	4 , 	8 , 	9 , 	9 , 	94 , 	48 , 	11 , 	46 , 	22 , 	46 , 	54 , 	3 , 	10 ," 	3,204 ",,,,,,,,,,
AS, 	29 , 	35 , 	28 , 	17 , 	74 , 	17 , 	30 , 	41 , 	45 , 	22 , 	23 , 	26 , 	10 , 	9 , 	7 , 	6 , 	3 , 	3 , 	3 , 	4 , 	5 , 	1 , 	1 , 	3 , 	13 , 	106 , 	47 , 	91 , 	70 , 	61 , 	39 , 	11 , 	9 , 	4 , 	2 , 	1 , 	6 , 	-   , 	2 , 	2 , 	2 , 	23 , 	6 , 	2 , 	8 , 	2 , 	5 , 	11 , 	1 , 	2 , 	963 ,,,,,,,,,,
MA, 	39 , 	47 , 	28 , 	25 , 	91 , 	27 , 	25 , 	50 , 	54 , 	16 , 	51 , 	80 , 	26 , 	17 , 	18 , 	6 , 	6 , 	8 , 	23 , 	24 , 	23 , 	8 , 	15 , 	24 , 	22 , 	190 , 	106 , 	199 , 	143 , 	138 , 	83 , 	21 , 	15 , 	15 , 	5 , 	3 , 	8 , 	4 , 	16 , 	3 , 	7 , 	49 , 	8 , 	2 , 	12 , 	6 , 	6 , 	16 , 	5 , 	14 ," 	1,821 ",,,,,,,,,,
19, 	31 , 	54 , 	34 , 	38 , 	121 , 	40 , 	49 , 	41 , 	6 , 	7 , 	30 , 	68 , 	27 , 	20 , 	26 , 	17 , 	7 , 	13 , 	23 , 	19 , 	36 , 	10 , 	15 , 	39 , 	27 , 	204 , 	140 , 	260 , 	185 , 	151 , 	117 , 	35 , 	18 , 	23 , 	5 , 	3 , 	9 , 	4 , 	12 , 	6 , 	10 , 	38 , 	18 , 	6 , 	12 , 	8 , 	10 , 	14 , 	7 , 	11 ," 	2,099 ",,,,,,,,,,
12, 	33 , 	51 , 	39 , 	30 , 	135 , 	45 , 	57 , 	6 , 	30 , 	6 , 	24 , 	61 , 	33 , 	26 , 	22 , 	14 , 	7 , 	11 , 	23 , 	22 , 	26 , 	14 , 	13 , 	44 , 	25 , 	205 , 	126 , 	281 , 	166 , 	126 , 	80 , 	26 , 	30 , 	28 , 	11 , 	2 , 	5 , 	4 , 	11 , 	8 , 	11 , 	53 , 	17 , 	1 , 	15 , 	6 , 	7 , 	10 , 	5 , 	13 ," 	2,035 ",,,,,,,,,,
LM, 	13 , 	16 , 	26 , 	24 , 	48 , 	23 , 	20 , 	7 , 	5 , 	16 , 	61 , 	139 , 	70 , 	65 , 	34 , 	21 , 	8 , 	14 , 	7 , 	6 , 	8 , 	6 , 	2 , 	14 , 	17 , 	154 , 	98 , 	195 , 	107 , 	98 , 	66 , 	24 , 	23 , 	19 , 	1 , 	26 , 	61 , 	1 , 	5 , 	2 , 	6 , 	8 , 	4 , 	15 , 	20 , 	10 , 	14 , 	21 , 	1 , 	4 ," 	1,645 ",,,,,,,,,,
FV, 	32 , 	42 , 	18 , 	25 , 	72 , 	28 , 	50 , 	34 , 	29 , 	40 , 	25 , 	101 , 	68 , 	91 , 	54 , 	30 , 	13 , 	25 , 	12 , 	6 , 	10 , 	9 , 	7 , 	20 , 	43 , 	163 , 	88 , 	256 , 	140 , 	94 , 	73 , 	13 , 	20 , 	21 , 	6 , 	22 , 	41 , 	2 , 	7 , 	6 , 	5 , 	22 , 	7 , 	27 , 	6 , 	24 , 	16 , 	22 , 	3 , 	9 ," 	1,969 ",,,,,,,,,,
CL, 	29 , 	47 , 	33 , 	31 , 	63 , 	27 , 	70 , 	67 , 	63 , 	95 , 	104 , 	30 , 	102 , 	78 , 	58 , 	70 , 	13 , 	37 , 	27 , 	29 , 	29 , 	15 , 	13 , 	34 , 	38 , 	140 , 	73 , 	193 , 	100 , 	61 , 	57 , 	25 , 	17 , 	25 , 	4 , 	43 , 	149 , 	8 , 	18 , 	8 , 	9 , 	13 , 	9 , 	55 , 	24 , 	31 , 	31 , 	40 , 	6 , 	18 ," 	2,354 ",,,,,,,,,,
SL, 	12 , 	19 , 	8 , 	12 , 	46 , 	9 , 	28 , 	22 , 	38 , 	64 , 	74 , 	104 , 	14 , 	51 , 	36 , 	23 , 	10 , 	20 , 	6 , 	3 , 	7 , 	2 , 	3 , 	7 , 	13 , 	115 , 	80 , 	201 , 	76 , 	46 , 	32 , 	5 , 	16 , 	10 , 	4 , 	19 , 	29 , 	1 , 	4 , 	2 , 	3 , 	16 , 	2 , 	20 , 	2 , 	12 , 	9 , 	17 , 	2 , 	4 ," 	1,352 ",,,,,,,,,,
BF, 	10 , 	12 , 	6 , 	5 , 	33 , 	11 , 	20 , 	24 , 	37 , 	60 , 	83 , 	82 , 	54 , 	12 , 	45 , 	28 , 	14 , 	21 , 	6 , 	4 , 	7 , 	0 , 	1 , 	4 , 	18 , 	108 , 	76 , 	182 , 	59 , 	34 , 	26 , 	10 , 	14 , 	10 , 	4 , 	16 , 	39 , 	1 , 	6 , 	1 , 	4 , 	11 , 	2 , 	28 , 	4 , 	17 , 	13 , 	23 , 	1 , 	7 ," 	1,290 ",,,,,,,,,,
HY, 	10 , 	14 , 	4 , 	4 , 	34 , 	8 , 	22 , 	24 , 	26 , 	23 , 	56 , 	63 , 	49 , 	45 , 	17 , 	32 , 	20 , 	31 , 	6 , 	3 , 	2 , 	1 , 	2 , 	4 , 	12 , 	57 , 	26 , 	72 , 	27 , 	20 , 	23 , 	7 , 	9 , 	9 , 	4 , 	8 , 	13 , 	1 , 	4 , 	3 , 	6 , 	7 , 	1 , 	8 , 	5 , 	24 , 	13 , 	15 , 	1 , 	7 , 	877 ,,,,,,,,,,
SH, 	8 , 	10 , 	6 , 	6 , 	44 , 	6 , 	10 , 	18 , 	18 , 	17 , 	37 , 	69 , 	25 , 	25 , 	32 , 	7 , 	11 , 	12 , 	3 , 	4 , 	4 , 	1 , 	1 , 	3 , 	4 , 	70 , 	38 , 	82 , 	36 , 	26 , 	16 , 	4 , 	8 , 	9 , 	2 , 	6 , 	10 , 	1 , 	3 , 	1 , 	3 , 	12 , 	1 , 	8 , 	5 , 	13 , 	16 , 	18 , 	1 , 	2 , 	760 ,,,,,,,,,,
UC, 	5 , 	5 , 	3 , 	3 , 	22 , 	7 , 	6 , 	8 , 	9 , 	12 , 	16 , 	16 , 	10 , 	13 , 	26 , 	7 , 	13 , 	34 , 	1 , 	1 , 	1 , 	0 , 	-   , 	2 , 	3 , 	54 , 	24 , 	46 , 	18 , 	11 , 	5 , 	4 , 	3 , 	6 , 	1 , 	2 , 	7 , 	1 , 	1 , 	1 , 	1 , 	5 , 	-   , 	3 , 	6 , 	24 , 	34 , 	32 , 	1 , 	2 , 	510 ,,,,,,,,,,
FM, 	3 , 	5 , 	3 , 	7 , 	37 , 	4 , 	10 , 	13 , 	10 , 	14 , 	23 , 	29 , 	18 , 	21 , 	32 , 	11 , 	30 , 	24 , 	3 , 	2 , 	2 , 	1 , 	1 , 	1 , 	2 , 	86 , 	33 , 	67 , 	33 , 	15 , 	8 , 	5 , 	4 , 	6 , 	2 , 	3 , 	6 , 	1 , 	1 , 	-   , 	1 , 	10 , 	-   , 	3 , 	8 , 	27 , 	41 , 	36 , 	1 , 	3 , 	699 ,,,,,,,,,,
CN, 	10 , 	13 , 	6 , 	4 , 	24 , 	4 , 	22 , 	20 , 	23 , 	5 , 	9 , 	27 , 	7 , 	7 , 	7 , 	1 , 	1 , 	2 , 	14 , 	30 , 	83 , 	31 , 	11 , 	25 , 	8 , 	115 , 	56 , 	110 , 	55 , 	28 , 	22 , 	10 , 	11 , 	11 , 	6 , 	1 , 	3 , 	8 , 	59 , 	6 , 	7 , 	43 , 	5 , 	1 , 	10 , 	2 , 	2 , 	5 , 	38 , 	33 ," 	1,035 ",,,,,,,,,,
PH, 	8 , 	6 , 	4 , 	3 , 	26 , 	6 , 	20 , 	19 , 	19 , 	2 , 	9 , 	29 , 	2 , 	3 , 	3 , 	2 , 	2 , 	1 , 	26 , 	12 , 	36 , 	16 , 	6 , 	33 , 	3 , 	142 , 	65 , 	113 , 	58 , 	26 , 	21 , 	7 , 	5 , 	8 , 	3 , 	1 , 	3 , 	6 , 	20 , 	3 , 	3 , 	60 , 	5 , 	0 , 	16 , 	2 , 	2 , 	4 , 	8 , 	11 , 	883 ,,,,,,,,,,
WC, 	8 , 	13 , 	7 , 	6 , 	30 , 	5 , 	26 , 	34 , 	32 , 	5 , 	11 , 	34 , 	6 , 	6 , 	4 , 	4 , 	2 , 	3 , 	98 , 	45 , 	9 , 	19 , 	11 , 	39 , 	10 , 	182 , 	75 , 	146 , 	69 , 	36 , 	22 , 	14 , 	9 , 	10 , 	5 , 	2 , 	1 , 	15 , 	39 , 	5 , 	7 , 	69 , 	5 , 	0 , 	16 , 	2 , 	3 , 	4 , 	18 , 	27 ," 	1,239 ",,,,,,,,,,
LF, 	6 , 	4 , 	4 , 	3 , 	23 , 	2 , 	10 , 	11 , 	15 , 	3 , 	8 , 	15 , 	2 , 	0 , 	2 , 	1 , 	1 , 	3 , 	39 , 	22 , 	23 , 	6 , 	7 , 	21 , 	3 , 	120 , 	51 , 	71 , 	43 , 	20 , 	11 , 	4 , 	3 , 	5 , 	2 , 	1 , 	0 , 	5 , 	13 , 	3 , 	1 , 	33 , 	4 , 	0 , 	9 , 	1 , 	1 , 	1 , 	6 , 	7 , 	639 ,,,,,,,,,,
