Fast Pass Adjusted OD,,,,,,May 01,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,72,50,171,173,619,"1,105",820,"1,248","4,256"
MT,42,64,97,146,792,"1,429","1,125","2,050","5,745"
PL,274,162,104,141,982,"1,318",798,"2,011","5,792"
CC,157,171,148,78,529,859,569,"1,352","3,863"
16,535,726,"1,011",494,42,259,232,593,"3,893"
24,898,"1,158","1,344",750,249,51,184,567,"5,201"
GP,792,973,947,485,216,192,32,129,"3,766"
BP,"1,108","1,511","2,553","1,193",542,624,137,43,"7,713"
Entries,"3,880","4,815","6,376","3,461","3,971","5,837","3,896","7,993","40,229"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,27,6,50,47,217,311,123,237,"1,018"
MT,5,23,32,34,237,318,234,665,"1,547"
PL,59,38,110,90,843,"1,058",571,"1,266","4,035"
CC,36,36,77,68,388,531,216,463,"1,815"
16,166,244,745,350,39,187,138,301,"2,170"
24,250,288,"1,031",448,177,60,127,299,"2,680"
GP,129,143,648,163,104,109,21,62,"1,378"
BP,213,320,"1,720",429,279,336,58,39,"3,394"
Entries,885,"1,098","4,413","1,629","2,284","2,909","1,487","3,332","18,036"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,18,6,33,28,149,196,81,146,657
MT,2,24,20,28,146,193,159,429,"1,001"
PL,35,24,111,58,624,798,394,858,"2,901"
CC,25,19,65,77,449,583,154,337,"1,709"
16,125,156,580,364,57,169,88,179,"1,716"
24,178,190,762,475,154,77,106,257,"2,199"
GP,79,87,526,145,85,88,24,29,"1,063"
BP,141,178,"1,294",331,169,263,35,31,"2,441"
Entries,603,683,"3,390","1,507","1,833","2,367","1,040","2,265","13,687"
