Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,May 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
RM, 	8 , 	176 , 	113 , 	107 , 	490 , 	123 , 	172 , 	190 , 	268 , 	51 , 	132 , 	128 , 	42 , 	34 , 	51 , 	32 , 	18 , 	37 , 	28 , 	23 , 	29 , 	17 , 	16 , 	19 , 	39 , 	285 , 	341 , 	384 , 	276 , 	144 , 	182 , 	35 , 	53 , 	43 , 	36 , 	7 , 	30 , 	9 , 	35 ," 	4,206 ",,,Eastbay," 	80,389 ",,SF CBD," 	221,314 ",66.3%,,,
EN, 	188 , 	11 , 	94 , 	105 ," 	1,000 ", 	175 , 	252 , 	486 , 	729 , 	105 , 	145 , 	196 , 	70 , 	45 , 	74 , 	29 , 	40 , 	87 , 	58 , 	29 , 	42 , 	16 , 	17 , 	33 , 	46 ," 	1,129 "," 	1,301 ", 	891 , 	715 , 	150 , 	198 , 	75 , 	94 , 	123 , 	73 , 	7 , 	44 , 	9 , 	25 ," 	8,908 ",,,Westbay," 	90,620 ",,non-CBD," 	112,533 ",33.7%,,,
EP, 	146 , 	35 , 	23 , 	28 , 	596 , 	52 , 	128 , 	132 , 	326 , 	47 , 	67 , 	65 , 	27 , 	11 , 	28 , 	9 , 	27 , 	27 , 	15 , 	25 , 	16 , 	12 , 	6 , 	23 , 	7 , 	685 , 	419 , 	421 , 	191 , 	60 , 	32 , 	30 , 	22 , 	52 , 	17 , 	22 , 	18 , 	10 , 	13 ," 	3,871 ",,,Transbay," 	162,838 ",,,,,,,
NB, 	113 , 	92 , 	42 , 	5 , 	187 , 	55 , 	80 , 	170 , 	242 , 	63 , 	64 , 	97 , 	20 , 	17 , 	22 , 	8 , 	17 , 	43 , 	20 , 	17 , 	23 , 	6 , 	10 , 	19 , 	14 , 	614 , 	650 , 	392 , 	346 , 	96 , 	62 , 	29 , 	30 , 	54 , 	21 , 	3 , 	17 , 	4 , 	7 ," 	3,773 ",,,,,,,,,,,
BK, 	383 , 	881 , 	621 , 	186 , 	11 , 	432 , 	288 , 	435 , 	545 , 	216 , 	498 , 	240 , 	133 , 	125 , 	123 , 	79 , 	118 , 	201 , 	93 , 	124 , 	102 , 	42 , 	47 , 	32 , 	56 , 	665 , 	729 , 	700 , 	573 , 	193 , 	174 , 	95 , 	83 , 	123 , 	94 , 	25 , 	106 , 	32 , 	67 ," 	9,670 ",,,Extensions," 	43,814 ",,,,,,,
AS, 	108 , 	150 , 	71 , 	51 , 	345 , 	6 , 	81 , 	184 , 	242 , 	81 , 	116 , 	136 , 	52 , 	43 , 	45 , 	17 , 	25 , 	53 , 	33 , 	28 , 	25 , 	9 , 	12 , 	18 , 	40 , 	562 , 	605 , 	399 , 	376 , 	118 , 	91 , 	28 , 	38 , 	61 , 	27 , 	9 , 	31 , 	5 , 	21 ," 	4,340 ",,,,,,,,,,,
MA, 	160 , 	234 , 	73 , 	72 , 	344 , 	80 , 	8 , 	142 , 	220 , 	71 , 	163 , 	205 , 	100 , 	89 , 	84 , 	40 , 	57 , 	106 , 	108 , 	94 , 	98 , 	28 , 	32 , 	57 , 	59 , 	793 , 	885 , 	657 , 	587 , 	176 , 	137 , 	70 , 	72 , 	94 , 	54 , 	16 , 	51 , 	38 , 	113 ," 	6,463 ",,,,,,,,,,,
19, 	185 , 	489 , 	201 , 	178 , 	433 , 	191 , 	131 , 	11 , 	90 , 	38 , 	141 , 	198 , 	179 , 	183 , 	170 , 	133 , 	159 , 	254 , 	227 , 	307 , 	209 , 	114 , 	81 , 	94 , 	42 , 	746 , 	770 , 	545 , 	565 , 	159 , 	168 , 	121 , 	101 , 	165 , 	160 , 	46 , 	154 , 	116 , 	223 ," 	8,480 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits,
12, 	274 , 	748 , 	365 , 	269 , 	568 , 	245 , 	210 , 	95 , 	23 , 	64 , 	335 , 	432 , 	347 , 	344 , 	340 , 	220 , 	251 , 	315 , 	326 , 	429 , 	293 , 	172 , 	141 , 	174 , 	83 , 	986 ," 	1,022 "," 	1,019 ", 	799 , 	196 , 	214 , 	155 , 	162 , 	209 , 	219 , 	80 , 	229 , 	118 , 	267 ," 	12,737 ",,,Dtwn SF," 	6,946 "," 	15,461 "," 	38,425 "," 	13,227 "," 	20,014 "," 	21,212 "," 	115,285 ",
LM, 	45 , 	94 , 	67 , 	70 , 	204 , 	83 , 	70 , 	38 , 	59 , 	9 , 	150 , 	215 , 	202 , 	195 , 	140 , 	94 , 	116 , 	163 , 	27 , 	25 , 	20 , 	10 , 	10 , 	30 , 	28 , 	526 , 	587 , 	472 , 	364 , 	85 , 	95 , 	37 , 	51 , 	88 , 	27 , 	50 , 	157 , 	9 , 	25 ," 	4,740 ",,,OAK," 	15,049 "," 	1,701 "," 	3,375 "," 	5,903 "," 	4,126 "," 	7,360 "," 	37,513 ",
FV, 	142 , 	155 , 	60 , 	83 , 	358 , 	112 , 	176 , 	158 , 	325 , 	152 , 	25 , 	353 , 	316 , 	284 , 	327 , 	149 , 	142 , 	175 , 	62 , 	40 , 	55 , 	30 , 	42 , 	79 , 	120 , 	786 , 	910 , 	826 , 	618 , 	213 , 	222 , 	70 , 	83 , 	119 , 	49 , 	70 , 	198 , 	15 , 	50 ," 	8,150 ",,,CM line," 	35,764 "," 	3,360 "," 	9,485 "," 	2,608 "," 	2,179 "," 	3,045 "," 	56,441 ",
CL, 	355 , 	137 , 	60 , 	72 , 	340 , 	100 , 	146 , 	155 , 	386 , 	130 , 	954 , 	7 , 	121 , 	157 , 	170 , 	90 , 	94 , 	181 , 	66 , 	58 , 	61 , 	27 , 	24 , 	84 , 	71 ," 	1,509 ", 	399 , 	360 , 	290 , 	86 , 	91 , 	50 , 	42 , 	69 , 	29 , 	51 , 	199 , 	21 , 	53 ," 	7,295 ",,,RM line," 	13,651 "," 	5,714 "," 	2,835 "," 	7,211 "," 	1,322 "," 	4,035 "," 	34,768 ",
SL, 	44 , 	72 , 	26 , 	24 , 	153 , 	56 , 	105 , 	185 , 	351 , 	205 , 	321 , 	201 , 	8 , 	108 , 	198 , 	91 , 	85 , 	131 , 	41 , 	23 , 	26 , 	6 , 	11 , 	23 , 	36 , 	635 , 	693 , 	414 , 	344 , 	59 , 	73 , 	35 , 	49 , 	81 , 	30 , 	36 , 	93 , 	6 , 	34 ," 	5,111 ",,,WP line," 	20,567 "," 	4,061 "," 	2,240 "," 	1,567 "," 	6,722 "," 	1,839 "," 	36,995 ",
BF, 	35 , 	45 , 	13 , 	16 , 	125 , 	46 , 	89 , 	198 , 	355 , 	193 , 	282 , 	249 , 	104 , 	9 , 	175 , 	128 , 	178 , 	276 , 	30 , 	16 , 	16 , 	7 , 	4 , 	14 , 	44 , 	622 , 	670 , 	399 , 	293 , 	59 , 	67 , 	34 , 	28 , 	63 , 	24 , 	48 , 	248 , 	6 , 	16 ," 	5,222 ",,,FT/ED line," 	20,999 "," 	7,095 "," 	3,017 "," 	4,369 "," 	1,694 "," 	15,671 "," 	52,845 ",
HY, 	120 , 	105 , 	30 , 	25 , 	136 , 	50 , 	92 , 	182 , 	245 , 	120 , 	352 , 	285 , 	226 , 	186 , 	13 , 	173 , 	294 , 	466 , 	35 , 	25 , 	18 , 	6 , 	7 , 	16 , 	35 , 	463 , 	413 , 	314 , 	226 , 	52 , 	54 , 	30 , 	33 , 	38 , 	21 , 	26 , 	109 , 	9 , 	28 ," 	5,058 ",,,Entries," 	112,975 "," 	37,391 "," 	59,378 "," 	34,885 "," 	36,057 "," 	53,162 "," 	333,847 ",
SH, 	29 , 	28 , 	12 , 	8 , 	82 , 	19 , 	43 , 	138 , 	211 , 	87 , 	131 , 	144 , 	85 , 	122 , 	153 , 	6 , 	116 , 	215 , 	14 , 	13 , 	15 , 	3 , 	4 , 	3 , 	22 , 	347 , 	350 , 	245 , 	200 , 	35 , 	44 , 	16 , 	17 , 	31 , 	14 , 	17 , 	62 , 	3 , 	20 ," 	3,103 ",,,,,,,,,,,
UC, 	21 , 	41 , 	17 , 	22 , 	126 , 	34 , 	66 , 	166 , 	248 , 	119 , 	164 , 	167 , 	101 , 	181 , 	310 , 	135 , 	13 , 	275 , 	21 , 	25 , 	21 , 	7 , 	5 , 	13 , 	23 , 	566 , 	528 , 	297 , 	223 , 	40 , 	39 , 	20 , 	20 , 	41 , 	17 , 	22 , 	66 , 	5 , 	21 ," 	4,226 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,,
FM, 	35 , 	92 , 	42 , 	47 , 	241 , 	59 , 	113 , 	246 , 	305 , 	177 , 	175 , 	308 , 	145 , 	298 , 	477 , 	238 , 	281 , 	27 , 	34 , 	37 , 	33 , 	11 , 	13 , 	26 , 	26 , 	786 , 	791 , 	467 , 	302 , 	55 , 	50 , 	31 , 	35 , 	61 , 	24 , 	33 , 	104 , 	8 , 	46 ," 	6,281 ",,,Dtwn SF," 	6,946 ",,,,,,,
CN, 	62 , 	38 , 	35 , 	17 , 	120 , 	23 , 	164 , 	200 , 	322 , 	20 , 	77 , 	82 , 	46 , 	22 , 	41 , 	12 , 	27 , 	25 , 	38 , 	382 , 	410 , 	168 , 	59 , 	112 , 	14 ," 	1,079 ", 	801 , 	524 , 	345 , 	102 , 	72 , 	61 , 	33 , 	86 , 	57 , 	14 , 	18 , 	62 , 	371 ," 	6,142 ",,,OAK," 	30,509 "," 	1,701 ",,,,,,
