Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,May 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RM, 	7 , 	74 , 	51 , 	40 , 	225 , 	76 , 	70 , 	33 , 	63 , 	29 , 	91 , 	93 , 	13 , 	16 , 	18 , 	6 , 	6 , 	24 , 	13 , 	4 , 	12 , 	3 , 	2 , 	11 , 	21 , 	75 , 	61 , 	192 , 	96 , 	109 , 	101 , 	12 , 	30 , 	13 , 	18 , 	1 , 	4 , 	3 , 	18 ," 	1,736 ",,,Eastbay," 	28,265 ",,SF CBD," 	71,114 ",61.7%,,
EN, 	70 , 	13 , 	31 , 	41 , 	289 , 	87 , 	82 , 	44 , 	110 , 	29 , 	53 , 	136 , 	21 , 	22 , 	21 , 	10 , 	9 , 	40 , 	20 , 	10 , 	12 , 	5 , 	3 , 	11 , 	20 , 	207 , 	133 , 	367 , 	172 , 	56 , 	92 , 	17 , 	36 , 	27 , 	28 , 	3 , 	11 , 	2 , 	20 ," 	2,358 ",,,Westbay," 	35,184 ",,non-CBD," 	44,134 ",38.3%,,
EP, 	51 , 	19 , 	7 , 	16 , 	217 , 	40 , 	28 , 	18 , 	31 , 	14 , 	33 , 	60 , 	11 , 	9 , 	8 , 	4 , 	9 , 	16 , 	6 , 	6 , 	11 , 	6 , 	2 , 	8 , 	7 , 	110 , 	71 , 	193 , 	89 , 	37 , 	25 , 	14 , 	6 , 	16 , 	12 , 	5 , 	8 , 	5 , 	6 ," 	1,229 ",,,Transbay," 	51,799 ",,,,,,
NB, 	37 , 	41 , 	21 , 	7 , 	77 , 	35 , 	25 , 	27 , 	50 , 	22 , 	29 , 	81 , 	7 , 	11 , 	9 , 	3 , 	7 , 	17 , 	9 , 	4 , 	9 , 	3 , 	3 , 	9 , 	7 , 	152 , 	104 , 	217 , 	165 , 	59 , 	48 , 	11 , 	9 , 	11 , 	15 , 	1 , 	5 , 	1 , 	5 ," 	1,351 ",,,,,,,,,,
BK, 	182 , 	247 , 	222 , 	73 , 	12 , 	193 , 	97 , 	110 , 	186 , 	59 , 	231 , 	151 , 	38 , 	37 , 	42 , 	19 , 	51 , 	90 , 	15 , 	18 , 	37 , 	10 , 	10 , 	16 , 	22 , 	248 , 	196 , 	528 , 	282 , 	110 , 	78 , 	45 , 	27 , 	39 , 	43 , 	14 , 	34 , 	5 , 	18 ," 	3,837 ",,,Extensions," 	14,706 ",,,,,,
AS, 	75 , 	74 , 	41 , 	39 , 	151 , 	4 , 	59 , 	56 , 	78 , 	44 , 	81 , 	93 , 	21 , 	21 , 	16 , 	7 , 	7 , 	20 , 	9 , 	6 , 	8 , 	4 , 	5 , 	8 , 	26 , 	111 , 	91 , 	215 , 	173 , 	69 , 	67 , 	14 , 	14 , 	16 , 	19 , 	3 , 	9 , 	1 , 	7 ," 	1,760 ",,,,,,,,,,
MA, 	58 , 	70 , 	25 , 	27 , 	118 , 	51 , 	7 , 	29 , 	57 , 	18 , 	65 , 	130 , 	31 , 	36 , 	23 , 	7 , 	13 , 	29 , 	26 , 	15 , 	21 , 	8 , 	8 , 	24 , 	31 , 	202 , 	164 , 	359 , 	261 , 	109 , 	79 , 	21 , 	16 , 	16 , 	22 , 	4 , 	11 , 	7 , 	30 ," 	2,222 ",,,,,,,,,,
19, 	29 , 	33 , 	18 , 	26 , 	113 , 	51 , 	22 , 	5 , 	21 , 	10 , 	38 , 	55 , 	20 , 	23 , 	19 , 	8 , 	12 , 	25 , 	15 , 	13 , 	16 , 	13 , 	7 , 	25 , 	9 , 	90 , 	83 , 	206 , 	155 , 	56 , 	44 , 	15 , 	9 , 	12 , 	18 , 	2 , 	6 , 	5 , 	18 ," 	1,340 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits
12, 	56 , 	85 , 	43 , 	52 , 	174 , 	71 , 	49 , 	17 , 	11 , 	17 , 	95 , 	120 , 	67 , 	72 , 	43 , 	23 , 	37 , 	62 , 	37 , 	27 , 	28 , 	17 , 	10 , 	38 , 	32 , 	184 , 	192 , 	567 , 	248 , 	71 , 	78 , 	26 , 	50 , 	37 , 	48 , 	3 , 	15 , 	10 , 	33 ," 	2,840 ",,,Dtwn SF," 	2,244 "," 	4,670 "," 	14,722 "," 	4,468 "," 	4,728 "," 	6,846 "," 	37,677 "
LM, 	26 , 	24 , 	17 , 	20 , 	66 , 	44 , 	18 , 	9 , 	23 , 	6 , 	78 , 	111 , 	65 , 	67 , 	31 , 	16 , 	35 , 	46 , 	8 , 	5 , 	7 , 	4 , 	2 , 	14 , 	22 , 	125 , 	108 , 	314 , 	140 , 	57 , 	56 , 	18 , 	21 , 	18 , 	10 , 	20 , 	32 , 	1 , 	5 ," 	1,685 ",,,OAK," 	4,325 ", 	517 ," 	1,092 "," 	1,392 ", 	543 ," 	1,802 "," 	9,671 "
FV, 	80 , 	64 , 	27 , 	30 , 	145 , 	93 , 	68 , 	52 , 	108 , 	75 , 	15 , 	218 , 	116 , 	205 , 	131 , 	59 , 	59 , 	87 , 	27 , 	10 , 	17 , 	8 , 	15 , 	25 , 	57 , 	211 , 	157 , 	508 , 	305 , 	164 , 	166 , 	31 , 	43 , 	30 , 	26 , 	28 , 	71 , 	6 , 	38 ," 	3,574 ",,,CM line," 	13,052 "," 	1,270 "," 	5,167 "," 	1,401 "," 	1,098 "," 	1,886 "," 	23,874 "
CL, 	378 , 	91 , 	43 , 	45 , 	240 , 	63 , 	85 , 	50 , 	158 , 	74 , 	675 , 	6 , 	99 , 	128 , 	109 , 	75 , 	95 , 	203 , 	56 , 	66 , 	54 , 	38 , 	24 , 	43 , 	38 , 	746 , 	118 , 	319 , 	173 , 	68 , 	70 , 	45 , 	20 , 	49 , 	26 , 	65 , 	332 , 	34 , 	65 ," 	5,064 ",,,RM line," 	4,248 "," 	1,465 "," 	1,342 "," 	2,884 ", 	417 ," 	1,914 "," 	12,269 "
SL, 	13 , 	21 , 	11 , 	8 , 	51 , 	21 , 	31 , 	28 , 	72 , 	71 , 	99 , 	160 , 	6 , 	76 , 	71 , 	19 , 	28 , 	38 , 	9 , 	4 , 	5 , 	3 , 	-   , 	10 , 	18 , 	135 , 	74 , 	219 , 	97 , 	36 , 	48 , 	15 , 	16 , 	21 , 	14 , 	21 , 	36 , 	2 , 	20 ," 	1,622 ",,,WP line," 	4,663 ", 	582 ," 	1,017 ", 	504 ," 	2,184 "," 	1,094 "," 	10,045 "
BF, 	19 , 	18 , 	9 , 	9 , 	40 , 	22 , 	42 , 	37 , 	80 , 	71 , 	193 , 	218 , 	75 , 	6 , 	87 , 	53 , 	54 , 	89 , 	10 , 	4 , 	4 , 	3 , 	2 , 	9 , 	26 , 	118 , 	74 , 	216 , 	94 , 	27 , 	36 , 	12 , 	15 , 	16 , 	10 , 	31 , 	78 , 	0 , 	11 ," 	1,915 ",,,FT/ED line," 	7,150 "," 	1,913 "," 	1,597 "," 	2,142 ", 	867 ," 	8,045 "," 	21,713 "
HY, 	22 , 	17 , 	9 , 	10 , 	55 , 	17 , 	32 , 	23 , 	46 , 	29 , 	119 , 	158 , 	70 , 	85 , 	8 , 	64 , 	66 , 	128 , 	13 , 	8 , 	6 , 	1 , 	1 , 	7 , 	9 , 	92 , 	40 , 	120 , 	62 , 	26 , 	24 , 	6 , 	11 , 	12 , 	14 , 	13 , 	33 , 	3 , 	12 ," 	1,466 ",,,Entries," 	35,681 "," 	10,418 "," 	24,936 "," 	12,790 "," 	9,837 "," 	21,586 "," 	115,248 "
SH, 	7 , 	12 , 	4 , 	2 , 	22 , 	6 , 	7 , 	11 , 	27 , 	19 , 	53 , 	97 , 	23 , 	59 , 	61 , 	5 , 	42 , 	67 , 	8 , 	2 , 	3 , 	1 , 	0 , 	2 , 	6 , 	55 , 	33 , 	101 , 	42 , 	15 , 	22 , 	3 , 	8 , 	10 , 	9 , 	6 , 	17 , 	3 , 	14 , 	880 ,,,,,,,,,,
UC, 	15 , 	11 , 	8 , 	4 , 	42 , 	9 , 	14 , 	15 , 	50 , 	34 , 	60 , 	124 , 	34 , 	67 , 	88 , 	45 , 	8 , 	74 , 	8 , 	5 , 	4 , 	3 , 	3 , 	6 , 	8 , 	111 , 	49 , 	158 , 	61 , 	15 , 	24 , 	9 , 	11 , 	13 , 	11 , 	7 , 	14 , 	1 , 	6 ," 	1,225 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,
FM, 	22 , 	43 , 	29 , 	16 , 	95 , 	27 , 	34 , 	27 , 	75 , 	52 , 	83 , 	284 , 	51 , 	88 , 	131 , 	74 , 	68 , 	26 , 	20 , 	13 , 	10 , 	4 , 	5 , 	12 , 	19 , 	246 , 	156 , 	367 , 	150 , 	33 , 	27 , 	16 , 	17 , 	33 , 	18 , 	12 , 	33 , 	6 , 	23 ," 	2,441 ",,,Dtwn SF," 	2,244 ",,,,,,
CN, 	22 , 	15 , 	8 , 	9 , 	23 , 	10 , 	30 , 	16 , 	48 , 	6 , 	28 , 	86 , 	10 , 	7 , 	15 , 	7 , 	12 , 	22 , 	20 , 	92 , 	232 , 	58 , 	27 , 	35 , 	7 , 	173 , 	76 , 	188 , 	91 , 	53 , 	56 , 	24 , 	21 , 	24 , 	35 , 	5 , 	8 , 	15 , 	134 ," 	1,741 ",,,OAK," 	8,995 ", 	517 ,,,,,
PH, 	5 , 	9 , 	6 , 	5 , 	28 , 	5 , 	16 , 	13 , 	32 , 	7 , 	9 , 	104 , 	5 , 	5 , 	5 , 	3 , 	6 , 	13 , 	76 , 	7 , 	51 , 	13 , 	14 , 	31 , 	4 , 	262 , 	120 , 	228 , 	87 , 	20 , 	23 , 	15 , 	11 , 	23 , 	34 , 	2 , 	3 , 	4 , 	32 ," 	1,330 ",,,CM line," 	27,773 "," 	2,362 "," 	5,167 ",,,,
WC, 	8 , 	9 , 	9 , 	10 , 	46 , 	8 , 	22 , 	20 , 	36 , 	8 , 	14 , 	82 , 	4 , 	4 , 	5 , 	1 , 	8 , 	9 , 	286 , 	59 , 	9 , 	30 , 	11 , 	43 , 	6 , 	263 , 	133 , 	245 , 	131 , 	26 , 	31 , 	18 , 	11 , 	23 , 	28 , 	2 , 	3 , 	19 , 	61 ," 	1,737 ",,,RM line," 	8,715 "," 	2,857 "," 	2,743 "," 	2,884 ",,,
LF, 	4 , 	6 , 	5 , 	3 , 	21 , 	3 , 	12 , 	12 , 	21 , 	4 , 	12 , 	51 , 	1 , 	2 , 	1 , 	1 , 	2 , 	2 , 	64 , 	14 , 	31 , 	3 , 	8 , 	31 , 	5 , 	183 , 	83 , 	112 , 	74 , 	11 , 	14 , 	8 , 	4 , 	10 , 	8 , 	1 , 	1 , 	3 , 	12 , 	837 ,,,WP line," 	9,391 "," 	1,125 "," 	2,115 ", 	921 ," 	2,184 ",,
OR, 	2 , 	6 , 	3 , 	4 , 	13 , 	3 , 	8 , 	6 , 	17 , 	2 , 	12 , 	36 , 	2 , 	1 , 	1 , 	0 , 	1 , 	3 , 	31 , 	14 , 	12 , 	4 , 	4 , 	18 , 	5 , 	145 , 	69 , 	135 , 	61 , 	14 , 	14 , 	6 , 	4 , 	6 , 	9 , 	12 , 	1 , 	2 , 	7 , 	692 ,,,FT/ED line," 	13,995 "," 	3,715 "," 	3,482 "," 	4,056 "," 	1,961 "," 	8,045 "," 	115,248 "
RR, 	36 , 	14 , 	20 , 	19 , 	14 , 	8 , 	21 , 	17 , 	26 , 	7 , 	28 , 	82 , 	12 , 	10 , 	4 , 	1 , 	3 , 	11 , 	40 , 	20 , 	30 , 	18 , 	18 , 	4 , 	8 , 	293 , 	226 , 	373 , 	232 , 	46 , 	47 , 	14 , 	6 , 	13 , 	20 , 	4 , 	5 , 	6 , 	20 ," 	1,770 ",,,,,,,,,,
OW, 	21 , 	14 , 	6 , 	11 , 	23 , 	23 , 	35 , 	13 , 	37 , 	14 , 	53 , 	57 , 	16 , 	24 , 	10 , 	6 , 	7 , 	18 , 	7 , 	5 , 	9 , 	3 , 	6 , 	8 , 	7 , 	227 , 	157 , 	353 , 	192 , 	62 , 	77 , 	15 , 	17 , 	6 , 	13 , 	4 , 	21 , 	1 , 	11 ," 	1,584 ",,,,,,,,,,
EM, 	69 , 	257 , 	133 , 	212 , 	334 , 	158 , 	261 , 	140 , 	253 , 	157 , 	235 , 	282 , 	166 , 	148 , 	97 , 	68 , 	130 , 	346 , 	182 , 	258 , 	295 , 	202 , 	173 , 	351 , 	272 , 	52 , 	82 , 	200 , 	132 , 	403 , 	531 , 	297 , 	265 , 	350 , 	284 , 	128 , 	625 , 	68 , 	185 ," 	8,783 ",,,,,,,,,,
MT, 	120 , 	166 , 	128 , 	149 , 	182 , 	91 , 	152 , 	89 , 	227 , 	125 , 	149 , 	171 , 	103 , 	108 , 	34 , 	31 , 	55 , 	125 , 	101 , 	123 , 	139 , 	87 , 	85 , 	206 , 	152 , 	148 , 	160 , 	146 , 	348 , 	271 , 	369 , 	282 , 	651 , 	205 , 	157 , 	45 , 	180 , 	33 , 	89 ," 	6,180 ",,,,,,,,,,
PL, 	129 , 	343 , 	185 , 	217 , 	603 , 	230 , 	395 , 	265 , 	559 , 	315 , 	474 , 	415 , 	223 , 	199 , 	106 , 	98 , 	130 , 	343 , 	181 , 	235 , 	254 , 	115 , 	134 , 	376 , 	443 , 	145 , 	64 , 	154 , 	205 ," 	1,324 "," 	1,621 ", 	821 ," 	1,348 ", 	718 , 	509 , 	112 , 	435 , 	52 , 	191 ," 	14,668 ",,,,,,,,,,
CC, 	67 , 	136 , 	68 , 	122 , 	243 , 	126 , 	234 , 	162 , 	185 , 	118 , 	227 , 	210 , 	86 , 	103 , 	49 , 	35 , 	52 , 	122 , 	84 , 	70 , 	103 , 	56 , 	52 , 	157 , 	167 , 	68 , 	48 , 	182 , 	108 ," 	1,195 "," 	1,552 ", 	350 , 	617 , 	302 , 	301 , 	42 , 	158 , 	21 , 	68 ," 	8,047 ",,,,,,,,,,
16, 	85 , 	70 , 	39 , 	58 , 	124 , 	85 , 	134 , 	58 , 	83 , 	63 , 	145 , 	113 , 	38 , 	26 , 	34 , 	17 , 	28 , 	47 , 	55 , 	24 , 	35 , 	18 , 	17 , 	74 , 	100 , 	229 , 	274 ," 	1,113 ", 	868 , 	67 , 	313 , 	170 , 	301 , 	176 , 	152 , 	10 , 	53 , 	6 , 	52 ," 	5,354 ",,,,,,,,,,
24, 	111 , 	98 , 	35 , 	55 , 	99 , 	68 , 	95 , 	48 , 	86 , 	70 , 	204 , 	149 , 	56 , 	46 , 	31 , 	26 , 	26 , 	47 , 	70 , 	24 , 	32 , 	15 , 	13 , 	69 , 	107 , 	329 , 	375 ," 	1,501 "," 	1,188 ", 	291 , 	89 , 	225 , 	423 , 	238 , 	216 , 	16 , 	51 , 	11 , 	74 ," 	6,707 ",,,,,,,,,,
GP, 	17 , 	20 , 	13 , 	12 , 	39 , 	13 , 	21 , 	17 , 	22 , 	16 , 	26 , 	65 , 	11 , 	12 , 	9 , 	6 , 	9 , 	16 , 	22 , 	14 , 	15 , 	7 , 	5 , 	19 , 	16 , 	172 , 	182 , 	978 , 	323 , 	163 , 	191 , 	31 , 	48 , 	26 , 	61 , 	6 , 	15 , 	5 , 	23 ," 	2,668 ",,,,,,,,,,
BP, 	25 , 	28 , 	8 , 	8 , 	27 , 	14 , 	23 , 	11 , 	50 , 	22 , 	39 , 	44 , 	15 , 	14 , 	9 , 	4 , 	8 , 	13 , 	23 , 	9 , 	8 , 	2 , 	4 , 	7 , 	20 , 	206 , 	259 ," 	1,972 ", 	528 , 	298 , 	432 , 	53 , 	36 , 	27 , 	88 , 	4 , 	13 , 	5 , 	30 ," 	4,383 ",,,,,,,,,,
DC, 	15 , 	26 , 	14 , 	12 , 	45 , 	12 , 	15 , 	11 , 	41 , 	19 , 	30 , 	72 , 	17 , 	20 , 	14 , 	6 , 	13 , 	31 , 	27 , 	14 , 	23 , 	8 , 	7 , 	16 , 	14 , 	174 , 	184 , 	727 , 	323 , 	150 , 	254 , 	33 , 	48 , 	12 , 	43 , 	8 , 	45 , 	4 , 	33 ," 	2,560 ",,,,,,,,,,
CM, 	16 , 	27 , 	8 , 	15 , 	50 , 	11 , 	22 , 	18 , 	50 , 	10 , 	19 , 	39 , 	9 , 	10 , 	10 , 	5 , 	8 , 	11 , 	38 , 	26 , 	30 , 	9 , 	9 , 	13 , 	10 , 	163 , 	160 , 	538 , 	286 , 	115 , 	182 , 	57 , 	99 , 	45 , 	16 , 	3 , 	16 , 	7 , 	48 ," 	2,203 ",,,,,,,,,,
CV, 	3 , 	5 , 	1 , 	2 , 	14 , 	3 , 	4 , 	5 , 	5 , 	21 , 	26 , 	101 , 	21 , 	33 , 	11 , 	6 , 	9 , 	10 , 	5 , 	2 , 	3 , 	1 , 	1 , 	3 , 	3 , 	97 , 	47 , 	125 , 	50 , 	11 , 	17 , 	6 , 	6 , 	6 , 	6 , 	5 , 	54 , 	1 , 	2 , 	723 ,,,,,,,,,,
ED, 	6 , 	10 , 	10 , 	5 , 	39 , 	9 , 	13 , 	7 , 	25 , 	34 , 	60 , 	687 , 	31 , 	79 , 	33 , 	16 , 	16 , 	32 , 	6 , 	2 , 	4 , 	1 , 	2 , 	8 , 	21 , 	567 , 	230 , 	464 , 	165 , 	40 , 	34 , 	13 , 	11 , 	41 , 	22 , 	48 , 	19 , 	1 , 	3 ," 	2,805 ",,,,,,,,,,
NC, 	3 , 	2 , 	2 , 	1 , 	7 , 	1 , 	7 , 	4 , 	12 , 	1 , 	5 , 	52 , 	1 , 	1 , 	4 , 	2 , 	2 , 	4 , 	19 , 	3 , 	13 , 	1 , 	3 , 	11 , 	1 , 	66 , 	27 , 	50 , 	25 , 	7 , 	10 , 	5 , 	2 , 	5 , 	10 , 	1 , 	1 , 	3 , 	20 , 	389 ,,,,,,,,,,
WP, 	17 , 	17 , 	6 , 	6 , 	21 , 	10 , 	46 , 	20 , 	41 , 	4 , 	32 , 	115 , 	16 , 	10 , 	14 , 	11 , 	12 , 	24 , 	166 , 	34 , 	63 , 	15 , 	11 , 	25 , 	10 , 	156 , 	84 , 	185 , 	91 , 	34 , 	67 , 	24 , 	30 , 	45 , 	53 , 	3 , 	5 , 	21 , 	12 ," 	1,551 ",,,,,,,,,,
Entries," 	1,926 "," 	2,232 "," 	1,318 "," 	1,398 "," 	4,122 "," 	1,794 "," 	2,331 "," 	1,542 "," 	3,096 "," 	1,694 "," 	3,915 "," 	5,304 "," 	1,606 "," 	1,886 "," 	1,406 ", 	844 ," 	1,138 "," 	2,327 "," 	1,810 "," 	1,267 "," 	1,649 ", 	798 , 	703 ," 	1,780 "," 	1,756 "," 	7,335 "," 	4,943 "," 	15,135 "," 	8,268 "," 	5,715 "," 	7,005 "," 	2,793 "," 	4,315 "," 	2,687 "," 	2,422 ", 	699 ," 	2,460 ", 	378 ," 	1,452 "," 	115,248 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
