Fast Pass Adjusted OD,,,,,,Sep 07,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,69,48,201,227,633,"1,039",794,"1,335","4,347"
MT,50,57,117,215,880,"1,445","1,175","2,595","6,533"
PL,279,166,89,164,819,"1,212",757,"2,347","5,833"
CC,193,196,200,63,575,781,568,"1,523","4,097"
16,555,661,"1,042",582,27,254,232,719,"4,073"
24,848,"1,083","1,458",763,266,39,182,716,"5,354"
GP,749,903,"1,025",499,220,189,22,157,"3,765"
BP,"1,220","1,433","3,300","1,399",724,771,189,49,"9,086"
Entries,"3,961","4,548","7,432","3,913","4,143","5,729","3,919","9,442","43,088"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,27,9,78,53,227,297,143,310,"1,144"
MT,13,18,31,40,314,371,324,"1,133","2,243"
PL,75,26,82,85,656,956,556,"1,409","3,845"
CC,48,26,107,48,378,465,208,519,"1,799"
16,198,161,819,400,27,163,130,351,"2,248"
24,229,205,"1,080",459,144,39,124,320,"2,599"
GP,132,143,747,198,114,112,16,79,"1,541"
BP,306,313,"2,190",463,351,318,83,38,"4,061"
Entries,"1,028",900,"5,133","1,745","2,210","2,720","1,585","4,159","19,480"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,28,5,38,30,145,180,73,195,693
MT,5,15,21,26,202,233,212,753,"1,468"
PL,42,16,78,52,473,681,370,935,"2,648"
CC,34,16,69,48,312,366,189,391,"1,426"
16,153,110,577,313,30,123,89,241,"1,636"
24,164,130,815,361,124,51,90,230,"1,965"
GP,91,83,574,162,90,74,18,43,"1,135"
BP,217,208,"1,610",353,241,215,47,37,"2,927"
Entries,735,581,"3,782","1,346","1,618","1,923","1,089","2,824","13,898"
