Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Sep 07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
CL, 	70 , 	182 , 	79 , 	79 , 	272 , 	84 , 	146 , 	89 , 	169 , 	95 , 	202 , 	11 , 	144 , 	235 , 	166 , 	102 , 	126 , 	278 , 	99 , 	91 , 	90 , 	57 , 	44 , 	58 , 	73 , 	357 , 	217 , 	590 , 	335 , 	110 , 	144 , 	75 , 	69 , 	77 , 	20 , 	92 , 	494 , 	35 , 	108 , 	26 , 	20 , 	48 , 	33 ," 	5,894 ",,,CM line," 	18,219 "," 	2,107 "," 	5,952 "," 	2,781 "," 	1,625 "," 	2,100 "," 	1,668 ",34452.2
SL, 	28 , 	43 , 	12 , 	17 , 	168 , 	17 , 	54 , 	50 , 	143 , 	113 , 	155 , 	146 , 	10 , 	114 , 	92 , 	43 , 	38 , 	53 , 	17 , 	5 , 	9 , 	7 , 	5 , 	11 , 	28 , 	173 , 	133 , 	430 , 	160 , 	47 , 	50 , 	21 , 	30 , 	30 , 	7 , 	29 , 	47 , 	2 , 	21 , 	5 , 	10 , 	22 , 	10 ," 	2,607 ",,,RM line," 	10,533 "," 	2,827 "," 	2,783 "," 	6,709 "," 	1,676 "," 	3,932 ", 	707 ,29166.2
BF, 	24 , 	42 , 	14 , 	15 , 	198 , 	35 , 	64 , 	60 , 	146 , 	114 , 	252 , 	228 , 	116 , 	8 , 	132 , 	98 , 	91 , 	126 , 	21 , 	6 , 	8 , 	5 , 	3 , 	10 , 	38 , 	173 , 	117 , 	455 , 	130 , 	32 , 	55 , 	18 , 	26 , 	29 , 	14 , 	53 , 	157 , 	4 , 	29 , 	10 , 	5 , 	15 , 	12 ," 	3,186 ",,,WP line," 	8,134 "," 	1,209 "," 	1,686 "," 	1,692 "," 	4,129 "," 	1,321 ", 	580 ,18751.4
HY, 	23 , 	38 , 	14 , 	14 , 	148 , 	29 , 	50 , 	43 , 	96 , 	44 , 	151 , 	157 , 	96 , 	164 , 	13 , 	100 , 	93 , 	142 , 	16 , 	6 , 	5 , 	2 , 	3 , 	11 , 	24 , 	104 , 	68 , 	229 , 	84 , 	37 , 	32 , 	10 , 	21 , 	22 , 	4 , 	16 , 	43 , 	2 , 	23 , 	6 , 	7 , 	9 , 	6 ," 	2,203 ",,,FT/ED line," 	10,771 "," 	3,017 "," 	2,242 "," 	3,981 "," 	1,331 "," 	9,680 ", 	659 ,31680.2
SH, 	13 , 	17 , 	6 , 	4 , 	68 , 	10 , 	30 , 	19 , 	45 , 	25 , 	66 , 	100 , 	39 , 	107 , 	93 , 	12 , 	54 , 	97 , 	8 , 	4 , 	4 , 	3 , 	4 , 	2 , 	10 , 	62 , 	53 , 	177 , 	55 , 	27 , 	27 , 	9 , 	13 , 	13 , 	5 , 	14 , 	32 , 	2 , 	13 , 	5 , 	1 , 	9 , 	3 ," 	1,360 ",,,SFIA," 	4,343 ",332.6,1684.6,706.8,542.2,630.2,881,9120.8
UC, 	11 , 	23 , 	8 , 	7 , 	176 , 	19 , 	23 , 	21 , 	69 , 	43 , 	63 , 	111 , 	43 , 	82 , 	99 , 	62 , 	9 , 	108 , 	18 , 	11 , 	7 , 	3 , 	3 , 	5 , 	8 , 	126 , 	88 , 	283 , 	74 , 	19 , 	23 , 	14 , 	19 , 	28 , 	11 , 	9 , 	35 , 	1 , 	13 , 	4 , 	2 , 	17 , 	9 ," 	1,808 ",,,Entries," 	62,764 ",18723,35109.8,29278.6,18940.8,31998.6,9762,206576.4
FM, 	16 , 	48 , 	27 , 	24 , 	619 , 	39 , 	45 , 	37 , 	122 , 	69 , 	95 , 	250 , 	59 , 	146 , 	136 , 	100 , 	114 , 	25 , 	21 , 	16 , 	13 , 	8 , 	5 , 	26 , 	14 , 	269 , 	182 , 	627 , 	208 , 	33 , 	32 , 	13 , 	24 , 	45 , 	9 , 	15 , 	58 , 	6 , 	20 , 	5 , 	6 , 	38 , 	8 ," 	3,670 ",,,,,,,,,,,
CN, 	21 , 	25 , 	13 , 	14 , 	121 , 	16 , 	53 , 	29 , 	82 , 	10 , 	41 , 	94 , 	18 , 	22 , 	13 , 	11 , 	16 , 	19 , 	13 , 	67 , 	223 , 	80 , 	35 , 	54 , 	11 , 	222 , 	116 , 	404 , 	135 , 	39 , 	65 , 	32 , 	33 , 	58 , 	8 , 	6 , 	12 , 	33 , 	241 , 	11 , 	10 , 	51 , 	16 ," 	2,592 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	9 , 	10 , 	10 , 	11 , 	198 , 	11 , 	36 , 	25 , 	78 , 	11 , 	15 , 	87 , 	5 , 	5 , 	7 , 	3 , 	7 , 	12 , 	71 , 	12 , 	89 , 	40 , 	13 , 	112 , 	5 , 	310 , 	172 , 	480 , 	175 , 	37 , 	39 , 	26 , 	24 , 	43 , 	8 , 	2 , 	4 , 	17 , 	70 , 	7 , 	4 , 	69 , 	13 ," 	2,384 ",,,Dtwn SF," 	2,880 ",,,,,,,
WC, 	9 , 	22 , 	14 , 	14 , 	265 , 	18 , 	51 , 	34 , 	79 , 	10 , 	28 , 	94 , 	12 , 	8 , 	7 , 	4 , 	10 , 	14 , 	296 , 	95 , 	10 , 	82 , 	37 , 	184 , 	6 , 	420 , 	202 , 	629 , 	242 , 	43 , 	58 , 	35 , 	32 , 	51 , 	8 , 	6 , 	7 , 	28 , 	111 , 	6 , 	6 , 	66 , 	20 ," 	3,373 ",,,OAK," 	16,189 ", 	925 ,,,,,,
LF, 	10 , 	12 , 	7 , 	11 , 	182 , 	12 , 	23 , 	15 , 	43 , 	5 , 	20 , 	50 , 	5 , 	6 , 	3 , 	4 , 	1 , 	5 , 	109 , 	46 , 	78 , 	9 , 	19 , 	124 , 	5 , 	214 , 	123 , 	322 , 	148 , 	25 , 	25 , 	19 , 	10 , 	27 , 	4 , 	1 , 	2 , 	11 , 	25 , 	3 , 	4 , 	37 , 	6 ," 	1,809 ",,,CM line," 	36,898 "," 	4,191 "," 	5,952 ",,,,,
OR, 	8 , 	10 , 	8 , 	6 , 	164 , 	8 , 	15 , 	13 , 	50 , 	9 , 	16 , 	41 , 	4 , 	2 , 	3 , 	3 , 	2 , 	4 , 	32 , 	22 , 	36 , 	20 , 	7 , 	136 , 	3 , 	178 , 	128 , 	320 , 	139 , 	25 , 	22 , 	14 , 	7 , 	17 , 	3 , 	2 , 	3 , 	5 , 	16 , 	2 , 	2 , 	33 , 	6 ," 	1,544 ",,,RM line," 	21,218 "," 	5,551 "," 	5,564 "," 	6,709 ",,,,
RR, 	13 , 	19 , 	25 , 	16 , 	88 , 	18 , 	36 , 	46 , 	113 , 	18 , 	39 , 	59 , 	11 , 	11 , 	11 , 	4 , 	5 , 	16 , 	55 , 	120 , 	194 , 	128 , 	149 , 	12 , 	8 , 	403 , 	314 , 	724 , 	427 , 	162 , 	128 , 	48 , 	28 , 	41 , 	6 , 	5 , 	9 , 	20 , 	41 , 	2 , 	4 , 	52 , 	17 ," 	3,643 ",,,WP line," 	16,660 ",2320.4,3311.6,3367.6,4129.2,,,
OW, 	18 , 	27 , 	8 , 	8 , 	53 , 	34 , 	46 , 	29 , 	68 , 	24 , 	104 , 	75 , 	23 , 	38 , 	21 , 	11 , 	7 , 	13 , 	12 , 	4 , 	5 , 	3 , 	2 , 	11 , 	9 , 	388 , 	337 , 	864 , 	346 , 	150 , 	117 , 	34 , 	39 , 	38 , 	8 , 	5 , 	20 , 	3 , 	21 , 	5 , 	6 , 	25 , 	8 ," 	3,068 ",,,FT/ED line," 	22,115 ",6009,4341.6,7912.4,2652.2,9679.8,,
EM, 	143 , 	373 , 	204 , 	287 ," 	1,286 ", 	232 , 	441 , 	216 , 	428 , 	273 , 	299 , 	420 , 	199 , 	193 , 	118 , 	75 , 	145 , 	329 , 	261 , 	350 , 	443 , 	250 , 	232 , 	482 , 	466 , 	57 , 	57 , 	397 , 	210 , 	449 , 	638 , 	350 , 	460 , 	272 , 	92 , 	174 , 	892 , 	107 , 	226 , 	81 , 	78 , 	389 , 	205 ," 	13,280 ",,,SFIA," 	9,305 ",638.2,3352.2,1414,1122.4,1289,881,206576.4
MT, 	105 , 	288 , 	177 , 	217 , 	704 , 	200 , 	354 , 	204 , 	387 , 	267 , 	272 , 	267 , 	181 , 	164 , 	83 , 	62 , 	102 , 	230 , 	129 , 	199 , 	244 , 	132 , 	140 , 	351 , 	388 , 	46 , 	35 , 	86 , 	156 , 	562 , 	701 , 	546 ," 	1,549 ", 	364 , 	115 , 	112 , 	358 , 	48 , 	147 , 	81 , 	61 , 	281 , 	163 ," 	11,255 ",,,,,,,,,,,
PL, 	260 , 	736 , 	364 , 	408 ," 	2,195 ", 	419 , 	783 , 	345 , 	754 , 	545 , 	660 , 	714 , 	391 , 	378 , 	217 , 	159 , 	264 , 	604 , 	360 , 	483 , 	645 , 	334 , 	309 , 	757 , 	885 , 	418 , 	98 , 	153 , 	398 ," 	1,592 "," 	2,126 "," 	1,193 "," 	2,217 "," 	1,195 ", 	364 , 	252 ," 	1,175 ", 	145 , 	353 , 	274 , 	257 ," 	1,406 ", 	696 ," 	28,280 ",,,,,,,,,,,
CC, 	103 , 	261 , 	175 , 	278 , 	929 , 	342 , 	480 , 	221 , 	294 , 	224 , 	373 , 	299 , 	142 , 	138 , 	77 , 	48 , 	79 , 	220 , 	124 , 	184 , 	238 , 	154 , 	138 , 	385 , 	353 , 	179 , 	125 , 	382 , 	84 , 	893 ," 	1,025 ", 	470 , 	842 , 	501 , 	164 , 	99 , 	375 , 	55 , 	122 , 	114 , 	141 , 	426 , 	309 ," 	12,566 ",,,,,,,,,,,
16, 	83 , 	96 , 	48 , 	116 , 	317 , 	157 , 	246 , 	113 , 	136 , 	95 , 	145 , 	101 , 	43 , 	41 , 	28 , 	24 , 	17 , 	30 , 	44 , 	40 , 	50 , 	31 , 	22 , 	173 , 	140 , 	391 , 	364 ," 	1,794 ", 	985 , 	40 , 	310 , 	260 , 	547 , 	217 , 	89 , 	17 , 	76 , 	13 , 	51 , 	46 , 	67 , 	106 , 	95 ," 	7,801 ",,,,,,,,,,,
24, 	128 , 	138 , 	51 , 	92 , 	298 , 	117 , 	195 , 	91 , 	121 , 	75 , 	172 , 	129 , 	47 , 	44 , 	34 , 	22 , 	20 , 	25 , 	56 , 	39 , 	54 , 	25 , 	22 , 	133 , 	136 , 	481 , 	446 ," 	2,322 "," 	1,048 ", 	274 , 	54 , 	249 , 	542 , 	245 , 	108 , 	18 , 	59 , 	17 , 	78 , 	67 , 	112 , 	116 , 	108 ," 	8,609 ",,,,,,,,,,,
GP, 	21 , 	41 , 	22 , 	36 , 	178 , 	28 , 	48 , 	31 , 	72 , 	36 , 	42 , 	68 , 	18 , 	16 , 	13 , 	9 , 	13 , 	15 , 	26 , 	26 , 	38 , 	17 , 	12 , 	56 , 	35 , 	295 , 	285 ," 	1,461 ", 	417 , 	210 , 	219 , 	23 , 	104 , 	54 , 	38 , 	9 , 	33 , 	6 , 	39 , 	20 , 	49 , 	68 , 	53 ," 	4,300 ",,,,,,,,,,,
BP, 	39 , 	65 , 	21 , 	14 , 	91 , 	25 , 	46 , 	31 , 	77 , 	41 , 	67 , 	57 , 	30 , 	26 , 	21 , 	15 , 	22 , 	30 , 	34 , 	26 , 	24 , 	10 , 	11 , 	22 , 	48 , 	440 , 	451 ," 	3,222 ", 	741 , 	518 , 	515 , 	113 , 	46 , 	89 , 	76 , 	9 , 	39 , 	7 , 	55 , 	39 , 	91 , 	68 , 	67 ," 	7,479 ",,,,,,,,,,,
DC, 	26 , 	91 , 	24 , 	22 , 	303 , 	35 , 	56 , 	36 , 	83 , 	36 , 	62 , 	73 , 	27 , 	31 , 	20 , 	16 , 	20 , 	35 , 	52 , 	44 , 	55 , 	27 , 	19 , 	41 , 	36 , 	255 , 	272 ," 	1,383 ", 	456 , 	205 , 	248 , 	57 , 	108 , 	21 , 	37 , 	10 , 	64 , 	15 , 	69 , 	33 , 	82 , 	139 , 	82 ," 	4,805 ",,,,,,,,,,,
