Avg Sunday Trip OD																																																			
																																																			
2024 / 08																																																			
	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	13	29	37	16	119	24	30	23	40	19	24	54	12	8	6	7	4	4	9	3	8	6	2	8	8	80	35	114	44	39	43	13	12	14	7	2	2	1	3	4	7	43	6	1	7	2	3	5	8	11	"1,013"
EN	34	19	31	26	130	33	42	37	51	26	43	118	15	14	15	7	8	11	11	4	7	5	3	8	11	120	75	192	87	51	42	14	13	16	6	1	6	1	5	3	7	64	9	5	19	5	1	4	11	23	"1,486"
EP	45	26	7	25	123	25	31	24	35	21	17	90	9	4	5	3	2	5	4	3	8	2	2	9	6	79	54	84	59	30	17	14	5	5	2	2	5	1	1	2	3	41	5	2	16	1	0	3	7	10	970
NB	19	28	23	12	34	16	17	34	24	11	20	78	8	6	6	2	2	6	5	5	11	5	3	4	7	127	67	84	73	43	28	15	4	10		2	5	2	1	2	4	51	7	1	12	4	1	1	12	10	948
BK	131	136	146	44	33	64	69	93	100	40	52	229	28	23	24	15	26	34	12	19	21	17	11	9	26	403	197	269	194	114	73	42	28	34	8	9	32	3	7	7	11	146	41	12	41	19	1	10	61	80	"3,235"
AS	23	33	26	18	53	9	23	38	32	21	34	55	10	7	7	3	7	5	4	3	7	1	1	4	12	106	64	79	86	59	39	12	12	10	3	2	8	0	3	1	3	49	7	1	12	4	1	1	12	11	"1,017"
MA	38	38	35	18	73	32	19	36	43	22	45	121	21	18	11	7	6	7	23	20	26	13	9	30	20	164	97	158	132	100	64	20	20	13	2	3	6	3	19	4	3	74	9	5	16	8	7	20	10	16	"1,701"
19	24	30	24	28	80	37	40	11	6	10	23	101	26	19	18	10	9	16	20	17	24	9	7	33	19	169	108	186	136	95	73	27	16	20	5	3	9	3	8	7	5	61	15	4	18	6	2	8	12	19	"1,647"
12	34	42	28	22	96	30	34	8	13	8	21	93	26	21	19	8	13	12	15	15	25	9	10	30	29	169	111	226	144	68	57	25	22	15	6	3	5	2	9	5	13	77	15	1	15	5	2	11	14	12	"1,687"
