Avg Saturday Trip OD																																																			
																																																			
2024 / 08																																																			
	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	9	43	42	24	165	31	49	30	34	15	37	44	12	8	12	6	4	4	9	4	13	7	4	8	11	108	58	164	77	59	68	12	21	18	10	3	7	1	4	5	7	42	7	1	8	4	4	5	7	10	"1,333"
EN	47	16	44	32	208	46	62	50	69	18	51	100	18	18	18	10	9	12	16	7	12	8	4	12	18	171	112	248	114	73	69	21	25	27	8	4	9	1	7	11	10	55	16	3	11	6	3	7	12	29	"1,957"
EP	48	33	10	28	195	32	39	37	44	16	19	63	12	7	5	3	6	8	8	5	9	4	3	13	5	127	77	123	72	40	32	11	9	9	4	3	5	0	1	2	3	44	8	3	13	2	0	2	4	10	"1,259"
NB	19	32	28	7	69	21	26	38	29	10	27	54	12	6	10	3	8	3	5	5	11	2	2	7	6	142	92	109	85	63	39	14	5	6	4	3	5	0	4	2	2	48	9	2	13	4	1	1	10	10	"1,113"
BK	190	213	211	81	47	85	94	118	140	95	85	184	44	35	34	22	39	41	21	29	47	35	23	18	31	575	286	396	249	153	114	55	32	43	9	11	45	5	13	7	11	122	51	17	47	24	2	12	57	76	"4,377"
AS	35	48	27	22	90	13	24	44	39	16	36	57	13	10	12	5	6	5	7	7	7	3	2	3	11	135	79	109	98	80	51	13	10	8	3	2	5	1	2	2	2	35	8	2	9	5	1	3	8	12	"1,226"
MA	58	55	43	30	109	29	14	50	53	18	66	123	30	22	17	7	13	16	33	25	42	14	15	32	25	215	146	198	175	129	92	20	18	16	5	3	8	5	24	4	7	59	12	6	11	8	8	25	14	18	"2,162"
19	33	51	37	34	118	47	45	15	8	7	32	115	32	24	33	13	16	17	32	28	38	20	10	46	32	242	164	255	193	141	89	33	22	29	6	5	12	8	8	5	7	43	16	4	10	11	4	11	12	27	"2,241"
12	40	57	45	30	130	38	55	14	20	9	34	127	49	31	25	16	17	19	26	24	36	13	14	37	24	251	147	299	202	115	79	29	31	26	9	4	8	5	9	9	15	69	23	3	22	7	2	15	11	18	"2,337"
