Exit stations,Entry stations->,,SUNDAY,,,Nov 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	14 , 	37 , 	33 , 	15 , 	111 , 	25 , 	35 , 	20 , 	26 , 	13 , 	28 , 	17 , 	9 , 	8 , 	7 , 	3 , 	3 , 	4 , 	7 , 	5 , 	8 , 	4 , 	3 , 	7 , 	9 , 	73 , 	35 , 	114 , 	45 , 	40 , 	40 , 	14 , 	16 , 	18 , 	2 , 	2 , 	4 , 	2 , 	4 , 	6 , 	7 , 	37 , 	10 , 	1 , 	6 , 	3 , 	6 , 	9 , 	2 , 	4 , 	942 ,,,,,,,,,,,
CL, 	18 , 	23 , 	9 , 	7 , 	18 , 	12 , 	25 , 	25 , 	23 , 	28 , 	39 , 	6 , 	29 , 	42 , 	28 , 	14 , 	10 , 	11 , 	7 , 	4 , 	6 , 	2 , 	1 , 	5 , 	20 , 	32 , 	30 , 	81 , 	53 , 	26 , 	24 , 	7 , 	7 , 	9 , 	3 , 	10 , 	26 , 	1 , 	5 , 	2 , 	3 , 	10 , 	2 , 	10 , 	21 , 	8 , 	12 , 	10 , 	4 , 	3 , 	803 ,,,,,,,,,,,
SL, 	9 , 	11 , 	9 , 	7 , 	27 , 	11 , 	29 , 	25 , 	21 , 	68 , 	59 , 	39 , 	7 , 	37 , 	50 , 	22 , 	16 , 	18 , 	6 , 	2 , 	6 , 	1 , 	2 , 	5 , 	12 , 	70 , 	48 , 	146 , 	63 , 	33 , 	25 , 	7 , 	10 , 	16 , 	1 , 	14 , 	32 , 	1 , 	2 , 	3 , 	3 , 	18 , 	3 , 	16 , 	7 , 	13 , 	19 , 	18 , 	2 , 	4 ," 	1,067 ",,,,,,,,,,,
BF, 	10 , 	9 , 	5 , 	6 , 	25 , 	9 , 	18 , 	19 , 	30 , 	47 , 	81 , 	42 , 	39 , 	13 , 	38 , 	20 , 	19 , 	22 , 	8 , 	2 , 	4 , 	1 , 	1 , 	2 , 	11 , 	68 , 	43 , 	139 , 	49 , 	23 , 	16 , 	8 , 	8 , 	12 , 	2 , 	13 , 	37 , 	1 , 	3 , 	3 , 	2 , 	10 , 	2 , 	20 , 	5 , 	12 , 	23 , 	15 , 	1 , 	5 , 	993 ,,,,,,,,,,,
HY, 	10 , 	12 , 	5 , 	7 , 	22 , 	8 , 	15 , 	16 , 	15 , 	25 , 	59 , 	30 , 	47 , 	33 , 	14 , 	21 , 	31 , 	49 , 	5 , 	2 , 	4 , 	2 , 	1 , 	3 , 	9 , 	34 , 	24 , 	65 , 	24 , 	9 , 	14 , 	2 , 	5 , 	8 , 	1 , 	5 , 	21 , 	2 , 	4 , 	1 , 	3 , 	4 , 	5 , 	15 , 	7 , 	24 , 	34 , 	29 , 	0 , 	3 , 	781 ,,,,,,,,,,,
SH, 	4 , 	6 , 	4 , 	2 , 	13 , 	4 , 	6 , 	6 , 	11 , 	14 , 	24 , 	15 , 	21 , 	18 , 	21 , 	12 , 	13 , 	26 , 	3 , 	2 , 	4 , 	1 , 	2 , 	2 , 	2 , 	29 , 	19 , 	48 , 	17 , 	8 , 	11 , 	2 , 	8 , 	2 , 	1 , 	3 , 	8 , 	-   , 	0 , 	1 , 	1 , 	4 , 	1 , 	8 , 	5 , 	15 , 	14 , 	22 , 	1 , 	3 , 	460 ,,,,,,,,,,,
UC, 	4 , 	6 , 	3 , 	5 , 	25 , 	6 , 	10 , 	9 , 	9 , 	13 , 	19 , 	12 , 	16 , 	18 , 	35 , 	13 , 	10 , 	25 , 	2 , 	2 , 	1 , 	-   , 	0 , 	4 , 	5 , 	51 , 	32 , 	73 , 	38 , 	12 , 	10 , 	4 , 	3 , 	6 , 	1 , 	5 , 	15 , 	1 , 	2 , 	2 , 	1 , 	10 , 	1 , 	6 , 	9 , 	26 , 	39 , 	24 , 	-   , 	2 , 	618 ,,,,,,,,,,,
FM, 	6 , 	7 , 	5 , 	3 , 	31 , 	6 , 	12 , 	12 , 	11 , 	14 , 	17 , 	9 , 	20 , 	23 , 	48 , 	24 , 	27 , 	12 , 	2 , 	1 , 	1 , 	1 , 	1 , 	3 , 	4 , 	57 , 	39 , 	63 , 	35 , 	16 , 	7 , 	5 , 	6 , 	5 , 	3 , 	4 , 	19 , 	-   , 	3 , 	1 , 	1 , 	19 , 	0 , 	7 , 	13 , 	20 , 	42 , 	35 , 	1 , 	6 , 	703 ,,,,,,,,,,,
CN, 	8 , 	8 , 	3 , 	3 , 	11 , 	5 , 	20 , 	17 , 	13 , 	4 , 	9 , 	4 , 	5 , 	8 , 	4 , 	3 , 	2 , 	3 , 	11 , 	20 , 	80 , 	56 , 	10 , 	19 , 	4 , 	56 , 	41 , 	82 , 	33 , 	17 , 	19 , 	7 , 	5 , 	10 , 	3 , 	1 , 	4 , 	8 , 	47 , 	3 , 	3 , 	58 , 	3 , 	2 , 	15 , 	3 , 	6 , 	5 , 	26 , 	29 , 	808 ,,,,,,,,,,,
PH, 	3 , 	6 , 	4 , 	1 , 	12 , 	5 , 	15 , 	13 , 	15 , 	4 , 	6 , 	3 , 	2 , 	2 , 	1 , 	1 , 	2 , 	1 , 	25 , 	8 , 	35 , 	13 , 	5 , 	26 , 	4 , 	67 , 	42 , 	86 , 	45 , 	17 , 	8 , 	7 , 	7 , 	6 , 	2 , 	2 , 	3 , 	3 , 	19 , 	2 , 	5 , 	80 , 	3 , 	1 , 	18 , 	1 , 	4 , 	4 , 	5 , 	15 , 	657 ,,,,,,,,,,,
WC, 	10 , 	10 , 	8 , 	9 , 	20 , 	5 , 	26 , 	24 , 	19 , 	3 , 	7 , 	5 , 	7 , 	4 , 	3 , 	4 , 	1 , 	2 , 	85 , 	37 , 	14 , 	21 , 	13 , 	49 , 	6 , 	96 , 	54 , 	114 , 	74 , 	27 , 	11 , 	11 , 	7 , 	8 , 	5 , 	1 , 	1 , 	8 , 	34 , 	5 , 	5 , 	85 , 	4 , 	1 , 	15 , 	1 , 	4 , 	4 , 	14 , 	22 , 	999 ,,,,,,,,,,,
