Exit stations,Entry stations->,,TOTAL,,,Nov 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	422 ," 	1,755 "," 	1,703 ", 	968 ," 	6,761 "," 	1,321 "," 	2,049 "," 	1,529 "," 	1,810 ", 	573 ," 	1,330 "," 	1,013 ", 	587 , 	347 , 	471 , 	257 , 	151 , 	249 , 	290 , 	197 , 	353 , 	173 , 	126 , 	292 , 	521 ," 	4,553 "," 	3,699 "," 	6,043 "," 	3,645 "," 	2,572 "," 	2,711 ", 	726 , 	893 ," 	1,257 ", 	269 , 	90 , 	156 , 	84 , 	201 , 	273 , 	356 ," 	1,217 ", 	337 , 	59 , 	245 , 	319 , 	214 , 	271 , 	99 , 	267 ," 	55,804 ",,,,,,,,,,,,,
CL," 	1,169 "," 	1,035 ", 	287 , 	415 ," 	1,744 ", 	692 ," 	1,573 "," 	1,504 "," 	1,730 "," 	2,046 "," 	2,900 ", 	381 ," 	2,036 "," 	2,050 "," 	1,925 ", 	933 , 	850 , 	709 , 	455 , 	253 , 	277 , 	128 , 	88 , 	295 , 	916 ," 	3,471 "," 	2,694 "," 	4,563 "," 	3,584 "," 	1,343 "," 	1,556 ", 	515 , 	739 ," 	1,083 ", 	172 , 	667 ," 	1,512 ", 	99 , 	398 , 	196 , 	189 , 	374 , 	315 , 	499 , 	392 , 	935 , 	825 , 	895 , 	213 , 	566 ," 	54,186 ",,,,,,,,,,,,,
SL, 	688 , 	845 , 	362 , 	448 ," 	2,069 ", 	744 ," 	1,593 "," 	2,050 "," 	2,796 "," 	4,049 "," 	4,222 "," 	2,260 ", 	435 ," 	2,110 "," 	3,222 "," 	1,498 "," 	1,433 "," 	1,803 ", 	418 , 	317 , 	357 , 	77 , 	139 , 	385 , 	700 ," 	7,057 "," 	6,586 "," 	7,561 "," 	5,479 "," 	2,010 "," 	1,411 ", 	583 , 	906 ," 	1,267 ", 	109 , 	679 ," 	2,207 ", 	103 , 	274 , 	194 , 	153 , 	623 , 	109 , 	811 , 	199 ," 	1,230 ", 	899 ," 	1,014 ", 	91 , 	321 ," 	76,896 ",,,,,,,,,,,,,
BF, 	346 , 	476 , 	200 , 	269 ," 	1,582 ", 	426 , 	880 ," 	1,461 "," 	2,144 "," 	2,806 "," 	3,745 "," 	2,000 "," 	2,060 ", 	458 ," 	1,642 "," 	1,119 "," 	1,153 "," 	1,401 ", 	286 , 	134 , 	211 , 	44 , 	48 , 	159 , 	543 ," 	5,585 "," 	5,051 "," 	7,288 "," 	4,282 "," 	1,528 "," 	1,011 ", 	488 , 	565 , 	766 , 	93 , 	809 ," 	1,790 ", 	22 , 	135 , 	218 , 	147 , 	382 , 	149 , 	882 , 	112 ," 	1,136 ", 	663 , 	709 , 	99 , 	121 ," 	59,624 ",,,,,,,,,,,,,
HY, 	443 , 	787 , 	227 , 	283 ," 	1,563 ", 	425 , 	987 ," 	1,555 "," 	1,877 "," 	1,671 "," 	3,099 "," 	1,978 "," 	3,150 "," 	1,652 ", 	445 ," 	1,354 "," 	2,563 "," 	3,297 ", 	367 , 	154 , 	228 , 	81 , 	69 , 	159 , 	531 ," 	3,295 "," 	2,719 "," 	3,233 "," 	2,231 ", 	880 , 	570 , 	274 , 	334 , 	726 , 	113 , 	225 , 	960 , 	81 , 	279 , 	114 , 	177 , 	222 , 	133 , 	519 , 	236 ," 	1,675 "," 	1,473 "," 	1,414 ", 	108 , 	337 ," 	51,273 ",,,,,,,,,,,,,
SH, 	263 , 	228 , 	89 , 	117 ," 	1,000 ", 	202 , 	577 , 	819 ," 	1,063 "," 	1,084 "," 	1,326 ", 	859 ," 	1,523 "," 	1,017 "," 	1,260 ", 	271 ," 	1,010 "," 	1,593 ", 	188 , 	96 , 	126 , 	32 , 	30 , 	64 , 	216 ," 	2,851 "," 	2,491 "," 	2,328 "," 	2,076 ", 	584 , 	648 , 	120 , 	230 , 	379 , 	40 , 	263 , 	519 , 	37 , 	73 , 	92 , 	59 , 	128 , 	56 , 	328 , 	153 ," 	1,453 ", 	716 , 	952 , 	49 , 	114 ," 	31,792 ",,,,,,,,,,,,,
UC, 	190 , 	423 , 	192 , 	191 ," 	1,734 ", 	258 , 	683 ," 	1,299 "," 	1,761 "," 	1,121 "," 	1,383 ", 	833 ," 	1,506 "," 	1,294 "," 	2,741 "," 	1,044 ", 	385 ," 	1,453 ", 	172 , 	156 , 	190 , 	23 , 	27 , 	142 , 	273 ," 	4,463 "," 	3,237 "," 	3,001 "," 	2,310 ", 	811 , 	382 , 	178 , 	218 , 	535 , 	75 , 	182 , 	832 , 	15 , 	70 , 	78 , 	72 , 	346 , 	47 , 	372 , 	251 ," 	1,611 "," 	1,519 "," 	1,635 ", 	83 , 	81 ," 	41,878 ",,,,,,,,,,,,,
FM, 	252 , 	459 , 	238 , 	224 ," 	1,604 ", 	264 , 	722 ," 	1,303 "," 	1,493 "," 	1,056 "," 	1,339 ", 	709 ," 	1,919 "," 	1,461 "," 	3,419 "," 	1,630 "," 	1,529 ", 	474 , 	167 , 	102 , 	119 , 	29 , 	54 , 	151 , 	196 ," 	5,370 "," 	3,885 "," 	2,788 "," 	2,311 ", 	768 , 	348 , 	188 , 	258 , 	473 , 	92 , 	302 , 	870 , 	31 , 	86 , 	29 , 	60 , 	604 , 	49 , 	296 , 	287 ," 	1,936 "," 	2,115 "," 	2,180 ", 	61 , 	228 ," 	46,528 ",,,,,,,,,,,,,
CN, 	346 , 	499 , 	189 , 	218 ," 	1,148 ", 	276 ," 	1,888 "," 	1,925 "," 	1,962 ", 	350 , 	452 , 	408 , 	427 , 	284 , 	405 , 	201 , 	166 , 	187 , 	491 ," 	1,380 "," 	3,855 "," 	2,179 ", 	693 ," 	1,242 ", 	280 ," 	6,175 "," 	5,332 "," 	5,344 "," 	4,268 "," 	1,320 "," 	1,185 ", 	553 , 	566 , 	906 , 	241 , 	52 , 	169 , 	584 ," 	3,035 ", 	255 , 	236 ," 	1,927 ", 	245 , 	82 , 	486 , 	91 , 	181 , 	268 ," 	1,611 "," 	2,171 "," 	58,734 ",,,,,,,,,,,,,
PH, 	216 , 	260 , 	204 , 	138 ," 	1,189 ", 	233 ," 	1,314 "," 	1,962 "," 	2,178 ", 	177 , 	309 , 	281 , 	266 , 	123 , 	151 , 	128 , 	104 , 	100 ," 	1,340 ", 	363 ," 	1,411 ", 	681 , 	360 ," 	1,373 ", 	209 ," 	9,267 "," 	7,887 "," 	5,164 "," 	4,142 "," 	1,461 ", 	766 , 	506 , 	446 , 	764 , 	109 , 	41 , 	106 , 	263 , 	959 , 	181 , 	250 ," 	2,434 ", 	146 , 	53 , 	625 , 	107 , 	127 , 	159 , 	509 , 	995 ," 	52,537 ",,,,,,,,,,,,,
WC, 	389 , 	461 , 	301 , 	325 ," 	1,519 ", 	221 ," 	1,737 "," 	2,393 "," 	2,394 ", 	280 , 	356 , 	254 , 	340 , 	213 , 	197 , 	115 , 	162 , 	115 ," 	3,964 "," 	1,408 ", 	452 , 	986 , 	501 ," 	2,032 ", 	228 ," 	10,049 "," 	7,777 "," 	5,260 "," 	4,046 "," 	1,494 ", 	800 , 	494 , 	473 , 	570 , 	186 , 	82 , 	69 , 	610 ," 	1,916 ", 	273 , 	269 ," 	3,135 ", 	209 , 	21 , 	567 , 	63 , 	123 , 	169 , 	793 ," 	1,503 "," 	62,294 ",,,,,,,,,,,,,
