Exit stations,Entry stations->,,TOTAL,,,Nov 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	422 ," 	1,755 "," 	1,703 ", 	968 ," 	6,761 "," 	1,321 "," 	2,049 "," 	1,529 "," 	1,810 ", 	573 ," 	1,330 "," 	1,013 ", 	587 , 	347 , 	471 , 	257 , 	151 , 	249 , 	290 , 	197 , 	353 , 	173 , 	126 , 	292 , 	521 ," 	4,553 "," 	3,699 "," 	6,043 "," 	3,645 "," 	2,572 "," 	2,711 ", 	726 , 	893 ," 	1,257 ", 	269 , 	90 , 	156 , 	84 , 	201 , 	273 , 	356 ," 	1,217 ", 	337 , 	59 , 	245 , 	319 , 	214 , 	271 , 	99 , 	267 ," 	55,804 ",,,,,,,,,,,,,
GP, 	654 , 	964 , 	413 , 	514 ," 	1,801 ", 	488 ," 	1,037 "," 	1,589 "," 	1,539 ", 	639 , 	883 , 	482 , 	495 , 	445 , 	287 , 	134 , 	182 , 	185 , 	429 , 	391 , 	457 , 	232 , 	195 , 	784 ," 	1,038 "," 	9,470 "," 	10,495 "," 	13,136 "," 	7,480 "," 	4,898 "," 	4,506 ", 	387 ," 	1,355 "," 	1,227 ", 	870 , 	188 , 	491 , 	104 , 	396 , 	617 , 	899 ," 	2,376 "," 	1,317 ", 	209 , 	229 , 	122 , 	114 , 	168 , 	128 , 	567 ," 	78,006 ",,,,,,,,,,,,,
BP, 	904 ," 	1,171 ", 	381 , 	377 ," 	1,209 ", 	458 ," 	1,081 "," 	1,131 "," 	1,643 ", 	843 ," 	1,177 ", 	769 , 	948 , 	535 , 	315 , 	216 , 	190 , 	228 , 	565 , 	416 , 	444 , 	233 , 	212 , 	656 ," 	1,376 "," 	9,724 "," 	11,195 "," 	23,699 "," 	10,556 "," 	6,346 "," 	5,553 "," 	1,200 ", 	410 ," 	1,540 "," 	1,268 ", 	251 , 	612 , 	180 , 	431 ," 	1,088 "," 	1,398 "," 	1,797 "," 	1,491 ", 	236 , 	96 , 	168 , 	145 , 	216 , 	161 , 	516 ," 	97,755 ",,,,,,,,,,,,,
DC," 	1,253 "," 	2,108 ", 	613 , 	375 ," 	1,223 ", 	526 , 	944 ," 	1,358 "," 	1,650 ", 	845 ," 	1,792 "," 	1,069 "," 	1,232 ", 	770 , 	703 , 	381 , 	544 , 	463 , 	865 , 	732 , 	563 , 	194 , 	342 , 	506 , 	834 ," 	10,744 "," 	12,949 "," 	17,825 "," 	10,522 "," 	6,728 "," 	5,561 "," 	1,384 "," 	1,788 ", 	599 , 	566 , 	440 ," 	1,126 ", 	269 , 	869 ," 	1,546 "," 	1,944 "," 	3,838 "," 	3,246 ", 	360 , 	172 , 	204 , 	353 , 	376 , 	282 , 	841 ," 	106,417 ",,,,,,,,,,,,,
CM, 	270 , 	331 , 	102 , 	129 , 	426 , 	77 , 	206 , 	449 , 	637 , 	147 , 	154 , 	144 , 	101 , 	92 , 	100 , 	53 , 	38 , 	80 , 	241 , 	109 , 	176 , 	38 , 	49 , 	78 , 	175 ," 	4,217 "," 	4,284 "," 	6,023 "," 	4,001 "," 	2,257 "," 	2,291 ", 	849 ," 	1,356 ", 	513 , 	211 , 	38 , 	94 , 	65 , 	207 , 	272 , 	673 ," 	1,403 "," 	1,122 ", 	8 , 	21 , 	27 , 	20 , 	17 , 	74 , 	364 ," 	34,809 ",,,,,,,,,,,,,
CV, 	85 , 	127 , 	75 , 	58 , 	466 , 	88 , 	169 , 	390 , 	362 ," 	1,471 ", 	877 , 	632 , 	741 , 	705 , 	282 , 	275 , 	199 , 	275 , 	76 , 	42 , 	75 , 	16 , 	28 , 	71 , 	217 ," 	4,392 "," 	3,364 "," 	3,064 "," 	2,404 ", 	822 , 	436 , 	166 , 	308 , 	471 , 	20 , 	230 ," 	1,863 ", 	10 , 	56 , 	80 , 	34 , 	271 , 	65 ," 	1,300 ", 	105 , 	169 , 	130 , 	156 , 	6 , 	44 ," 	27,768 ",,,,,,,,,,,,,
ED, 	209 , 	272 , 	134 , 	137 ," 	1,407 ", 	211 , 	635 ," 	1,078 "," 	1,588 "," 	2,075 "," 	2,128 "," 	1,463 "," 	2,138 "," 	1,621 ", 	982 , 	563 , 	829 , 	798 , 	171 , 	71 , 	75 , 	21 , 	26 , 	71 , 	442 ," 	12,494 "," 	8,958 "," 	7,365 "," 	4,990 "," 	1,616 ", 	940 , 	511 , 	614 ," 	1,175 ", 	112 ," 	1,835 ", 	639 , 	8 , 	85 , 	155 , 	141 ," 	2,263 ", 	191 , 	469 ," 	1,026 ", 	298 , 	564 , 	853 , 	24 , 	72 ," 	66,543 ",,,,,,,,,,,,,
NC, 	82 , 	53 , 	54 , 	32 , 	177 , 	20 , 	330 , 	469 , 	569 , 	129 , 	116 , 	69 , 	112 , 	27 , 	52 , 	47 , 	21 , 	34 , 	554 , 	288 , 	477 , 	85 , 	63 , 	209 , 	52 ," 	1,651 "," 	1,330 "," 	1,353 "," 	1,358 ", 	405 , 	379 , 	115 , 	190 , 	259 , 	61 , 	13 , 	29 , 	92 , 	480 , 	111 , 	89 , 	744 , 	42 , 	9 , 	145 , 	44 , 	30 , 	57 , 	352 , 	345 ," 	13,804 ",,,,,,,,,,,,,
WP, 	222 , 	273 , 	116 , 	99 , 	674 , 	168 ," 	1,579 "," 	1,054 "," 	1,513 ", 	215 , 	337 , 	324 , 	237 , 	116 , 	270 , 	68 , 	91 , 	124 ," 	3,193 "," 	1,138 "," 	2,073 ", 	465 , 	272 , 	663 , 	236 ," 	4,571 "," 	4,316 "," 	6,749 "," 	4,194 "," 	1,887 "," 	1,433 ", 	500 , 	604 , 	884 , 	250 , 	57 , 	81 , 	406 , 	405 , 	141 , 	312 ," 	1,648 ", 	171 , 	12 , 	319 , 	118 , 	88 , 	122 , 	217 , 	411 ," 	45,416 ",,,,,,,,,,,,,
SS, 	261 , 	467 , 	98 , 	100 , 	450 , 	101 , 	236 , 	525 , 	750 , 	113 , 	177 , 	155 , 	210 , 	181 , 	100 , 	104 , 	52 , 	26 , 	271 , 	169 , 	251 , 	63 , 	43 , 	172 , 	291 ," 	3,742 "," 	4,158 "," 	5,084 "," 	3,806 "," 	1,862 "," 	1,669 ", 	714 ," 	1,278 "," 	1,729 ", 	323 , 	63 , 	142 , 	97 , 	195 , 	220 , 	451 , 	983 , 	659 , 	27 , 	22 , 	51 , 	25 , 	21 , 	26 , 	245 ," 	32,958 ",,,,,,,,,,,,,
SB, 	322 , 	440 , 	172 , 	94 , 	440 , 	177 , 	305 , 	522 , 	697 , 	192 , 	321 , 	228 , 	157 , 	185 , 	150 , 	52 , 	42 , 	60 , 	238 , 	265 , 	275 , 	133 , 	58 , 	175 , 	503 ," 	3,362 "," 	3,994 "," 	4,698 "," 	3,979 "," 	2,040 "," 	1,863 ", 	966 ," 	1,586 "," 	2,174 ", 	698 , 	50 , 	147 , 	112 , 	289 , 	507 , 	246 ," 	2,018 ", 	441 , 	56 , 	48 , 	29 , 	15 , 	16 , 	99 , 	291 ," 	35,927 ",,,,,,,,,,,,,
SO," 	1,204 "," 	1,651 "," 	1,256 "," 	1,758 "," 	4,259 "," 	1,264 "," 	2,076 "," 	1,781 "," 	2,065 ", 	436 , 	905 , 	373 , 	509 , 	293 , 	190 , 	125 , 	244 , 	394 ," 	1,751 "," 	2,206 "," 	2,933 "," 	1,806 "," 	1,324 "," 	2,485 "," 	2,263 "," 	4,992 "," 	4,741 "," 	13,281 "," 	5,697 "," 	3,861 "," 	2,578 "," 	1,753 "," 	1,474 "," 	3,315 "," 	1,232 ", 	214 ," 	1,817 ", 	620 ," 	1,557 ", 	744 ," 	1,294 "," 	2,239 "," 	7,386 ", 	499 , 	217 , 	189 , 	204 , 	128 , 	198 ," 	1,287 "," 	97,068 ",,,,,,,,,,,,,
MB, 	345 , 	657 , 	252 , 	280 ," 	2,179 ", 	321 , 	454 , 	757 , 	749 , 	159 , 	188 , 	298 , 	95 , 	119 , 	83 , 	52 , 	52 , 	28 , 	245 , 	149 , 	177 , 	58 , 	56 , 	139 , 	367 ," 	4,138 "," 	4,748 "," 	5,110 "," 	4,121 "," 	2,412 "," 	1,969 "," 	1,074 "," 	1,575 "," 	3,112 ", 	945 , 	63 , 	190 , 	26 , 	172 , 	547 , 	405 ," 	8,809 ", 	857 , 	37 , 	55 , 	7 , 	9 , 	11 , 	49 , 	175 ," 	48,875 ",,,,,,,,,,,,,
WD, 	78 , 	188 , 	57 , 	64 , 	456 , 	96 , 	260 , 	560 , 	491 ," 	1,014 ", 	947 , 	445 , 	933 , 	938 , 	637 , 	363 , 	375 , 	306 , 	67 , 	38 , 	27 , 	6 , 	21 , 	42 , 	185 ," 	5,442 "," 	3,517 "," 	2,435 "," 	2,014 ", 	699 , 	364 , 	236 , 	266 , 	393 , 	15 ," 	1,295 ", 	504 , 	6 , 	11 , 	35 , 	54 , 	655 , 	56 , 	231 , 	439 , 	159 , 	210 , 	346 , 	31 , 	14 ," 	28,021 ",,,,,,,,,,,,,
OA, 	167 , 	523 , 	380 , 	516 ," 	2,040 ", 	376 , 	413 , 	465 , 	536 , 	358 , 	196 , 	258 , 	132 , 	81 , 	182 , 	105 , 	189 , 	225 , 	374 , 	482 , 	434 , 	287 , 	130 , 	235 , 	134 ," 	1,400 ", 	942 , 	953 , 	768 , 	375 , 	285 , 	232 , 	111 , 	167 , 	8 , 	72 , 	740 , 	104 , 	238 , 	22 , 	31 , 	268 , 	63 , 	343 , 	292 , 	102 , 	193 , 	147 , 	43 , 	256 ," 	17,373 ",,,,,,,,,,,,,
WS, 	391 , 	414 , 	134 , 	157 , 	800 , 	183 , 	539 , 	840 , 	640 , 	909 ," 	1,155 ", 	867 ," 	1,121 ", 	917 ," 	1,349 "," 	1,361 "," 	1,407 "," 	1,708 ", 	113 , 	126 , 	55 , 	45 , 	16 , 	86 , 	198 ," 	1,928 "," 	1,532 "," 	1,173 "," 	1,038 ", 	465 , 	235 , 	141 , 	222 , 	220 , 	33 , 	181 , 	346 , 	47 , 	90 , 	46 , 	31 , 	268 , 	16 , 	124 , 	127 , 	211 ," 	1,622 "," 	1,773 ", 	52 , 	153 ," 	27,605 ",,,,,,,,,,,,,
ML, 	229 , 	296 , 	173 , 	205 ," 	1,882 ", 	284 , 	498 , 	830 , 	627 , 	636 , 	674 , 	712 , 	879 , 	681 ," 	1,418 ", 	720 ," 	1,434 "," 	2,054 ", 	169 , 	131 , 	103 , 	32 , 	63 , 	100 , 	125 ," 	2,676 "," 	2,162 "," 	1,880 "," 	1,441 ", 	415 , 	337 , 	111 , 	194 , 	415 , 	18 , 	134 , 	491 , 	26 , 	74 , 	31 , 	29 , 	268 , 	15 , 	207 , 	181 ," 	1,708 ", 	476 , 	673 , 	17 , 	145 ," 	29,079 ",,,,,,,,,,,,,
BE, 	314 , 	547 , 	242 , 	272 ," 	2,932 ", 	431 , 	730 ," 	1,105 ", 	904 , 	811 , 	939 , 	861 ," 	1,054 ", 	849 ," 	1,546 ", 	986 ," 	1,711 "," 	2,248 ", 	247 , 	170 , 	168 , 	60 , 	83 , 	155 , 	227 ," 	3,045 "," 	2,301 "," 	2,174 "," 	1,753 ", 	642 , 	372 , 	200 , 	243 , 	436 , 	27 , 	143 , 	829 , 	34 , 	113 , 	19 , 	18 , 	254 , 	12 , 	337 , 	188 ," 	2,044 ", 	506 , 	508 , 	29 , 	125 ," 	35,944 ",,,,,,,,,,,,,
PC, 	104 , 	49 , 	15 , 	36 , 	238 , 	63 , 	410 , 	396 , 	334 , 	118 , 	146 , 	194 , 	59 , 	108 , 	101 , 	41 , 	41 , 	89 ," 	1,392 ", 	508 , 	796 , 	169 , 	151 , 	235 , 	167 , 	588 , 	590 ," 	1,150 ", 	709 , 	402 , 	243 , 	96 , 	165 , 	273 , 	72 , 	12 , 	22 , 	282 , 	260 , 	54 , 	96 , 	207 , 	39 , 	19 , 	63 , 	42 , 	14 , 	37 , 	41 , 	547 ," 	11,983 ",,,,,,,,,,,,,
AN, 	276 , 	221 , 	65 , 	97 , 	612 , 	148 ," 	1,529 "," 	1,216 "," 	1,733 ", 	322 , 	380 , 	545 , 	353 , 	145 , 	373 , 	130 , 	103 , 	196 ," 	2,147 ", 	985 ," 	1,513 ", 	270 , 	192 , 	589 , 	309 ," 	4,334 "," 	3,810 "," 	4,027 "," 	3,836 "," 	1,418 ", 	936 , 	616 , 	613 , 	920 , 	345 , 	45 , 	71 , 	362 , 	510 , 	288 , 	244 ," 	1,459 ", 	247 , 	15 , 	354 , 	137 , 	135 , 	154 , 	669 , 	374 ," 	40,368 ",,,,,,,,,,,,,
Entries," 	59,665 "," 	86,755 "," 	49,928 "," 	45,102 "," 	134,280 "," 	49,422 "," 	91,495 "," 	112,194 "," 	114,785 "," 	67,328 "," 	94,740 "," 	54,768 "," 	75,280 "," 	59,266 "," 	52,364 "," 	33,285 "," 	40,981 "," 	45,727 "," 	58,905 "," 	53,522 "," 	62,235 "," 	35,156 "," 	28,696 "," 	58,544 "," 	89,035 "," 	318,030 "," 	272,393 "," 	323,130 "," 	233,427 "," 	142,768 "," 	139,089 "," 	79,434 "," 	104,479 "," 	108,367 "," 	34,768 "," 	27,700 "," 	66,776 "," 	14,024 "," 	43,529 "," 	31,890 "," 	33,368 "," 	110,709 "," 	50,248 "," 	26,862 "," 	20,495 "," 	29,003 "," 	29,219 "," 	34,475 "," 	12,925 "," 	39,796 "," 	3,980,362 ",,,,,,,,,,,,,
