Exit stations,Entry stations->,,SATURDAY,,,Nov 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	17 , 	40 , 	51 , 	26 , 	165 , 	30 , 	59 , 	30 , 	32 , 	9 , 	34 , 	22 , 	11 , 	9 , 	10 , 	6 , 	5 , 	4 , 	8 , 	4 , 	8 , 	6 , 	4 , 	6 , 	19 , 	79 , 	59 , 	144 , 	70 , 	65 , 	61 , 	13 , 	19 , 	16 , 	5 , 	4 , 	3 , 	1 , 	7 , 	8 , 	10 , 	34 , 	8 , 	2 , 	4 , 	10 , 	6 , 	11 , 	3 , 	5 ," 	1,257 ",,,,,,,,,,
EN, 	49 , 	13 , 	34 , 	26 , 	202 , 	39 , 	62 , 	51 , 	66 , 	19 , 	38 , 	21 , 	14 , 	15 , 	16 , 	7 , 	9 , 	8 , 	10 , 	8 , 	10 , 	5 , 	3 , 	10 , 	12 , 	136 , 	108 , 	273 , 	129 , 	74 , 	62 , 	19 , 	21 , 	29 , 	8 , 	4 , 	7 , 	1 , 	8 , 	7 , 	12 , 	46 , 	12 , 	3 , 	15 , 	11 , 	9 , 	11 , 	2 , 	4 ," 	1,751 ",,,,,,,,,,
EP, 	58 , 	31 , 	9 , 	29 , 	195 , 	33 , 	43 , 	50 , 	39 , 	16 , 	18 , 	7 , 	8 , 	5 , 	6 , 	2 , 	3 , 	5 , 	6 , 	4 , 	8 , 	3 , 	2 , 	7 , 	2 , 	86 , 	76 , 	135 , 	99 , 	37 , 	23 , 	11 , 	9 , 	6 , 	4 , 	2 , 	2 , 	0 , 	3 , 	1 , 	2 , 	40 , 	4 , 	1 , 	12 , 	4 , 	4 , 	5 , 	2 , 	2 ," 	1,154 ",,,,,,,,,,
NB, 	27 , 	21 , 	26 , 	10 , 	62 , 	18 , 	26 , 	50 , 	31 , 	13 , 	24 , 	9 , 	14 , 	8 , 	9 , 	3 , 	6 , 	4 , 	4 , 	3 , 	6 , 	3 , 	3 , 	6 , 	5 , 	127 , 	88 , 	134 , 	158 , 	63 , 	39 , 	14 , 	10 , 	8 , 	5 , 	2 , 	6 , 	0 , 	3 , 	1 , 	3 , 	47 , 	11 , 	2 , 	18 , 	5 , 	4 , 	12 , 	1 , 	3 ," 	1,149 ",,,,,,,,,,
BK, 	179 , 	210 , 	209 , 	69 , 	40 , 	108 , 	89 , 	140 , 	128 , 	37 , 	70 , 	31 , 	49 , 	31 , 	46 , 	25 , 	57 , 	41 , 	21 , 	26 , 	53 , 	25 , 	23 , 	10 , 	21 , 	315 , 	278 , 	422 , 	281 , 	146 , 	90 , 	65 , 	31 , 	46 , 	8 , 	14 , 	43 , 	5 , 	11 , 	7 , 	11 , 	135 , 	103 , 	19 , 	59 , 	23 , 	50 , 	87 , 	4 , 	14 ," 	3,998 ",,,,,,,,,,
AS, 	39 , 	32 , 	27 , 	14 , 	90 , 	10 , 	24 , 	40 , 	44 , 	13 , 	30 , 	12 , 	11 , 	11 , 	9 , 	6 , 	8 , 	5 , 	6 , 	7 , 	9 , 	3 , 	1 , 	4 , 	10 , 	96 , 	82 , 	149 , 	172 , 	78 , 	48 , 	13 , 	10 , 	10 , 	3 , 	2 , 	7 , 	1 , 	3 , 	3 , 	6 , 	45 , 	14 , 	2 , 	14 , 	5 , 	7 , 	12 , 	1 , 	4 ," 	1,245 ",,,,,,,,,,
MA, 	58 , 	67 , 	42 , 	32 , 	96 , 	27 , 	13 , 	51 , 	48 , 	13 , 	58 , 	26 , 	28 , 	18 , 	20 , 	6 , 	10 , 	10 , 	27 , 	21 , 	33 , 	15 , 	9 , 	22 , 	21 , 	160 , 	134 , 	246 , 	244 , 	138 , 	82 , 	22 , 	19 , 	18 , 	6 , 	3 , 	5 , 	4 , 	15 , 	4 , 	5 , 	53 , 	14 , 	5 , 	14 , 	9 , 	14 , 	17 , 	8 , 	18 ," 	2,019 ",,,,,,,,,,
19, 	30 , 	58 , 	49 , 	52 , 	143 , 	41 , 	60 , 	31 , 	9 , 	8 , 	35 , 	22 , 	35 , 	20 , 	25 , 	7 , 	15 , 	17 , 	21 , 	25 , 	44 , 	20 , 	12 , 	49 , 	25 , 	193 , 	170 , 	274 , 	269 , 	146 , 	99 , 	33 , 	17 , 	22 , 	7 , 	5 , 	18 , 	9 , 	11 , 	9 , 	12 , 	51 , 	20 , 	6 , 	13 , 	11 , 	11 , 	26 , 	6 , 	13 ," 	2,297 ",,,,,,,,,,
12, 	38 , 	56 , 	38 , 	35 , 	117 , 	43 , 	43 , 	14 , 	16 , 	5 , 	26 , 	23 , 	37 , 	28 , 	22 , 	15 , 	10 , 	13 , 	22 , 	22 , 	28 , 	13 , 	10 , 	35 , 	26 , 	195 , 	141 , 	276 , 	194 , 	93 , 	60 , 	20 , 	19 , 	23 , 	7 , 	1 , 	6 , 	4 , 	11 , 	8 , 	16 , 	58 , 	16 , 	3 , 	14 , 	5 , 	11 , 	13 , 	2 , 	13 ," 	1,940 ",,,,,,,,,,
LM, 	10 , 	17 , 	16 , 	10 , 	37 , 	11 , 	14 , 	8 , 	5 , 	9 , 	41 , 	34 , 	58 , 	59 , 	35 , 	16 , 	18 , 	19 , 	3 , 	2 , 	3 , 	3 , 	1 , 	4 , 	9 , 	143 , 	102 , 	219 , 	170 , 	76 , 	59 , 	16 , 	25 , 	14 , 	5 , 	29 , 	40 , 	0 , 	4 , 	3 , 	3 , 	11 , 	3 , 	20 , 	15 , 	15 , 	17 , 	21 , 	2 , 	3 ," 	1,453 ",,,,,,,,,,
FV, 	37 , 	37 , 	13 , 	17 , 	63 , 	31 , 	51 , 	41 , 	24 , 	25 , 	19 , 	53 , 	74 , 	98 , 	63 , 	27 , 	25 , 	20 , 	9 , 	5 , 	10 , 	6 , 	4 , 	19 , 	40 , 	143 , 	118 , 	258 , 	197 , 	95 , 	80 , 	24 , 	22 , 	21 , 	5 , 	21 , 	46 , 	3 , 	9 , 	4 , 	5 , 	28 , 	4 , 	23 , 	8 , 	27 , 	24 , 	24 , 	1 , 	6 ," 	2,004 ",,,,,,,,,,
