Muni Fast Pass Adult/Clipper OD,,,,,,Jun 12,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,41,22,88,119,416,734,665,917,"3,002"
MT,29,42,53,104,499,950,899,"1,567","4,143"
PL,131,76,43,67,435,608,494,"1,223","3,077"
CC,97,91,71,32,233,373,351,739,"1,987"
16,355,391,514,264,19,150,164,337,"2,194"
24,591,704,733,392,160,25,114,278,"2,997"
GP,580,656,626,327,162,135,18,67,"2,570"
BP,780,916,"1,623",651,327,288,65,40,"4,690"
Entries,"2,604","2,898","3,751","1,957","2,250","3,263","2,770","5,167","24,660"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,20,6,32,27,152,187,142,269,834
MT,6,15,15,14,170,222,211,713,"1,366"
PL,38,15,49,31,377,496,384,"1,043","2,434"
CC,18,10,35,24,156,229,133,299,904
16,131,90,412,179,18,146,116,231,"1,324"
24,170,143,558,223,133,25,94,204,"1,551"
GP,112,112,446,126,103,99,11,43,"1,051"
BP,232,259,"1,319",255,212,186,43,30,"2,536"
Entries,728,649,"2,866",880,"1,322","1,591","1,133","2,832","12,001"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,27,5,26,20,85,124,86,173,545
MT,6,14,12,16,91,145,132,461,875
PL,33,9,52,26,250,373,264,730,"1,735"
CC,19,12,36,37,157,214,131,276,880
16,89,54,315,150,20,94,78,149,947
24,123,95,439,217,96,27,74,160,"1,230"
GP,81,66,360,131,77,73,13,32,834
BP,179,179,"1,044",235,157,161,25,32,"2,012"
Entries,555,432,"2,283",830,932,"1,211",802,"2,013","9,058"
