Avg Saturday Trip OD																																																			
																																																			
2024 / 12																																																			
	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	16	35	51	22	159	28	50	38	35	12	35	24	15	6	10	7	6	2	7	3	11	12	4	5	11	91	58	173	66	44	70	12	19	19	9	2	5	2	4	7	8	45	7	2	6	4	4	6	5	10	"1,279"
EN	38	15	42	19	178	47	58	47	59	12	48	26	21	23	15	11	8	9	10	6	13	6	3	10	12	128	122	299	110	56	62	22	18	25	10	4	8	1	6	8	11	54	14	4	14	7	3	7	8	17	"1,746"
EP	54	34	9	24	152	26	37	43	33	11	21	7	8	8	4	5	4	6	7	6	9	5	3	10	3	95	66	146	64	32	31	8	10	7	5	1	6	1	2	2	5	37	7	1	11	3	1	4	6	7	"1,083"
NB	19	21	26	5	48	18	26	47	27	6	21	7	13	8	9	4	3	5	3	7	9	3	1	6	6	124	86	132	77	50	42	12	6	8	5	2	4	1	3	2	3	48	5	1	12	3	2	1	7	10	987
BK	160	183	155	53	26	68	91	121	103	37	72	34	43	34	29	21	29	33	19	16	31	12	9	16	22	298	169	364	163	106	78	40	25	35	8	11	25	5	12	5	7	100	45	5	23	17	2	7	36	61	"3,057"
AS	24	39	25	17	60	9	21	31	28	9	27	13	10	7	6	2	7	8	4	3	7	4	1	5	11	81	62	109	70	57	35	11	11	7	5	2	7	1	1	1	1	31	7	3	10	2	1	4	4	8	902
MA	52	57	39	19	85	25	15	45	37	15	63	37	29	20	15	7	12	9	25	16	38	17	16	30	20	173	106	228	158	115	83	20	20	13	5	3	10	4	21	3	5	55	9	6	11	8	7	24	11	19	"1,857"
19	37	51	46	48	112	44	41	15	10	9	32	31	41	26	34	13	13	17	30	21	32	14	12	53	27	196	139	253	154	113	85	27	24	24	3	4	11	3	8	6	11	49	16	4	12	10	4	13	11	23	"2,004"
12	36	52	29	28	94	27	36	12	11	3	32	30	33	31	27	14	14	13	24	23	31	12	12	35	22	165	110	277	165	94	68	19	26	24	9	5	7	4	9	10	12	54	13	4	7	8	3	16	9	13	"1,809"
LM	12	11	12	7	35	9	12	7	6	8	50	39	88	61	32	17	14	18	4	2	5	1	4	7	13	129	96	184	106	66	47	14	18	15	2	28	33	0	3	1	2	10	3	17	11	9	1	2	16	24	"1,309"
FV	42	44	18	15	77	33	58	45	36	41	24	73	79	93	65	28	27	28	12	5	11	5	5	17	43	149	104	281	166	89	88	19	24	22	7	20	52	2	12	2	5	23	7	29	8	18	2	11	23	32	"2,113"
CL	26	24	6	6	36	14	37	39	35	31	72	17	38	57	54	19	15	10	10	5	4	3	1	4	27	65	55	129	62	32	31	9	10	17	5	13	41	2	8	4	6	14	3	14	9	14	4	10	11	17	"1,171"
SL	17	19	6	9	43	11	33	54	46	75	86	45	10	54	63	29	18	31	8	3	6	1	2	14	16	112	86	221	90	44	35	7	19	18	3	18	36	1	6	4	6	15	3	30	5	12	3	5	20	23	"1,520"
BF	7	25	8	6	30	10	18	31	29	66	95	64	52	11	43	28	20	27	8	3	6	2	1	7	15	86	71	224	65	30	30	9	20	14	3	13	46	2	2	3	5	10	2	28	6	20	3	3	21	23	"1,345"
HY	10	16	5	9	31	7	17	30	32	28	63	55	66	42	20	35	53	72	5	3	4	3	1	3	9	65	36	89	40	15	21	6	8	9	3	8	28	1	4	2	2	3	3	16	3	27	2	6	34	33	"1,077"
SH	10	8	4	3	21	4	8	12	12	15	26	23	22	27	26	5	20	41	2	1	2	2		2	6	35	25	76	25	9	12	4	5	5	2	7	17	1	2	3	2	3	1	11	2	24	1	2	22	25	620
UC	6	11	3	4	40	8	11	17	17	13	26	17	20	21	56	25	12	30	3	3	4	1	1	2	6	61	40	100	39	12	9	4	7	9	1	7	15	1	2	2	1	7	2	5	5	31	1	2	46	35	793
FM	4	10	8	5	42	9	10	25	15	17	29	12	23	33	67	40	26	12	3	1	3	1	2	4	5	76	48	117	47	18	12	4	5	12	1	4	17	1	2	1	2	11	2	8	4	23	1	3	51	59	930
CN	6	12	7	6	19	3	23	30	27	2	9	8	7	9	8	3	3	3	14	26	103	61	21	27	12	84	57	135	64	25	19	9	10	14	5	3	3	9	57	5	7	65	5	2	8	3	36	44	7	5	"1,125"
PH	3	9	4	4	17	6	18	20	19	2	7	7	6	4	4	2	3	1	28	8	44	22	9	29	6	108	64	167	77	26	17	10	13	11	4	1	2	4	21	3	3	64	3	3	12	4	10	19	4	6	927
WC	13	14	10	10	26	10	38	39	29	6	14	6	8	6	3	3	2	3	121	48	15	24	17	66	6	159	97	202	106	38	26	13	12	13	5	2	3	7	46	4	6	91	6		11	2	16	33	3	7	"1,437"
LF	12	7	5	4	11	4	15	15	13	1	5	3	2	2	2	1		2	74	24	22	10	7	25	1	120	62	156	81	22	11	5	8	4	1	0	2	4	9	1	2	64	2		5	2	6	9	2	2	840
OR	3	2	2	2	11	2	14	7	13	1	5	1	1	2	0	1	1	3	18	7	16	7	7	19	2	91	46	97	60	22	12	5	2	4	2	1	1	0	6	2	0	36	0	1	7	0	2	3	1	1	544
RR	11	10	14	5	14	7	30	52	43	5	19	3	9	5	5	1	3	3	25	26	62	28	22	17	11	175	116	208	120	74	59	19	11	11	4	3	6	6	12	2	2	69	8	1	5	0	5	11	3	6	"1,359"
OW	11	13	3	3	21	14	18	23	26	9	43	22	15	19	10	5	5	4	6	5	7	2	2	11	30	325	219	513	262	166	92	21	27	20	6	4	8	1	7	4	10	55	7	4	5	3	4	3	3	5	"2,094"
EM	101	159	104	155	342	109	204	250	213	130	167	74	133	116	68	42	67	81	97	138	193	138	106	212	380	73	18	112	77	202	238	136	173	161	39	65	206	31	66	38	42	186	73	94	28	36	10	48	72	74	"6,071"
MT	83	135	67	95	221	82	136	158	154	100	130	58	112	99	48	31	45	49	67	89	110	73	70	138	282	20	45	35	33	157	229	124	239	161	52	62	127	15	56	43	38	167	51	45	15	27	14	38	37	41	"4,496"
PL	173	265	132	151	378	129	219	287	270	171	272	119	212	186	104	72	110	123	144	177	212	164	119	242	560	122	24	119	96	528	649	396	553	519	149	106	342	55	131	123	126	525	167	118	33	45	23	91	90	117	"10,233"
