Total Trip OD																																																			
																																																			
2024 / 12																																																			
	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	533	"1,785"	"1,834"	853	"6,094"	"1,285"	"2,142"	"1,590"	"1,930"	562	"1,450"	"1,080"	580	310	498	293	269	176	413	151	378	321	176	376	519	"4,609"	"3,353"	"6,635"	"3,810"	"2,391"	"2,944"	671	934	"1,319"	319	69	213	88	187	271	383	"1,521"	357	94	245	177	155	301	192	327	"57,163"
EN	"1,906"	531	"1,702"	"1,016"	"8,326"	"1,861"	"2,819"	"3,038"	"4,251"	900	"1,912"	"1,213"	907	631	746	365	372	450	612	309	537	211	154	518	542	"8,461"	"7,414"	"11,587"	"7,015"	"3,195"	"2,627"	885	"1,004"	"1,680"	355	137	324	78	207	314	489	"1,998"	665	147	588	376	96	200	390	538	"86,599"
EP	"1,977"	"1,427"	288	890	"6,411"	"1,144"	"1,564"	"1,981"	"2,320"	598	738	400	393	251	233	126	183	266	246	211	339	180	115	367	126	"5,469"	"4,275"	"4,593"	"3,263"	"1,348"	947	424	416	523	100	74	192	42	83	111	178	"1,393"	292	92	355	126	34	113	200	267	"47,684"
NB	854	951	871	219	"1,809"	597	974	"1,699"	"1,642"	383	837	336	397	273	282	88	185	259	227	230	322	87	96	218	147	"5,987"	"4,472"	"3,796"	"3,780"	"1,656"	"1,056"	421	315	332	87	54	131	56	110	65	88	"1,803"	268	44	430	119	21	87	226	273	"39,660"
BK	"6,591"	"8,931"	"6,729"	"2,028"	783	"3,281"	"3,764"	"4,803"	"4,791"	"1,691"	"3,106"	"1,630"	"1,710"	"1,278"	"1,358"	719	"1,369"	"1,364"	"1,069"	938	"1,238"	533	394	433	845	"9,922"	"6,420"	"9,285"	"6,148"	"3,266"	"2,643"	"1,390"	"1,077"	"1,185"	368	438	"1,011"	203	664	273	347	"4,545"	"1,276"	312	"1,802"	662	176	519	"1,567"	"2,136"	"119,011"
AS	"1,097"	"1,619"	"1,120"	692	"2,810"	244	762	"1,460"	"1,499"	517	"1,261"	549	460	302	275	160	241	226	232	204	181	107	50	157	313	"4,797"	"3,766"	"3,669"	"3,349"	"1,749"	"1,059"	389	418	420	136	73	234	48	104	112	78	"1,083"	284	82	369	136	39	153	215	334	"39,634"
MA	"2,315"	"2,608"	"1,489"	991	"3,651"	909	475	"1,656"	"2,012"	606	"2,391"	"1,546"	"1,361"	874	835	569	507	605	"1,564"	"1,246"	"1,656"	610	548	874	901	"9,233"	"6,776"	"7,772"	"7,141"	"4,114"	"2,712"	926	806	798	223	157	541	322	"1,563"	223	264	"2,276"	452	285	450	411	368	"1,620"	518	650	"83,400"
19	"1,780"	"3,142"	"2,045"	"1,822"	"4,361"	"1,787"	"1,666"	523	531	325	"1,402"	"1,539"	"1,865"	"1,335"	"1,554"	762	"1,025"	"1,241"	"1,761"	"1,796"	"2,023"	"1,048"	809	"1,706"	958	"11,348"	"8,785"	"9,463"	"8,015"	"4,448"	"3,164"	"1,361"	"1,187"	"1,291"	331	330	"1,017"	484	911	397	517	"1,993"	716	460	487	648	275	"1,156"	773	987	"99,350"
12	"1,887"	"3,834"	"2,047"	"1,614"	"4,130"	"1,556"	"1,893"	461	527	242	"1,503"	"1,679"	"2,504"	"1,861"	"1,544"	"1,079"	"1,267"	"1,419"	"2,031"	"2,246"	"1,869"	"1,168"	807	"1,588"	997	"10,286"	"7,379"	"10,361"	"7,656"	"3,491"	"2,831"	"1,338"	"1,500"	"1,583"	677	427	"1,437"	609	"1,547"	675	573	"2,159"	756	577	346	449	381	"1,405"	666	857	"101,719"
