Avg Sunday Trip OD																																																			
																																																			
2024 / 12																																																			
	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	9	34	37	17	119	19	34	24	32	15	35	19	11	7	8	6	3	2	7	2	8	9	2	9	8	60	39	141	53	42	42	9	15	13	8	1	6	0	3	4	9	44	8	2	5	2	2	5	5	6	"1,002"
EN	39	11	33	21	125	33	44	41	43	22	35	15	14	13	13	8	6	7	15	6	13	7	2	10	7	106	74	242	87	56	43	13	18	12	11	3	7	1	5	6	9	56	10	4	19	5	2	4	10	20	"1,403"
EP	46	29	7	24	110	19	30	38	25	14	16	5	7	4	5	4	3	6	5	4	8	2	2	10	3	71	40	117	58	21	16	6	5	7	2	1	5	0	2	1	4	40	4	3	9	1	1	1	6	7	856
NB	16	17	21	6	29	14	21	42	16	12	16	4	7	6	6	2	3	7	2	4	5	3	1	4	4	98	70	117	74	38	27	10	7	6	1	2	3	1	2	2	1	53	7	1	14	3	0	3	8	8	821
BK	132	131	120	30	17	39	60	85	89	26	44	29	21	21	19	11	19	29	11	9	22	13	7	10	18	227	130	272	146	76	50	40	26	26	6	9	26	4	5	6	8	227	37	12	123	16	4	5	61	95	"2,649"
AS	22	27	18	13	38	5	15	34	25	14	22	10	8	4	6	2	6	7	2	4	5	2	1	2	6	62	38	84	54	38	30	11	8	7	5	1	3	0	1	3	2	33	6	2	12	2		2	7	11	718
MA	44	45	28	21	62	23	9	37	29	16	40	21	19	13	11	6	8	8	16	17	23	11	6	17	20	124	84	163	121	85	61	19	10	12	6	2	7	3	18	2	5	80	10	6	13	5	6	15	10	17	"1,434"
19	27	36	40	43	71	40	33	9	9	6	26	22	29	20	27	8	8	14	15	17	31	15	8	37	18	153	101	204	131	89	66	19	14	18	2	5	10	3	6	4	4	75	11	2	15	6	2	6	12	18	"1,584"
12	29	33	23	21	69	26	26	6	13	5	24	21	24	20	21	8	7	12	14	13	17	12	6	26	20	131	74	226	107	63	49	16	17	16	10	3	5	2	8	7	7	76	12	2	10	4	2	6	10	13	"1,370"
LM	14	20	14	13	23	17	13	8	5	7	78	35	69	46	27	16	21	17	3	2	2	3	2	6	16	110	76	177	90	56	53	12	19	16	2	20	37	1	2	3	1	17	3	13	17	9	1	2	21	17	"1,254"
FV	31	38	15	13	49	25	41	31	18	62	20	56	70	83	54	29	20	19	9	5	11	3	3	16	34	113	77	237	106	71	60	16	18	17	5	18	40	1	4	4	5	27	5	24	9	12	1	8	21	28	"1,681"
CL	17	16	5	5	23	11	28	20	23	33	52	16	33	54	41	16	6	10	7	5	5	0	1	3	22	50	34	104	52	25	26	7	8	14	3	9	30	1	4	1	3	15	1	10	17	10	2	6	14	12	908
SL	9	13	9	6	23	9	25	30	33	69	71	31	9	45	46	19	16	12	7	2	4	1	1	5	14	91	67	196	62	29	31	10	10	14	2	15	32	1	3	3	4	13	2	20	6	6	2	7	17	25	"1,179"
BF	9	16	4	4	15	7	16	21	28	43	82	51	40	8	41	28	16	19	8	1	5	1	1	4	10	68	49	181	53	23	17	6	10	12	1	9	40	1	5	1	4	13	1	32	6	14	2	3	17	19	"1,064"
HY	9	13	6	6	25	6	12	24	21	27	56	35	54	35	14	26	39	55	5	2	3	3		3	6	41	27	78	29	13	15	6	9	8	2	7	20	1	2	2	2	5	3	13	4	25	1	4	32	34	870
SH	5	5	5	2	10	2	7	7	10	15	29	15	20	23	23	6	13	30	0	1	3	1	1	1	4	30	16	60	19	10	8	2	4	6	0	4	11	1	1	1		4	2	8	6	20	1	1	17	22	494
UC	4	7	3	3	17	9	10	8	8	19	19	8	13	17	39	16	8	21	3	2	5	0	1	2	4	49	25	84	24	11	8	5	4	6	1	5	14	1	3	2	1	12	1	5	7	25		3	41	33	617
FM	4	9	5	7	23	6	7	15	15	14	22	9	11	19	46	32	21	8	2	2	1	1	0	2	6	62	32	82	27	12	11	7	4	6	1	5	11		1	0	1	18	2	5	9	17	1	3	41	45	688
CN	11	11	3	3	10	2	18	18	17	3	9	5	4	4	4	1	3	2	13	25	96	62	16	21	7	59	39	109	48	18	16	7	8	13	2	1	2	8	52	5	5	55	3	1	9	1	27	36	4	5	901
PH	2	3	3	6	12	5	18	18	13	3	4	3	4	1	3	1	2	2	25	7	35	18	5	24	3	78	50	125	66	16	13	8	8	8	3	1	1	3	21	3	3	79	4	1	17	2	7	13	2	2	756
WC	8	12	7	6	23	9	22	28	18	4	7	6	4	5	3	4	3	2	93	42	10	22	16	47	4	101	59	166	84	24	18	11	10	14	3	1	2	8	38	3	5	97	4	1	15	1	12	22	2	7	"1,111"
LF	8	5	2	2	11	2	13	15	14	2	3	1	1	2	3	2	1	0	62	21	22	4	4	23	1	66	39	111	55	18	7	6	4	4	1		0	3	6	1	1	54	2		6	1	4	4	3	2	621
OR	3	1	2	1	6	2	4	11	8	2	2	1		3	0	0	1	0	12	5	16	7	5	12	1	62	32	94	46	16	7	2	1	2	1		0		5	2	1	42	1	1	4	0	2	3	3	2	435
RR	6	6	10	5	13	3	17	46	31	5	13	5	6	3	3	0	3	1	22	26	54	25	19	11	10	134	78	166	107	47	35	17	7	5	1	1	3	1	7	3	3	95	6	1	11	0	3	10	2	5	"1,092"
OW	8	10	2	4	16	10	16	19	26	13	32	19	9	11	8	3	3	6	7	4	5	1	1	11	11	210	145	378	195	118	68	15	18	14	6	3	6	2	5	3	7	66	5	5	4	2	1	5	5	5	"1,551"
EM	69	115	73	113	225	78	139	162	154	105	116	54	99	82	47	34	55	65	67	89	114	67	67	145	256	46	15	76	46	130	163	95	111	119	30	52	159	15	47	30	26	167	46	72	39	32	8	32	59	51	"4,253"
MT	61	83	44	67	149	46	94	105	114	74	81	35	80	56	33	26	23	29	37	56	52	34	36	86	160	11	27	24	21	96	138	74	148	100	31	35	86	10	38	22	25	142	31	24	21	20	8	35	34	37	"2,899"
PL	117	204	112	106	254	90	150	197	206	156	216	98	178	144	81	54	74	73	104	114	150	106	83	158	395	85	18	97	62	392	493	264	427	389	119	76	205	26	82	84	104	403	117	77	33	32	13	74	85	62	"7,440"
CC	55	77	64	76	127	64	115	143	99	85	114	47	62	51	26	18	26	33	48	59	80	61	49	105	204	43	17	62	45	123	204	110	132	167	71	33	101	13	26	46	58	230	81	35	18	12	10	37	28	42	"3,632"
16	41	47	23	33	76	50	74	84	66	58	64	24	25	20	19	10	11	10	18	19	20	12	13	42	118	123	95	406	129	23	55	74	118	141	46	11	30	5	14	35	45	165	41	8	10	3	3	11	15	13	"2,597"
24	44	46	19	30	51	32	60	65	52	45	56	26	20	18	17	10	7	10	15	12	20	7	7	36	86	172	113	552	229	56	17	73	101	127	49	7	20	2	17	36	42	129	39	5	11	3	2	14	10	13	"2,631"
GP	11	11	7	12	38	14	16	21	18	8	15	11	9	8	6	3	4	5	6	7	7	6	3	16	19	86	76	312	108	74	81	10	15	21	20	3	19	5	9	14	19	80	27	4	5	2	2	7	5	6	"1,293"
BP	11	16	6	6	19	7	12	13	14	14	22	7	13	13	4	5	3	6	6	5	15	4	2	9	23	102	91	484	133	95	90	14	11	24	31	3	13	3	15	18	30	60	16	4	7	3	1	8	5	7	"1,522"
DC	14	16	6	5	22	7	12	16	16	14	20	11	13	12	7	5	6	6	11	9	10	2	3	8	22	116	91	459	194	148	129	21	31	16	16	6	27	3	11	20	54	160	60	4	4	4	1	10	9	12	"1,879"
CM	8	10	4	1	7	3	4	3	6	2	4	2	2	3	1	1	1	1	3	4	4	0	2	1	6	28	32	138	78	51	42	17	28	14	6	1	1	1	5	5	22	60	18	0			0	4	0	1	637
CV	0	2	1	2	6	2	3	3	3	25	17	8	15	8	4	4	4	4	2	1	1			2	4	43	25	86	32	10	5	3	4	5	0	3	29		1	1	1	5	0	32	2	0		1	3	3	416
ED	6	6	3	4	21	4	5	11	7	33	42	26	27	36	21	11	11	11	4	2	3			1	6	157	82	238	99	28	19	14	11	15	1	30	19	1	2	1	2	70	4	11	25	4	1	1	16	20	"1,173"
NC	1	0		1	3	1	4	3	2	0	2	1	0	2	1	0	1		8	4	8	3	1	2	2	13	9	31	12	4	2	3	3	2	1	0	0	2	7	1	2	18	1	0	4		4	6	1	2	179
