Avg Weekday Trip OD																																																			
																																																			
2024 / 12																																																			
	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	21	70	69	33	242	53	87	64	80	22	55	42	23	12	20	11	11	8	17	6	14	11	7	15	21	190	145	252	159	97	119	28	38	59	12	3	8	4	7	10	14	52	14	3	9	8	6	12	7	12	"2,286"
EN	75	20	67	41	352	75	116	131	187	37	76	51	36	22	30	13	15	19	24	12	20	7	7	21	22	362	322	438	302	133	103	36	40	76	12	5	12	3	7	12	19	69	27	5	22	16	4	7	15	18	"3,540"
EP	74	56	10	32	265	46	62	80	102	24	28	18	16	10	9	4	7	10	9	8	13	7	5	14	5	233	190	165	135	55	36	18	17	23	4	3	7	2	3	5	7	49	12	4	12	5	1	4	7	9	"1,919"
NB	33	39	32	8	74	22	38	65	73	15	33	14	15	11	11	3	8	10	10	9	13	3	4	9	5	245	190	130	155	63	37	16	13	14	3	2	5	2	5	2	3	62	11	2	15	5	1	3	8	9	"1,556"
BK	264	381	277	84	28	140	156	196	197	72	131	67	73	51	58	29	59	55	48	43	50	22	16	16	33	374	254	317	238	125	104	51	43	45	16	18	39	9	30	11	14	146	46	11	55	26	7	23	56	71	"4,674"
AS	45	66	46	27	120	9	30	58	64	21	51	22	19	12	11	7	9	8	10	9	6	4	2	6	12	208	167	138	141	68	38	14	17	18	5	3	9	2	5	5	3	37	11	3	13	6	2	6	8	12	"1,614"
MA	93	104	58	40	151	34	17	64	85	23	96	63	57	35	34	25	20	26	68	55	70	24	22	32	35	388	298	295	290	161	101	37	34	34	8	7	23	15	68	10	11	78	19	11	16	18	15	71	21	24	"3,382"
19	73	135	82	71	180	69	66	20	22	12	56	65	77	55	63	33	46	54	77	81	86	46	36	65	38	483	388	362	333	177	125	57	51	55	15	14	46	23	41	17	23	66	29	21	17	29	12	53	33	38	"4,117"
12	79	171	90	70	169	67	80	19	20	10	61	71	111	80	66	48	59	65	92	104	82	54	36	65	39	439	325	393	318	138	115	58	65	70	29	20	70	29	73	30	24	73	32	27	13	20	18	66	29	37	"4,317"
LM	18	36	21	15	71	23	24	12	11	11	84	85	172	118	71	60	50	42	11	6	12	4	3	8	14	275	220	249	212	89	62	28	36	36	5	51	83	3	9	2	4	17	2	43	13	31	8	12	28	34	"2,532"
FV	64	67	25	29	133	50	93	66	70	82	37	130	159	147	136	65	55	53	22	11	20	7	13	29	64	343	289	374	329	159	124	35	46	87	5	37	91	5	13	7	16	29	10	34	9	44	10	17	35	42	"3,817"
CL	46	49	14	14	60	27	69	65	78	83	125	22	60	87	91	39	42	29	16	13	9	5	3	10	47	144	119	190	142	60	62	22	26	51	5	24	56	2	17	4	7	14	8	20	14	27	8	25	22	23	"2,190"
SL	27	35	13	17	70	24	63	85	121	170	172	71	14	83	116	65	51	81	15	10	12	2	4	15	26	307	295	301	230	80	63	20	39	66	5	29	91	4	8	8	8	21	6	37	8	49	5	16	35	40	"3,132"
BF	14	24	7	11	51	11	39	59	85	118	147	91	85	16	58	48	45	59	16	3	8	2	3	9	21	234	221	299	184	62	51	17	25	43	5	25	74	2	6	8	8	13	4	41	5	42	3	5	28	37	"2,474"
HY	17	31	10	11	54	13	40	63	74	69	137	92	118	61	20	53	106	132	15	8	8	4	1	9	21	136	118	138	99	37	23	11	14	21	3	9	44	2	6	7	4	9	6	21	7	79	4	10	59	54	"2,088"
SH	10	13	4	3	25	8	25	33	50	51	58	41	53	44	47	8	45	64	7	4	5	2	1	3	9	110	99	96	89	22	29	5	10	15	2	13	24	0	5	3	1	5	4	15	4	65	1	4	36	37	"1,309"
UC	12	15	7	9	54	8	25	47	64	48	56	42	52	52	107	43	16	55	6	4	12	1	2	4	10	185	152	113	90	30	15	5	11	18	3	11	33	1	4	2	3	13	2	14	6	72	1	3	68	62	"1,669"
FM	9	18	8	11	52	9	26	51	71	43	52	30	79	59	130	71	57	21	8	4	5	1	3	5	7	224	153	110	88	29	16	7	8	18	2	13	31	1	5	2	4	19	1	13	10	61	1	7	90	90	"1,833"
CN	18	25	10	10	44	11	75	71	94	13	21	18	17	13	13	7	6	7	22	58	150	79	27	52	11	273	228	217	184	53	49	23	24	40	6	4	4	26	115	10	10	69	11	4	13	3	62	91	9	7	"2,412"
PH	6	11	8	10	42	10	57	81	103	7	12	13	9	4	8	5	4	5	56	15	63	30	15	51	10	435	380	210	192	59	34	21	12	29	8	1	3	14	40	7	6	95	8	2	20	5	22	40	5	6	"2,287"
WC	18	20	14	13	55	9	74	86	95	12	20	9	13	7	9	5	11	4	162	61	20	43	26	81	9	470	361	229	169	57	33	24	18	34	8	3	5	23	74	11	11	120	9	2	18	3	31	62	5	7	"2,666"
LF	12	8	7	4	20	4	22	45	52	3	8	5	3	1	3	1	1	1	96	40	46	11	9	39	3	347	257	117	90	34	15	8	11	9	2	0	2	6	16	3	5	75	3	0	11	1	8	11	2	3	"1,483"
OR	7	5	4	5	17	3	19	34	43	2	9	3	5	2	2	1	2	3	25	13	25	9	8	25	3	327	218	104	90	23	14	9	8	11	2	1	1	2	8	2	4	55	4	0	6	1	3	5	2	3	"1,176"
