Fast Pass Adjusted OD,,,,,,Feb 05,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,39,39,120,114,474,812,702,"1,063","3,363"
MT,38,43,79,117,731,"1,250","1,064","2,178","5,500"
PL,153,96,59,101,627,921,605,"1,570","4,132"
CC,112,124,115,55,555,769,480,"1,338","3,548"
16,401,587,766,518,20,216,170,587,"3,264"
24,690,949,"1,123",743,223,29,134,522,"4,414"
GP,636,838,830,416,174,153,18,111,"3,176"
BP,922,"1,281","2,461","1,176",602,568,117,31,"7,158"
Entries,"2,990","3,958","5,555","3,241","3,407","4,717","3,289","7,400","34,555"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,20,11,41,34,195,230,115,212,857
MT,9,21,26,31,293,372,320,"1,038","2,111"
PL,43,15,57,49,492,761,439,973,"2,828"
CC,32,25,65,42,357,430,179,441,"1,572"
16,153,191,571,350,19,155,100,279,"1,817"
24,183,218,823,437,164,32,103,248,"2,208"
GP,89,150,612,152,101,100,16,59,"1,280"
BP,193,328,"1,664",412,282,253,63,27,"3,221"
Entries,721,959,"3,858","1,506","1,902","2,334","1,336","3,277","15,892"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,19,5,21,23,126,139,55,111,498
MT,2,17,20,21,173,203,199,675,"1,310"
PL,23,12,53,36,342,508,299,639,"1,912"
CC,15,13,48,47,298,324,109,340,"1,195"
16,110,107,402,273,22,99,65,164,"1,240"
24,110,134,607,327,97,32,66,162,"1,534"
GP,59,71,448,96,64,60,11,27,834
BP,116,182,"1,220",271,160,156,22,22,"2,147"
Entries,452,539,"2,817","1,094","1,282","1,520",826,"2,139","10,669"
