Muni Fast Pass Adult/Clipper OD,,,,,,Sep 11,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,46,27,101,115,416,771,636,928,"3,041"
MT,30,44,59,107,500,"1,002",886,"1,727","4,354"
PL,139,76,62,77,434,692,515,"1,491","3,487"
CC,88,101,81,33,262,471,348,949,"2,333"
16,352,396,529,284,17,134,157,441,"2,311"
24,603,735,837,465,133,28,131,485,"3,416"
GP,555,664,624,318,159,143,16,109,"2,587"
BP,797,995,"2,017",897,441,493,105,58,"5,803"
Entries,"2,611","3,039","4,309","2,296","2,361","3,734","2,793","6,188","27,331"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,20,4,39,26,143,212,115,269,828
MT,7,13,15,18,174,245,208,772,"1,453"
PL,44,16,53,32,377,548,378,"1,019","2,466"
CC,17,11,48,23,171,247,138,311,965
16,126,95,432,188,27,112,116,237,"1,333"
24,162,141,612,248,94,25,88,249,"1,619"
GP,95,118,484,114,100,84,21,47,"1,063"
BP,204,256,"1,379",272,209,207,48,33,"2,608"
Entries,676,654,"3,062",919,"1,295","1,679","1,113","2,936","12,333"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,20,2,27,18,88,129,72,164,519
MT,2,12,13,13,95,153,123,484,894
PL,27,7,60,23,266,371,252,697,"1,703"
CC,14,8,30,24,141,180,109,256,761
16,86,56,329,153,20,83,67,159,952
24,129,82,485,183,74,35,71,158,"1,215"
GP,68,82,373,99,68,67,17,23,794
BP,153,162,"1,066",222,151,137,23,21,"1,934"
Entries,499,410,"2,382",734,902,"1,154",733,"1,960","8,773"
