Exit stations,Entry stations->,,SATURDAY,,,Feb 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	3 , 	10 , 	11 , 	7 , 	19 , 	7 , 	12 , 	7 , 	10 , 	3 , 	13 , 	7 , 	3 , 	2 , 	2 , 	3 , 	1 , 	1 , 	2 , 	1 , 	2 , 	1 , 	1 , 	3 , 	2 , 	17 , 	17 , 	34 , 	19 , 	16 , 	19 , 	5 , 	6 , 	5 , 	2 , 	1 , 	2 , 	-   , 	-   , 	1 , 	1 , 	3 , 	1 , 	-   , 	1 , 	1 , 	1 , 	2 , 	1 , 	1 , 	284 ,,,,,,,,,,
CL, 	9 , 	22 , 	6 , 	6 , 	24 , 	12 , 	21 , 	18 , 	20 , 	24 , 	36 , 	7 , 	28 , 	39 , 	26 , 	13 , 	11 , 	12 , 	6 , 	5 , 	4 , 	1 , 	1 , 	3 , 	12 , 	25 , 	21 , 	72 , 	40 , 	27 , 	24 , 	10 , 	8 , 	11 , 	1 , 	8 , 	16 , 	1 , 	3 , 	2 , 	4 , 	3 , 	1 , 	10 , 	4 , 	4 , 	4 , 	6 , 	4 , 	8 , 	676 ,,,,,,,,,,
SL, 	4 , 	13 , 	4 , 	4 , 	12 , 	8 , 	12 , 	17 , 	16 , 	37 , 	51 , 	35 , 	5 , 	25 , 	23 , 	16 , 	15 , 	12 , 	2 , 	3 , 	4 , 	2 , 	0 , 	8 , 	9 , 	36 , 	38 , 	76 , 	29 , 	20 , 	17 , 	6 , 	8 , 	7 , 	2 , 	10 , 	16 , 	1 , 	3 , 	2 , 	2 , 	8 , 	1 , 	15 , 	1 , 	7 , 	7 , 	8 , 	1 , 	3 , 	649 ,,,,,,,,,,
BF, 	3 , 	11 , 	3 , 	4 , 	10 , 	5 , 	11 , 	15 , 	19 , 	35 , 	77 , 	41 , 	34 , 	8 , 	27 , 	13 , 	12 , 	21 , 	5 , 	1 , 	2 , 	1 , 	3 , 	3 , 	9 , 	31 , 	28 , 	78 , 	33 , 	15 , 	15 , 	4 , 	7 , 	9 , 	3 , 	9 , 	20 , 	1 , 	2 , 	1 , 	2 , 	3 , 	2 , 	11 , 	1 , 	6 , 	3 , 	9 , 	2 , 	1 , 	661 ,,,,,,,,,,
HY, 	1 , 	11 , 	3 , 	3 , 	8 , 	7 , 	12 , 	11 , 	13 , 	17 , 	33 , 	25 , 	24 , 	27 , 	6 , 	21 , 	23 , 	21 , 	5 , 	1 , 	2 , 	3 , 	0 , 	1 , 	7 , 	23 , 	8 , 	43 , 	19 , 	10 , 	15 , 	4 , 	4 , 	5 , 	3 , 	3 , 	12 , 	2 , 	2 , 	1 , 	1 , 	4 , 	1 , 	6 , 	1 , 	6 , 	11 , 	14 , 	2 , 	4 , 	484 ,,,,,,,,,,
SH, 	1 , 	7 , 	3 , 	1 , 	3 , 	2 , 	3 , 	2 , 	4 , 	6 , 	21 , 	9 , 	14 , 	14 , 	18 , 	2 , 	9 , 	13 , 	2 , 	0 , 	0 , 	1 , 	-   , 	3 , 	2 , 	11 , 	11 , 	21 , 	10 , 	3 , 	4 , 	2 , 	5 , 	2 , 	2 , 	5 , 	5 , 	1 , 	1 , 	0 , 	3 , 	2 , 	1 , 	3 , 	1 , 	7 , 	8 , 	9 , 	1 , 	2 , 	257 ,,,,,,,,,,
UC, 	1 , 	6 , 	1 , 	2 , 	12 , 	3 , 	5 , 	4 , 	8 , 	6 , 	17 , 	13 , 	9 , 	11 , 	22 , 	8 , 	4 , 	14 , 	2 , 	1 , 	1 , 	2 , 	0 , 	1 , 	1 , 	13 , 	12 , 	26 , 	10 , 	10 , 	5 , 	2 , 	1 , 	3 , 	1 , 	3 , 	6 , 	-   , 	1 , 	-   , 	1 , 	1 , 	-   , 	1 , 	2 , 	9 , 	11 , 	15 , 	-   , 	3 , 	280 ,,,,,,,,,,
FM, 	0 , 	4 , 	1 , 	1 , 	5 , 	2 , 	5 , 	3 , 	8 , 	6 , 	17 , 	9 , 	13 , 	14 , 	21 , 	11 , 	13 , 	7 , 	2 , 	3 , 	1 , 	-   , 	0 , 	1 , 	2 , 	21 , 	8 , 	20 , 	21 , 	6 , 	4 , 	1 , 	5 , 	4 , 	1 , 	2 , 	4 , 	-   , 	4 , 	2 , 	1 , 	3 , 	0 , 	2 , 	1 , 	10 , 	14 , 	12 , 	0 , 	1 , 	293 ,,,,,,,,,,
CN, 	2 , 	7 , 	3 , 	3 , 	4 , 	2 , 	12 , 	8 , 	9 , 	2 , 	7 , 	5 , 	2 , 	3 , 	3 , 	2 , 	1 , 	2 , 	8 , 	20 , 	37 , 	26 , 	9 , 	14 , 	6 , 	34 , 	15 , 	50 , 	20 , 	15 , 	15 , 	5 , 	7 , 	5 , 	2 , 	1 , 	2 , 	2 , 	38 , 	2 , 	3 , 	7 , 	5 , 	1 , 	4 , 	1 , 	2 , 	4 , 	19 , 	19 , 	466 ,,,,,,,,,,
PH, 	1 , 	4 , 	3 , 	1 , 	6 , 	3 , 	11 , 	8 , 	11 , 	0 , 	6 , 	4 , 	3 , 	2 , 	1 , 	0 , 	1 , 	3 , 	20 , 	7 , 	17 , 	10 , 	1 , 	12 , 	2 , 	26 , 	19 , 	43 , 	18 , 	9 , 	6 , 	1 , 	2 , 	1 , 	2 , 	-   , 	1 , 	2 , 	12 , 	2 , 	3 , 	9 , 	1 , 	-   , 	4 , 	0 , 	-   , 	2 , 	4 , 	7 , 	303 ,,,,,,,,,,
WC, 	1 , 	8 , 	2 , 	3 , 	4 , 	2 , 	10 , 	10 , 	10 , 	2 , 	7 , 	4 , 	4 , 	1 , 	1 , 	1 , 	1 , 	1 , 	54 , 	22 , 	5 , 	11 , 	9 , 	11 , 	4 , 	28 , 	23 , 	36 , 	13 , 	12 , 	5 , 	2 , 	4 , 	5 , 	2 , 	1 , 	1 , 	6 , 	27 , 	2 , 	3 , 	8 , 	1 , 	1 , 	5 , 	0 , 	-   , 	2 , 	9 , 	13 , 	388 ,,,,,,,,,,
LF, 	1 , 	2 , 	1 , 	1 , 	2 , 	1 , 	4 , 	3 , 	5 , 	1 , 	6 , 	1 , 	1 , 	1 , 	2 , 	1 , 	1 , 	1 , 	34 , 	10 , 	9 , 	1 , 	3 , 	6 , 	0 , 	12 , 	12 , 	17 , 	10 , 	5 , 	5 , 	2 , 	2 , 	-   , 	-   , 	0 , 	1 , 	4 , 	7 , 	0 , 	0 , 	3 , 	1 , 	-   , 	1 , 	0 , 	0 , 	1 , 	5 , 	3 , 	180 ,,,,,,,,,,
OR, 	1 , 	1 , 	0 , 	0 , 	1 , 	1 , 	5 , 	4 , 	2 , 	1 , 	6 , 	1 , 	1 , 	1 , 	0 , 	1 , 	-   , 	1 , 	7 , 	4 , 	9 , 	3 , 	1 , 	6 , 	-   , 	11 , 	5 , 	13 , 	6 , 	6 , 	1 , 	1 , 	1 , 	1 , 	1 , 	-   , 	-   , 	1 , 	2 , 	-   , 	0 , 	4 , 	1 , 	-   , 	1 , 	-   , 	0 , 	-   , 	2 , 	0 , 	110 ,,,,,,,,,,
RR, 	2 , 	8 , 	7 , 	2 , 	2 , 	0 , 	9 , 	9 , 	13 , 	4 , 	16 , 	4 , 	6 , 	3 , 	1 , 	3 , 	1 , 	1 , 	13 , 	13 , 	9 , 	9 , 	7 , 	9 , 	7 , 	20 , 	14 , 	29 , 	20 , 	13 , 	8 , 	6 , 	3 , 	4 , 	2 , 	1 , 	0 , 	1 , 	3 , 	1 , 	1 , 	5 , 	1 , 	1 , 	1 , 	1 , 	0 , 	1 , 	1 , 	4 , 	291 ,,,,,,,,,,
OW, 	2 , 	8 , 	2 , 	3 , 	10 , 	3 , 	8 , 	10 , 	13 , 	8 , 	20 , 	11 , 	9 , 	11 , 	5 , 	2 , 	1 , 	1 , 	6 , 	2 , 	4 , 	-   , 	-   , 	5 , 	8 , 	103 , 	79 , 	162 , 	73 , 	56 , 	39 , 	6 , 	14 , 	10 , 	3 , 	3 , 	4 , 	1 , 	4 , 	2 , 	5 , 	8 , 	1 , 	1 , 	1 , 	1 , 	2 , 	2 , 	2 , 	3 , 	733 ,,,,,,,,,,
EM, 	13 , 	73 , 	24 , 	25 , 	59 , 	27 , 	53 , 	63 , 	58 , 	47 , 	59 , 	36 , 	41 , 	32 , 	26 , 	13 , 	12 , 	26 , 	32 , 	31 , 	33 , 	12 , 	11 , 	31 , 	107 , 	11 , 	5 , 	23 , 	20 , 	57 , 	67 , 	29 , 	64 , 	43 , 	11 , 	16 , 	50 , 	7 , 	19 , 	11 , 	13 , 	16 , 	7 , 	14 , 	5 , 	6 , 	13 , 	8 , 	6 , 	21 ," 	1,482 ",,,,,,,,,,
MT, 	23 , 	79 , 	22 , 	11 , 	49 , 	23 , 	43 , 	48 , 	58 , 	39 , 	53 , 	26 , 	52 , 	46 , 	13 , 	14 , 	13 , 	10 , 	23 , 	25 , 	22 , 	13 , 	8 , 	20 , 	91 , 	10 , 	8 , 	10 , 	16 , 	40 , 	52 , 	47 , 	111 , 	57 , 	21 , 	16 , 	26 , 	6 , 	22 , 	11 , 	15 , 	21 , 	6 , 	9 , 	5 , 	8 , 	5 , 	8 , 	4 , 	18 ," 	1,370 ",,,,,,,,,,
PL, 	31 , 	110 , 	39 , 	15 , 	59 , 	35 , 	66 , 	71 , 	87 , 	64 , 	113 , 	52 , 	56 , 	63 , 	36 , 	15 , 	17 , 	14 , 	36 , 	41 , 	26 , 	17 , 	12 , 	23 , 	157 , 	27 , 	5 , 	21 , 	19 , 	147 , 	192 , 	106 , 	235 , 	179 , 	57 , 	24 , 	40 , 	12 , 	40 , 	27 , 	37 , 	36 , 	18 , 	16 , 	5 , 	6 , 	6 , 	14 , 	8 , 	20 ," 	2,546 ",,,,,,,,,,
CC, 	14 , 	49 , 	15 , 	15 , 	38 , 	17 , 	39 , 	37 , 	47 , 	36 , 	93 , 	33 , 	20 , 	23 , 	16 , 	11 , 	9 , 	23 , 	13 , 	18 , 	16 , 	4 , 	7 , 	17 , 	85 , 	19 , 	15 , 	20 , 	13 , 	54 , 	61 , 	30 , 	85 , 	68 , 	31 , 	7 , 	18 , 	3 , 	9 , 	14 , 	20 , 	20 , 	10 , 	6 , 	3 , 	1 , 	6 , 	5 , 	5 , 	8 ," 	1,217 ",,,,,,,,,,
