Exit stations,Entry stations->,,SATURDAY,,,Feb 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	3 , 	10 , 	11 , 	7 , 	19 , 	7 , 	12 , 	7 , 	10 , 	3 , 	13 , 	7 , 	3 , 	2 , 	2 , 	3 , 	1 , 	1 , 	2 , 	1 , 	2 , 	1 , 	1 , 	3 , 	2 , 	17 , 	17 , 	34 , 	19 , 	16 , 	19 , 	5 , 	6 , 	5 , 	2 , 	1 , 	2 , 	-   , 	-   , 	1 , 	1 , 	3 , 	1 , 	-   , 	1 , 	1 , 	1 , 	2 , 	1 , 	1 , 	284 ,,,,,,,,,,
SS, 	2 , 	4 , 	1 , 	1 , 	1 , 	1 , 	2 , 	1 , 	1 , 	0 , 	2 , 	2 , 	1 , 	1 , 	2 , 	1 , 	0 , 	1 , 	1 , 	2 , 	3 , 	-   , 	1 , 	0 , 	1 , 	11 , 	8 , 	33 , 	14 , 	13 , 	20 , 	5 , 	7 , 	7 , 	2 , 	0 , 	2 , 	-   , 	4 , 	3 , 	4 , 	10 , 	3 , 	1 , 	0 , 	-   , 	-   , 	1 , 	1 , 	5 , 	182 ,,,,,,,,,,
SB, 	3 , 	6 , 	1 , 	-   , 	2 , 	2 , 	2 , 	0 , 	6 , 	2 , 	4 , 	3 , 	2 , 	5 , 	1 , 	1 , 	2 , 	1 , 	4 , 	4 , 	2 , 	0 , 	-   , 	1 , 	5 , 	12 , 	11 , 	49 , 	23 , 	25 , 	27 , 	13 , 	25 , 	19 , 	7 , 	2 , 	-   , 	1 , 	2 , 	9 , 	5 , 	9 , 	4 , 	1 , 	-   , 	1 , 	-   , 	-   , 	3 , 	2 , 	300 ,,,,,,,,,,
SO, 	2 , 	10 , 	2 , 	2 , 	4 , 	2 , 	5 , 	5 , 	7 , 	1 , 	3 , 	3 , 	2 , 	3 , 	2 , 	2 , 	2 , 	1 , 	8 , 	5 , 	10 , 	2 , 	2 , 	2 , 	5 , 	6 , 	10 , 	38 , 	19 , 	10 , 	10 , 	5 , 	14 , 	29 , 	16 , 	1 , 	5 , 	2 , 	7 , 	6 , 	7 , 	8 , 	14 , 	1 , 	2 , 	0 , 	0 , 	-   , 	4 , 	12 , 	311 ,,,,,,,,,,
MB, 	2 , 	2 , 	1 , 	0 , 	2 , 	1 , 	1 , 	3 , 	3 , 	1 , 	2 , 	1 , 	1 , 	2 , 	1 , 	1 , 	-   , 	-   , 	3 , 	1 , 	1 , 	0 , 	1 , 	1 , 	2 , 	4 , 	7 , 	19 , 	8 , 	9 , 	8 , 	4 , 	7 , 	13 , 	1 , 	1 , 	2 , 	0 , 	2 , 	1 , 	2 , 	22 , 	5 , 	-   , 	-   , 	-   , 	-   , 	-   , 	0 , 	1 , 	144 ,,,,,,,,,,
WD, 	0 , 	1 , 	2 , 	-   , 	3 , 	1 , 	3 , 	1 , 	0 , 	10 , 	17 , 	8 , 	15 , 	18 , 	5 , 	5 , 	2 , 	3 , 	2 , 	-   , 	0 , 	-   , 	-   , 	1 , 	1 , 	16 , 	12 , 	19 , 	8 , 	4 , 	4 , 	1 , 	4 , 	2 , 	1 , 	16 , 	11 , 	-   , 	0 , 	-   , 	2 , 	2 , 	0 , 	5 , 	2 , 	0 , 	1 , 	1 , 	-   , 	2 , 	206 ,,,,,,,,,,
OA, 	0 , 	3 , 	1 , 	1 , 	2 , 	1 , 	0 , 	2 , 	2 , 	2 , 	2 , 	4 , 	3 , 	1 , 	1 , 	1 , 	1 , 	1 , 	2 , 	3 , 	2 , 	1 , 	-   , 	0 , 	1 , 	2 , 	1 , 	6 , 	2 , 	1 , 	2 , 	-   , 	1 , 	-   , 	-   , 	1 , 	5 , 	0 , 	2 , 	0 , 	-   , 	3 , 	0 , 	0 , 	0 , 	1 , 	1 , 	1 , 	1 , 	2 , 	64 ,,,,,,,,,,
WS, 	2 , 	4 , 	1 , 	2 , 	4 , 	2 , 	2 , 	3 , 	5 , 	5 , 	8 , 	5 , 	7 , 	3 , 	7 , 	8 , 	11 , 	7 , 	1 , 	-   , 	-   , 	-   , 	-   , 	0 , 	1 , 	7 , 	5 , 	5 , 	2 , 	4 , 	1 , 	0 , 	3 , 	1 , 	-   , 	2 , 	2 , 	0 , 	-   , 	-   , 	-   , 	1 , 	1 , 	1 , 	0 , 	2 , 	8 , 	8 , 	0 , 	-   , 	135 ,,,,,,,,,,
ML, 	2 , 	3 , 	1 , 	2 , 	6 , 	1 , 	3 , 	3 , 	2 , 	5 , 	3 , 	3 , 	6 , 	4 , 	5 , 	6 , 	9 , 	13 , 	2 , 	1 , 	1 , 	-   , 	0 , 	0 , 	0 , 	12 , 	6 , 	7 , 	7 , 	5 , 	3 , 	1 , 	1 , 	3 , 	-   , 	1 , 	3 , 	1 , 	1 , 	-   , 	-   , 	-   , 	0 , 	0 , 	0 , 	9 , 	3 , 	7 , 	-   , 	1 , 	149 ,,,,,,,,,,
BE, 	2 , 	7 , 	3 , 	2 , 	10 , 	3 , 	4 , 	4 , 	5 , 	7 , 	17 , 	8 , 	7 , 	11 , 	13 , 	11 , 	13 , 	16 , 	3 , 	2 , 	1 , 	1 , 	-   , 	1 , 	3 , 	8 , 	6 , 	20 , 	11 , 	8 , 	3 , 	2 , 	5 , 	4 , 	1 , 	1 , 	4 , 	0 , 	3 , 	0 , 	-   , 	1 , 	-   , 	1 , 	1 , 	5 , 	5 , 	7 , 	-   , 	2 , 	245 ,,,,,,,,,,
PC, 	1 , 	3 , 	1 , 	1 , 	2 , 	1 , 	6 , 	6 , 	3 , 	0 , 	4 , 	4 , 	1 , 	2 , 	1 , 	1 , 	0 , 	2 , 	14 , 	5 , 	11 , 	6 , 	3 , 	1 , 	1 , 	8 , 	8 , 	9 , 	5 , 	5 , 	5 , 	2 , 	2 , 	4 , 	3 , 	1 , 	0 , 	3 , 	5 , 	-   , 	1 , 	3 , 	0 , 	-   , 	2 , 	-   , 	1 , 	0 , 	1 , 	7 , 	148 ,,,,,,,,,,
AN, 	-   , 	4 , 	1 , 	1 , 	3 , 	3 , 	14 , 	8 , 	9 , 	2 , 	7 , 	5 , 	5 , 	4 , 	2 , 	2 , 	1 , 	2 , 	21 , 	9 , 	14 , 	2 , 	2 , 	5 , 	2 , 	22 , 	16 , 	26 , 	10 , 	7 , 	7 , 	5 , 	7 , 	7 , 	1 , 	2 , 	2 , 	3 , 	7 , 	3 , 	2 , 	14 , 	2 , 	-   , 	2 , 	1 , 	-   , 	2 , 	9 , 	10 , 	291 ,,,,,,,,,,
Entries, 	274 , 	916 , 	373 , 	238 , 	772 , 	375 , 	663 , 	634 , 	727 , 	547 ," 	1,137 ", 	668 , 	609 , 	628 , 	454 , 	264 , 	265 , 	300 , 	472 , 	318 , 	359 , 	168 , 	114 , 	282 , 	759 ," 	1,381 "," 	1,055 "," 	3,089 "," 	1,372 "," 	1,227 "," 	1,128 ", 	485 , 	936 , 	728 , 	310 , 	197 , 	395 , 	81 , 	340 , 	179 , 	285 , 	434 , 	168 , 	177 , 	84 , 	135 , 	150 , 	225 , 	135 , 	257 ," 	27,263 ",,,,,,,,,,
