Exit stations,Entry stations->,,SUNDAY,,,Feb 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	4 , 	7 , 	5 , 	5 , 	16 , 	6 , 	7 , 	5 , 	7 , 	7 , 	11 , 	6 , 	2 , 	2 , 	2 , 	1 , 	0 , 	1 , 	4 , 	1 , 	2 , 	1 , 	0 , 	1 , 	1 , 	12 , 	12 , 	25 , 	11 , 	15 , 	10 , 	2 , 	4 , 	4 , 	3 , 	1 , 	-   , 	-   , 	1 , 	3 , 	2 , 	2 , 	1 , 	-   , 	2 , 	1 , 	1 , 	1 , 	1 , 	1 , 	213 ,,,,,,,,,,,
CL, 	5 , 	14 , 	4 , 	5 , 	16 , 	11 , 	15 , 	11 , 	16 , 	21 , 	30 , 	9 , 	23 , 	22 , 	19 , 	9 , 	7 , 	3 , 	5 , 	3 , 	3 , 	0 , 	1 , 	4 , 	10 , 	23 , 	21 , 	62 , 	28 , 	20 , 	18 , 	5 , 	6 , 	5 , 	2 , 	8 , 	13 , 	1 , 	5 , 	2 , 	1 , 	5 , 	1 , 	6 , 	8 , 	3 , 	4 , 	4 , 	4 , 	4 , 	518 ,,,,,,,,,,,
SL, 	3 , 	10 , 	2 , 	4 , 	6 , 	4 , 	9 , 	16 , 	13 , 	23 , 	31 , 	25 , 	5 , 	23 , 	16 , 	8 , 	11 , 	7 , 	2 , 	2 , 	3 , 	2 , 	-   , 	4 , 	5 , 	28 , 	21 , 	53 , 	23 , 	14 , 	12 , 	3 , 	6 , 	6 , 	1 , 	9 , 	11 , 	1 , 	2 , 	1 , 	1 , 	9 , 	1 , 	11 , 	3 , 	5 , 	3 , 	6 , 	1 , 	1 , 	459 ,,,,,,,,,,,
BF, 	2 , 	9 , 	4 , 	4 , 	6 , 	7 , 	10 , 	10 , 	16 , 	23 , 	46 , 	26 , 	23 , 	3 , 	22 , 	10 , 	13 , 	15 , 	3 , 	1 , 	3 , 	1 , 	1 , 	3 , 	7 , 	27 , 	23 , 	55 , 	22 , 	13 , 	12 , 	5 , 	4 , 	5 , 	3 , 	10 , 	17 , 	0 , 	2 , 	1 , 	1 , 	3 , 	2 , 	13 , 	3 , 	5 , 	6 , 	8 , 	1 , 	1 , 	502 ,,,,,,,,,,,
HY, 	1 , 	10 , 	3 , 	2 , 	5 , 	4 , 	7 , 	8 , 	9 , 	11 , 	24 , 	16 , 	22 , 	20 , 	7 , 	11 , 	14 , 	19 , 	2 , 	3 , 	2 , 	2 , 	0 , 	1 , 	3 , 	15 , 	5 , 	28 , 	8 , 	6 , 	7 , 	1 , 	3 , 	4 , 	2 , 	1 , 	7 , 	-   , 	3 , 	1 , 	1 , 	1 , 	-   , 	4 , 	2 , 	4 , 	9 , 	9 , 	1 , 	3 , 	324 ,,,,,,,,,,,
SH, 	0 , 	3 , 	2 , 	1 , 	3 , 	1 , 	2 , 	2 , 	4 , 	7 , 	13 , 	9 , 	9 , 	9 , 	11 , 	4 , 	5 , 	6 , 	1 , 	0 , 	1 , 	-   , 	-   , 	1 , 	3 , 	9 , 	4 , 	16 , 	4 , 	3 , 	5 , 	1 , 	2 , 	3 , 	1 , 	3 , 	3 , 	-   , 	1 , 	1 , 	1 , 	4 , 	1 , 	4 , 	1 , 	5 , 	3 , 	10 , 	1 , 	1 , 	180 ,,,,,,,,,,,
UC, 	1 , 	5 , 	2 , 	2 , 	3 , 	3 , 	3 , 	2 , 	5 , 	10 , 	12 , 	9 , 	9 , 	13 , 	13 , 	3 , 	3 , 	8 , 	1 , 	1 , 	1 , 	0 , 	-   , 	1 , 	1 , 	6 , 	6 , 	19 , 	7 , 	6 , 	2 , 	2 , 	1 , 	1 , 	0 , 	1 , 	4 , 	2 , 	1 , 	-   , 	-   , 	2 , 	-   , 	2 , 	3 , 	8 , 	10 , 	12 , 	0 , 	1 , 	202 ,,,,,,,,,,,
FM, 	1 , 	3 , 	2 , 	2 , 	5 , 	1 , 	4 , 	3 , 	4 , 	5 , 	12 , 	3 , 	8 , 	13 , 	16 , 	9 , 	6 , 	3 , 	2 , 	2 , 	2 , 	1 , 	1 , 	2 , 	2 , 	13 , 	6 , 	15 , 	7 , 	5 , 	1 , 	0 , 	3 , 	3 , 	2 , 	2 , 	4 , 	-   , 	2 , 	-   , 	1 , 	5 , 	-   , 	1 , 	2 , 	5 , 	9 , 	10 , 	0 , 	0 , 	205 ,,,,,,,,,,,
CN, 	2 , 	8 , 	3 , 	1 , 	6 , 	4 , 	15 , 	8 , 	8 , 	2 , 	11 , 	5 , 	3 , 	3 , 	3 , 	1 , 	1 , 	2 , 	8 , 	10 , 	34 , 	24 , 	7 , 	6 , 	2 , 	27 , 	10 , 	36 , 	14 , 	11 , 	11 , 	3 , 	3 , 	3 , 	1 , 	1 , 	-   , 	4 , 	28 , 	1 , 	3 , 	15 , 	1 , 	1 , 	5 , 	1 , 	1 , 	2 , 	14 , 	15 , 	381 ,,,,,,,,,,,
PH, 	1 , 	3 , 	2 , 	0 , 	4 , 	1 , 	8 , 	8 , 	7 , 	1 , 	2 , 	3 , 	2 , 	1 , 	2 , 	1 , 	0 , 	1 , 	13 , 	2 , 	20 , 	7 , 	5 , 	6 , 	1 , 	20 , 	16 , 	27 , 	12 , 	6 , 	5 , 	2 , 	3 , 	2 , 	0 , 	-   , 	0 , 	1 , 	8 , 	2 , 	3 , 	13 , 	1 , 	-   , 	4 , 	0 , 	1 , 	1 , 	5 , 	8 , 	236 ,,,,,,,,,,,
WC, 	2 , 	5 , 	4 , 	2 , 	4 , 	1 , 	6 , 	9 , 	8 , 	2 , 	5 , 	2 , 	5 , 	3 , 	2 , 	1 , 	1 , 	1 , 	45 , 	19 , 	5 , 	9 , 	7 , 	9 , 	2 , 	14 , 	14 , 	23 , 	14 , 	10 , 	6 , 	1 , 	3 , 	4 , 	1 , 	0 , 	1 , 	3 , 	17 , 	2 , 	2 , 	11 , 	1 , 	-   , 	3 , 	1 , 	1 , 	1 , 	7 , 	10 , 	302 ,,,,,,,,,,,
