Exit stations,Entry stations->,,WEEKDAY,,,Feb 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	7 , 	26 , 	22 , 	20 , 	67 , 	23 , 	36 , 	26 , 	40 , 	10 , 	29 , 	28 , 	11 , 	8 , 	7 , 	8 , 	3 , 	4 , 	8 , 	3 , 	8 , 	3 , 	2 , 	5 , 	13 , 	74 , 	82 , 	128 , 	86 , 	67 , 	68 , 	19 , 	19 , 	12 , 	6 , 	1 , 	3 , 	1 , 	4 , 	5 , 	8 , 	7 , 	6 , 	1 , 	2 , 	6 , 	2 , 	3 , 	4 , 	2 ," 	1,036 ",,,,,,,,,,,,,
CL, 	29 , 	22 , 	7 , 	10 , 	33 , 	17 , 	37 , 	27 , 	41 , 	37 , 	65 , 	12 , 	43 , 	51 , 	41 , 	21 , 	16 , 	16 , 	13 , 	7 , 	7 , 	2 , 	1 , 	5 , 	23 , 	68 , 	68 , 	111 , 	85 , 	42 , 	37 , 	19 , 	14 , 	18 , 	2 , 	8 , 	26 , 	1 , 	8 , 	3 , 	6 , 	7 , 	4 , 	10 , 	6 , 	11 , 	5 , 	6 , 	5 , 	13 ," 	1,166 ",,,,,,,,,,,,,
SL, 	12 , 	16 , 	7 , 	5 , 	19 , 	15 , 	29 , 	22 , 	44 , 	68 , 	89 , 	51 , 	6 , 	35 , 	45 , 	30 , 	21 , 	17 , 	4 , 	4 , 	5 , 	2 , 	2 , 	7 , 	16 , 	93 , 	104 , 	127 , 	84 , 	41 , 	34 , 	11 , 	12 , 	12 , 	3 , 	15 , 	30 , 	1 , 	4 , 	4 , 	3 , 	8 , 	3 , 	17 , 	3 , 	16 , 	5 , 	7 , 	5 , 	7 ," 	1,218 ",,,,,,,,,,,,,
BF, 	9 , 	12 , 	3 , 	5 , 	19 , 	7 , 	25 , 	24 , 	40 , 	57 , 	89 , 	51 , 	38 , 	7 , 	32 , 	24 , 	20 , 	30 , 	6 , 	3 , 	4 , 	1 , 	3 , 	2 , 	18 , 	78 , 	89 , 	112 , 	88 , 	40 , 	23 , 	7 , 	15 , 	9 , 	3 , 	11 , 	43 , 	2 , 	3 , 	3 , 	5 , 	5 , 	2 , 	20 , 	1 , 	17 , 	6 , 	5 , 	2 , 	2 ," 	1,119 ",,,,,,,,,,,,,
HY, 	8 , 	12 , 	3 , 	5 , 	13 , 	5 , 	16 , 	23 , 	30 , 	29 , 	62 , 	39 , 	46 , 	31 , 	7 , 	24 , 	39 , 	40 , 	7 , 	3 , 	4 , 	2 , 	1 , 	4 , 	12 , 	55 , 	42 , 	65 , 	49 , 	22 , 	15 , 	9 , 	10 , 	9 , 	2 , 	3 , 	19 , 	2 , 	4 , 	3 , 	4 , 	4 , 	4 , 	8 , 	2 , 	25 , 	16 , 	10 , 	2 , 	4 , 	854 ,,,,,,,,,,,,,
SH, 	8 , 	6 , 	4 , 	1 , 	10 , 	3 , 	12 , 	10 , 	16 , 	20 , 	34 , 	21 , 	31 , 	23 , 	24 , 	4 , 	17 , 	24 , 	2 , 	1 , 	2 , 	1 , 	0 , 	3 , 	7 , 	41 , 	41 , 	49 , 	36 , 	18 , 	15 , 	5 , 	4 , 	3 , 	2 , 	4 , 	6 , 	1 , 	4 , 	3 , 	2 , 	3 , 	2 , 	9 , 	1 , 	16 , 	10 , 	9 , 	2 , 	5 , 	573 ,,,,,,,,,,,,,
UC, 	4 , 	7 , 	4 , 	2 , 	12 , 	5 , 	13 , 	14 , 	20 , 	17 , 	32 , 	19 , 	23 , 	21 , 	34 , 	17 , 	4 , 	26 , 	3 , 	0 , 	2 , 	1 , 	0 , 	1 , 	3 , 	33 , 	32 , 	31 , 	37 , 	12 , 	8 , 	3 , 	3 , 	3 , 	1 , 	3 , 	11 , 	1 , 	3 , 	1 , 	1 , 	2 , 	0 , 	7 , 	2 , 	22 , 	12 , 	8 , 	2 , 	3 , 	525 ,,,,,,,,,,,,,
FM, 	4 , 	11 , 	4 , 	1 , 	8 , 	3 , 	12 , 	7 , 	17 , 	19 , 	35 , 	18 , 	22 , 	28 , 	42 , 	25 , 	29 , 	5 , 	3 , 	5 , 	1 , 	0 , 	1 , 	1 , 	2 , 	27 , 	25 , 	27 , 	25 , 	11 , 	8 , 	2 , 	5 , 	5 , 	2 , 	5 , 	9 , 	0 , 	2 , 	1 , 	2 , 	3 , 	0 , 	2 , 	2 , 	13 , 	17 , 	14 , 	1 , 	3 , 	516 ,,,,,,,,,,,,,
CN, 	10 , 	6 , 	4 , 	3 , 	9 , 	5 , 	22 , 	23 , 	29 , 	4 , 	9 , 	10 , 	5 , 	5 , 	6 , 	2 , 	3 , 	2 , 	8 , 	20 , 	46 , 	31 , 	10 , 	16 , 	6 , 	70 , 	66 , 	111 , 	99 , 	33 , 	26 , 	16 , 	12 , 	6 , 	3 , 	1 , 	3 , 	12 , 	46 , 	5 , 	8 , 	18 , 	5 , 	1 , 	4 , 	3 , 	3 , 	3 , 	33 , 	33 , 	911 ,,,,,,,,,,,,,
PH, 	3 , 	5 , 	2 , 	3 , 	7 , 	5 , 	24 , 	22 , 	29 , 	6 , 	3 , 	6 , 	4 , 	2 , 	4 , 	1 , 	0 , 	4 , 	25 , 	5 , 	22 , 	10 , 	6 , 	15 , 	4 , 	72 , 	67 , 	86 , 	66 , 	25 , 	14 , 	7 , 	3 , 	5 , 	2 , 	1 , 	2 , 	4 , 	20 , 	2 , 	5 , 	11 , 	2 , 	1 , 	3 , 	2 , 	0 , 	1 , 	14 , 	11 , 	642 ,,,,,,,,,,,,,
WC, 	7 , 	9 , 	3 , 	4 , 	9 , 	2 , 	26 , 	17 , 	26 , 	6 , 	11 , 	5 , 	5 , 	4 , 	3 , 	2 , 	1 , 	1 , 	52 , 	21 , 	5 , 	13 , 	9 , 	16 , 	4 , 	46 , 	51 , 	57 , 	44 , 	17 , 	11 , 	4 , 	4 , 	8 , 	3 , 	0 , 	1 , 	10 , 	34 , 	3 , 	3 , 	10 , 	2 , 	0 , 	3 , 	1 , 	1 , 	1 , 	14 , 	22 , 	613 ,,,,,,,,,,,,,
