Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Jul 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
CL, 	79 , 	165 , 	74 , 	70 , 	98 , 	109 , 	118 , 	64 , 	111 , 	87 , 	135 , 	11 , 	131 , 	185 , 	126 , 	79 , 	109 , 	188 , 	58 , 	91 , 	82 , 	48 , 	44 , 	53 , 	55 , 	295 , 	195 , 	632 , 	300 , 	91 , 	111 , 	42 , 	50 , 	66 , 	25 , 	85 , 	357 , 	28 , 	96 , 	5 , 	12 , 	56 , 	26 ," 	4,839 ",,,CM line," 	9,388 ", 	873 ," 	3,201 ", 	877 , 	733 ," 	1,342 "," 	1,034 "," 	16,413 "
SL, 	14 , 	21 , 	12 , 	8 , 	34 , 	22 , 	31 , 	25 , 	69 , 	71 , 	96 , 	131 , 	9 , 	87 , 	60 , 	27 , 	28 , 	42 , 	17 , 	5 , 	9 , 	2 , 	2 , 	6 , 	14 , 	90 , 	62 , 	197 , 	89 , 	23 , 	27 , 	13 , 	14 , 	16 , 	6 , 	15 , 	38 , 	1 , 	12 , 	1 , 	3 , 	21 , 	3 ," 	1,471 ",,,RM line," 	3,568 "," 	1,290 ", 	905 ," 	2,165 ", 	375 ," 	1,777 ", 	394 ," 	10,079 "
BF, 	16 , 	22 , 	11 , 	7 , 	32 , 	26 , 	28 , 	31 , 	71 , 	85 , 	186 , 	191 , 	79 , 	6 , 	72 , 	67 , 	58 , 	99 , 	12 , 	5 , 	7 , 	2 , 	4 , 	5 , 	17 , 	92 , 	50 , 	172 , 	74 , 	23 , 	23 , 	10 , 	15 , 	19 , 	5 , 	26 , 	97 , 	1 , 	10 , 	1 , 	2 , 	23 , 	4 ," 	1,778 ",,,WP line," 	3,717 ", 	577 , 	776 , 	450 ," 	2,001 "," 	1,037 ", 	456 ," 	8,557 "
HY, 	13 , 	21 , 	8 , 	10 , 	39 , 	17 , 	31 , 	21 , 	51 , 	31 , 	96 , 	127 , 	59 , 	89 , 	7 , 	58 , 	62 , 	118 , 	10 , 	6 , 	7 , 	1 , 	2 , 	5 , 	10 , 	61 , 	28 , 	109 , 	42 , 	18 , 	14 , 	5 , 	8 , 	13 , 	6 , 	9 , 	32 , 	3 , 	8 , 	1 , 	2 , 	7 , 	2 ," 	1,263 ",,,FT/ED line," 	5,903 "," 	1,816 "," 	1,320 "," 	1,678 ", 	953 ," 	6,781 ", 	509 ," 	18,451 "
SH, 	10 , 	15 , 	6 , 	4 , 	17 , 	8 , 	15 , 	12 , 	19 , 	16 , 	31 , 	79 , 	26 , 	71 , 	59 , 	3 , 	30 , 	56 , 	9 , 	4 , 	2 , 	1 , 	1 , 	8 , 	5 , 	43 , 	28 , 	81 , 	27 , 	12 , 	18 , 	4 , 	5 , 	9 , 	5 , 	7 , 	20 , 	1 , 	8 , 	1 , 	1 , 	8 , 	2 , 	783 ,,,SFIA," 	1,968 ", 	158 , 	729 , 	216 , 	306 , 	364 , 	442 ," 	3,740 "
UC, 	5 , 	14 , 	9 , 	5 , 	29 , 	15 , 	14 , 	13 , 	38 , 	38 , 	43 , 	114 , 	34 , 	65 , 	74 , 	32 , 	9 , 	94 , 	6 , 	7 , 	7 , 	1 , 	1 , 	2 , 	7 , 	88 , 	47 , 	152 , 	42 , 	14 , 	16 , 	7 , 	9 , 	12 , 	7 , 	8 , 	20 , 	2 , 	10 , 	1 , 	1 , 	27 , 	4 ," 	1,138 ",,,Entries," 	29,021 "," 	8,784 "," 	17,262 "," 	10,116 "," 	8,615 "," 	19,009 "," 	5,437 "," 	92,807 "
FM, 	16 , 	41 , 	22 , 	17 , 	83 , 	27 , 	29 , 	32 , 	68 , 	50 , 	56 , 	190 , 	49 , 	106 , 	121 , 	61 , 	91 , 	29 , 	17 , 	11 , 	12 , 	4 , 	3 , 	12 , 	5 , 	174 , 	101 , 	325 , 	109 , 	24 , 	27 , 	14 , 	19 , 	24 , 	6 , 	12 , 	40 , 	5 , 	24 , 	4 , 	1 , 	42 , 	3 ," 	2,101 ",,,,,,,,,,,
CN, 	19 , 	18 , 	8 , 	9 , 	20 , 	12 , 	35 , 	13 , 	49 , 	8 , 	23 , 	71 , 	18 , 	15 , 	12 , 	12 , 	8 , 	15 , 	11 , 	56 , 	204 , 	48 , 	23 , 	39 , 	5 , 	142 , 	65 , 	146 , 	103 , 	30 , 	42 , 	18 , 	22 , 	26 , 	14 , 	5 , 	11 , 	17 , 	133 , 	4 , 	5 , 	40 , 	10 ," 	1,578 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	10 , 	9 , 	3 , 	10 , 	20 , 	9 , 	15 , 	9 , 	26 , 	4 , 	13 , 	115 , 	2 , 	5 , 	1 , 	3 , 	8 , 	15 , 	57 , 	6 , 	39 , 	20 , 	6 , 	29 , 	3 , 	171 , 	82 , 	171 , 	73 , 	16 , 	23 , 	11 , 	8 , 	14 , 	7 , 	1 , 	4 , 	4 , 	24 , 	3 , 	3 , 	72 , 	12 ," 	1,133 ",,,Dtwn SF," 	1,103 ",,,,,,,
WC, 	8 , 	14 , 	6 , 	9 , 	27 , 	11 , 	18 , 	15 , 	40 , 	7 , 	11 , 	89 , 	9 , 	7 , 	7 , 	2 , 	4 , 	13 , 	233 , 	48 , 	8 , 	25 , 	16 , 	53 , 	5 , 	226 , 	112 , 	233 , 	107 , 	11 , 	21 , 	16 , 	9 , 	14 , 	8 , 	2 , 	2 , 	20 , 	49 , 	3 , 	4 , 	60 , 	15 ," 	1,593 ",,,OAK," 	6,893 ", 	552 ,,,,,,
