Fast Pass Adjusted OD,,,,,,Jul 03,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,58,39,125,131,482,885,730,"1,031","3,481"
MT,36,48,73,134,733,"1,227","1,109","2,041","5,401"
PL,169,100,75,113,647,961,623,"1,422","4,109"
CC,112,124,122,79,528,726,527,"1,194","3,413"
16,390,565,781,513,25,186,180,483,"3,122"
24,735,930,"1,131",701,194,35,123,358,"4,207"
GP,661,842,856,453,170,140,19,89,"3,228"
BP,912,"1,241","2,205","1,068",467,388,89,34,"6,404"
Entries,"3,072","3,888","5,368","3,191","3,246","4,548","3,400","6,651","33,364"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,21,10,46,25,205,268,114,214,902
MT,6,15,30,24,312,335,296,897,"1,914"
PL,42,18,66,36,527,760,423,928,"2,799"
CC,29,21,45,44,334,393,195,442,"1,502"
16,136,183,590,325,24,137,88,245,"1,728"
24,201,222,816,403,134,42,100,219,"2,135"
GP,89,141,600,178,82,93,19,52,"1,252"
BP,168,293,"1,575",400,239,231,58,31,"2,994"
Entries,690,901,"3,767","1,436","1,855","2,258","1,293","3,027","15,226"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,21,6,29,15,131,163,73,126,563
MT,3,18,21,25,193,191,190,639,"1,280"
PL,28,15,71,26,342,515,277,644,"1,917"
CC,16,14,37,49,271,322,134,297,"1,139"
16,93,125,385,273,31,101,50,144,"1,200"
24,137,132,587,325,98,38,55,161,"1,531"
GP,62,80,420,119,50,61,21,29,840
BP,125,184,"1,216",276,139,151,35,33,"2,158"
Entries,485,573,"2,764","1,108","1,253","1,542",832,"2,072","10,627"
