Exit stations,Entry stations->,,TOTAL,,,Dec 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	482 ," 	1,690 "," 	1,540 ", 	847 ," 	5,216 "," 	1,237 "," 	1,891 "," 	1,394 "," 	1,642 ", 	484 ," 	1,210 ", 	903 , 	584 , 	306 , 	427 , 	230 , 	135 , 	242 , 	317 , 	167 , 	360 , 	188 , 	147 , 	282 , 	445 ," 	4,125 "," 	3,319 "," 	6,021 "," 	3,307 "," 	2,258 "," 	2,453 ", 	671 , 	803 , 	773 , 	264 , 	73 , 	128 , 	54 , 	169 , 	219 , 	302 ," 	1,090 ", 	315 , 	57 , 	203 , 	256 , 	206 , 	212 , 	103 , 	239 ," 	49,986 ",,,,,,,,,,,,,
EN," 	1,758 ", 	523 ," 	1,465 "," 	1,100 "," 	7,445 "," 	1,400 "," 	2,554 "," 	3,062 "," 	3,994 ", 	843 ," 	1,709 ", 	923 , 	765 , 	563 , 	599 , 	246 , 	330 , 	382 , 	403 , 	251 , 	451 , 	180 , 	140 , 	455 , 	513 ," 	8,278 "," 	7,209 "," 	11,102 "," 	6,768 "," 	3,003 "," 	2,393 ", 	979 , 	877 ," 	1,263 ", 	305 , 	151 , 	262 , 	47 , 	183 , 	384 , 	403 ," 	1,775 ", 	612 , 	161 , 	582 , 	460 , 	375 , 	510 , 	64 , 	229 ," 	80,429 ",,,,,,,,,,,,,
EP," 	1,655 "," 	1,326 ", 	242 , 	794 ," 	6,247 "," 	1,110 "," 	1,567 "," 	2,206 "," 	2,281 ", 	539 , 	602 , 	250 , 	345 , 	254 , 	191 , 	141 , 	150 , 	201 , 	179 , 	186 , 	335 , 	154 , 	97 , 	405 , 	118 ," 	5,018 "," 	4,355 "," 	4,914 "," 	3,446 "," 	1,224 ", 	922 , 	368 , 	307 , 	416 , 	67 , 	56 , 	114 , 	53 , 	121 , 	109 , 	143 ," 	1,189 ", 	228 , 	84 , 	402 , 	105 , 	164 , 	226 , 	16 , 	68 ," 	45,690 ",,,,,,,,,,,,,
NB, 	859 , 	940 , 	809 , 	287 ," 	1,671 ", 	690 ," 	1,066 "," 	1,830 "," 	1,612 ", 	412 , 	835 , 	365 , 	404 , 	263 , 	228 , 	95 , 	160 , 	213 , 	224 , 	158 , 	277 , 	95 , 	86 , 	240 , 	229 ," 	5,453 "," 	4,323 "," 	4,435 "," 	3,792 "," 	1,808 "," 	1,146 ", 	462 , 	319 , 	241 , 	117 , 	25 , 	121 , 	17 , 	68 , 	75 , 	74 ," 	1,619 ", 	229 , 	42 , 	427 , 	133 , 	182 , 	262 , 	31 , 	70 ," 	39,519 ",,,,,,,,,,,,,
BK," 	5,999 "," 	7,800 "," 	6,372 "," 	1,949 ", 	783 ," 	3,164 "," 	3,332 "," 	4,418 "," 	4,753 "," 	1,665 "," 	2,773 "," 	1,339 "," 	1,600 "," 	1,313 "," 	1,215 ", 	689 ," 	1,146 "," 	1,121 ", 	863 , 	746 ," 	1,258 ", 	549 , 	325 , 	385 , 	899 ," 	8,587 "," 	6,018 "," 	8,894 "," 	5,485 "," 	2,897 "," 	2,320 "," 	1,450 ", 	747 , 	914 , 	264 , 	339 , 	772 , 	137 , 	524 , 	278 , 	309 ," 	2,567 ", 	918 , 	298 , 	794 , 	461 , 	941 ," 	1,429 ", 	187 , 	445 ," 	104,431 ",,,,,,,,,,,,,
AS," 	1,216 "," 	1,373 "," 	1,107 ", 	690 ," 	2,902 ", 	251 , 	926 ," 	1,841 "," 	1,770 ", 	557 ," 	1,249 ", 	570 , 	571 , 	380 , 	324 , 	201 , 	222 , 	211 , 	241 , 	191 , 	186 , 	89 , 	74 , 	176 , 	322 ," 	4,780 "," 	4,019 "," 	4,251 "," 	3,642 "," 	1,793 "," 	1,329 ", 	483 , 	357 , 	362 , 	75 , 	67 , 	191 , 	14 , 	122 , 	102 , 	160 ," 	1,002 ", 	197 , 	53 , 	345 , 	175 , 	236 , 	319 , 	65 , 	129 ," 	41,908 ",,,,,,,,,,,,,
MA," 	2,167 "," 	2,428 "," 	1,435 "," 	1,039 "," 	3,220 ", 	968 , 	461 ," 	1,918 "," 	2,174 ", 	586 ," 	2,117 "," 	1,354 "," 	1,355 ", 	783 , 	775 , 	537 , 	501 , 	536 ," 	1,768 "," 	1,103 "," 	1,629 ", 	662 , 	417 , 	926 , 	767 ," 	8,313 "," 	6,830 "," 	8,145 "," 	6,819 "," 	4,098 "," 	2,529 ", 	882 , 	745 , 	786 , 	202 , 	144 , 	435 , 	266 ," 	1,360 ", 	219 , 	229 ," 	1,754 ", 	356 , 	228 , 	439 , 	476 , 	416 , 	603 , 	447 ," 	1,373 "," 	79,720 ",,,,,,,,,,,,,
19," 	1,494 "," 	3,211 "," 	2,143 "," 	1,978 "," 	4,125 "," 	1,926 "," 	1,895 ", 	506 , 	500 , 	317 ," 	1,392 "," 	1,265 "," 	1,688 "," 	1,286 "," 	1,251 ", 	709 ," 	1,166 "," 	1,137 "," 	1,629 "," 	1,772 "," 	1,964 "," 	1,079 ", 	847 ," 	1,536 ", 	807 ," 	10,668 "," 	8,175 "," 	9,190 "," 	7,477 "," 	4,305 "," 	3,070 "," 	1,407 ", 	993 ," 	1,193 ", 	373 , 	312 , 	905 , 	433 , 	934 , 	448 , 	392 ," 	1,562 ", 	662 , 	444 , 	464 , 	662 , 	658 , 	882 , 	334 ," 	1,125 "," 	94,691 ",,,,,,,,,,,,,
12," 	1,914 "," 	3,845 "," 	2,163 "," 	1,638 "," 	4,217 "," 	1,789 "," 	2,073 ", 	490 , 	479 , 	330 ," 	1,339 "," 	1,482 "," 	2,356 "," 	1,959 "," 	1,525 "," 	1,104 "," 	1,442 "," 	1,254 "," 	1,891 "," 	2,120 "," 	2,221 ", 	985 , 	841 ," 	1,589 ", 	995 ," 	10,138 "," 	7,495 "," 	10,446 "," 	7,065 "," 	3,447 "," 	2,843 "," 	1,484 "," 	1,393 "," 	1,514 ", 	620 , 	276 ," 	1,183 ", 	605 ," 	1,422 ", 	649 , 	670 ," 	2,060 ", 	727 , 	351 , 	440 , 	525 , 	600 , 	769 , 	342 ," 	1,537 "," 	100,642 ",,,,,,,,,,,,,
LM, 	507 , 	788 , 	478 , 	400 ," 	1,478 ", 	537 , 	600 , 	340 , 	277 , 	326 ," 	1,861 "," 	1,798 "," 	3,417 "," 	2,656 "," 	1,475 "," 	1,045 "," 	1,042 "," 	1,022 ", 	230 , 	141 , 	243 , 	97 , 	64 , 	216 , 	428 ," 	6,639 "," 	5,546 "," 	6,987 "," 	4,931 "," 	2,471 "," 	1,852 ", 	672 , 	774 , 	682 , 	120 ," 	1,341 "," 	2,107 ", 	113 , 	204 , 	96 , 	134 , 	395 , 	115 , 	990 , 	368 , 	840 , 	642 , 	725 , 	126 , 	240 ," 	60,576 ",,,,,,,,,,,,,
FV," 	1,291 "," 	1,528 ", 	644 , 	749 ," 	2,750 "," 	1,349 "," 	2,085 "," 	1,655 "," 	1,356 "," 	1,762 ", 	666 ," 	2,660 "," 	3,503 "," 	3,314 "," 	2,714 "," 	1,269 "," 	1,071 "," 	1,205 ", 	453 , 	276 , 	458 , 	207 , 	203 , 	630 ," 	1,606 "," 	7,122 "," 	6,283 "," 	9,677 "," 	7,375 "," 	3,554 "," 	3,023 ", 	785 , 	972 ," 	1,164 ", 	162 , 	845 ," 	1,869 ", 	87 , 	254 , 	111 , 	254 , 	940 , 	209 , 	937 , 	191 , 	978 , 	653 , 	771 , 	123 , 	369 ," 	84,112 ",,,,,,,,,,,,,
