Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,May 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
RM, 	8 , 	157 , 	131 , 	108 , 	451 , 	117 , 	151 , 	165 , 	251 , 	51 , 	129 , 	107 , 	46 , 	36 , 	46 , 	24 , 	18 , 	30 , 	33 , 	22 , 	30 , 	12 , 	13 , 	23 , 	34 , 	231 , 	237 , 	337 , 	240 , 	118 , 	177 , 	33 , 	50 , 	53 , 	37 , 	6 , 	22 , 	7 , 	34 ," 	3,777 ",,,Eastbay," 	75,361 ",,SF CBD," 	198,738 ",65.3%,,,
EN, 	163 , 	11 , 	98 , 	92 , 	876 , 	149 , 	216 , 	406 , 	612 , 	99 , 	122 , 	146 , 	57 , 	36 , 	66 , 	26 , 	41 , 	65 , 	54 , 	28 , 	40 , 	13 , 	12 , 	25 , 	35 , 	829 , 	905 , 	725 , 	610 , 	118 , 	175 , 	61 , 	77 , 	109 , 	61 , 	5 , 	34 , 	7 , 	25 ," 	7,231 ",,,Westbay," 	81,784 ",,non-CBD," 	105,731 ",34.7%,,,
EP, 	128 , 	83 , 	5 , 	41 , 	624 , 	74 , 	83 , 	190 , 	290 , 	60 , 	54 , 	83 , 	23 , 	15 , 	29 , 	10 , 	19 , 	41 , 	27 , 	18 , 	27 , 	7 , 	10 , 	21 , 	12 , 	431 , 	472 , 	308 , 	258 , 	42 , 	42 , 	26 , 	26 , 	52 , 	17 , 	4 , 	19 , 	2 , 	7 ," 	3,677 ",,,Transbay," 	147,324 ",,,,,,,
NB, 	99 , 	87 , 	36 , 	6 , 	209 , 	46 , 	72 , 	164 , 	233 , 	55 , 	59 , 	83 , 	18 , 	15 , 	27 , 	9 , 	10 , 	34 , 	14 , 	17 , 	19 , 	7 , 	13 , 	18 , 	11 , 	512 , 	553 , 	345 , 	340 , 	85 , 	62 , 	24 , 	27 , 	53 , 	15 , 	4 , 	15 , 	2 , 	6 ," 	3,402 ",,,,,,,,,,,
BK, 	438 , 	977 , 	633 , 	221 , 	15 , 	410 , 	351 , 	471 , 	634 , 	234 , 	310 , 	299 , 	148 , 	124 , 	148 , 	88 , 	132 , 	245 , 	109 , 	147 , 	115 , 	62 , 	53 , 	43 , 	67 , 	643 , 	667 , 	793 , 	672 , 	205 , 	226 , 	110 , 	97 , 	158 , 	99 , 	40 , 	119 , 	34 , 	87 ," 	10,423 ",,,Extensions," 	40,920 ",,,,,,,
AS, 	106 , 	146 , 	69 , 	45 , 	361 , 	6 , 	80 , 	171 , 	238 , 	86 , 	95 , 	139 , 	46 , 	37 , 	60 , 	23 , 	25 , 	50 , 	30 , 	24 , 	26 , 	8 , 	10 , 	15 , 	39 , 	454 , 	490 , 	343 , 	347 , 	91 , 	88 , 	34 , 	31 , 	55 , 	24 , 	9 , 	31 , 	5 , 	18 ," 	3,956 ",,,,,,,,,,,
MA, 	149 , 	207 , 	79 , 	70 , 	347 , 	79 , 	8 , 	130 , 	212 , 	62 , 	129 , 	192 , 	89 , 	78 , 	83 , 	45 , 	50 , 	78 , 	100 , 	80 , 	79 , 	31 , 	33 , 	48 , 	67 , 	630 , 	714 , 	568 , 	540 , 	161 , 	139 , 	57 , 	61 , 	71 , 	39 , 	15 , 	49 , 	26 , 	103 ," 	5,697 ",,,,,,,,,,,
19, 	161 , 	452 , 	186 , 	171 , 	411 , 	175 , 	120 , 	10 , 	78 , 	37 , 	129 , 	180 , 	173 , 	166 , 	176 , 	145 , 	169 , 	272 , 	218 , 	291 , 	211 , 	119 , 	76 , 	109 , 	40 , 	658 , 	649 , 	528 , 	519 , 	141 , 	156 , 	105 , 	99 , 	145 , 	149 , 	45 , 	154 , 	112 , 	199 ," 	7,932 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits,
12, 	244 , 	687 , 	288 , 	230 , 	555 , 	240 , 	202 , 	75 , 	22 , 	67 , 	254 , 	371 , 	358 , 	340 , 	320 , 	201 , 	250 , 	370 , 	287 , 	414 , 	286 , 	173 , 	137 , 	183 , 	68 , 	898 , 	920 , 	955 , 	765 , 	200 , 	238 , 	157 , 	157 , 	219 , 	236 , 	85 , 	257 , 	115 , 	265 ," 	12,086 ",,,Dtwn SF," 	4,337 "," 	14,062 "," 	35,312 "," 	11,606 "," 	18,266 "," 	19,644 "," 	103,227 ",
LM, 	43 , 	94 , 	64 , 	58 , 	205 , 	88 , 	57 , 	35 , 	63 , 	7 , 	149 , 	200 , 	225 , 	176 , 	136 , 	92 , 	125 , 	168 , 	31 , 	24 , 	23 , 	8 , 	11 , 	33 , 	26 , 	486 , 	492 , 	454 , 	345 , 	88 , 	81 , 	35 , 	59 , 	80 , 	18 , 	63 , 	179 , 	11 , 	25 ," 	4,558 ",,,OAK," 	13,469 "," 	1,585 "," 	3,201 "," 	5,502 "," 	3,941 "," 	7,144 "," 	34,842 ",
