Fast Pass Adjusted OD,,,,,,May 02,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,68,43,144,148,531,984,811,"1,181","3,910"
MT,43,61,85,133,818,"1,386","1,179","2,298","6,003"
PL,224,130,96,130,813,"1,191",769,"1,872","5,226"
CC,129,136,132,89,478,772,557,"1,396","3,691"
16,435,606,865,493,27,217,187,529,"3,358"
24,803,"1,047","1,289",764,220,48,194,522,"4,887"
GP,755,925,936,486,197,185,31,110,"3,625"
BP,"1,014","1,372","2,620","1,283",534,568,118,45,"7,553"
Entries,"3,472","4,322","6,167","3,525","3,617","5,350","3,845","7,954","38,253"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,26,8,49,36,221,286,138,228,992
MT,8,22,32,32,318,395,334,"1,003","2,144"
PL,46,25,92,52,653,932,508,"1,191","3,499"
CC,26,25,63,54,316,431,189,532,"1,636"
16,137,190,639,341,38,165,121,289,"1,920"
24,206,240,909,435,143,58,119,298,"2,408"
GP,113,151,628,152,86,95,22,47,"1,293"
BP,181,321,"1,768",469,284,313,50,44,"3,430"
Entries,743,983,"4,181","1,570","2,059","2,674","1,480","3,632","17,324"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,25,4,32,21,134,178,84,135,612
MT,5,16,20,26,189,233,199,611,"1,298"
PL,20,11,83,58,472,667,322,782,"2,414"
CC,23,17,53,51,323,388,134,323,"1,312"
16,95,122,460,321,36,127,73,159,"1,392"
24,135,142,678,422,110,47,101,229,"1,863"
GP,72,87,480,127,75,88,20,24,973
BP,127,163,"1,251",298,168,222,23,36,"2,288"
Entries,502,562,"3,055","1,324","1,505","1,950",954,"2,298","12,150"
