Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,May 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
SL, 	82 , 	76 , 	12 , 	14 , 	81 , 	33 , 	36 , 	36 , 	85 , 	69 , 	136 , 	145 , 	7 , 	99 , 	102 , 	43 , 	42 , 	62 , 	10 , 	8 , 	5 , 	10 , 	3 , 	5 , 	12 , 	179 , 	134 , 	314 , 	95 , 	32 , 	52 , 	15 , 	28 , 	12 , 	14 , 	27 , 	46 , 	1 , 	12 ," 	2,176 ",,,WP line," 	6,382 ", 	922 ," 	1,163 ", 	782 ," 	3,035 "," 	1,089 "," 	13,372 "
BF, 	24 , 	28 , 	13 , 	12 , 	63 , 	30 , 	49 , 	46 , 	126 , 	103 , 	214 , 	234 , 	120 , 	8 , 	117 , 	70 , 	77 , 	117 , 	12 , 	7 , 	6 , 	4 , 	4 , 	6 , 	31 , 	164 , 	113 , 	264 , 	74 , 	28 , 	37 , 	19 , 	21 , 	22 , 	17 , 	45 , 	104 , 	3 , 	13 ," 	2,439 ",,,FT/ED line," 	8,148 "," 	2,649 "," 	1,826 "," 	2,638 "," 	1,041 "," 	8,905 "," 	25,207 "
HY, 	28 , 	28 , 	11 , 	12 , 	64 , 	26 , 	41 , 	36 , 	90 , 	34 , 	144 , 	165 , 	108 , 	140 , 	8 , 	104 , 	117 , 	162 , 	11 , 	8 , 	11 , 	4 , 	2 , 	5 , 	20 , 	105 , 	58 , 	184 , 	75 , 	32 , 	55 , 	8 , 	16 , 	18 , 	18 , 	18 , 	47 , 	3 , 	16 ," 	2,029 ",,,Entries," 	43,173 "," 	14,243 "," 	28,606 "," 	17,816 "," 	13,757 "," 	25,672 "," 	143,268 "
SH, 	21 , 	19 , 	3 , 	2 , 	33 , 	19 , 	10 , 	8 , 	41 , 	28 , 	90 , 	119 , 	25 , 	40 , 	123 , 	39 , 	38 , 	67 , 	9 , 	3 , 	4 , 	2 , 	-   , 	5 , 	9 , 	143 , 	63 , 	69 , 	23 , 	21 , 	40 , 	7 , 	7 , 	15 , 	7 , 	6 , 	17 , 	2 , 	8 ," 	1,187 ",,,,,,,,,,
UC, 	11 , 	26 , 	9 , 	8 , 	71 , 	16 , 	24 , 	25 , 	76 , 	54 , 	75 , 	117 , 	36 , 	95 , 	119 , 	72 , 	9 , 	108 , 	13 , 	6 , 	7 , 	5 , 	1 , 	4 , 	9 , 	146 , 	95 , 	251 , 	58 , 	19 , 	22 , 	13 , 	19 , 	23 , 	10 , 	7 , 	18 , 	3 , 	11 ," 	1,687 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,
FM, 	30 , 	55 , 	24 , 	19 , 	207 , 	28 , 	45 , 	41 , 	123 , 	68 , 	83 , 	217 , 	64 , 	128 , 	170 , 	104 , 	113 , 	26 , 	29 , 	22 , 	15 , 	6 , 	4 , 	16 , 	30 , 	323 , 	165 , 	471 , 	109 , 	28 , 	35 , 	18 , 	18 , 	31 , 	18 , 	16 , 	40 , 	5 , 	21 ," 	2,966 ",,,Dtwn SF," 	1,712 ",,,,,,
CN, 	14 , 	29 , 	14 , 	12 , 	54 , 	11 , 	51 , 	28 , 	72 , 	8 , 	40 , 	85 , 	16 , 	12 , 	11 , 	11 , 	11 , 	19 , 	15 , 	70 , 	293 , 	62 , 	33 , 	45 , 	14 , 	279 , 	129 , 	262 , 	105 , 	41 , 	66 , 	35 , 	31 , 	38 , 	43 , 	4 , 	12 , 	33 , 	210 ," 	2,316 ",,,OAK," 	11,814 ", 	770 ,,,,,
PH, 	10 , 	16 , 	10 , 	8 , 	46 , 	11 , 	23 , 	18 , 	53 , 	8 , 	17 , 	65 , 	5 , 	8 , 	3 , 	4 , 	4 , 	21 , 	82 , 	9 , 	75 , 	22 , 	12 , 	41 , 	7 , 	346 , 	172 , 	293 , 	98 , 	27 , 	33 , 	18 , 	13 , 	26 , 	28 , 	2 , 	4 , 	10 , 	43 ," 	1,692 ",,,CM line," 	32,522 "," 	2,797 "," 	5,582 ",,,,
WC, 	15 , 	15 , 	14 , 	14 , 	55 , 	13 , 	31 , 	27 , 	64 , 	13 , 	18 , 	66 , 	6 , 	7 , 	11 , 	3 , 	5 , 	11 , 	429 , 	81 , 	13 , 	43 , 	18 , 	57 , 	9 , 	386 , 	201 , 	311 , 	113 , 	21 , 	29 , 	14 , 	14 , 	18 , 	27 , 	3 , 	4 , 	35 , 	86 ," 	2,299 ",,,RM line," 	12,124 "," 	4,468 "," 	3,321 "," 	4,217 ",,,
LF, 	6 , 	8 , 	4 , 	6 , 	39 , 	4 , 	16 , 	14 , 	40 , 	5 , 	23 , 	49 , 	8 , 	4 , 	7 , 	1 , 	5 , 	4 , 	82 , 	32 , 	48 , 	6 , 	10 , 	37 , 	5 , 	318 , 	134 , 	191 , 	69 , 	11 , 	10 , 	11 , 	5 , 	13 , 	10 , 	0 , 	2 , 	5 , 	20 ," 	1,257 ",,,WP line," 	13,331 "," 	1,812 "," 	2,289 "," 	1,498 "," 	3,035 ",,
