Exit stations,Entry stations->,,WEEKDAY,,,May 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,,,
CL, 	76 , 	139 , 	52 , 	59 , 	169 , 	82 , 	176 , 	226 , 	338 , 	235 , 	314 , 	33 , 	185 , 	237 , 	183 , 	111 , 	146 , 	168 , 	66 , 	55 , 	62 , 	36 , 	30 , 	48 , 	104 , 	632 , 	599 , 	527 , 	458 , 	171 , 	134 , 	68 , 	75 , 	133 , 	16 , 	75 , 	192 , 	22 , 	104 , 	24 , 	26 , 	41 , 	29 , 	97 , 	40 , 	95 ," 	6,889 ",,,,,,,,,,,,,
SL, 	38 , 	67 , 	35 , 	40 , 	181 , 	58 , 	137 , 	265 , 	355 , 	324 , 	252 , 	198 , 	20 , 	128 , 	178 , 	83 , 	96 , 	140 , 	29 , 	27 , 	28 , 	7 , 	7 , 	24 , 	42 , 	760 , 	786 , 	596 , 	539 , 	165 , 	105 , 	42 , 	78 , 	93 , 	11 , 	45 , 	109 , 	10 , 	46 , 	18 , 	14 , 	49 , 	13 , 	53 , 	11 , 	47 ," 	6,349 ",,,,,,,,,,,,,
BF, 	22 , 	45 , 	16 , 	20 , 	140 , 	32 , 	107 , 	194 , 	305 , 	257 , 	250 , 	255 , 	117 , 	21 , 	138 , 	84 , 	111 , 	203 , 	26 , 	11 , 	12 , 	6 , 	2 , 	12 , 	30 , 	705 , 	720 , 	564 , 	467 , 	137 , 	92 , 	40 , 	47 , 	72 , 	10 , 	59 , 	160 , 	6 , 	20 , 	11 , 	20 , 	31 , 	12 , 	88 , 	8 , 	44 ," 	5,727 ",,,,,,,,,,,,,
HY, 	39 , 	82 , 	34 , 	31 , 	140 , 	43 , 	117 , 	226 , 	281 , 	159 , 	233 , 	205 , 	200 , 	142 , 	24 , 	112 , 	226 , 	348 , 	29 , 	21 , 	22 , 	7 , 	5 , 	18 , 	35 , 	511 , 	532 , 	363 , 	331 , 	86 , 	66 , 	35 , 	42 , 	53 , 	6 , 	27 , 	65 , 	13 , 	50 , 	8 , 	16 , 	23 , 	7 , 	36 , 	15 , 	74 ," 	5,134 ",,,,,,,,,,,,,
SH, 	20 , 	28 , 	8 , 	12 , 	67 , 	24 , 	54 , 	151 , 	156 , 	83 , 	96 , 	107 , 	77 , 	74 , 	94 , 	10 , 	77 , 	167 , 	10 , 	7 , 	11 , 	2 , 	2 , 	7 , 	17 , 	420 , 	379 , 	218 , 	235 , 	82 , 	45 , 	11 , 	22 , 	43 , 	4 , 	13 , 	35 , 	3 , 	16 , 	7 , 	8 , 	15 , 	6 , 	24 , 	6 , 	39 ," 	2,990 ",,,,,,,,,,,,,
UC, 	19 , 	42 , 	18 , 	22 , 	145 , 	47 , 	86 , 	230 , 	207 , 	125 , 	94 , 	146 , 	101 , 	112 , 	236 , 	86 , 	24 , 	211 , 	15 , 	13 , 	15 , 	3 , 	6 , 	11 , 	16 ," 	1,009 ", 	833 , 	352 , 	320 , 	87 , 	45 , 	12 , 	24 , 	56 , 	5 , 	17 , 	61 , 	4 , 	25 , 	6 , 	5 , 	28 , 	4 , 	22 , 	19 , 	45 ," 	5,010 ",,,,,,,,,,,,,
FM, 	33 , 	79 , 	42 , 	35 , 	214 , 	47 , 	121 , 	331 , 	301 , 	136 , 	147 , 	169 , 	144 , 	211 , 	334 , 	169 , 	159 , 	49 , 	27 , 	31 , 	19 , 	12 , 	14 , 	26 , 	18 ," 	1,612 "," 	1,238 ", 	489 , 	395 , 	114 , 	43 , 	25 , 	28 , 	53 , 	9 , 	33 , 	99 , 	7 , 	38 , 	6 , 	8 , 	49 , 	7 , 	36 , 	35 , 	61 ," 	7,253 ",,,,,,,,,,,,,
CN, 	20 , 	33 , 	19 , 	23 , 	134 , 	27 , 	170 , 	314 , 	330 , 	34 , 	38 , 	63 , 	30 , 	22 , 	33 , 	10 , 	15 , 	28 , 	25 , 	107 , 	271 , 	90 , 	47 , 	92 , 	19 , 	929 , 	982 , 	538 , 	522 , 	145 , 	87 , 	43 , 	50 , 	89 , 	26 , 	6 , 	9 , 	56 , 	318 , 	29 , 	24 , 	132 , 	28 , 	3 , 	36 , 	9 ," 	6,055 ",,,,,,,,,,,,,
PH, 	17 , 	20 , 	17 , 	27 , 	167 , 	24 , 	183 , 	375 , 	381 , 	27 , 	26 , 	53 , 	26 , 	12 , 	25 , 	8 , 	12 , 	28 , 	105 , 	28 , 	119 , 	50 , 	36 , 	125 , 	12 ," 	1,668 "," 	1,711 ", 	663 , 	603 , 	156 , 	85 , 	107 , 	48 , 	72 , 	15 , 	3 , 	4 , 	31 , 	153 , 	21 , 	27 , 	174 , 	28 , 	3 , 	54 , 	6 ," 	7,536 ",,,,,,,,,,,,,
WC, 	25 , 	30 , 	23 , 	30 , 	136 , 	29 , 	156 , 	323 , 	323 , 	28 , 	41 , 	61 , 	28 , 	14 , 	22 , 	12 , 	14 , 	22 , 	309 , 	125 , 	31 , 	62 , 	41 , 	162 , 	20 ," 	1,430 "," 	1,500 ", 	528 , 	507 , 	131 , 	78 , 	57 , 	43 , 	69 , 	22 , 	4 , 	6 , 	59 , 	233 , 	18 , 	27 , 	195 , 	30 , 	2 , 	53 , 	7 ," 	7,068 ",,,,,,,,,,,,,
