Exit stations,Entry stations->,,SATURDAY,,,May 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	13 , 	44 , 	51 , 	32 , 	201 , 	45 , 	58 , 	42 , 	49 , 	11 , 	51 , 	39 , 	21 , 	13 , 	15 , 	8 , 	10 , 	10 , 	6 , 	9 , 	8 , 	3 , 	2 , 	16 , 	10 , 	130 , 	99 , 	264 , 	112 , 	87 , 	124 , 	19 , 	26 , 	33 , 	7 , 	2 , 	8 , 	2 , 	11 , 	6 , 	10 , 	35 , 	12 , 	2 , 	10 , 	15 , 	-   , 	-   , 	3 , 	8 ," 	1,788 ",,,,,,,,,,
EN, 	43 , 	16 , 	43 , 	43 , 	354 , 	68 , 	88 , 	85 , 	96 , 	25 , 	56 , 	93 , 	31 , 	22 , 	25 , 	11 , 	13 , 	13 , 	13 , 	14 , 	15 , 	4 , 	7 , 	15 , 	19 , 	254 , 	197 , 	475 , 	190 , 	104 , 	133 , 	32 , 	34 , 	46 , 	24 , 	2 , 	8 , 	4 , 	8 , 	10 , 	18 , 	87 , 	20 , 	3 , 	26 , 	29 , 	-   , 	-   , 	4 , 	7 ," 	2,919 ",,,,,,,,,,
EP, 	63 , 	40 , 	12 , 	33 , 	362 , 	38 , 	61 , 	89 , 	75 , 	30 , 	36 , 	50 , 	17 , 	10 , 	8 , 	5 , 	8 , 	16 , 	8 , 	7 , 	16 , 	10 , 	4 , 	19 , 	6 , 	160 , 	123 , 	264 , 	147 , 	71 , 	61 , 	23 , 	15 , 	20 , 	6 , 	4 , 	7 , 	1 , 	2 , 	2 , 	5 , 	43 , 	12 , 	5 , 	24 , 	16 , 	-   , 	-   , 	1 , 	5 ," 	2,035 ",,,,,,,,,,
NB, 	35 , 	46 , 	31 , 	13 , 	152 , 	26 , 	44 , 	73 , 	69 , 	24 , 	47 , 	45 , 	19 , 	11 , 	15 , 	5 , 	10 , 	13 , 	7 , 	12 , 	21 , 	6 , 	6 , 	7 , 	9 , 	197 , 	154 , 	259 , 	199 , 	120 , 	79 , 	28 , 	19 , 	20 , 	7 , 	4 , 	12 , 	2 , 	6 , 	3 , 	7 , 	71 , 	16 , 	2 , 	28 , 	20 , 	-   , 	-   , 	2 , 	2 ," 	1,997 ",,,,,,,,,,
BK, 	203 , 	366 , 	354 , 	160 , 	49 , 	194 , 	190 , 	215 , 	223 , 	96 , 	147 , 	99 , 	77 , 	55 , 	62 , 	30 , 	69 , 	76 , 	23 , 	65 , 	69 , 	35 , 	30 , 	43 , 	53 , 	424 , 	287 , 	650 , 	365 , 	245 , 	166 , 	79 , 	47 , 	71 , 	15 , 	21 , 	72 , 	9 , 	15 , 	16 , 	18 , 	130 , 	85 , 	25 , 	54 , 	135 , 	-   , 	-   , 	9 , 	16 ," 	5,934 ",,,,,,,,,,
AS, 	47 , 	65 , 	39 , 	25 , 	160 , 	11 , 	52 , 	82 , 	77 , 	23 , 	59 , 	54 , 	25 , 	20 , 	19 , 	5 , 	12 , 	10 , 	4 , 	10 , 	12 , 	5 , 	5 , 	5 , 	19 , 	178 , 	121 , 	229 , 	172 , 	121 , 	91 , 	22 , 	18 , 	22 , 	2 , 	5 , 	12 , 	1 , 	5 , 	4 , 	4 , 	46 , 	15 , 	2 , 	16 , 	18 , 	-   , 	-   , 	2 , 	4 ," 	1,947 ",,,,,,,,,,
MA, 	65 , 	87 , 	54 , 	42 , 	188 , 	58 , 	19 , 	79 , 	76 , 	25 , 	73 , 	85 , 	35 , 	30 , 	29 , 	20 , 	19 , 	21 , 	24 , 	42 , 	42 , 	21 , 	11 , 	29 , 	26 , 	287 , 	229 , 	425 , 	320 , 	201 , 	162 , 	42 , 	34 , 	30 , 	8 , 	5 , 	13 , 	5 , 	25 , 	6 , 	11 , 	93 , 	19 , 	5 , 	14 , 	28 , 	-   , 	-   , 	8 , 	20 ," 	3,184 ",,,,,,,,,,
19, 	42 , 	79 , 	80 , 	76 , 	211 , 	99 , 	75 , 	30 , 	12 , 	16 , 	66 , 	93 , 	50 , 	44 , 	29 , 	19 , 	27 , 	29 , 	25 , 	55 , 	58 , 	36 , 	24 , 	66 , 	35 , 	316 , 	259 , 	476 , 	372 , 	251 , 	196 , 	61 , 	44 , 	45 , 	13 , 	8 , 	24 , 	6 , 	16 , 	11 , 	16 , 	61 , 	30 , 	9 , 	17 , 	44 , 	-   , 	-   , 	5 , 	12 ," 	3,666 ",,,,,,,,,,
12, 	54 , 	104 , 	79 , 	72 , 	203 , 	83 , 	72 , 	14 , 	25 , 	10 , 	72 , 	97 , 	67 , 	69 , 	50 , 	31 , 	34 , 	40 , 	24 , 	58 , 	54 , 	25 , 	28 , 	52 , 	33 , 	290 , 	240 , 	522 , 	289 , 	162 , 	150 , 	55 , 	50 , 	57 , 	19 , 	7 , 	15 , 	7 , 	22 , 	13 , 	19 , 	98 , 	44 , 	11 , 	20 , 	43 , 	-   , 	-   , 	6 , 	20 ," 	3,602 ",,,,,,,,,,
LM, 	13 , 	25 , 	31 , 	31 , 	92 , 	28 , 	28 , 	17 , 	12 , 	12 , 	79 , 	168 , 	144 , 	120 , 	48 , 	23 , 	37 , 	46 , 	9 , 	13 , 	13 , 	4 , 	5 , 	10 , 	16 , 	267 , 	237 , 	461 , 	265 , 	184 , 	143 , 	40 , 	40 , 	44 , 	4 , 	54 , 	101 , 	2 , 	4 , 	3 , 	6 , 	27 , 	11 , 	38 , 	19 , 	48 , 	-   , 	-   , 	1 , 	3 ," 	3,018 ",,,,,,,,,,
