Exit stations,Entry stations->,,SUNDAY,,,May 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	16 , 	31 , 	39 , 	28 , 	133 , 	35 , 	40 , 	28 , 	30 , 	15 , 	39 , 	29 , 	15 , 	10 , 	11 , 	5 , 	4 , 	8 , 	5 , 	4 , 	7 , 	1 , 	3 , 	11 , 	8 , 	106 , 	73 , 	197 , 	76 , 	71 , 	74 , 	13 , 	17 , 	23 , 	8 , 	2 , 	6 , 	1 , 	8 , 	5 , 	3 , 	37 , 	8 , 	1 , 	12 , 	6 , 	-   , 	-   , 	4 , 	4 ," 	1,304 ",,,,,,,,,,,
EN, 	35 , 	12 , 	28 , 	31 , 	221 , 	50 , 	56 , 	42 , 	60 , 	23 , 	45 , 	61 , 	24 , 	15 , 	17 , 	8 , 	9 , 	11 , 	13 , 	9 , 	8 , 	3 , 	4 , 	11 , 	16 , 	185 , 	129 , 	338 , 	125 , 	82 , 	90 , 	18 , 	21 , 	27 , 	14 , 	3 , 	11 , 	2 , 	5 , 	9 , 	12 , 	97 , 	11 , 	4 , 	29 , 	18 , 	-   , 	-   , 	2 , 	6 ," 	2,040 ",,,,,,,,,,,
EP, 	47 , 	29 , 	10 , 	28 , 	240 , 	41 , 	38 , 	39 , 	46 , 	21 , 	22 , 	28 , 	9 , 	9 , 	7 , 	4 , 	8 , 	12 , 	5 , 	6 , 	16 , 	4 , 	3 , 	15 , 	5 , 	132 , 	81 , 	182 , 	99 , 	48 , 	38 , 	22 , 	10 , 	12 , 	4 , 	1 , 	6 , 	1 , 	4 , 	3 , 	5 , 	61 , 	9 , 	4 , 	31 , 	12 , 	-   , 	-   , 	0 , 	2 ," 	1,454 ",,,,,,,,,,,
NB, 	29 , 	34 , 	27 , 	13 , 	75 , 	27 , 	28 , 	43 , 	42 , 	23 , 	34 , 	22 , 	12 , 	10 , 	9 , 	4 , 	7 , 	8 , 	5 , 	8 , 	11 , 	3 , 	3 , 	7 , 	9 , 	156 , 	114 , 	195 , 	149 , 	81 , 	70 , 	22 , 	11 , 	9 , 	5 , 	4 , 	6 , 	1 , 	4 , 	2 , 	8 , 	74 , 	9 , 	2 , 	36 , 	17 , 	-   , 	-   , 	1 , 	2 ," 	1,461 ",,,,,,,,,,,
BK, 	140 , 	205 , 	227 , 	79 , 	49 , 	110 , 	134 , 	130 , 	137 , 	61 , 	90 , 	61 , 	47 , 	36 , 	37 , 	17 , 	41 , 	50 , 	13 , 	42 , 	40 , 	23 , 	14 , 	17 , 	36 , 	289 , 	204 , 	433 , 	251 , 	164 , 	133 , 	53 , 	35 , 	44 , 	8 , 	13 , 	46 , 	4 , 	6 , 	14 , 	14 , 	175 , 	47 , 	15 , 	51 , 	126 , 	-   , 	-   , 	2 , 	8 ," 	3,965 ",,,,,,,,,,,
AS, 	38 , 	43 , 	41 , 	25 , 	108 , 	15 , 	37 , 	48 , 	55 , 	23 , 	44 , 	34 , 	13 , 	13 , 	15 , 	7 , 	8 , 	9 , 	5 , 	7 , 	6 , 	4 , 	2 , 	6 , 	11 , 	133 , 	91 , 	173 , 	122 , 	95 , 	71 , 	17 , 	18 , 	9 , 	2 , 	2 , 	8 , 	1 , 	3 , 	4 , 	5 , 	57 , 	8 , 	1 , 	26 , 	22 , 	-   , 	-   , 	1 , 	1 ," 	1,481 ",,,,,,,,,,,
MA, 	37 , 	57 , 	32 , 	31 , 	125 , 	38 , 	20 , 	49 , 	53 , 	27 , 	73 , 	60 , 	26 , 	26 , 	17 , 	16 , 	10 , 	15 , 	16 , 	29 , 	34 , 	15 , 	8 , 	31 , 	24 , 	227 , 	179 , 	309 , 	230 , 	178 , 	113 , 	32 , 	23 , 	22 , 	7 , 	9 , 	21 , 	4 , 	18 , 	6 , 	7 , 	108 , 	13 , 	10 , 	34 , 	20 , 	-   , 	-   , 	7 , 	16 ," 	2,457 ",,,,,,,,,,,
19, 	28 , 	44 , 	38 , 	37 , 	128 , 	49 , 	47 , 	15 , 	9 , 	11 , 	55 , 	72 , 	36 , 	25 , 	18 , 	10 , 	15 , 	17 , 	18 , 	25 , 	27 , 	16 , 	11 , 	33 , 	34 , 	216 , 	188 , 	338 , 	251 , 	171 , 	140 , 	34 , 	32 , 	26 , 	8 , 	8 , 	18 , 	2 , 	10 , 	7 , 	8 , 	99 , 	15 , 	5 , 	28 , 	23 , 	-   , 	-   , 	6 , 	10 ," 	2,455 ",,,,,,,,,,,
12, 	32 , 	54 , 	39 , 	40 , 	113 , 	46 , 	38 , 	12 , 	21 , 	13 , 	50 , 	88 , 	44 , 	45 , 	34 , 	19 , 	23 , 	26 , 	23 , 	32 , 	30 , 	13 , 	11 , 	31 , 	34 , 	311 , 	270 , 	542 , 	278 , 	189 , 	135 , 	48 , 	53 , 	44 , 	17 , 	10 , 	26 , 	5 , 	12 , 	8 , 	16 , 	118 , 	22 , 	10 , 	30 , 	38 , 	-   , 	-   , 	5 , 	8 ," 	3,101 ",,,,,,,,,,,
LM, 	13 , 	25 , 	19 , 	21 , 	60 , 	28 , 	32 , 	15 , 	10 , 	22 , 	85 , 	89 , 	78 , 	89 , 	30 , 	19 , 	34 , 	33 , 	5 , 	7 , 	9 , 	4 , 	3 , 	10 , 	9 , 	78 , 	68 , 	162 , 	83 , 	65 , 	46 , 	7 , 	17 , 	14 , 	4 , 	34 , 	42 , 	2 , 	3 , 	3 , 	5 , 	24 , 	3 , 	25 , 	20 , 	34 , 	-   , 	-   , 	1 , 	3 ," 	1,481 ",,,,,,,,,,,
