Exit stations,Entry stations->,,WEEKDAY,,,May 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
FV, 	91 , 	95 , 	50 , 	77 , 	275 , 	105 , 	171 , 	199 , 	223 , 	162 , 	25 , 	286 , 	221 , 	195 , 	182 , 	76 , 	75 , 	93 , 	42 , 	25 , 	43 , 	16 , 	22 , 	51 , 	93 , 	977 , 	988 , 	873 , 	852 , 	354 , 	227 , 	75 , 	102 , 	123 , 	10 , 	55 , 	129 , 	6 , 	27 , 	15 , 	25 , 	69 , 	26 , 	63 , 	14 , 	84 , 	-   , 	-   , 	12 , 	19 ," 	8,014 ",,,,,,,,,,,,,
CL, 	78 , 	142 , 	61 , 	51 , 	159 , 	83 , 	164 , 	211 , 	286 , 	257 , 	270 , 	26 , 	167 , 	167 , 	158 , 	109 , 	112 , 	107 , 	67 , 	57 , 	52 , 	32 , 	28 , 	48 , 	95 , 	627 , 	601 , 	518 , 	451 , 	175 , 	137 , 	66 , 	73 , 	124 , 	13 , 	72 , 	186 , 	15 , 	48 , 	20 , 	22 , 	41 , 	27 , 	99 , 	27 , 	154 , 	-   , 	-   , 	24 , 	43 ," 	6,548 ",,,,,,,,,,,,,
SL, 	37 , 	65 , 	31 , 	27 , 	180 , 	50 , 	128 , 	240 , 	359 , 	304 , 	227 , 	171 , 	16 , 	114 , 	137 , 	70 , 	79 , 	109 , 	31 , 	28 , 	22 , 	9 , 	10 , 	24 , 	42 , 	762 , 	860 , 	624 , 	557 , 	185 , 	103 , 	48 , 	75 , 	102 , 	8 , 	40 , 	106 , 	6 , 	14 , 	15 , 	11 , 	52 , 	10 , 	57 , 	10 , 	76 , 	-   , 	-   , 	9 , 	16 ," 	6,253 ",,,,,,,,,,,,,
BF, 	22 , 	38 , 	14 , 	20 , 	114 , 	31 , 	95 , 	221 , 	315 , 	240 , 	189 , 	171 , 	104 , 	18 , 	91 , 	56 , 	80 , 	133 , 	19 , 	9 , 	13 , 	4 , 	6 , 	11 , 	34 , 	679 , 	714 , 	565 , 	485 , 	154 , 	86 , 	34 , 	53 , 	72 , 	12 , 	43 , 	125 , 	3 , 	7 , 	12 , 	15 , 	33 , 	10 , 	67 , 	6 , 	75 , 	-   , 	-   , 	6 , 	8 ," 	5,309 ",,,,,,,,,,,,,
HY, 	28 , 	66 , 	25 , 	29 , 	111 , 	36 , 	90 , 	209 , 	278 , 	143 , 	181 , 	158 , 	130 , 	84 , 	17 , 	94 , 	175 , 	219 , 	27 , 	14 , 	16 , 	7 , 	4 , 	17 , 	30 , 	484 , 	529 , 	360 , 	297 , 	97 , 	64 , 	34 , 	34 , 	54 , 	6 , 	16 , 	72 , 	7 , 	23 , 	5 , 	10 , 	26 , 	7 , 	28 , 	10 , 	117 , 	-   , 	-   , 	7 , 	21 ," 	4,496 ",,,,,,,,,,,,,
SH, 	18 , 	23 , 	10 , 	10 , 	77 , 	22 , 	56 , 	138 , 	174 , 	80 , 	72 , 	103 , 	62 , 	57 , 	71 , 	12 , 	65 , 	86 , 	12 , 	6 , 	11 , 	2 , 	2 , 	7 , 	15 , 	422 , 	414 , 	254 , 	263 , 	83 , 	49 , 	19 , 	17 , 	42 , 	5 , 	13 , 	36 , 	2 , 	7 , 	5 , 	6 , 	17 , 	5 , 	22 , 	7 , 	94 , 	-   , 	-   , 	2 , 	4 ," 	2,976 ",,,,,,,,,,,,,
UC, 	18 , 	32 , 	15 , 	20 , 	124 , 	35 , 	66 , 	206 , 	229 , 	108 , 	78 , 	112 , 	85 , 	83 , 	169 , 	65 , 	21 , 	206 , 	13 , 	12 , 	17 , 	2 , 	3 , 	10 , 	14 , 	902 , 	795 , 	381 , 	367 , 	102 , 	33 , 	12 , 	20 , 	53 , 	6 , 	15 , 	58 , 	3 , 	6 , 	4 , 	4 , 	24 , 	3 , 	29 , 	17 , 	95 , 	-   , 	-   , 	4 , 	11 ," 	4,685 ",,,,,,,,,,,,,
FM, 	27 , 	40 , 	28 , 	24 , 	141 , 	28 , 	81 , 	258 , 	269 , 	107 , 	93 , 	115 , 	111 , 	129 , 	225 , 	103 , 	186 , 	37 , 	15 , 	20 , 	9 , 	6 , 	8 , 	14 , 	10 ," 	1,330 "," 	1,108 ", 	423 , 	386 , 	123 , 	35 , 	18 , 	24 , 	48 , 	4 , 	23 , 	52 , 	4 , 	8 , 	6 , 	9 , 	39 , 	4 , 	22 , 	18 , 	106 , 	-   , 	-   , 	5 , 	8 ," 	5,884 ",,,,,,,,,,,,,
CN, 	20 , 	27 , 	22 , 	23 , 	103 , 	26 , 	148 , 	287 , 	332 , 	35 , 	41 , 	60 , 	27 , 	22 , 	27 , 	11 , 	14 , 	15 , 	27 , 	102 , 	226 , 	83 , 	42 , 	81 , 	16 , 	865 , 	855 , 	510 , 	473 , 	157 , 	95 , 	48 , 	57 , 	95 , 	24 , 	5 , 	10 , 	49 , 	150 , 	24 , 	23 , 	145 , 	29 , 	4 , 	34 , 	20 , 	-   , 	-   , 	96 , 	104 ," 	5,689 ",,,,,,,,,,,,,
PH, 	17 , 	21 , 	18 , 	21 , 	138 , 	19 , 	180 , 	384 , 	450 , 	20 , 	21 , 	54 , 	24 , 	10 , 	14 , 	6 , 	11 , 	19 , 	95 , 	29 , 	104 , 	46 , 	38 , 	115 , 	13 ," 	1,670 "," 	1,706 ", 	663 , 	651 , 	187 , 	87 , 	92 , 	50 , 	69 , 	13 , 	4 , 	6 , 	41 , 	89 , 	24 , 	33 , 	190 , 	21 , 	3 , 	49 , 	19 , 	-   , 	-   , 	31 , 	48 ," 	7,612 ",,,,,,,,,,,,,
