Fast Pass Adjusted OD,,,,,,May 06,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,55,44,151,162,566,896,773,"1,144","3,790"
MT,45,51,91,157,811,"1,328","1,140","2,244","5,867"
PL,209,116,68,125,700,"1,047",676,"1,749","4,689"
CC,156,155,141,48,533,706,525,"1,312","3,575"
16,504,646,894,542,26,218,214,572,"3,614"
24,759,"1,051","1,269",711,230,46,160,524,"4,750"
GP,731,889,932,476,219,163,24,126,"3,561"
BP,"1,045","1,327","2,674","1,235",591,548,145,32,"7,596"
Entries,"3,504","4,278","6,220","3,457","3,676","4,952","3,655","7,701","37,443"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,23,9,56,43,262,289,148,285,"1,115"
MT,11,19,24,30,328,368,323,"1,054","2,157"
PL,53,20,51,45,587,887,496,"1,158","3,297"
CC,41,30,57,40,389,421,208,490,"1,675"
16,220,223,705,404,24,164,143,345,"2,228"
24,236,244,942,420,147,35,101,313,"2,437"
GP,123,159,672,177,139,106,18,65,"1,459"
BP,266,369,"1,916",472,348,310,68,29,"3,777"
Entries,972,"1,074","4,421","1,629","2,224","2,579","1,504","3,740","18,143"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,21,6,35,36,174,184,99,160,713
MT,4,16,19,27,206,251,210,695,"1,428"
PL,37,15,62,43,469,651,336,793,"2,405"
CC,27,21,53,48,359,353,158,383,"1,403"
16,149,144,536,376,29,135,108,237,"1,712"
24,163,171,723,373,129,49,113,264,"1,984"
GP,88,104,511,133,106,103,18,30,"1,091"
BP,170,245,"1,398",323,211,268,40,25,"2,679"
Entries,658,721,"3,336","1,358","1,682","1,993","1,080","2,587","13,414"
