Total Trip OD																																																			
																																																			
2024 / 05																																																			
	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	427	"1,908"	"1,755"	927	"6,604"	"1,417"	"2,125"	"1,780"	"1,986"	596	"1,631"	"1,325"	726	363	350	325	180	252	425	189	484	259	169	346	571	"5,302"	"3,825"	"6,384"	"3,906"	"2,738"	"2,981"	654	882	"1,170"	332	101	176	98	259	248	384	"1,347"	313	79	258	258	135	279	164	355	"59,748"
EN	"2,137"	529	"1,772"	"1,347"	"9,918"	"1,787"	"2,888"	"3,559"	"4,934"	"1,155"	"2,010"	"1,664"	901	644	759	309	491	419	535	268	532	189	268	492	644	"10,061"	"8,398"	"10,938"	"7,817"	"3,637"	"2,864"	995	"1,155"	"2,147"	324	120	288	75	250	387	422	"1,904"	758	147	659	473	57	247	447	596	"95,317"
EP	"2,054"	"1,440"	294	888	"8,144"	"1,378"	"1,628"	"2,470"	"2,764"	737	794	677	526	249	265	103	257	241	207	222	306	190	149	420	169	"6,577"	"5,329"	"4,298"	"4,200"	"1,555"	"1,183"	438	425	727	98	106	160	54	70	137	227	"1,254"	294	74	501	197	15	88	197	255	"55,031"
NB	"1,023"	"1,143"	853	266	"2,069"	859	"1,139"	"2,047"	"2,092"	567	985	696	431	289	349	87	173	269	263	195	334	105	142	188	231	"7,109"	"5,104"	"3,652"	"3,925"	"2,031"	"1,268"	448	380	394	110	48	168	50	114	53	148	"1,600"	300	53	512	135	11	65	223	278	"44,974"
BK	"7,277"	"10,240"	"8,384"	"2,557"	"1,025"	"4,018"	"4,348"	"5,866"	"6,168"	"2,360"	"3,533"	"2,097"	"1,939"	"1,612"	"1,662"	738	"1,810"	"1,403"	"1,255"	"1,190"	"1,503"	645	441	453	"1,284"	"12,736"	"8,204"	"9,467"	"7,645"	"4,242"	"3,278"	"1,959"	"1,185"	"1,355"	390	343	"1,111"	246	646	519	481	"3,956"	"1,442"	410	"1,348"	716	197	526	"1,789"	"2,135"	"140,134"
AS	"1,354"	"1,784"	"1,296"	924	"3,718"	264	"1,108"	"2,137"	"2,318"	749	"1,504"	944	585	393	384	207	346	278	237	276	258	189	54	197	418	"6,581"	"5,167"	"4,341"	"4,346"	"2,507"	"1,540"	482	453	483	98	92	201	56	163	84	131	"1,259"	341	47	422	213	23	136	289	427	"51,804"
MA	"2,355"	"2,858"	"1,584"	"1,177"	"4,293"	"1,175"	614	"2,506"	"2,817"	797	"2,609"	"2,156"	"1,652"	"1,076"	990	636	718	743	"2,013"	"1,596"	"1,952"	776	541	"1,019"	"1,118"	"11,835"	"8,725"	"8,735"	"8,112"	"5,198"	"3,238"	"1,077"	"1,055"	"1,037"	209	196	506	326	"1,737"	288	315	"1,990"	485	292	489	536	482	"1,599"	517	666	"99,416"
19	"1,833"	"3,520"	"2,381"	"2,219"	"5,530"	"2,303"	"2,453"	539	601	398	"1,599"	"1,866"	"2,132"	"1,302"	"1,435"	914	"1,412"	"1,298"	"1,859"	"2,251"	"2,649"	"1,297"	952	"1,960"	"1,270"	"14,376"	"10,682"	"9,771"	"9,058"	"5,477"	"3,772"	"1,684"	"1,358"	"1,421"	407	340	"1,017"	555	"1,085"	498	569	"1,874"	697	482	528	693	315	"1,366"	876	985	"115,859"
12	"2,180"	"4,577"	"2,602"	"2,250"	"5,826"	"2,235"	"2,640"	515	640	374	"1,933"	"2,303"	"3,137"	"2,283"	"1,858"	"1,314"	"1,914"	"1,689"	"2,461"	"2,719"	"2,769"	"1,348"	"1,078"	"2,033"	"1,200"	"14,173"	"9,294"	"11,298"	"9,213"	"4,727"	"3,632"	"1,873"	"1,900"	"1,982"	747	352	"1,265"	848	"1,897"	756	913	"2,470"	971	378	592	554	348	"1,832"	739	"1,124"	"127,756"
