Avg Weekday Trip OD																																																			
																																																			
2024 / 05																																																			
	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	13	71	63	34	245	55	79	70	77	22	60	49	28	14	13	13	7	10	16	7	18	9	7	13	21	201	153	235	153	102	109	24	33	46	13	4	6	4	10	9	15	47	11	3	9	10	5	11	5	12	"2,243"
EN	80	18	68	50	390	67	111	143	201	45	75	59	35	21	29	11	18	17	19	10	20	7	11	18	23	395	343	410	315	138	101	39	43	90	11	5	10	3	9	14	15	66	30	6	23	19	2	9	16	20	"3,674"
EP	72	53	11	30	314	51	61	97	112	28	28	22	20	9	10	3	9	10	8	8	11	7	6	15	6	258	219	150	166	55	40	15	16	29	4	4	5	2	3	6	9	42	11	3	17	8	1	3	7	9	"2,084"
NB	37	42	30	9	79	32	42	76	83	22	37	23	15	10	12	3	6	10	10	7	12	4	5	7	8	272	206	126	150	67	37	15	15	13	4	2	6	2	4	2	5	56	11	2	18	5	0	3	8	9	"1,662"
BK	270	399	319	96	34	153	168	225	232	92	136	75	75	63	63	28	60	55	51	47	58	25	16	16	47	452	306	312	272	144	113	70	44	49	15	13	40	10	27	21	18	127	50	15	45	28	8	21	63	71	"5,133"
AS	50	65	50	34	145	10	39	80	89	28	58	34	23	14	14	7	13	11	9	11	10	7	2	7	15	252	210	154	165	83	48	17	16	19	3	3	7	2	7	3	5	41	12	2	14	8	1	6	10	15	"1,929"
MA	88	111	57	43	163	42	21	96	109	30	99	81	66	42	38	26	27	30	80	64	77	31	21	37	43	459	350	314	311	186	110	40	41	40	8	8	20	14	72	12	12	67	18	12	17	22	20	65	20	23	"3,783"
19	73	143	92	83	207	86	93	18	24	15	61	66	85	51	56	37	58	55	75	93	106	53	39	71	46	560	438	349	350	192	133	65	54	57	17	14	42	23	46	20	23	62	27	20	17	29	13	57	34	36	"4,463"
12	85	189	105	89	220	86	101	19	22	14	76	85	128	92	75	55	81	72	105	116	114	55	44	79	44	547	377	408	359	171	137	75	74	82	31	15	54	37	82	31	36	82	37	17	21	24	15	78	30	46	"5,016"
LM	21	44	27	24	83	28	31	14	16	15	95	105	178	127	89	58	59	54	10	13	16	6	5	10	23	346	286	242	241	104	80	32	37	40	6	64	126	5	12	5	5	16	4	58	19	42	4	18	28	39	"3,009"
FV	60	65	29	33	131	58	101	76	71	85	27	139	170	144	129	64	57	54	18	10	17	11	13	26	71	359	304	365	356	157	128	34	56	81	6	36	85	3	12	8	14	34	8	38	9	44	7	15	30	39	"3,885"
CL	53	57	19	23	67	36	79	76	85	108	136	13	85	87	88	47	47	45	23	24	28	18	16	20	49	210	139	196	146	66	71	25	30	47	4	35	119	6	20	7	9	16	13	34	17	38	7	26	32	46	"2,686"
SL	29	33	15	17	74	25	67	90	140	188	184	95	17	78	129	75	64	96	14	13	14	2	5	14	30	334	322	303	244	85	63	23	38	59	5	29	96	3	10	5	6	23	4	33	8	46	4	16	39	38	"3,346"
BF	13	18	8	13	59	14	44	57	88	130	139	88	81	18	57	57	47	63	13	4	9	1	2	8	24	249	254	274	202	60	47	22	24	38	6	28	86	1	5	7	10	11	5	43	5	42	3	6	25	29	"2,535"
HY	15	30	11	13	57	16	39	54	77	83	128	86	131	66	15	57	111	122	12	7	12	5	2	6	20	164	139	125	111	39	26	13	14	23	5	12	45	2	7	5	6	9	7	17	8	79	2	11	55	57	"2,156"
SH	13	12	4	3	26	8	27	35	49	53	57	40	65	51	53	9	47	64	7	4	5	2	1	3	9	142	114	90	88	22	26	5	8	14	2	13	25	1	3	2	2	7	4	13	5	56	2	4	32	35	"1,359"
UC	9	18	10	7	61	11	29	61	82	57	56	48	69	50	106	48	14	60	7	5	12	1	1	5	11	230	164	109	108	34	18	7	10	25	3	10	34	1	5	3	4	13	1	16	9	65	1	4	66	64	"1,842"
FM	10	18	9	12	54	11	30	54	76	55	56	43	98	61	123	71	61	19	10	3	6	1	3	6	7	286	194	112	97	32	15	8	8	20	4	13	31	2	4	2	3	19	2	10	11	73	1	5	90	95	"2,028"
CN	17	21	11	10	52	12	87	75	100	13	19	23	16	12	13	8	8	11	21	66	145	88	26	58	13	305	271	210	205	54	49	23	26	43	8	3	6	27	123	8	11	70	10	2	18	3	65	90	7	9	"2,572"
PH	8	10	8	8	51	12	65	90	112	11	10	21	9	4	7	5	5	4	65	11	61	32	20	60	8	482	425	219	193	58	32	21	18	32	5	1	3	13	41	9	9	89	8	1	23	3	22	49	5	6	"2,463"
WC	20	21	11	15	56	11	81	112	119	21	16	24	15	10	11	5	11	5	155	59	16	44	27	85	9	550	425	195	193	57	38	24	18	32	7	3	3	20	71	11	13	113	9	1	21	5	28	66	7	9	"2,878"
LF	9	8	6	4	25	8	30	53	60	6	14	13	2	2	3	2	1	1	108	37	44	11	9	42	3	391	298	102	105	30	19	8	9	10	2	1	1	8	19	2	5	71	3	1	12	2	6	16	2	3	"1,628"
OR	5	8	5	6	17	3	24	38	47	4	7	13	4	2	2	2	1	3	24	14	26	8	8	38	2	353	268	83	106	26	10	12	8	10	4	1	0	3	8	3	3	49	3	1	7	0	8	8	2	2	"1,287"
RR	13	17	16	11	18	7	41	78	78	10	27	19	17	9	6	4	6	5	59	64	84	37	40	10	16	550	405	202	245	102	60	34	27	22	3	1	5	7	26	7	7	90	5	2	10	4	11	26	4	8	"2,557"
OW	21	18	5	9	41	15	35	43	50	19	76	51	26	27	23	10	10	8	11	8	9	3	3	13	24	815	531	473	428	201	131	38	41	35	7	8	18	2	9	11	16	69	14	8	6	6	7	11	5	8	"3,452"
EM	232	434	286	315	514	302	532	682	663	378	426	227	417	315	201	176	257	321	364	563	628	456	409	599	962	91	30	133	177	470	742	490	519	574	230	245	777	107	297	185	172	254	186	313	69	109	36	243	136	158	"17,401"
MT	202	352	217	233	329	234	387	503	440	307	346	153	353	304	164	128	188	206	288	435	422	298	267	415	619	32	62	38	122	457	790	559	691	730	253	184	502	72	251	212	211	223	225	193	47	88	34	203	126	121	"14,213"
PL	211	330	124	117	282	139	299	321	385	211	328	177	243	220	115	84	100	100	190	209	179	99	82	180	464	161	53	81	89	475	646	422	795	566	183	97	254	51	253	158	151	627	143	88	49	47	44	146	52	61	"10,880"
CC	151	253	145	146	213	160	295	332	308	215	322	137	209	163	103	71	89	85	168	156	166	96	95	210	437	164	118	90	52	236	392	322	482	446	180	105	207	52	136	164	158	225	152	71	22	41	32	160	44	57	"8,831"
16	91	112	48	67	135	82	184	197	169	98	159	61	83	60	43	22	31	33	54	51	50	30	25	96	215	461	464	530	259	22	103	207	280	268	108	30	61	19	79	77	75	171	83	25	12	19	13	60	13	20	"5,652"
24	101	87	33	41	108	49	115	137	128	77	121	63	56	47	23	25	15	14	48	33	34	20	12	58	150	637	670	741	449	103	20	168	224	219	95	16	40	14	62	63	74	111	74	15	12	10	11	42	10	13	"5,487"
GP	24	34	15	17	65	15	42	64	67	31	33	19	22	21	11	6	6	8	21	17	18	8	9	32	40	456	493	461	320	199	168	12	55	54	36	6	21	3	22	25	37	75	46	7	8	5	4	27	4	5	"3,195"
BP	33	41	16	14	41	17	39	50	66	34	48	29	37	23	15	9	8	7	22	16	15	9	8	23	57	431	484	858	450	261	219	50	15	60	50	11	19	7	22	33	53	65	59	8	5	5	7	19	5	7	"3,878"
DC	48	89	27	15	43	19	42	55	75	40	82	47	57	39	23	14	23	19	39	31	31	11	12	22	44	541	662	633	462	274	231	60	71	19	31	18	43	10	39	69	93	134	140	19	8	9	11	41	13	16	"4,591"
CM	11	11	4	5	14	3	7	16	29	5	6	4	5	4	4	2	3	3	7	5	9	2	3	4	9	226	221	214	180	102	89	35	50	27	8	2	6	1	9	10	33	51	47	1	1	1	3	10	1	1	"1,502"
CV	4	4	4	2	16	4	8	19	20	58	36	36	33	27	15	12	12	12	3	1	3	1	1	2	9	219	172	109	115	31	17	6	12	20	1	10	72	0	1	3	4	11	2	45	5	6	1	2	6	7	"1,212"
ED	8	13	5	6	44	9	23	47	71	102	87	106	95	76	44	29	34	28	6	2	3	1	0	3	16	682	482	270	227	65	41	22	20	45	5	67	28	1	3	5	6	81	7	19	38	13	1	3	20	31	"3,040"
NC	4	3	2	2	9	1	14	21	32	6	3	5	4	1	1	1	1	2	25	15	17	4	2	8	2	79	61	60	64	20	16	4	6	9	1	0	1	4	19	6	5	22	1	0	6	2	13	18	1	2	603
WP	13	9	3	5	26	7	73	45	84	11	14	17	9	4	7	3	5	5	138	46	86	20	11	30	10	240	226	295	219	84	65	32	24	40	11	1	5	19	14	6	12	60	10	1	12	5	7	18	3	5	"2,096"
SS	10	16	5	2	19	3	12	20	32	5	8	6	4	8	4	2	3	2	9	9	11	2	2	7	10	182	196	183	174	78	64	25	42	65	11	3	5	6	8	8	23	35	24	2	2	1	1	14	1	0	"1,366"
SB	13	15	9	4	17	6	12	23	33	6	15	8	7	8	6	2	3	3	10	10	11	5	3	6	18	165	188	179	157	79	82	38	61	91	30	4	6	6	11	20	11	78	20	2	2	2	2	11	0	1	"1,503"
SO	49	62	43	66	140	48	77	67	82	17	31	17	20	11	7	6	8	17	72	94	112	71	53	92	85	199	175	515	212	148	93	64	63	115	52	11	72	23	65	30	62	86	287	20	11	9	8	55	8	6	"3,741"
MB	13	27	10	11	51	11	20	27	33	5	6	10	4	5	6	4	2	1	8	6	10	3	3	5	11	179	205	145	134	76	66	40	67	123	40	2	8	1	9	20	16	287	34	2	2	1	2	8	1	0	"1,761"
WD	5	6	4	2	14	3	14	24	25	51	40	31	37	40	19	14	16	10	4	1	1	1	1	2	9	287	190	90	92	29	15	9	10	20	1	45	20	1	1	2	2	23	3	9	14	8	1	1	11	13	"1,267"
OA	7	21	17	17	42	14	16	19	22	14	7	16	6	4	7	3	8	12	16	20	19	9	5	8	4	75	47	46	34	16	14	8	6	9	1	4	30	3	11	1	2	13	3	14	11	4	1	11	8	8	714
WS	12	19	7	5	26	8	24	31	27	38	43	37	42	34	64	49	60	63	3	2	5	2	1	3	6	99	79	48	41	20	10	4	6	10	1	7	9	2	4	1	2	9	2	6	4	7	2	5	68	71	"1,125"
PC	5	2	1	1	6	1	19	14	14	5	5	6	3	3	3	1	1	1	61	17	25	5	7	12	8	29	24	43	31	15	12	4	7	9	3	1	1	13	9	2	2	8	1	2	2	1	1	21	1	1	470
AN	13	11	3	2	19	5	60	52	77	14	12	22	16	7	9	3	4	5	89	38	57	13	9	22	11	181	168	148	164	56	39	26	20	39	11	2	3	17	21	12	9	54	8	1	14	9	20	16	4	5	"1,618"
ML	7	13	7	9	61	11	19	34	29	27	28	27	37	25	53	33	61	80	7	5	6	2	2	4	4	119	107	59	47	12	11	4	7	13	1	4	20	1	2	2	1	8	0	10	7	73	1	4	15	20	"1,137"
BE	11	21	10	9	76	18	27	39	47	39	38	39	39	33	60	37	66	96	8	6	8	3	3	7	8	147	110	72	62	18	14	5	6	19	1	5	27	2	4	0	1	8	0	14	8	90	1	6	25	17	"1,407"
Grand Total	"2,360"	"3,476"	"2,032"	"1,790"	"4,982"	"2,024"	"3,884"	"4,671"	"5,156"	"2,947"	"3,920"	"2,611"	"3,290"	"2,544"	"2,171"	"1,440"	"1,828"	"2,017"	"2,592"	"2,491"	"2,852"	"1,637"	"1,359"	"2,518"	"3,779"	"15,243"	"12,824"	"11,796"	"9,636"	"5,613"	"5,601"	"3,305"	"4,252"	"4,542"	"1,525"	"1,202"	"3,112"	633	"1,988"	"1,329"	"1,474"	"4,007"	"1,865"	"1,240"	740	"1,222"	499	"1,768"	"1,201"	"1,369"	"168,356"
