Avg Saturday Trip OD																																																			
																																																			
2024 / 05																																																			
	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	15	41	43	20	163	31	50	31	36	11	33	35	11	6	10	6	5	3	8	3	12	8	3	7	13	99	63	160	64	60	76	16	18	17	8	3	3	1	4	7	7	39	9	1	5	6	2	4	7	12	"1,289"
EN	43	17	35	31	179	42	62	56	67	18	41	48	17	21	19	7	13	5	15	7	10	6	4	13	16	152	117	237	107	68	80	22	26	24	8	2	8	2	7	10	13	54	14	1	17	6	2	4	13	22	"1,802"
EP	56	33	9	28	173	30	38	44	44	19	23	25	13	6	5	2	7	4	5	5	7	6	2	9	4	115	70	127	70	43	40	12	10	10	2	4	7	1	1	2	2	32	9	1	14	2	0	3	3	6	"1,173"
NB	22	30	27	10	50	18	23	46	33	9	20	23	13	5	10	1	7	4	5	5	9	3	4	2	6	129	71	115	73	58	55	13	6	13	3	2	3	1	2	2	3	40	7	2	11	2	1	2	8	13	"1,013"
BK	179	198	186	67	37	86	88	115	157	42	74	73	41	34	34	18	71	25	19	24	32	15	13	14	32	332	198	332	194	137	100	62	26	33	10	7	33	4	8	7	11	131	40	14	43	14	3	11	49	63	"3,532"
AS	31	41	22	22	72	7	33	48	48	17	26	26	10	12	11	5	8	5	4	5	7	5	1	5	14	115	82	124	87	81	55	14	12	7	2	2	6	2	1	2	3	33	10	2	14	5	1	1	7	12	"1,157"
MA	55	57	43	27	104	33	18	54	61	18	52	53	27	19	20	8	18	9	31	25	33	15	12	25	22	209	144	245	162	134	98	27	22	22	4	2	6	4	23	3	6	58	12	2	11	6	5	23	9	20	"2,092"
19	30	49	47	50	135	61	55	21	9	8	33	53	34	21	27	14	18	9	29	27	42	17	12	52	33	254	141	266	177	156	110	37	24	22	6	5	11	7	8	5	8	45	11	5	14	9	5	16	18	18	"2,257"
12	42	59	40	41	140	44	63	12	24	9	36	66	45	35	31	15	18	15	24	21	35	19	18	42	28	281	138	289	174	138	85	34	37	22	6	3	8	7	12	8	17	70	23	1	9	6	2	14	11	16	"2,328"
LM	9	16	16	14	43	14	16	6	6	9	48	85	87	56	32	17	26	19	3	3	4	1	2	5	15	169	108	194	134	83	67	19	18	19	4	35	46	1	5	2	3	11	3	19	11	12		4	14	24	"1,550"
FV	37	38	20	17	74	30	53	37	30	45	22	101	82	90	68	34	31	22	10	4	9	7	6	21	45	156	121	236	143	113	84	22	30	27	5	26	53	2	7	5	4	25	7	25	10	14	3	8	21	30	"2,102"
CL	34	48	24	25	68	28	53	52	61	68	95	16	97	64	60	47	87	44	25	23	30	15	15	19	35	163	103	203	83	52	52	25	36	69	7	43	168	9	21	11	7	16	13	45	26	45	3	15	82	91	"2,517"
SL	19	15	9	11	43	10	31	42	46	85	87	109	13	50	64	36	27	17	7	3	9	1	2	9	14	121	83	200	85	40	31	12	15	19	2	22	35	1	5	4	4	22	6	23	5	12	1	8	21	29	"1,558"
BF	7	15	10	8	34	8	21	28	34	62	90	78	56	17	52	38	22	23	5	2	6	2	1	5	14	101	78	193	60	34	29	13	18	18	5	16	48	1	6	1	7	10	2	30	2	12	2	4	19	17	"1,357"
HY	11	17	6	10	30	12	15	28	35	33	64	66	72	46	12	39	58	43	9	5	7	2	2	3	16	59	37	84	38	19	18	5	4	11	3	6	28		6	3	4	7	2	13	4	18	1	6	30	35	"1,078"
SH	5	8	4	2	18	6	10	11	10	15	34	45	35	30	32	11	20	20	2	2	5	2	3	2	3	46	25	54	24	13	14	4	7	7	1	6	14	1	2	1	3	4	2	11	2	24	1	2	20	22	639
UC	6	15	6	5	84	10	14	22	20	26	34	86	27	28	60	25	16	18	6	4	4	2	1	4	6	106	59	104	53	20	15	4	7	10	1	6	20	1	2	2	3	12	1	8	9	22	0	4	32	35	"1,062"
FM	4	6	5	4	32	5	8	13	15	22	25	53	17	21	44	27	20	13	3	2	3	2	1	2	4	74	35	66	49	14	11	2	4	7	1	2	10		1	1	1	10	1	5	7	19	1	2	47	41	754
CN	14	13	6	7	20	4	32	28	25	3	13	24	6	7	11	3	4	3	19	31	100	66	12	25	7	104	60	115	55	29	25	9	11	12	4	2	4	13	68	5	9	54	5	2	9	1	22	37	4	4	"1,139"
PH	4	6	4	4	24	5	21	21	19	3	7	18	5	2	4	2	3	2	34	14	36	18	11	32	7	158	81	131	62	23	18	9	10	9	2	2	3	4	22	3	4	69	3	1	12	2	11	18	5	5	965
WC	12	15	9	12	33	9	38	33	36	3	12	28	7	7	4	3	2	3	119	45	18	27	15	64	8	187	90	131	113	46	25	18	15	11	4	1	3	9	41	7	6	87	6	1	16	1	14	36	4	5	"1,432"
LF	8	6	6	6	13	4	14	15	17	1	8	16	3	1	2	1	2	2	84	22	28	5	5	31	2	107	55	76	68	18	17	6	5	4	1	1	2	5	10	2	0	51	2		7	1	3	9	1	3	751
OR	4	2	2	5	16	1	12	14	14	2	5	14	1	3	2	3		1	14	6	14	8	8	25	2	93	43	65	54	23	16	8	3	7	1		1	1	6	3	1	31	3	0	5	1	3	3	2	3	549
