Avg Sunday Trip OD																																																			
																																																			
2024 / 05																																																			
	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
OW	11	11	1	5	26	7	18	21	30	18	39	26	10	12	10	2	3	3	6	5	5	1	2	10	30	330	155	308	221	215	138	18	22	19	7	3	9	2	5	4	7	54	8	2	6	2	3	8	3	4	"1,860"
EM	96	193	93	128	318	118	242	215	206	129	135	115	112	156	65	42	94	64	99	228	187	149	104	176	440	75	13	90	88	295	338	134	136	255	41	74	363	27	62	39	52	213	135	99	59	36	12	51	68	72	"6,728"
MT	48	81	50	64	190	69	108	125	130	79	84	73	76	68	31	24	43	32	51	64	70	48	39	96	174	17	27	17	31	166	184	90	140	120	36	37	105	10	38	24	35	163	49	34	32	16	5	30	38	39	"3,393"
PL	100	157	73	75	250	90	143	172	207	131	166	132	118	113	55	40	63	45	83	76	91	57	53	107	283	92	9	79	60	493	522	208	403	314	92	47	152	25	72	73	94	591	121	28	40	15	14	55	51	49	"6,575"
CC	49	77	71	62	159	65	127	130	123	85	113	63	66	52	26	17	37	29	43	49	72	58	51	98	220	57	24	55	50	247	329	122	158	191	65	28	106	12	30	49	62	229	107	30	23	11	7	17	23	38	"4,009"
16	49	73	43	69	112	71	130	144	94	87	106	50	52	34	21	17	31	22	39	30	42	29	25	83	216	221	135	510	240	22	123	132	122	194	52	26	52	7	25	40	49	181	97	14	13	11	2	15	17	36	"4,000"
24	70	78	38	61	91	57	101	103	65	84	110	48	60	38	38	25	20	21	30	32	26	18	23	73	184	272	160	611	345	123	23	223	166	272	75	15	42	10	30	75	73	108	129	10	18	14	4	24	14	25	"4,350"
GP	9	13	12	13	39	12	23	24	18	14	16	13	7	9	2	3	4	4	7	9	7	9	6	16	20	117	76	247	118	130	195	7	13	23	13	4	17	4	10	17	19	76	31	4	10	0	1	7	2	5	"1,451"
BP	16	21	5	4	17	9	13	24	23	15	18	16	12	10	8	5	6	4	7	9	6	4	2	9	21	112	96	450	150	123	158	12	14	23	37	2	13	1	17	15	30	61	22	3	6	3	2	9	7	8	"1,652"
DC	19	17	8	10	27	8	15	21	18	16	13	21	14	10	10	4	9	6	12	10	10	5	3	9	26	142	121	393	210	212	247	29	26	21	17	11	30	4	11	18	49	134	60	6	7	3	1	9	7	11	"2,093"
CM	7	8	3	3	5	4	3	5	6	2	4	2	1	3	1	2	3	1	3	3	4	1	1	2	7	34	26	117	70	55	61	18	26	13	8	1	3	0	4	4	22	47	15	1	1		2	4	0	1	611
