Exit stations,Entry stations->,,SATURDAY,,,Mar 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	12 , 	25 , 	28 , 	18 , 	91 , 	23 , 	29 , 	21 , 	28 , 	9 , 	25 , 	19 , 	12 , 	6 , 	6 , 	5 , 	3 , 	6 , 	6 , 	1 , 	4 , 	2 , 	1 , 	8 , 	10 , 	59 , 	54 , 	130 , 	62 , 	49 , 	56 , 	13 , 	14 , 	17 , 	2 , 	2 , 	4 , 	0 , 	4 , 	6 , 	7 , 	15 , 	3 , 	1 , 	2 , 	7 , 	-   , 	-   , 	4 , 	5 , 	910 ,,,,,,,,,,
EN, 	28 , 	4 , 	18 , 	16 , 	123 , 	33 , 	39 , 	33 , 	42 , 	14 , 	35 , 	25 , 	14 , 	13 , 	12 , 	6 , 	6 , 	5 , 	5 , 	5 , 	7 , 	2 , 	2 , 	8 , 	9 , 	96 , 	79 , 	203 , 	81 , 	47 , 	44 , 	13 , 	21 , 	17 , 	10 , 	2 , 	4 , 	1 , 	4 , 	4 , 	5 , 	41 , 	10 , 	2 , 	5 , 	8 , 	-   , 	-   , 	3 , 	5 ," 	1,201 ",,,,,,,,,,
EP, 	32 , 	24 , 	6 , 	14 , 	132 , 	17 , 	25 , 	23 , 	27 , 	10 , 	18 , 	6 , 	6 , 	5 , 	5 , 	3 , 	5 , 	6 , 	3 , 	4 , 	3 , 	2 , 	1 , 	9 , 	5 , 	43 , 	37 , 	72 , 	35 , 	22 , 	16 , 	8 , 	7 , 	8 , 	3 , 	1 , 	2 , 	1 , 	2 , 	2 , 	2 , 	15 , 	4 , 	1 , 	5 , 	5 , 	-   , 	-   , 	1 , 	2 , 	682 ,,,,,,,,,,
NB, 	20 , 	17 , 	17 , 	4 , 	45 , 	11 , 	14 , 	22 , 	18 , 	10 , 	22 , 	6 , 	9 , 	7 , 	7 , 	3 , 	3 , 	5 , 	2 , 	4 , 	4 , 	1 , 	1 , 	2 , 	4 , 	39 , 	25 , 	59 , 	33 , 	24 , 	19 , 	6 , 	5 , 	3 , 	2 , 	2 , 	2 , 	1 , 	2 , 	1 , 	2 , 	19 , 	3 , 	1 , 	5 , 	5 , 	-   , 	-   , 	1 , 	1 , 	512 ,,,,,,,,,,
BK, 	96 , 	124 , 	123 , 	48 , 	15 , 	66 , 	74 , 	78 , 	99 , 	35 , 	67 , 	29 , 	27 , 	24 , 	24 , 	10 , 	17 , 	20 , 	12 , 	9 , 	19 , 	6 , 	4 , 	8 , 	19 , 	108 , 	85 , 	171 , 	110 , 	72 , 	41 , 	20 , 	17 , 	23 , 	4 , 	4 , 	13 , 	2 , 	6 , 	3 , 	7 , 	34 , 	21 , 	6 , 	14 , 	32 , 	-   , 	-   , 	2 , 	5 ," 	1,847 ",,,,,,,,,,
AS, 	23 , 	29 , 	18 , 	8 , 	59 , 	8 , 	26 , 	35 , 	28 , 	11 , 	25 , 	10 , 	11 , 	7 , 	9 , 	3 , 	5 , 	3 , 	6 , 	2 , 	2 , 	-   , 	1 , 	3 , 	7 , 	43 , 	41 , 	67 , 	51 , 	34 , 	27 , 	8 , 	8 , 	4 , 	1 , 	1 , 	2 , 	1 , 	2 , 	1 , 	3 , 	10 , 	4 , 	1 , 	5 , 	5 , 	-   , 	-   , 	-   , 	1 , 	652 ,,,,,,,,,,
MA, 	34 , 	41 , 	22 , 	15 , 	65 , 	28 , 	12 , 	30 , 	38 , 	14 , 	47 , 	24 , 	15 , 	14 , 	13 , 	8 , 	7 , 	9 , 	17 , 	10 , 	15 , 	6 , 	2 , 	18 , 	12 , 	94 , 	79 , 	153 , 	93 , 	69 , 	45 , 	14 , 	10 , 	9 , 	6 , 	1 , 	6 , 	4 , 	15 , 	3 , 	5 , 	28 , 	5 , 	3 , 	5 , 	12 , 	-   , 	-   , 	7 , 	12 ," 	1,189 ",,,,,,,,,,
19, 	23 , 	35 , 	24 , 	24 , 	76 , 	38 , 	30 , 	7 , 	7 , 	7 , 	43 , 	24 , 	28 , 	21 , 	20 , 	9 , 	6 , 	11 , 	15 , 	20 , 	19 , 	7 , 	5 , 	20 , 	22 , 	112 , 	87 , 	149 , 	111 , 	79 , 	55 , 	22 , 	15 , 	13 , 	2 , 	4 , 	5 , 	3 , 	7 , 	4 , 	6 , 	17 , 	4 , 	2 , 	4 , 	14 , 	-   , 	-   , 	4 , 	8 ," 	1,265 ",,,,,,,,,,
12, 	24 , 	38 , 	28 , 	15 , 	82 , 	27 , 	31 , 	6 , 	12 , 	5 , 	37 , 	24 , 	32 , 	31 , 	19 , 	9 , 	12 , 	12 , 	17 , 	14 , 	14 , 	7 , 	7 , 	21 , 	25 , 	94 , 	81 , 	170 , 	91 , 	52 , 	45 , 	14 , 	16 , 	12 , 	8 , 	2 , 	6 , 	5 , 	9 , 	3 , 	9 , 	26 , 	13 , 	2 , 	3 , 	12 , 	-   , 	-   , 	3 , 	9 ," 	1,230 ",,,,,,,,,,
LM, 	9 , 	11 , 	8 , 	11 , 	30 , 	14 , 	19 , 	8 , 	6 , 	7 , 	43 , 	40 , 	58 , 	53 , 	22 , 	12 , 	15 , 	16 , 	4 , 	3 , 	5 , 	2 , 	3 , 	6 , 	16 , 	87 , 	83 , 	152 , 	77 , 	57 , 	37 , 	10 , 	14 , 	14 , 	1 , 	14 , 	23 , 	1 , 	3 , 	2 , 	3 , 	9 , 	7 , 	14 , 	3 , 	13 , 	-   , 	-   , 	2 , 	3 ," 	1,044 ",,,,,,,,,,
