Exit stations,Entry stations->,,TOTAL,,,Mar 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
FV," 	1,421 "," 	1,535 ", 	767 ," 	1,015 "," 	3,608 "," 	1,513 "," 	2,532 "," 	2,605 "," 	3,154 "," 	2,382 ", 	487 ," 	3,428 "," 	3,834 "," 	3,306 "," 	3,225 "," 	1,408 "," 	1,100 "," 	1,298 ", 	568 , 	371 , 	563 , 	208 , 	313 , 	752 ," 	1,586 "," 	9,652 "," 	9,630 "," 	10,204 "," 	10,549 "," 	4,426 "," 	3,104 ", 	774 ," 	1,376 "," 	1,478 ", 	150 , 	911 ," 	1,939 ", 	87 , 	343 , 	130 , 	288 , 	833 , 	291 , 	908 , 	171 ," 	1,176 ", 	-   , 	-   , 	258 , 	347 ," 	102,004 ",,,,,,,,,,,,,
CL," 	1,052 "," 	1,398 ", 	469 , 	366 ," 	1,850 ", 	797 ," 	1,998 "," 	2,212 "," 	3,379 "," 	2,246 "," 	3,390 ", 	321 ," 	1,719 "," 	2,010 "," 	1,873 "," 	1,123 ", 	785 , 	720 , 	480 , 	348 , 	273 , 	92 , 	110 , 	319 ," 	1,386 "," 	5,175 "," 	5,032 "," 	4,823 "," 	5,032 "," 	2,256 "," 	1,539 ", 	625 , 	761 ," 	1,032 ", 	166 , 	476 ," 	1,460 ", 	148 , 	440 , 	207 , 	272 , 	539 , 	184 , 	571 , 	333 , 	890 , 	-   , 	-   , 	310 , 	477 ," 	63,464 ",,,,,,,,,,,,,
SL, 	554 , 	850 , 	332 , 	402 ," 	2,088 ", 	754 ," 	1,634 "," 	2,926 "," 	4,187 "," 	3,750 "," 	3,761 "," 	1,887 ", 	220 ," 	1,642 "," 	2,287 "," 	1,203 ", 	953 ," 	1,199 ", 	387 , 	195 , 	262 , 	83 , 	128 , 	296 , 	679 ," 	7,681 "," 	8,126 "," 	6,843 "," 	6,455 "," 	2,030 "," 	1,220 ", 	453 , 	851 ," 	1,119 ", 	128 , 	626 ," 	1,314 ", 	98 , 	191 , 	170 , 	155 , 	774 , 	133 , 	620 , 	140 , 	861 , 	-   , 	-   , 	172 , 	263 ," 	73,082 ",,,,,,,,,,,,,
BF, 	351 , 	520 , 	157 , 	268 ," 	1,469 ", 	439 ," 	1,192 "," 	2,386 "," 	3,804 "," 	3,094 "," 	3,171 "," 	1,922 "," 	1,566 ", 	227 ," 	1,447 "," 	1,065 "," 	1,052 "," 	1,840 ", 	294 , 	126 , 	148 , 	77 , 	68 , 	158 , 	665 ," 	6,657 "," 	7,042 "," 	6,556 "," 	6,097 "," 	2,066 "," 	1,071 ", 	436 , 	644 , 	841 , 	155 , 	533 ," 	1,834 ", 	72 , 	121 , 	143 , 	137 , 	534 , 	159 , 	852 , 	91 ," 	1,057 ", 	-   , 	-   , 	46 , 	151 ," 	64,801 ",,,,,,,,,,,,,
HY, 	514 , 	844 , 	267 , 	368 ," 	1,389 ", 	479 ," 	1,215 "," 	2,267 "," 	3,113 "," 	1,879 "," 	3,169 "," 	1,950 "," 	2,366 "," 	1,461 ", 	261 ," 	1,315 "," 	2,341 "," 	3,117 ", 	386 , 	178 , 	258 , 	101 , 	48 , 	242 , 	504 ," 	4,629 "," 	4,636 "," 	3,724 "," 	3,548 "," 	1,348 ", 	734 , 	373 , 	420 , 	633 , 	81 , 	297 ," 	1,007 ", 	119 , 	245 , 	130 , 	193 , 	342 , 	88 , 	460 , 	108 ," 	1,698 ", 	-   , 	-   , 	149 , 	285 ," 	55,279 ",,,,,,,,,,,,,
SH, 	302 , 	354 , 	139 , 	139 , 	778 , 	204 , 	732 ," 	1,579 "," 	1,854 "," 	1,078 "," 	1,444 "," 	1,087 "," 	1,125 "," 	1,143 "," 	1,199 ", 	201 , 	935 ," 	1,329 ", 	161 , 	86 , 	97 , 	14 , 	23 , 	57 , 	238 ," 	4,002 "," 	3,506 "," 	2,526 "," 	3,158 "," 	1,040 ", 	607 , 	233 , 	247 , 	425 , 	104 , 	217 , 	442 , 	23 , 	118 , 	87 , 	89 , 	277 , 	61 , 	303 , 	108 ," 	1,384 ", 	-   , 	-   , 	59 , 	58 ," 	35,372 ",,,,,,,,,,,,,
UC, 	262 , 	370 , 	185 , 	168 ," 	1,414 ", 	415 , 	889 ," 	1,902 "," 	2,341 "," 	1,227 "," 	1,175 ", 	860 ," 	1,023 "," 	1,172 "," 	2,347 "," 	1,020 ", 	207 ," 	1,779 ", 	171 , 	137 , 	172 , 	28 , 	27 , 	112 , 	150 ," 	5,792 "," 	5,424 "," 	2,896 "," 	3,298 "," 	1,073 ", 	559 , 	150 , 	230 , 	491 , 	92 , 	175 , 	666 , 	13 , 	124 , 	66 , 	55 , 	262 , 	26 , 	321 , 	142 ," 	1,377 ", 	-   , 	-   , 	62 , 	139 ," 	42,986 ",,,,,,,,,,,,,
FM, 	332 , 	502 , 	277 , 	165 ," 	1,247 ", 	307 , 	804 ," 	2,355 "," 	2,391 "," 	1,169 "," 	1,430 ", 	776 ," 	1,240 "," 	1,546 "," 	3,104 "," 	1,460 "," 	5,736 ", 	308 , 	211 , 	137 , 	100 , 	35 , 	61 , 	122 , 	132 ," 	7,818 "," 	6,745 "," 	3,071 "," 	2,718 "," 	1,185 ", 	396 , 	247 , 	215 , 	426 , 	85 , 	306 , 	593 , 	34 , 	112 , 	36 , 	98 , 	277 , 	53 , 	181 , 	138 ," 	1,297 ", 	-   , 	-   , 	83 , 	140 ," 	52,201 ",,,,,,,,,,,,,
CN, 	351 , 	402 , 	235 , 	217 ," 	1,131 ", 	302 ," 	1,661 "," 	3,114 "," 	3,247 ", 	363 , 	589 , 	510 , 	383 , 	311 , 	422 , 	156 , 	156 , 	224 , 	447 ," 	1,405 "," 	2,927 "," 	1,279 ", 	569 , 	959 , 	335 ," 	7,775 "," 	7,978 "," 	5,787 "," 	5,883 "," 	1,745 "," 	1,215 ", 	654 , 	623 , 	905 , 	288 , 	47 , 	97 , 	935 ," 	2,275 ", 	236 , 	289 ," 	1,689 ", 	330 , 	47 , 	357 , 	258 , 	-   , 	-   ," 	1,318 "," 	1,692 "," 	64,118 ",,,,,,,,,,,,,
PH, 	221 , 	313 , 	241 , 	237 ," 	1,238 ", 	232 ," 	1,531 "," 	3,742 "," 	4,319 ", 	290 , 	277 , 	299 , 	173 , 	136 , 	190 , 	76 , 	98 , 	151 ," 	1,333 ", 	252 ," 	1,288 ", 	551 , 	347 ," 	1,274 ", 	186 ," 	13,001 "," 	13,394 "," 	6,140 "," 	6,406 "," 	1,959 ", 	841 , 	804 , 	544 , 	659 , 	89 , 	30 , 	68 , 	611 ," 	1,148 ", 	220 , 	297 ," 	1,724 ", 	217 , 	37 , 	371 , 	186 , 	-   , 	-   , 	472 , 	725 ," 	68,938 ",,,,,,,,,,,,,
WC, 	289 , 	382 , 	229 , 	216 ," 	1,074 ", 	237 ," 	1,697 "," 	3,009 "," 	3,213 ", 	316 , 	471 , 	308 , 	308 , 	188 , 	240 , 	106 , 	165 , 	122 ," 	3,308 "," 	1,474 ", 	241 , 	725 , 	415 ," 	1,513 ", 	227 ," 	10,522 "," 	10,203 "," 	4,359 "," 	4,203 "," 	1,387 ", 	679 , 	420 , 	522 , 	550 , 	143 , 	38 , 	50 , 	775 ," 	1,614 ", 	199 , 	219 ," 	1,661 ", 	194 , 	22 , 	327 , 	136 , 	-   , 	-   , 	783 ," 	1,222 "," 	60,701 ",,,,,,,,,,,,,
LF, 	87 , 	135 , 	66 , 	58 , 	508 , 	89 , 	641 ," 	1,611 "," 	1,468 ", 	107 , 	205 , 	108 , 	75 , 	79 , 	68 , 	4 , 	32 , 	40 ," 	1,578 ", 	557 , 	785 , 	157 , 	159 , 	723 , 	57 ," 	6,181 "," 	6,392 "," 	2,196 "," 	2,425 ", 	657 , 	333 , 	172 , 	145 , 	198 , 	37 , 	5 , 	18 , 	136 , 	519 , 	50 , 	98 , 	955 , 	112 , 	-   , 	188 , 	56 , 	-   , 	-   , 	179 , 	216 ," 	30,665 ",,,,,,,,,,,,,
OR, 	153 , 	148 , 	67 , 	118 , 	393 , 	106 , 	443 ," 	1,127 "," 	1,081 ", 	97 , 	246 , 	116 , 	132 , 	63 , 	48 , 	20 , 	21 , 	58 , 	471 , 	304 , 	402 , 	175 , 	147 , 	489 , 	49 ," 	5,857 "," 	5,277 "," 	1,904 "," 	2,074 ", 	601 , 	358 , 	204 , 	114 , 	145 , 	29 , 	20 , 	17 , 	55 , 	168 , 	51 , 	63 , 	657 , 	94 , 	8 , 	114 , 	48 , 	-   , 	-   , 	112 , 	124 ," 	24,568 ",,,,,,,,,,,,,
