Exit stations,Entry stations->,,SUNDAY,,,Mar 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	8 , 	24 , 	28 , 	15 , 	74 , 	23 , 	27 , 	17 , 	19 , 	11 , 	30 , 	20 , 	9 , 	6 , 	6 , 	5 , 	3 , 	6 , 	3 , 	2 , 	5 , 	2 , 	2 , 	6 , 	10 , 	49 , 	40 , 	99 , 	47 , 	38 , 	33 , 	11 , 	11 , 	13 , 	4 , 	1 , 	2 , 	1 , 	5 , 	6 , 	7 , 	19 , 	3 , 	0 , 	3 , 	4 , 	-   , 	-   , 	3 , 	4 , 	762 ,,,,,,,,,,,
EN, 	23 , 	6 , 	19 , 	18 , 	105 , 	35 , 	30 , 	24 , 	30 , 	13 , 	31 , 	20 , 	10 , 	10 , 	9 , 	6 , 	6 , 	5 , 	6 , 	6 , 	7 , 	2 , 	2 , 	7 , 	9 , 	75 , 	59 , 	146 , 	52 , 	35 , 	32 , 	10 , 	13 , 	15 , 	9 , 	2 , 	6 , 	1 , 	4 , 	3 , 	4 , 	52 , 	7 , 	1 , 	15 , 	8 , 	-   , 	-   , 	1 , 	4 , 	991 ,,,,,,,,,,,
EP, 	29 , 	21 , 	5 , 	13 , 	119 , 	25 , 	24 , 	20 , 	21 , 	10 , 	17 , 	8 , 	5 , 	5 , 	3 , 	3 , 	3 , 	4 , 	5 , 	3 , 	5 , 	1 , 	2 , 	8 , 	6 , 	42 , 	25 , 	60 , 	36 , 	21 , 	12 , 	6 , 	3 , 	4 , 	2 , 	1 , 	2 , 	1 , 	2 , 	2 , 	4 , 	19 , 	3 , 	0 , 	12 , 	6 , 	-   , 	-   , 	1 , 	1 , 	629 ,,,,,,,,,,,
NB, 	16 , 	19 , 	14 , 	6 , 	37 , 	13 , 	15 , 	13 , 	20 , 	9 , 	21 , 	6 , 	7 , 	7 , 	5 , 	2 , 	3 , 	2 , 	3 , 	5 , 	6 , 	2 , 	2 , 	2 , 	4 , 	48 , 	32 , 	51 , 	39 , 	25 , 	19 , 	7 , 	5 , 	4 , 	1 , 	1 , 	3 , 	0 , 	2 , 	0 , 	3 , 	30 , 	2 , 	1 , 	11 , 	6 , 	-   , 	-   , 	1 , 	1 , 	532 ,,,,,,,,,,,
BK, 	91 , 	100 , 	106 , 	33 , 	25 , 	47 , 	68 , 	77 , 	92 , 	33 , 	61 , 	26 , 	28 , 	24 , 	19 , 	6 , 	17 , 	27 , 	8 , 	13 , 	14 , 	7 , 	5 , 	5 , 	16 , 	105 , 	74 , 	143 , 	95 , 	57 , 	40 , 	25 , 	11 , 	19 , 	3 , 	8 , 	16 , 	3 , 	7 , 	3 , 	9 , 	53 , 	13 , 	2 , 	23 , 	64 , 	-   , 	-   , 	2 , 	3 ," 	1,725 ",,,,,,,,,,,
AS, 	25 , 	32 , 	21 , 	14 , 	45 , 	8 , 	18 , 	32 , 	26 , 	14 , 	26 , 	10 , 	12 , 	7 , 	7 , 	2 , 	5 , 	5 , 	4 , 	3 , 	3 , 	1 , 	0 , 	3 , 	10 , 	33 , 	26 , 	60 , 	44 , 	32 , 	26 , 	5 , 	4 , 	5 , 	1 , 	1 , 	3 , 	2 , 	3 , 	3 , 	2 , 	22 , 	3 , 	1 , 	11 , 	11 , 	-   , 	-   , 	1 , 	1 , 	634 ,,,,,,,,,,,
MA, 	29 , 	34 , 	26 , 	19 , 	64 , 	22 , 	11 , 	28 , 	34 , 	13 , 	42 , 	23 , 	18 , 	14 , 	14 , 	10 , 	7 , 	6 , 	13 , 	10 , 	12 , 	4 , 	4 , 	19 , 	16 , 	84 , 	59 , 	136 , 	91 , 	69 , 	47 , 	12 , 	9 , 	10 , 	5 , 	3 , 	4 , 	2 , 	12 , 	2 , 	4 , 	45 , 	7 , 	4 , 	10 , 	10 , 	-   , 	-   , 	3 , 	9 ," 	1,131 ",,,,,,,,,,,
19, 	19 , 	21 , 	19 , 	19 , 	61 , 	32 , 	22 , 	13 , 	5 , 	7 , 	32 , 	21 , 	19 , 	13 , 	16 , 	6 , 	10 , 	9 , 	9 , 	10 , 	10 , 	6 , 	4 , 	22 , 	21 , 	92 , 	69 , 	143 , 	103 , 	72 , 	59 , 	13 , 	13 , 	12 , 	2 , 	4 , 	4 , 	4 , 	7 , 	3 , 	5 , 	53 , 	7 , 	2 , 	9 , 	11 , 	-   , 	-   , 	3 , 	5 ," 	1,121 ",,,,,,,,,,,
12, 	16 , 	28 , 	24 , 	18 , 	77 , 	22 , 	21 , 	5 , 	15 , 	6 , 	28 , 	25 , 	23 , 	24 , 	16 , 	8 , 	12 , 	13 , 	14 , 	14 , 	10 , 	6 , 	5 , 	16 , 	20 , 	100 , 	69 , 	174 , 	111 , 	62 , 	43 , 	16 , 	16 , 	17 , 	6 , 	2 , 	7 , 	3 , 	8 , 	6 , 	7 , 	52 , 	7 , 	3 , 	11 , 	16 , 	-   , 	-   , 	4 , 	7 ," 	1,217 ",,,,,,,,,,,
LM, 	10 , 	11 , 	9 , 	9 , 	32 , 	15 , 	19 , 	6 , 	7 , 	11 , 	58 , 	37 , 	37 , 	45 , 	13 , 	12 , 	13 , 	12 , 	3 , 	2 , 	3 , 	1 , 	1 , 	4 , 	10 , 	72 , 	64 , 	96 , 	52 , 	35 , 	29 , 	8 , 	7 , 	11 , 	1 , 	14 , 	23 , 	0 , 	2 , 	1 , 	3 , 	12 , 	2 , 	11 , 	10 , 	14 , 	-   , 	-   , 	1 , 	2 , 	851 ,,,,,,,,,,,
FV, 	31 , 	30 , 	16 , 	18 , 	63 , 	31 , 	42 , 	36 , 	32 , 	50 , 	14 , 	65 , 	59 , 	73 , 	48 , 	20 , 	14 , 	21 , 	9 , 	5 , 	10 , 	3 , 	4 , 	14 , 	30 , 	88 , 	71 , 	164 , 	99 , 	49 , 	43 , 	10 , 	13 , 	17 , 	2 , 	16 , 	27 , 	2 , 	9 , 	3 , 	5 , 	24 , 	5 , 	20 , 	6 , 	19 , 	-   , 	-   , 	2 , 	3 ," 	1,435 ",,,,,,,,,,,
CL, 	20 , 	20 , 	8 , 	5 , 	29 , 	12 , 	25 , 	22 , 	31 , 	32 , 	60 , 	8 , 	27 , 	41 , 	26 , 	18 , 	14 , 	9 , 	7 , 	6 , 	5 , 	2 , 	2 , 	4 , 	20 , 	43 , 	31 , 	73 , 	44 , 	20 , 	18 , 	8 , 	9 , 	8 , 	2 , 	9 , 	23 , 	2 , 	8 , 	3 , 	4 , 	13 , 	1 , 	14 , 	18 , 	11 , 	-   , 	-   , 	2 , 	6 , 	822 ,,,,,,,,,,,
SL, 	9 , 	10 , 	5 , 	8 , 	27 , 	10 , 	18 , 	22 , 	26 , 	47 , 	51 , 	31 , 	5 , 	36 , 	22 , 	15 , 	15 , 	10 , 	3 , 	2 , 	3 , 	2 , 	1 , 	7 , 	6 , 	60 , 	54 , 	82 , 	43 , 	18 , 	13 , 	7 , 	8 , 	8 , 	2 , 	8 , 	13 , 	3 , 	3 , 	2 , 	3 , 	21 , 	3 , 	12 , 	6 , 	8 , 	-   , 	-   , 	2 , 	3 , 	772 ,,,,,,,,,,,
BF, 	7 , 	11 , 	3 , 	5 , 	22 , 	7 , 	16 , 	18 , 	28 , 	45 , 	70 , 	41 , 	32 , 	6 , 	30 , 	18 , 	18 , 	21 , 	4 , 	2 , 	3 , 	2 , 	2 , 	4 , 	12 , 	53 , 	56 , 	88 , 	35 , 	21 , 	14 , 	5 , 	8 , 	9 , 	2 , 	10 , 	25 , 	0 , 	4 , 	1 , 	1 , 	16 , 	1 , 	19 , 	4 , 	16 , 	-   , 	-   , 	1 , 	4 , 	823 ,,,,,,,,,,,
HY, 	7 , 	10 , 	2 , 	8 , 	17 , 	6 , 	12 , 	16 , 	19 , 	14 , 	48 , 	29 , 	25 , 	24 , 	5 , 	18 , 	26 , 	37 , 	4 , 	3 , 	2 , 	2 , 	0 , 	5 , 	7 , 	25 , 	20 , 	43 , 	15 , 	11 , 	8 , 	3 , 	5 , 	5 , 	1 , 	4 , 	11 , 	1 , 	3 , 	1 , 	2 , 	6 , 	0 , 	10 , 	5 , 	20 , 	-   , 	-   , 	1 , 	5 , 	550 ,,,,,,,,,,,
SH, 	4 , 	7 , 	2 , 	3 , 	6 , 	3 , 	9 , 	8 , 	7 , 	13 , 	21 , 	16 , 	14 , 	16 , 	21 , 	7 , 	13 , 	17 , 	3 , 	1 , 	1 , 	0 , 	0 , 	1 , 	3 , 	17 , 	16 , 	27 , 	15 , 	6 , 	6 , 	1 , 	2 , 	4 , 	1 , 	3 , 	6 , 	1 , 	3 , 	2 , 	1 , 	8 , 	0 , 	5 , 	5 , 	17 , 	-   , 	-   , 	1 , 	1 , 	347 ,,,,,,,,,,,
UC, 	3 , 	7 , 	2 , 	3 , 	19 , 	4 , 	7 , 	9 , 	11 , 	12 , 	18 , 	13 , 	12 , 	14 , 	27 , 	10 , 	5 , 	20 , 	1 , 	1 , 	1 , 	1 , 	-   , 	2 , 	3 , 	27 , 	22 , 	29 , 	17 , 	8 , 	6 , 	1 , 	3 , 	6 , 	-   , 	2 , 	7 , 	0 , 	2 , 	1 , 	1 , 	9 , 	0 , 	3 , 	7 , 	16 , 	-   , 	-   , 	1 , 	3 , 	380 ,,,,,,,,,,,
FM, 	5 , 	6 , 	3 , 	1 , 	21 , 	2 , 	8 , 	8 , 	9 , 	13 , 	18 , 	8 , 	10 , 	20 , 	35 , 	13 , 	16 , 	6 , 	3 , 	2 , 	1 , 	1 , 	-   , 	3 , 	2 , 	27 , 	21 , 	39 , 	15 , 	6 , 	6 , 	2 , 	3 , 	4 , 	3 , 	3 , 	8 , 	0 , 	2 , 	1 , 	0 , 	9 , 	1 , 	2 , 	8 , 	15 , 	-   , 	-   , 	1 , 	3 , 	394 ,,,,,,,,,,,
CN, 	6 , 	6 , 	4 , 	3 , 	9 , 	3 , 	16 , 	11 , 	12 , 	3 , 	10 , 	6 , 	4 , 	3 , 	2 , 	1 , 	3 , 	4 , 	8 , 	23 , 	52 , 	26 , 	6 , 	15 , 	5 , 	41 , 	35 , 	73 , 	34 , 	16 , 	14 , 	8 , 	4 , 	10 , 	3 , 	1 , 	2 , 	14 , 	36 , 	1 , 	4 , 	43 , 	3 , 	1 , 	14 , 	5 , 	-   , 	-   , 	17 , 	20 , 	640 ,,,,,,,,,,,
