Fast Pass Adjusted OD,,,,,,Nov 03,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,48,32,123,116,467,855,718,"1,067","3,426"
MT,35,43,75,125,722,"1,257","1,068","2,203","5,529"
PL,167,99,77,119,673,"1,029",645,"1,740","4,550"
CC,116,122,129,65,558,803,564,"1,480","3,836"
16,385,542,811,519,26,199,176,569,"3,226"
24,722,960,"1,219",764,212,37,158,569,"4,640"
GP,672,819,824,451,173,158,20,123,"3,240"
BP,888,"1,179","2,488","1,362",564,655,126,31,"7,293"
Entries,"3,034","3,796","5,746","3,521","3,395","4,992","3,475","7,782","35,742"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,19,7,33,24,165,205,84,185,722
MT,7,18,22,24,272,353,298,923,"1,918"
PL,37,16,63,41,508,777,410,969,"2,821"
CC,24,21,50,41,303,382,174,463,"1,458"
16,128,164,581,305,22,123,95,261,"1,680"
24,163,227,865,377,125,36,92,239,"2,124"
GP,80,120,547,156,80,85,16,57,"1,139"
BP,169,284,"1,595",427,251,253,58,29,"3,065"
Entries,627,857,"3,756","1,395","1,725","2,215","1,225","3,125","14,926"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,15,4,24,16,113,138,50,106,466
MT,4,14,21,20,177,229,170,584,"1,219"
PL,21,14,70,39,349,549,276,653,"1,970"
CC,19,15,45,48,237,317,121,289,"1,091"
16,87,122,404,250,26,85,58,136,"1,168"
24,124,147,619,326,89,31,58,157,"1,551"
GP,53,73,398,119,58,58,17,29,806
BP,111,186,"1,190",268,132,167,34,26,"2,114"
Entries,434,574,"2,772","1,086","1,181","1,573",785,"1,980","10,385"
