Muni Fast Pass Adult/Clipper OD,,,,,,Dec 13,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,28,23,84,89,327,624,534,818,"2,527"
MT,26,29,47,73,411,808,757,"1,481","3,633"
PL,145,83,38,66,372,609,436,"1,166","2,913"
CC,72,64,58,23,177,353,312,709,"1,768"
16,284,315,439,204,10,94,124,320,"1,790"
24,480,573,724,330,99,15,100,287,"2,609"
GP,461,542,590,284,130,102,18,63,"2,190"
BP,700,885,"1,616",618,297,291,64,33,"4,503"
Entries,"2,196","2,514","3,596","1,686","1,822","2,894","2,345","4,878","21,932"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,16,4,34,22,132,158,108,266,739
MT,8,12,14,11,127,183,176,666,"1,196"
PL,48,15,43,32,352,525,409,"1,037","2,459"
CC,15,9,28,19,129,200,121,272,792
16,113,76,386,140,14,77,96,211,"1,112"
24,122,122,550,202,78,15,70,201,"1,360"
GP,83,93,463,107,96,68,13,35,957
BP,203,261,"1,277",235,165,172,34,27,"2,374"
Entries,608,591,"2,795",767,"1,093","1,396","1,025","2,714","10,988"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,11,2,16,10,64,86,59,155,404
MT,2,6,7,9,70,114,103,384,695
PL,18,8,37,20,224,354,241,672,"1,575"
CC,11,5,14,22,86,127,87,192,544
16,68,45,260,86,17,47,60,140,723
24,87,75,415,141,48,18,49,113,945
GP,63,63,339,76,57,48,13,20,678
BP,161,162,973,171,121,109,21,23,"1,739"
Entries,421,366,"2,060",535,687,903,632,"1,699","7,303"
